dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,10,62.121,450.09,1782566272
contriever-768,20,76.818,574.916,2435155744
contriever-768,30,83.592,684.153,2974320896
contriever-768,40,87.098,780.318,3437066848
contriever-768,50,89.297,869.103,3856556448
contriever-768,60,90.476,952.665,4234442144
contriever-768,70,91.484,1029.41,4594579136
contriever-768,80,92.164,1102.57,4929859456
deep-image-96-angular,10,61.041,151.036,289507128
deep-image-96-angular,20,74.481,212.67,397951560
deep-image-96-angular,30,80.88,278.019,497066976
deep-image-96-angular,40,84.719,336.783,590761008
deep-image-96-angular,50,87.229,418.488,679096008
deep-image-96-angular,60,88.956,484.735,761874024
deep-image-96-angular,70,90.29,533.273,843152280
deep-image-96-angular,80,91.379,566.106,920817216
gist-960-euclidean,50,76.74,882.651,262601376
gist-960-euclidean,100,86.48,1190.93,366679744
gist-960-euclidean,150,90.32,1466.84,448779712
gist-960-euclidean,200,92.53,1682.79,519120768
gist-960-euclidean,250,93.86,1886.43,581283680
gist-960-euclidean,300,94.97,2089.84,641062048
gist-960-euclidean,350,95.74,2269.51,697287648
gist-960-euclidean,400,96.29,2452.09,749986496
glove-200-angular,1000,82.774,2502.53,9129358024
glove-200-angular,2000,84.276,4358.3,14078363672
glove-200-angular,3000,84.85,5899.67,17859313144
glove-200-angular,4000,85.156,7338.93,21003020488
glove-200-angular,5000,85.399,8653.29,23739828368
glove-200-angular,6000,85.561,9905.8,26192055264
glove-200-angular,7000,85.671,11091.9,28431081728
glove-200-angular,8000,85.772,12245.5,30504449928
glove-50-angular,50,77.443,200.812,369113118
glove-50-angular,100,84.042,344.138,599061380
glove-50-angular,150,86.871,480.073,811293328
glove-50-angular,200,88.614,613.233,1012683908
glove-50-angular,250,89.776,741.754,1206768534
glove-50-angular,300,90.612,868.288,1395091576
glove-50-angular,350,91.302,990.676,1577114600
glove-50-angular,50,77.443,229.096,369113852
glove-50-angular,100,84.042,395.974,599061490
glove-50-angular,150,86.871,550.829,811293510
glove-50-angular,200,88.614,727.065,1012685710
glove-50-angular,250,89.776,841.873,1206768032
glove-50-angular,300,90.612,979.572,1395091278
glove-50-angular,350,91.302,1120.45,1577116114
glove-50-angular,400,91.793,1259.49,1754927030
glove-50-angular,50,77.443,232.173,369113852
glove-50-angular,100,84.042,403.635,599061490
glove-50-angular,150,86.871,558.893,811293510
glove-50-angular,50,77.443,230.872,369113852
glove-50-angular,100,84.042,396.769,599061490
glove-50-angular,150,86.871,553.941,811293510
glove-50-angular,200,88.614,707.252,1012685710
glove-50-angular,250,89.776,853.525,1206768032
glove-50-angular,300,90.612,998.719,1395091278
glove-50-angular,350,91.302,1142.54,1577116114
glove-50-angular,400,91.793,1284.59,1754927030
instructorxl-arxiv-768,10,73.92,479.393,102834112
instructorxl-arxiv-768,20,86.21,569.618,129836032
instructorxl-arxiv-768,30,90.68,653.354,151548128
instructorxl-arxiv-768,40,93.55,732.076,171036704
instructorxl-arxiv-768,50,95.1,802.86,189049312
instructorxl-arxiv-768,60,96.04,906.082,205110848
instructorxl-arxiv-768,70,96.62,963.214,220423904
instructorxl-arxiv-768,80,97.08,1019.28,235600064
msong-420,10,72.85,177.241,51040916
msong-420,20,79.37,217.669,64041032
msong-420,30,82.48,253.797,75804348
msong-420,40,84.71,289.541,86434828
msong-420,50,86.21,331.568,95887640
msong-420,60,87.18,354.478,104898652
msong-420,70,88.17,393.964,113931104
msong-420,80,89.05,422.663,122640132
nytimes-16-angular,5,69.617,27.9634,33231332
nytimes-16-angular,10,69.617,27.5137,33231332
nytimes-16-angular,15,75.684,35.8222,39752344
nytimes-16-angular,20,79.363,41.9201,45906244
nytimes-16-angular,25,81.868,49.2625,51937144
nytimes-16-angular,30,83.693,56.0671,57918588
nytimes-16-angular,35,84.957,63.4936,63944704
nytimes-16-angular,40,85.973,71.5299,69971944
nytimes-16-angular,5,69.608,32.7729,33221596
nytimes-16-angular,10,69.608,31.8933,33221596
nytimes-16-angular,15,75.674,41.2418,39750192
nytimes-16-angular,20,79.353,48.151,45906428
nytimes-16-angular,25,81.856,57.3968,51951840
nytimes-16-angular,30,83.68,66.1384,57930292
nytimes-16-angular,35,84.942,71.7544,63953292
nytimes-16-angular,40,85.957,80.1674,69981628
nytimes-16-angular,5,69.608,32.7683,33221596
nytimes-16-angular,10,69.608,32.5829,33221596
nytimes-16-angular,15,75.674,41.4566,39750192
nytimes-16-angular,20,79.353,48.3028,45906428
nytimes-16-angular,25,81.856,56.6786,51951840
nytimes-16-angular,30,83.68,64.5003,57930292
nytimes-16-angular,35,84.942,71.8257,63953292
nytimes-16-angular,40,85.957,81.1308,69981628
nytimes-16-angular,5,69.608,32.3465,33221596
nytimes-16-angular,10,69.608,31.4065,33221596
nytimes-16-angular,15,75.674,43.5378,39750192
nytimes-16-angular,20,79.353,48.5858,45906428
nytimes-16-angular,25,81.856,55.1632,51951840
nytimes-16-angular,30,83.68,65.4148,57930292
nytimes-16-angular,35,84.942,71.9431,63953292
nytimes-16-angular,40,85.957,79.3242,69981628
openai-1536-angular,10,74.83,1138.39,181117184
openai-1536-angular,20,86.78,1258.61,219228320
openai-1536-angular,30,91.01,1369.37,247069280
openai-1536-angular,40,93.69,1438.89,270262688
openai-1536-angular,50,94.64,1523.47,289260128
openai-1536-angular,60,95.54,1564.32,307462976
openai-1536-angular,70,96.11,1640.69,324496416
openai-1536-angular,80,96.6,1714.05,340971040
sift-128-euclidean,5,71.336,81.6569,280457344
sift-128-euclidean,10,71.336,82.3588,280457344
