dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,10,62.131,678.958,1782744640
contriever-768,20,77.048,946.488,2743247552
contriever-768,30,83.013,1182.91,3571631232
contriever-768,40,86.211,1401.7,4346429536
contriever-768,50,88.347,1618.3,5096715072
contriever-768,60,89.776,1829.42,5827861760
contriever-768,70,90.823,2038.06,6550616960
contriever-768,80,91.647,2241.77,7263015584
contriever-768,10,62.131,680.365,1782744640
contriever-768,20,77.048,948.819,2743247552
contriever-768,30,83.013,1183.8,3571631232
contriever-768,40,86.211,1407.44,4346429536
contriever-768,50,88.347,1623.12,5096715072
contriever-768,60,89.776,1831.58,5827861760
contriever-768,70,90.823,2039.42,6550616960
contriever-768,80,91.647,2246.99,7263015584
deep-image-96-angular,100,94.574,859.11,1382377632
deep-image-96-angular,200,97.832,1503.26,2446698144
deep-image-96-angular,300,98.801,1965.14,3435526896
deep-image-96-angular,400,99.242,2665.96,4373263008
deep-image-96-angular,500,99.46,3279.38,5273450976
deep-image-96-angular,600,99.602,3693.54,6143728176
deep-image-96-angular,700,99.686,4346.48,6989084904
deep-image-96-angular,800,99.758,4860.63,7813625376
deep-image-96-angular,10,61.045,131.337,289526784
deep-image-96-angular,20,74.605,193.281,430350480
deep-image-96-angular,30,81.406,253.584,559743336
deep-image-96-angular,40,85.661,313.931,684663408
deep-image-96-angular,50,88.394,368.865,805968840
deep-image-96-angular,60,90.43,426.324,924797568
deep-image-96-angular,70,91.865,480.646,1041086400
deep-image-96-angular,80,93.029,534.044,1156763568
gist-960-euclidean,100,84.83,3104.45,688734368
gist-960-euclidean,200,92.81,5367.12,1222234336
gist-960-euclidean,300,95.85,6086.8,1714663648
gist-960-euclidean,400,97.26,7511.02,2179258592
gist-960-euclidean,500,97.94,9034.01,2623215776
gist-960-euclidean,600,98.38,10410.6,3050298848
gist-960-euclidean,700,98.66,12232.1,3463639872
gist-960-euclidean,800,98.94,18733.5,3865391744
gist-960-euclidean,50,73.72,1551.07,395942464
gist-960-euclidean,100,84.83,2452.77,688734368
gist-960-euclidean,150,89.87,3293.88,962080608
gist-960-euclidean,200,92.81,4105.36,1222234336
gist-960-euclidean,250,94.56,4890.83,1472499648
gist-960-euclidean,300,95.85,5636.14,1714663648
gist-960-euclidean,350,96.7,6383.03,1949900416
gist-960-euclidean,400,97.26,7098.97,2179258592
glove-200-angular,500,83.963,2494.17,8987533240
glove-200-angular,1000,86.801,4795.57,16214132992
glove-200-angular,1500,88.015,7111.3,22907757440
glove-200-angular,2000,88.655,9444.18,29232768048
glove-200-angular,2500,89.099,11746.1,35268119944
glove-200-angular,3000,89.362,14004.8,41052240824
glove-200-angular,3500,89.601,16230.0,46624238664
glove-200-angular,4000,89.78,18420.2,52006903984
glove-200-angular,1000,86.801,4804.58,16214132992
glove-200-angular,2000,88.655,9463.69,29232768048
glove-200-angular,3000,89.362,14061.1,41052240824
glove-200-angular,4000,89.78,18445.7,52006903984
glove-200-angular,5000,90.047,22653.3,62268282112
glove-200-angular,6000,90.227,26659.3,71959992064
glove-200-angular,7000,90.349,30502.2,81155982040
glove-200-angular,8000,90.441,34230.9,89927655776
glove-50-angular,100,86.506,391.365,742819084
glove-50-angular,200,91.796,707.25,1324799800
