dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,20,94.382,13758.6,33730849728
contriever-768,40,96.784,21447.7,53779569152
contriever-768,60,97.636,25929.2,70380265056
contriever-768,80,98.069,33272.2,85377341664
contriever-768,100,98.325,37527.9,99352649440
contriever-768,120,98.507,41080.8,112617513184
contriever-768,140,98.658,48210.5,125345840800
contriever-768,160,98.779,51759.6,137643150912
contriever-768,180,98.874,56902.5,149584628672
contriever-768,200,98.952,59707.2,161150302592
contriever-768,220,99.034,66347.6,172419371328
contriever-768,240,99.084,67449.7,183439179584
contriever-768,260,99.133,71325.4,194189059648
contriever-768,280,99.191,80551.0,204691183872
contriever-768,300,99.228,81843.9,214957517440
contriever-768,320,99.27,82175.7,225017231968
contriever-768,340,99.303,80108.7,234862061376
contriever-768,360,99.339,83517.4,244487278176
contriever-768,380,99.359,86889.9,253919258944
contriever-768,400,99.388,90204.2,263175058592
deep-image-96-angular,20,88.081,3393.1,6347311152
deep-image-96-angular,40,94.084,4816.09,11477601624
deep-image-96-angular,60,96.274,7498.7,16276913232
deep-image-96-angular,80,97.416,8603.45,20860143912
deep-image-96-angular,100,98.102,9905.19,25313128224
deep-image-96-angular,120,98.534,11813.1,29645878536
deep-image-96-angular,140,98.821,13970.9,33892024632
deep-image-96-angular,160,99.036,13165.7,38061383136
deep-image-96-angular,180,99.202,14520.8,42152284560
deep-image-96-angular,200,99.31,15592.2,46204016112
deep-image-96-angular,220,99.41,16919.6,50207938008
deep-image-96-angular,240,99.474,18310.2,54166764192
deep-image-96-angular,260,99.535,19172.8,58078709928
gist-960-euclidean,20,79.46,8929.16,1321869792
gist-960-euclidean,40,89.92,10328.0,2232020160
gist-960-euclidean,60,94.08,13143.8,3047741664
gist-960-euclidean,80,96.4,15756.7,3792455904
gist-960-euclidean,100,97.76,18289.3,4496755104
gist-960-euclidean,120,98.56,20694.0,5165575776
gist-960-euclidean,140,98.95,25460.0,5801373088
gist-960-euclidean,160,99.23,37663.3,6415277376
gist-960-euclidean,180,99.42,34480.3,7013852256
gist-960-euclidean,200,99.5,30216.3,7587674144
glove-200-angular,20,64.813,14737.8,50198330000
glove-200-angular,40,80.535,26629.5,90846440960
glove-200-angular,60,87.968,37486.9,127280957152
glove-200-angular,80,91.43,47350.7,160347790752
glove-200-angular,100,92.928,56708.4,190453570704
glove-200-angular,120,93.714,65312.4,218100271208
glove-200-angular,140,94.158,73635.2,243467043584
glove-200-angular,160,94.39,81140.3,266836201448
glove-200-angular,180,94.512,87601.0,288349982896
glove-200-angular,200,94.587,93478.3,308218566616
glove-200-angular,220,94.627,99123.5,326442123104
glove-200-angular,240,94.641,104055.0,343178476432
glove-200-angular,260,94.655,108575.0,358462874248
glove-200-angular,280,94.666,112853.0,372368425744
glove-200-angular,300,94.67,116748.0,384906885736
glove-200-angular,320,94.677,120322.0,396149214976
glove-200-angular,340,94.679,123773.0,406024376200
glove-200-angular,360,94.679,126485.0,414607981952
glove-200-angular,380,94.681,128787.0,421913593784
glove-200-angular,400,94.681,130733.0,428073549160
glove-50-angular,20,84.993,1645.9,4011001072
glove-50-angular,40,91.172,3027.31,7558368908
glove-50-angular,60,93.727,4347.66,10921058932
glove-50-angular,80,95.08,5611.1,14171617204
glove-50-angular,100,95.966,6838.39,17326929146
glove-50-angular,120,96.59,8080.58,20418550078
glove-50-angular,140,97.019,9312.11,23434780520
glove-50-angular,160,97.344,10593.9,26396456338
glove-50-angular,180,97.572,11820.7,29289679974
glove-50-angular,200,97.746,12983.0,32129920668
glove-50-angular,220,97.903,14140.2,34922007614
glove-50-angular,240,98.02,15318.9,37664146324
glove-50-angular,260,98.116,16491.2,40360334264
glove-50-angular,280,98.207,17670.6,43016810956
glove-50-angular,300,98.27,18833.1,45623035022
glove-50-angular,320,98.314,19965.3,48178964602
glove-50-angular,340,98.346,21150.1,50707269252
glove-50-angular,360,98.384,22347.2,53194156310
glove-50-angular,380,98.412,23455.0,55641860522
glove-50-angular,400,98.431,24502.5,58055683594
instructorxl-arxiv-768,20,92.43,9536.45,1346626720
instructorxl-arxiv-768,40,96.19,12810.2,2299288352
instructorxl-arxiv-768,60,97.6,16421.8,3165152576
instructorxl-arxiv-768,80,98.41,20018.1,3974259008
instructorxl-arxiv-768,100,98.88,24904.9,4741631040
instructorxl-arxiv-768,120,99.23,28000.6,5482211488
instructorxl-arxiv-768,140,99.39,30478.5,6197672288
instructorxl-arxiv-768,160,99.5,34185.5,6893367328
msong-420,20,97.86,4073.43,670605928
msong-420,40,99.53,5127.17,1191186372
openai-1536-angular,20,87.13,8503.72,1097999488
openai-1536-angular,40,91.73,10686.0,1746772192
openai-1536-angular,60,94.03,12619.5,2318772736
openai-1536-angular,80,95.28,14489.0,2848071104
openai-1536-angular,100,96.13,16289.8,3345352352
openai-1536-angular,120,96.66,17961.0,3824306976
openai-1536-angular,140,97.1,19685.8,4289869088
openai-1536-angular,160,97.41,21280.0,4739015744
openai-1536-angular,180,97.67,22942.4,5181677728
openai-1536-angular,200,97.97,24542.8,5614672576
openai-1536-angular,220,98.2,26100.0,6035150144
openai-1536-angular,240,98.33,27769.3,6448087168
openai-1536-angular,260,98.4,29242.8,6854676768
openai-1536-angular,280,98.58,30753.9,7260690784
openai-1536-angular,300,98.76,32296.0,7657974848
openai-1536-angular,320,98.8,33830.8,8049801600
openai-1536-angular,340,98.93,35319.1,8438233248
openai-1536-angular,360,98.99,36823.5,8824505568
openai-1536-angular,380,99.05,38378.3,9208056512
openai-1536-angular,400,99.16,39850.2,9584810080
sift-128-euclidean,20,91.293,1640.58,4497843040
sift-128-euclidean,40,96.843,2727.23,8266208640
sift-128-euclidean,60,98.505,3805.76,11866217632
sift-128-euclidean,80,99.25,4858.2,15372676544
sift-128-euclidean,100,99.58,5896.39,18813837120
