dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,20,94.382,7008.1,33730836224
contriever-768,40,96.784,10744.2,53779590688
contriever-768,60,97.636,14470.9,70380312288
contriever-768,80,98.069,17864.6,85377360896
contriever-768,100,98.325,20978.3,99352487584
contriever-768,120,98.507,23949.6,112617583584
contriever-768,140,98.658,26904.5,125345930400
contriever-768,160,98.778,29724.9,137643057792
contriever-768,180,98.874,32476.2,149584409952
contriever-768,200,98.952,35149.1,161150318944
contriever-768,220,99.034,37933.2,172419421824
contriever-768,240,99.084,40379.2,183439373408
contriever-768,260,99.133,43006.0,194189333664
contriever-768,280,99.191,45198.0,204691638912
contriever-768,300,99.228,47577.6,214957257952
contriever-768,320,99.27,50474.1,225017310240
contriever-768,340,99.303,53183.9,234861753184
contriever-768,360,99.339,55452.7,244487148448
contriever-768,380,99.359,56810.1,253919447936
contriever-768,400,99.388,59076.0,263175262336
deep-image-96-angular,20,88.081,2457.87,6347311392
deep-image-96-angular,40,94.084,3832.0,11477601264
deep-image-96-angular,60,96.274,5260.07,16276929624
deep-image-96-angular,80,97.416,6612.6,20860135200
deep-image-96-angular,100,98.102,7931.44,25313127960
deep-image-96-angular,120,98.534,9204.32,29645884824
deep-image-96-angular,140,98.821,10445.4,33892024464
deep-image-96-angular,160,99.036,11646.5,38061375504
deep-image-96-angular,180,99.202,12847.6,42152284416
deep-image-96-angular,200,99.31,14040.2,46204019208
deep-image-96-angular,220,99.41,15227.6,50207944320
deep-image-96-angular,240,99.474,16403.9,54166775088
deep-image-96-angular,260,99.536,17558.6,58078675704
gist-960-euclidean,20,79.46,4940.81,1321870592
gist-960-euclidean,40,89.92,6152.56,2232021216
gist-960-euclidean,60,94.08,7987.37,3047743136
gist-960-euclidean,80,96.4,9894.12,3792457152
gist-960-euclidean,100,97.76,11755.3,4496756736
gist-960-euclidean,120,98.56,13435.2,5165577280
gist-960-euclidean,140,98.95,15064.6,5801374816
