dataset,efsearch,recall,per_query_us,total_time,distance_time
contriever-768,10,62.121,443.469,3.31019,2.94995
contriever-768,20,76.818,594.363,4.81914,4.60063
contriever-768,30,83.592,669.313,5.56863,5.31895
contriever-768,40,87.098,778.048,6.65599,6.30987
contriever-768,50,89.297,882.644,7.70194,7.32304
contriever-768,60,90.476,982.823,8.70374,8.35022
contriever-768,70,91.484,1072.1,9.59652,9.17146
contriever-768,80,92.164,1318.9,12.0645,11.6107
contriever-768,90,92.861,1422.45,13.1,12.6216
contriever-768,100,93.417,1529.43,14.1698,13.8242
contriever-768,110,93.724,1627.86,15.1541,14.8254
contriever-768,120,94.089,1649.87,15.3742,15.0173
contriever-768,130,94.427,1591.62,14.7917,14.4372
contriever-768,140,94.595,1671.46,15.5901,15.187
contriever-768,150,94.745,1748.71,16.3626,15.9842
contriever-768,160,94.96,1902.92,17.9048,17.4948
contriever-768,170,95.079,2152.86,20.4041,19.974
contriever-768,180,95.177,2246.34,21.339,21.1373
contriever-768,190,95.282,2204.56,20.9211,20.5765
contriever-768,200,95.404,2119.02,20.0657,19.7131
contriever-768,240,95.751,2394.54,22.8209,22.5145
contriever-768,280,96.035,2922.28,28.0983,27.6412
contriever-768,320,96.265,3346.56,32.3411,32.1426
contriever-768,360,96.395,3310.71,31.9826,31.7722
contriever-768,400,96.466,3396.54,32.8409,32.5388
contriever-768,500,96.67,4435.12,43.2267,42.8331
contriever-768,600,96.807,5026.15,49.137,49.1072
contriever-768,700,96.962,5323.58,52.1113,51.8651
contriever-768,800,97.073,6355.71,62.4326,62.3824
contriever-768,900,97.153,6383.36,62.7091,62.5587
contriever-768,1000,97.216,7278.55,71.661,71.7405
contriever-768,1100,97.275,7683.22,75.7077,75.5253
contriever-768,1200,97.294,8011.61,78.9916,79.2069
contriever-768,1300,97.322,8912.31,87.9986,88.1899
contriever-768,1400,97.341,9246.48,91.3403,91.4619
contriever-768,1500,97.377,9464.32,93.5187,93.5443
contriever-768,2000,97.493,11971.7,118.593,118.93
contriever-768,2500,97.557,14326.6,142.142,142.574
contriever-768,3000,97.618,16553.0,164.405,165.198
contriever-768,3500,97.665,17914.3,178.018,178.721
contriever-768,4000,97.692,20506.5,203.941,204.788
contriever-768,6000,97.762,27085.7,269.732,271.032
contriever-768,10000,97.87,39113.6,390.011,392.274
contriever-768,15000,97.912,52656.1,525.436,529.986
deep-image-96-angular,10,61.042,160.11,1.57644,1.26724
deep-image-96-angular,20,74.553,228.723,2.26258,2.02035
deep-image-96-angular,30,80.954,287.385,2.8492,2.60172
deep-image-96-angular,40,84.676,349.712,3.47247,3.27505
deep-image-96-angular,50,86.999,415.544,4.13078,3.8778
deep-image-96-angular,60,88.667,468.858,4.66393,4.46971
deep-image-96-angular,70,89.877,532.735,5.3027,5.10358
deep-image-96-angular,80,90.921,595.476,5.93011,5.6758
deep-image-96-angular,90,91.736,551.812,5.49347,5.17488
deep-image-96-angular,100,92.464,563.567,5.61101,5.35421
deep-image-96-angular,110,93.08,603.999,6.01534,5.74738
deep-image-96-angular,120,93.534,647.876,6.4541,6.17926
deep-image-96-angular,130,93.966,693.905,6.9144,6.73647
deep-image-96-angular,140,94.367,741.344,7.38879,7.20359
deep-image-96-angular,150,94.716,782.443,7.79978,7.57429
deep-image-96-angular,160,95.016,827.528,8.25062,7.97363
deep-image-96-angular,170,95.32,865.977,8.63512,8.55604
deep-image-96-angular,180,95.563,1063.96,10.615,10.3235
deep-image-96-angular,190,95.759,1103.75,11.0128,10.9614
deep-image-96-angular,200,95.961,1173.06,11.706,11.6179
deep-image-96-angular,240,96.637,1398.2,13.9574,13.8929
deep-image-96-angular,280,97.097,1553.74,15.5127,15.2466
deep-image-96-angular,320,97.454,1660.48,16.5801,17.6519
deep-image-96-angular,360,97.789,1633.85,16.3138,16.3663
deep-image-96-angular,400,98.048,1795.66,17.9319,17.6542
deep-image-96-angular,500,98.488,2248.05,22.4558,22.3584
deep-image-96-angular,600,98.782,3050.21,30.4774,30.8633
deep-image-96-angular,700,98.974,3328.07,33.2561,33.2471
deep-image-96-angular,800,99.135,3250.02,32.4756,32.3275
deep-image-96-angular,900,99.252,3632.68,36.3021,36.1668
deep-image-96-angular,1000,99.335,4527.04,45.2457,45.5441
deep-image-96-angular,1100,99.406,4835.94,48.3348,48.4618
deep-image-96-angular,1200,99.471,4713.64,47.1118,47.1303
deep-image-96-angular,1300,99.526,5964.46,59.6199,60.3923
gist-960-euclidean,10,40.43,504.976,0.329428,0.290425
