dataset,efsearch,recall,per_query_us,total_time,distance_time
contriever-768,10,62.121,351.05,2.40149,2.15368
contriever-768,20,76.818,497.816,3.86914,5.15055
contriever-768,30,83.592,564.82,4.53918,4.44179
contriever-768,40,87.098,653.742,5.42841,5.17043
contriever-768,50,89.297,740.416,6.29515,6.0042
contriever-768,60,90.476,819.003,7.08101,6.76247
contriever-768,70,91.484,896.705,7.85803,7.53969
contriever-768,80,92.164,971.867,8.60965,8.29591
contriever-768,90,92.862,1048.3,9.37402,9.0416
contriever-768,100,93.417,1118.74,10.0784,9.76754
contriever-768,110,93.724,1187.77,10.7687,10.4361
contriever-768,120,94.089,1257.77,11.4687,11.1338
contriever-768,130,94.427,1322.62,12.1172,11.7928
contriever-768,140,94.595,1386.81,12.759,12.4215
contriever-768,150,94.745,1450.78,13.3988,13.071
contriever-768,160,94.96,1517.82,14.0692,13.7286
contriever-768,170,95.079,1577.92,14.6702,14.3246
contriever-768,180,95.177,1638.37,15.2747,14.9441
contriever-768,190,95.282,1697.06,15.8616,15.5343
contriever-768,200,95.404,1760.91,16.5001,16.1518
contriever-768,240,95.751,1995.24,18.8434,18.496
contriever-768,280,96.035,2218.32,21.0742,20.736
contriever-768,320,96.265,2438.07,23.2717,22.9185
contriever-768,360,96.395,2648.29,25.3738,25.0195
contriever-768,400,96.466,2855.08,27.4417,27.0889
contriever-768,500,96.67,3354.6,32.4369,32.0994
contriever-768,600,96.807,3826.73,37.1583,36.8345
contriever-768,700,96.962,4284.84,41.7394,41.4097
contriever-768,800,97.073,4730.5,46.196,45.8714
contriever-768,900,97.144,5161.1,50.502,50.1672
contriever-768,1000,97.216,5585.02,54.7411,54.4244
contriever-768,1100,97.275,5990.59,58.7969,58.4599
contriever-768,1200,97.294,6386.19,62.7529,62.4298
contriever-768,1300,97.322,6776.44,66.6553,66.3443
contriever-768,1400,97.341,7156.71,70.458,70.1501
contriever-768,1500,97.377,7538.4,74.275,73.9862
contriever-768,2000,97.493,9330.13,92.1922,91.9249
contriever-768,2500,97.557,10995.8,108.849,108.584
contriever-768,3000,97.618,12561.3,124.504,124.242
contriever-768,3500,97.665,14063.8,139.529,139.288
contriever-768,4000,97.692,15503.8,153.929,153.701
contriever-768,6000,97.762,20758.7,206.478,206.342
contriever-768,10000,97.87,29815.7,297.048,297.0
contriever-768,15000,97.912,39537.8,394.269,394.362
deep-image-96-angular,10,61.042,118.479,1.16133,0.951483
deep-image-96-angular,20,74.553,170.315,1.67969,1.5022
deep-image-96-angular,30,80.954,219.113,2.16767,1.99739
deep-image-96-angular,40,84.676,269.781,2.67435,2.51375
deep-image-96-angular,50,86.999,314.872,3.12526,2.95411
deep-image-96-angular,60,88.667,361.071,3.58725,3.42318
deep-image-96-angular,70,89.877,401.419,3.99073,3.84351
deep-image-96-angular,80,90.921,439.756,4.37411,4.17968
deep-image-96-angular,90,91.736,474.719,4.72373,4.63294
deep-image-96-angular,100,92.464,511.424,5.09078,4.94518
deep-image-96-angular,110,93.08,554.77,5.52424,5.37687
deep-image-96-angular,120,93.534,593.708,5.91362,5.82216
deep-image-96-angular,130,93.966,631.482,6.29136,6.14688
deep-image-96-angular,140,94.367,666.873,6.64527,6.3919
deep-image-96-angular,150,94.716,685.741,6.83395,6.59211
deep-image-96-angular,160,95.016,715.348,7.13002,6.91769
deep-image-96-angular,170,95.32,748.745,7.464,7.23321
deep-image-96-angular,180,95.563,788.476,7.8613,7.66251
deep-image-96-angular,190,95.759,835.695,8.33349,8.28047
deep-image-96-angular,200,95.961,880.165,8.77819,8.65965
deep-image-96-angular,240,96.637,1013.45,10.111,9.99858
deep-image-96-angular,280,97.097,1125.87,11.2353,11.1622
deep-image-96-angular,320,97.454,1273.5,12.7116,12.6895
deep-image-96-angular,360,97.789,1402.94,14.0059,13.8107
deep-image-96-angular,400,98.048,1506.73,15.0438,14.8225
deep-image-96-angular,500,98.488,1825.98,18.2363,18.2246
deep-image-96-angular,600,98.782,2152.71,21.5037,21.5899
deep-image-96-angular,700,98.974,2435.9,24.3355,24.5988
deep-image-96-angular,800,99.135,2735.6,27.3325,27.0928
deep-image-96-angular,900,99.252,3048.66,30.4632,30.6479
deep-image-96-angular,1000,99.335,3303.0,33.0065,33.2029
deep-image-96-angular,1100,99.406,3589.2,35.8685,35.6673
deep-image-96-angular,1200,99.471,3873.72,38.7137,39.0622
deep-image-96-angular,1300,99.526,4153.97,41.5162,41.6512
gist-960-euclidean,10,40.43,401.985,0.227974,0.197424
gist-960-euclidean,20,57.44,520.886,0.346875,0.315704
gist-960-euclidean,30,67.03,648.538,0.474527,0.454616
gist-960-euclidean,40,72.75,762.059,0.588048,0.595428
gist-960-euclidean,50,76.74,867.27,0.693259,0.749344
gist-960-euclidean,60,79.52,1017.29,0.843278,1.0235
gist-960-euclidean,70,81.85,1063.98,0.889968,1.25482
gist-960-euclidean,80,83.92,1152.82,0.978806,1.36108
gist-960-euclidean,90,85.34,1072.05,0.898039,1.21488
gist-960-euclidean,100,86.48,1120.24,0.946225,0.97437
gist-960-euclidean,110,87.44,1208.99,1.03498,1.04246
gist-960-euclidean,120,88.4,1251.8,1.07779,1.08964
gist-960-euclidean,130,89.11,1290.47,1.11646,1.13642
