dataset,efsearch,recall,per_query_us,total_time,distance_time
contriever-768,5,83.625,4231.99,41.1943,22.9692
contriever-768,10,90.332,5478.75,53.6619,33.4575
contriever-768,20,94.382,8160.09,80.4752,60.0512
contriever-768,30,95.974,10655.5,105.429,84.8061
contriever-768,40,96.784,12922.1,128.096,107.362
contriever-768,50,97.289,15134.3,150.217,129.376
contriever-768,60,97.636,17423.3,173.107,152.098
contriever-768,70,97.876,19572.8,194.602,173.506
contriever-768,80,98.069,21659.4,215.468,194.213
contriever-768,90,98.205,23722.5,236.099,214.75
contriever-768,100,98.325,25753.1,256.405,234.929
contriever-768,110,98.421,27757.1,276.446,254.788
contriever-768,120,98.507,29746.2,296.337,274.57
contriever-768,130,98.587,31484.2,313.716,291.768
contriever-768,140,98.658,33357.4,332.448,310.415
contriever-768,150,98.723,35547.4,354.349,332.068
contriever-768,160,98.779,37709.8,375.972,353.564
contriever-768,170,98.821,39448.5,393.36,370.857
contriever-768,180,98.874,41487.3,413.748,391.001
contriever-768,190,98.918,43316.7,432.041,409.236
contriever-768,200,98.952,45155.3,450.427,427.505
contriever-768,240,99.084,52089.0,519.764,496.337
contriever-768,280,99.191,59016.5,589.039,565.07
contriever-768,320,99.27,65535.6,654.23,629.752
contriever-768,360,99.339,72294.0,721.814,696.742
contriever-768,400,99.388,78714.0,786.015,760.42
contriever-768,500,99.464,93721.1,936.085,909.067
contriever-768,600,99.524,107551.0,1074.38,1046.09
deep-image-96-angular,5,66.376,1406.43,14.04,3.14402
deep-image-96-angular,10,78.828,1646.3,16.4386,5.58326
deep-image-96-angular,20,88.081,2113.8,21.1136,10.172
deep-image-96-angular,30,91.949,2563.75,25.6132,14.573
deep-image-96-angular,40,94.085,3004.34,30.019,18.7896
deep-image-96-angular,50,95.376,3443.77,34.4134,22.9915
deep-image-96-angular,60,96.275,3859.55,38.5711,27.0466
deep-image-96-angular,70,96.907,4310.79,43.0836,31.1707
deep-image-96-angular,80,97.417,4679.55,46.7712,35.0206
deep-image-96-angular,90,97.808,5089.12,50.8669,38.9202
deep-image-96-angular,100,98.103,5531.79,55.2936,42.9856
deep-image-96-angular,110,98.347,5891.78,58.8935,46.6539
deep-image-96-angular,120,98.535,6290.81,62.8838,50.426
deep-image-96-angular,130,98.695,6680.87,66.7844,54.1705
deep-image-96-angular,140,98.822,7101.81,70.9938,58.1127
deep-image-96-angular,150,98.946,7454.44,74.5201,61.6453
deep-image-96-angular,160,99.037,7872.29,78.6985,65.5482
deep-image-96-angular,170,99.106,8209.31,82.0687,69.0331
deep-image-96-angular,180,99.203,8688.82,86.8638,73.1895
deep-image-96-angular,190,99.263,8976.15,89.7371,76.3665
deep-image-96-angular,200,99.311,9409.08,94.0665,80.2683
deep-image-96-angular,240,99.475,10937.0,109.346,95.0552
deep-image-96-angular,280,99.587,12419.0,124.166,109.557
gist-960-euclidean,5,49.09,3803.42,3.62846,0.997923
gist-960-euclidean,10,65.11,4639.75,4.46479,1.83163
gist-960-euclidean,20,79.46,6138.41,5.96345,3.42456
gist-960-euclidean,30,86.05,7566.04,7.39107,4.87703
gist-960-euclidean,40,89.92,8941.35,8.76639,6.24867
gist-960-euclidean,50,92.47,10268.3,10.0934,7.60932
gist-960-euclidean,60,94.08,11573.7,11.3988,8.88515
gist-960-euclidean,70,95.39,12824.5,12.6496,10.2026
gist-960-euclidean,80,96.4,14048.8,13.8738,11.4502
gist-960-euclidean,90,97.17,15255.1,15.0801,12.6545
gist-960-euclidean,100,97.76,16435.2,16.2603,13.7984
gist-960-euclidean,110,98.18,17593.2,17.4182,15.0067
gist-960-euclidean,120,98.56,18733.3,18.5584,16.0694
gist-960-euclidean,130,98.74,19837.4,19.6625,17.1832
gist-960-euclidean,140,98.95,20936.1,20.7612,18.2983
gist-960-euclidean,150,99.1,22026.4,21.8514,19.3569
gist-960-euclidean,160,99.23,23106.2,22.9312,20.4588
gist-960-euclidean,170,99.3,24168.8,23.9939,21.5274
gist-960-euclidean,180,99.42,25223.9,25.049,22.5761
gist-960-euclidean,190,99.46,26246.7,26.0717,23.5736
gist-960-euclidean,200,99.5,27267.7,27.0927,24.6218
glove-200-angular,5,40.861,2916.12,29.0707,24.0136
glove-200-angular,10,51.114,5132.85,51.2381,46.0098
glove-200-angular,20,64.814,9467.76,94.5872,88.9465
glove-200-angular,30,73.8,13753.9,137.448,131.246
glove-200-angular,40,80.536,17975.1,179.66,172.87
glove-200-angular,50,84.991,21954.8,219.458,211.899
glove-200-angular,60,87.969,25871.4,258.624,250.341
glove-200-angular,70,89.996,29630.1,296.211,287.296
glove-200-angular,80,91.431,33290.9,332.818,323.378
glove-200-angular,90,92.304,36733.6,367.246,357.328
glove-200-angular,100,92.929,40038.1,400.29,389.854
glove-200-angular,110,93.372,42998.6,429.896,419.081
glove-200-angular,120,93.715,46408.6,463.996,452.651
glove-200-angular,130,93.983,49398.9,493.898,481.939
glove-200-angular,140,94.159,52420.6,524.115,511.544
glove-200-angular,150,94.298,55233.8,552.248,539.208
glove-200-angular,160,94.391,58062.8,580.537,567.015
glove-200-angular,170,94.473,60400.5,603.915,590.043
glove-200-angular,180,94.513,62863.9,628.549,614.339
glove-200-angular,190,94.563,65414.6,654.055,639.399
glove-200-angular,200,94.588,67744.3,677.353,662.369
glove-200-angular,240,94.642,75888.8,758.797,742.455
glove-200-angular,280,94.667,82560.1,825.511,807.995
glove-200-angular,320,94.678,88738.4,887.293,868.752
glove-200-angular,360,94.68,93408.0,933.989,914.729
instructorxl-arxiv-768,5,76.65,4686.74,4.57266,2.27038
instructorxl-arxiv-768,10,86.38,5210.35,5.09627,3.26015
instructorxl-arxiv-768,20,92.43,6651.59,6.5375,3.61579
instructorxl-arxiv-768,30,94.84,8128.66,8.01458,4.95109
instructorxl-arxiv-768,40,96.19,9570.47,9.45639,6.38799
instructorxl-arxiv-768,50,97.13,10975.3,10.8612,7.76249
instructorxl-arxiv-768,60,97.6,12340.7,12.2266,9.12487
instructorxl-arxiv-768,70,98.11,13662.1,13.548,10.4363
instructorxl-arxiv-768,80,98.41,14970.9,14.8568,11.7405
instructorxl-arxiv-768,90,98.67,16257.5,16.1434,13.0095
instructorxl-arxiv-768,100,98.88,17551.6,17.4375,14.2774
instructorxl-arxiv-768,110,99.06,18786.3,18.6722,15.537
instructorxl-arxiv-768,120,99.23,20045.1,19.931,16.7799
instructorxl-arxiv-768,130,99.32,21317.4,21.2033,18.0492
instructorxl-arxiv-768,140,99.39,22501.2,22.3871,19.2218
instructorxl-arxiv-768,150,99.46,23733.5,23.6194,20.417
instructorxl-arxiv-768,160,99.5,24930.1,24.816,21.6136
