dataset,efsearch,recall,per_query_us,total_time,distance_time
contriever-768,5,83.625,2036.45,19.2547,17.4008
contriever-768,10,90.332,3008.88,28.979,26.0996
contriever-768,20,94.382,5148.52,50.3754,46.8553
contriever-768,30,95.974,7077.05,69.6607,65.726
contriever-768,40,96.784,8856.46,87.4547,83.2515
contriever-768,50,97.289,10543.9,104.329,99.8545
contriever-768,60,97.636,12161.8,120.508,115.795
contriever-768,70,97.876,13722.4,136.114,131.182
contriever-768,80,98.069,15245.4,151.345,146.179
contriever-768,90,98.205,16723.3,166.123,160.768
contriever-768,100,98.325,18177.2,180.662,175.076
contriever-768,110,98.421,19598.9,194.879,189.07
contriever-768,120,98.507,21002.3,208.913,202.909
contriever-768,130,98.587,22395.1,222.841,216.628
contriever-768,140,98.658,23769.2,236.582,230.161
contriever-768,150,98.723,25112.5,250.015,243.4
contriever-768,160,98.778,26446.2,263.352,256.516
contriever-768,170,98.821,27663.7,275.527,268.482
contriever-768,180,98.874,29001.3,288.903,281.63
contriever-768,190,98.918,30262.6,301.516,294.003
contriever-768,200,98.952,31502.9,313.919,306.245
contriever-768,240,99.084,36336.1,362.251,353.692
contriever-768,280,99.191,41012.2,409.012,399.579
contriever-768,320,99.27,45510.0,453.99,443.684
contriever-768,360,99.339,49928.1,498.171,486.992
contriever-768,400,99.388,54200.7,540.897,528.849
contriever-768,500,99.464,64107.6,639.966,625.882
contriever-768,600,99.524,72577.9,724.669,708.406
deep-image-96-angular,5,66.376,563.594,5.61246,3.85336
deep-image-96-angular,10,78.828,775.455,7.73107,5.467
deep-image-96-angular,20,88.081,1424.55,14.222,11.7655
deep-image-96-angular,30,91.949,1994.17,19.9182,17.2191
deep-image-96-angular,40,94.085,2273.19,22.7084,19.0974
deep-image-96-angular,50,95.376,2745.73,27.4339,23.266
deep-image-96-angular,60,96.275,3218.28,32.1593,27.8038
deep-image-96-angular,70,96.907,3673.17,36.7083,31.952
deep-image-96-angular,80,97.417,4710.81,47.0846,42.9304
deep-image-96-angular,90,97.808,4811.2,48.0886,43.8252
deep-image-96-angular,100,98.103,4950.46,49.4811,44.7868
deep-image-96-angular,110,98.347,5695.88,56.9353,51.5873
deep-image-96-angular,120,98.535,6737.55,67.352,61.5318
deep-image-96-angular,130,98.695,6638.08,66.3573,60.997
deep-image-96-angular,140,98.822,7104.78,71.0243,65.4872
deep-image-96-angular,150,98.946,8124.28,81.2193,74.4053
deep-image-96-angular,160,99.037,7967.37,79.6502,72.9633
deep-image-96-angular,170,99.106,9089.71,90.8736,84.3523
deep-image-96-angular,180,99.203,8740.01,87.3766,79.3585
deep-image-96-angular,190,99.263,10036.5,100.342,93.2632
deep-image-96-angular,200,99.311,9703.58,97.0123,89.3475
deep-image-96-angular,240,99.475,11911.5,119.092,110.945
deep-image-96-angular,280,99.587,13920.0,139.176,129.86
gist-960-euclidean,5,49.09,1631.63,1.45768,1.26993
gist-960-euclidean,10,65.11,2414.26,2.24031,2.48004
gist-960-euclidean,20,79.46,3533.4,3.35945,3.09139
gist-960-euclidean,30,86.05,5471.84,5.2979,5.03899
gist-960-euclidean,40,89.92,7217.15,7.04321,6.93342
gist-960-euclidean,50,92.47,8317.98,8.14404,7.90146
gist-960-euclidean,60,94.08,8153.18,7.97924,7.67774
gist-960-euclidean,70,95.39,9044.82,8.87088,8.45878
gist-960-euclidean,80,96.4,10052.1,9.8782,9.39699
gist-960-euclidean,90,97.17,11031.0,10.8571,10.4056
gist-960-euclidean,100,97.76,11950.2,11.7763,11.3155
gist-960-euclidean,110,98.18,12850.0,12.676,12.1343
gist-960-euclidean,120,98.56,13752.5,13.5785,13.0081
gist-960-euclidean,130,98.74,18340.5,18.1665,17.5974
gist-960-euclidean,140,98.95,19391.3,19.2174,18.7213
gist-960-euclidean,150,99.1,20434.2,20.2603,19.7483
gist-960-euclidean,160,99.23,18881.2,18.7072,18.2005
gist-960-euclidean,170,99.3,18260.3,18.0864,17.5228
gist-960-euclidean,180,99.42,19070.8,18.8968,18.2237
gist-960-euclidean,190,99.46,19895.9,19.722,19.0774
gist-960-euclidean,200,99.5,20725.1,20.5511,19.9051
glove-200-angular,5,40.861,2010.16,20.0138,19.1723
glove-200-angular,10,51.114,3810.49,38.0171,36.921
glove-200-angular,20,64.814,7332.91,73.2414,71.5822
glove-200-angular,30,73.8,10757.4,107.486,105.354
glove-200-angular,40,80.536,14168.4,141.596,138.378
glove-200-angular,50,84.991,17361.3,173.526,168.73
glove-200-angular,60,87.969,20502.2,204.934,199.291
glove-200-angular,70,89.996,23508.0,234.992,228.564
glove-200-angular,80,91.431,26411.0,264.022,256.906
glove-200-angular,90,92.303,29216.6,292.079,284.295
glove-200-angular,100,92.929,31959.5,319.507,311.047
glove-200-angular,110,93.372,34590.8,345.82,336.718
glove-200-angular,120,93.715,37092.0,370.833,361.108
glove-200-angular,130,93.983,39750.1,397.413,386.986
glove-200-angular,140,94.159,41950.0,419.412,408.453
glove-200-angular,150,94.298,44178.4,441.696,430.166
glove-200-angular,160,94.391,46417.4,464.086,452.006
glove-200-angular,170,94.473,48504.2,484.955,472.342
glove-200-angular,180,94.513,50955.3,509.465,496.23
glove-200-angular,190,94.563,53091.9,530.831,517.054
glove-200-angular,200,94.588,54994.0,549.852,535.617
glove-200-angular,240,94.642,61265.4,612.566,596.698
glove-200-angular,280,94.667,66929.6,669.209,651.898
glove-200-angular,320,94.678,71621.0,716.122,697.615
glove-200-angular,360,94.68,75060.8,750.52,731.106
instructorxl-arxiv-768,5,76.65,1735.5,1.62257,1.64306
instructorxl-arxiv-768,10,86.38,2589.64,2.4767,2.52812
instructorxl-arxiv-768,20,92.43,4114.38,4.00144,3.828
instructorxl-arxiv-768,30,94.84,5648.13,5.53519,5.56636
instructorxl-arxiv-768,40,96.19,6784.4,6.67146,6.52197
instructorxl-arxiv-768,50,97.13,8112.46,7.99952,7.72351
instructorxl-arxiv-768,60,97.6,9125.0,9.01206,8.53701
instructorxl-arxiv-768,70,98.11,10400.7,10.2877,10.1301
instructorxl-arxiv-768,80,98.41,11891.7,11.7787,11.3744
instructorxl-arxiv-768,90,98.67,12937.4,12.8244,12.4836
instructorxl-arxiv-768,100,98.88,14047.6,13.9347,13.4762
instructorxl-arxiv-768,110,99.06,15066.2,14.9533,14.3846
instructorxl-arxiv-768,120,99.23,16084.6,15.9716,15.4318
instructorxl-arxiv-768,130,99.32,16960.0,16.8471,16.1274
instructorxl-arxiv-768,140,99.39,18043.7,17.9308,17.3871
instructorxl-arxiv-768,150,99.46,19416.4,19.3035,18.8456
instructorxl-arxiv-768,160,99.5,20521.3,20.4084,19.987
msong-420,5,82.69,678.319,0.643157,0.515683
msong-420,10,93.03,1199.94,1.16477,1.04216
msong-420,20,97.86,1911.24,1.87608,2.28639
msong-420,30,98.97,2275.06,2.2399,2.11747
msong-420,40,99.53,2854.96,2.81979,2.637
openai-1536-angular,5,74.82,1814.93,1.37234,0.902133
openai-1536-angular,10,81.84,2561.23,2.11864,1.82796
openai-1536-angular,20,87.13,3423.19,2.98061,3.00481
openai-1536-angular,30,89.73,4116.95,3.67436,3.19577
openai-1536-angular,40,91.73,5058.49,4.6159,4.03021
openai-1536-angular,50,93.12,5840.59,5.39801,4.91613
openai-1536-angular,60,94.03,7122.12,6.67953,6.37735
openai-1536-angular,70,94.77,7734.47,7.29188,6.7944
openai-1536-angular,80,95.28,8521.52,8.07893,7.62081
openai-1536-angular,90,95.71,9304.25,8.86167,8.37849
openai-1536-angular,100,96.13,9970.01,9.52742,9.17193
openai-1536-angular,110,96.45,10123.8,9.68118,9.10275
openai-1536-angular,120,96.66,10762.9,10.3203,9.71389
openai-1536-angular,130,96.85,11360.6,10.918,10.2385
openai-1536-angular,140,97.1,11991.8,11.5492,10.8198
openai-1536-angular,150,97.21,13043.4,12.6008,11.857
openai-1536-angular,160,97.41,14921.5,14.4789,13.7952
