dataset,efsearch,recall,per_query_us,total_time,distance_time
glove-100-angular_100k,10,47.68,53.1187,0.047786,0.0411204
glove-100-angular_100k,20,60.98,72.6347,0.067302,0.060515
glove-100-angular_100k,30,68.52,93.2807,0.087948,0.0810171
glove-100-angular_100k,40,73.43,113.669,0.108336,0.101237
glove-100-angular_100k,50,76.76,130.9,0.125567,0.121396
glove-100-angular_100k,60,79.01,154.07,0.148737,0.141474
glove-100-angular_100k,70,80.35,171.24,0.165907,0.158586
glove-100-angular_100k,80,81.79,191.107,0.185774,0.178331
glove-100-angular_100k,90,83.1,210.56,0.205227,0.1977
glove-100-angular_100k,100,83.94,225.834,0.220501,0.212885
glove-100-angular_100k,110,84.68,238.863,0.23353,0.229734
glove-100-angular_100k,120,85.21,258.713,0.25338,0.245701
glove-100-angular_100k,130,86.04,278.078,0.272745,0.264954
glove-100-angular_100k,140,86.5,291.434,0.286101,0.278259
glove-100-angular_100k,150,87.0,307.856,0.302523,0.294674
glove-100-angular_100k,160,87.34,333.678,0.328345,0.32027
glove-100-angular_100k,170,87.57,341.791,0.336458,0.328414
glove-100-angular_100k,180,87.86,355.701,0.350368,0.342325
glove-100-angular_100k,190,88.17,377.569,0.372236,0.364112
glove-100-angular_100k,200,88.39,388.674,0.383341,0.375213
glove-100-angular_100k,240,89.37,449.432,0.444099,0.435844
glove-100-angular_100k,280,90.23,499.266,0.493933,0.489531
glove-100-angular_100k,320,90.88,563.486,0.558153,0.549735
glove-100-angular_100k,360,91.36,625.063,0.61973,0.611252
glove-100-angular_100k,400,91.81,665.497,0.660164,0.655626
glove-100-angular_100k,500,92.51,792.305,0.786972,0.778399
glove-100-angular_100k,600,93.11,907.114,0.901781,0.897175
glove-100-angular_100k,700,93.44,1036.1,1.03076,1.02212
glove-100-angular_100k,800,93.75,1146.79,1.14146,1.13283
glove-100-angular_100k,900,93.93,1242.08,1.23674,1.23213
glove-100-angular_100k,1000,94.05,1361.84,1.35651,1.3479
glove-100-angular_100k,1100,94.15,1460.09,1.45476,1.44613
glove-100-angular_100k,1200,94.33,1572.4,1.56706,1.55844
glove-100-angular_100k,1300,94.4,1641.24,1.63591,1.6313
glove-100-angular_100k,1400,94.52,1749.69,1.74436,1.73577
glove-100-angular_100k,1500,94.56,1836.58,1.83125,1.82258
glove-100-angular_100k,2000,94.91,2275.55,2.27022,2.26167
glove-100-angular_100k,2500,95.1,2685.18,2.67985,2.67127
glove-100-angular_100k,3000,95.21,3068.32,3.06299,3.05454
glove-100-angular_100k,3500,95.35,3421.92,3.41658,3.40811
glove-100-angular_100k,4000,95.49,3758.74,3.7534,3.74897
glove-100-angular_100k,6000,95.75,5065.7,5.06037,5.05202
glove-100-angular_100k,10000,95.96,7261.36,7.25603,7.24828
glove-100-angular_100k,15000,96.08,9697.61,9.69228,9.68502
glove-100-angular_100k,10,47.68,48.9083,0.044299,0.0418898
glove-100-angular_100k,20,60.98,73.1923,0.068583,0.0617401
glove-100-angular_100k,30,68.52,94.5363,0.089927,0.0829282
glove-100-angular_100k,40,73.43,114.962,0.110353,0.103245
glove-100-angular_100k,50,76.76,135.527,0.130918,0.123716
glove-100-angular_100k,60,79.01,154.763,0.150154,0.142829
glove-100-angular_100k,70,80.35,172.825,0.168216,0.160809
glove-100-angular_100k,80,81.79,196.565,0.191956,0.186378
glove-100-angular_100k,90,83.1,212.518,0.207909,0.200325
glove-100-angular_100k,100,83.94,228.13,0.223521,0.2159
glove-100-angular_100k,110,84.68,245.075,0.240466,0.23277
glove-100-angular_100k,120,85.21,263.859,0.25925,0.251449
glove-100-angular_100k,130,86.04,289.605,0.284996,0.280839
glove-100-angular_100k,140,86.5,291.9,0.287291,0.283369
glove-100-angular_100k,150,87.0,311.765,0.307156,0.299178
glove-100-angular_100k,160,87.34,329.477,0.324868,0.316836
glove-100-angular_100k,170,87.57,341.084,0.336475,0.332336
glove-100-angular_100k,180,87.86,360.467,0.355858,0.347686
glove-100-angular_100k,190,88.17,375.151,0.370542,0.364218
glove-100-angular_100k,200,88.39,390.529,0.38592,0.3797
glove-100-angular_100k,240,89.37,453.066,0.448457,0.440009
glove-100-angular_100k,280,90.23,515.615,0.511006,0.50638
glove-100-angular_100k,320,90.88,571.773,0.567164,0.558566
glove-100-angular_100k,360,91.36,622.275,0.617666,0.60908
glove-100-angular_100k,400,91.81,686.818,0.682209,0.673527
glove-100-angular_100k,500,92.51,807.602,0.802993,0.794308
glove-100-angular_100k,600,93.11,931.491,0.926882,0.922139
glove-100-angular_100k,700,93.44,1041.72,1.03711,1.02841
glove-100-angular_100k,800,93.75,1162.62,1.15801,1.14927
glove-100-angular_100k,900,93.93,1269.59,1.26498,1.26011
glove-100-angular_100k,1000,94.05,1359.93,1.35532,1.35458
glove-100-angular_100k,1100,94.15,1484.57,1.47996,1.47515
glove-100-angular_100k,1200,94.33,1587.02,1.58241,1.57363
glove-100-angular_100k,1300,94.4,1680.11,1.6755,1.66675
glove-100-angular_100k,1400,94.52,1770.18,1.76557,1.75681
glove-100-angular_100k,1500,94.56,1865.29,1.86068,1.85193
glove-100-angular_100k,2000,94.91,2297.55,2.29294,2.28422
glove-100-angular_100k,2500,95.1,2721.61,2.717,2.70824
glove-100-angular_100k,3000,95.21,3095.17,3.09056,3.08591
glove-100-angular_100k,3500,95.35,3452.61,3.448,3.44735
glove-100-angular_100k,4000,95.49,3822.22,3.81761,3.80901
glove-100-angular_100k,6000,95.75,5131.51,5.12691,5.11845
glove-100-angular_100k,10000,95.96,7350.96,7.34635,7.34228
glove-100-angular_100k,15000,96.08,9821.75,9.81714,9.81349
glove-200-angular_100k,10,61.89,65.1882,0.046126,0.0392389
glove-200-angular_100k,20,70.79,85.0462,0.065984,0.0589734
glove-200-angular_100k,30,74.99,106.101,0.087039,0.0798945
glove-200-angular_100k,40,77.07,125.588,0.106526,0.0992659
