dataset,efsearch,recall,per_query_us,total_time,distance_time
glove-100-angular_100k,5,66.6,266.789,0.261449,0.23596
glove-100-angular_100k,10,78.17,452.996,0.447656,0.4174
glove-100-angular_100k,20,87.21,778.068,0.772728,0.730942
glove-100-angular_100k,30,91.37,1054.19,1.04885,1.00062
glove-100-angular_100k,40,93.71,1307.48,1.30214,1.2511
glove-100-angular_100k,50,95.09,1534.46,1.52912,1.46928
glove-100-angular_100k,60,95.83,1743.69,1.73835,1.67263
glove-100-angular_100k,70,96.31,1926.4,1.92106,1.84861
glove-100-angular_100k,80,96.6,2094.06,2.08872,2.01417
glove-100-angular_100k,90,96.81,2255.76,2.25041,2.16567
glove-100-angular_100k,100,96.87,2408.79,2.40345,2.31124
glove-100-angular_100k,110,96.98,2529.71,2.52437,2.42742
glove-100-angular_100k,120,96.98,2640.59,2.63525,2.53198
glove-200-angular_100k,5,45.32,946.596,0.93012,0.862218
glove-200-angular_100k,10,60.12,1603.68,1.5872,1.50472
glove-200-angular_100k,20,75.75,2584.79,2.56832,2.46317
glove-200-angular_100k,30,83.68,3305.79,3.28932,3.16939
glove-200-angular_100k,40,87.27,3826.3,3.80983,3.6734
glove-200-angular_100k,50,87.84,4190.13,4.17365,4.02451
glove-200-angular_100k,60,87.88,4371.45,4.35497,4.19915
glove-200-angular_100k,70,87.89,4450.11,4.43363,4.27402
glove-200-angular_100k,80,87.89,4477.03,4.46055,4.29878
glove-200-angular_10k,5,54.59,204.715,0.188385,0.166965
glove-200-angular_10k,10,74.31,311.223,0.294893,0.277137
glove-200-angular_10k,20,86.01,445.768,0.429438,0.401973
glove-200-angular_10k,30,86.67,473.34,0.45701,0.428085
glove-200-angular_10k,40,86.7,479.71,0.46338,0.433801
glove-200-angular_10k,50,86.7,483.073,0.466743,0.436472
glove-200-angular_1k,5,89.07,82.3414,0.065925,0.0597108
glove-200-angular_1k,10,96.9,91.5854,0.075169,0.067704
glove-200-angular_1k,20,96.91,93.6724,0.077256,0.0694044
glove-200-angular_1k,30,96.91,94.3714,0.077955,0.0698409
glove-25-angular_100k,5,80.25,57.3517,0.056164,0.0508183
glove-25-angular_100k,10,90.3,99.4117,0.098224,0.09217
glove-25-angular_100k,20,96.0,181.508,0.18032,0.16721
glove-25-angular_100k,30,97.8,260.59,0.259402,0.241384
glove-25-angular_100k,40,98.66,336.384,0.335196,0.31266
glove-25-angular_100k,50,99.08,410.903,0.409715,0.383104
glove-25-angular_100k,60,99.33,483.407,0.482219,0.451591
