dataset,efsearch,recall,per_query_us,total_time,distance_time
instructorxl-arxiv-768_1000k,10,75.55,309.783,0.150833,0.127563
instructorxl-arxiv-768_1000k,20,86.66,381.887,0.222937,0.196031
instructorxl-arxiv-768_1000k,30,90.84,439.67,0.28072,0.264832
instructorxl-arxiv-768_1000k,40,93.11,495.892,0.336942,0.313051
instructorxl-arxiv-768_1000k,50,94.63,550.546,0.391596,0.374716
instructorxl-arxiv-768_1000k,60,95.49,602.313,0.443363,0.422666
instructorxl-arxiv-768_1000k,70,95.98,649.605,0.490655,0.469721
instructorxl-arxiv-768_1000k,80,96.49,697.201,0.538251,0.517145
instructorxl-arxiv-768_1000k,90,96.87,738.51,0.57956,0.548325
instructorxl-arxiv-768_1000k,100,97.19,782.184,0.623234,0.601939
instructorxl-arxiv-768_1000k,110,97.51,823.808,0.664858,0.643577
instructorxl-arxiv-768_1000k,120,97.71,865.064,0.706114,0.684732
instructorxl-arxiv-768_1000k,130,97.87,906.051,0.747101,0.729599
instructorxl-arxiv-768_1000k,140,98.03,941.418,0.782468,0.768687
instructorxl-arxiv-768_1000k,150,98.23,982.359,0.823409,0.801855
instructorxl-arxiv-768_1000k,160,98.45,1022.89,0.863941,0.83428
instructorxl-arxiv-768_1000k,170,98.53,1057.75,0.898798,0.877115
instructorxl-arxiv-768_1000k,180,98.69,1097.95,0.939001,0.909293
instructorxl-arxiv-768_1000k,190,98.76,1131.11,0.972159,0.954384
instructorxl-arxiv-768_1000k,200,98.81,1173.16,1.01421,0.984495
instructorxl-arxiv-768_1000k,240,99.02,1318.19,1.15924,1.1373
instructorxl-arxiv-768_1000k,280,99.22,1458.03,1.29908,1.2691
instructorxl-arxiv-768_1000k,320,99.27,1588.44,1.42949,1.41139
instructorxl-arxiv-768_1000k,360,99.36,1721.51,1.56256,1.53628
instructorxl-arxiv-768_1000k,400,99.4,1851.5,1.69255,1.67031
instructorxl-arxiv-768_1000k,500,99.54,2161.74,2.00279,1.97236
instructorxl-arxiv-768_100k,10,77.12,273.349,0.105098,0.09081
instructorxl-arxiv-768_100k,20,88.69,322.94,0.154689,0.139339
instructorxl-arxiv-768_100k,30,93.04,366.364,0.198113,0.182228
instructorxl-arxiv-768_100k,40,95.03,400.786,0.232535,0.21668
instructorxl-arxiv-768_100k,50,96.26,434.733,0.266482,0.250406
instructorxl-arxiv-768_100k,60,96.98,462.12,0.293869,0.281254
instructorxl-arxiv-768_100k,70,97.63,492.006,0.323755,0.311341
instructorxl-arxiv-768_100k,80,97.93,527.59,0.359339,0.342893
instructorxl-arxiv-768_100k,90,98.25,552.026,0.383775,0.370954
instructorxl-arxiv-768_100k,100,98.54,581.661,0.41341,0.396817
instructorxl-arxiv-768_100k,110,98.68,608.161,0.43991,0.423115
instructorxl-arxiv-768_100k,120,98.84,633.91,0.465659,0.448838
instructorxl-arxiv-768_100k,130,98.92,656.747,0.488496,0.471534
instructorxl-arxiv-768_100k,140,98.97,683.338,0.515087,0.497963
instructorxl-arxiv-768_100k,150,99.07,709.256,0.541005,0.523834
instructorxl-arxiv-768_100k,160,99.13,731.52,0.563269,0.546101
instructorxl-arxiv-768_100k,170,99.2,748.16,0.579909,0.56664
instructorxl-arxiv-768_100k,180,99.28,774.201,0.60595,0.588712
instructorxl-arxiv-768_100k,190,99.34,795.664,0.627413,0.610046
instructorxl-arxiv-768_100k,200,99.4,817.584,0.649333,0.631948
instructorxl-arxiv-768_100k,240,99.56,901.981,0.73373,0.716175
instructorxl-arxiv-768_10k,10,84.24,210.614,0.051104,0.0438163
instructorxl-arxiv-768_10k,20,93.58,232.1,0.07259,0.0650206
instructorxl-arxiv-768_10k,30,96.47,246.068,0.086558,0.0826272
instructorxl-arxiv-768_10k,40,97.6,267.054,0.107544,0.0997385
instructorxl-arxiv-768_10k,50,98.45,280.955,0.121445,0.113557
instructorxl-arxiv-768_10k,60,98.96,288.917,0.129407,0.125335
instructorxl-arxiv-768_10k,70,99.22,303.316,0.143806,0.135944
instructorxl-arxiv-768_10k,80,99.36,314.448,0.154938,0.147044
instructorxl-arxiv-768_10k,90,99.5,324.761,0.165251,0.157309
instructorxl-arxiv-768_1k,10,92.61,187.289,0.027829,0.0275074
instructorxl-arxiv-768_1k,20,98.08,204.521,0.045061,0.0407013
instructorxl-arxiv-768_1k,30,99.21,212.086,0.052626,0.0483654
instructorxl-arxiv-768_1k,40,99.69,218.833,0.059373,0.0550729
