dataset,efsearch,recall,per_query_us,total_time,distance_time
instructorxl-arxiv-768_1000k,5,80.61,1308.47,1.14986,1.04423
instructorxl-arxiv-768_1000k,10,89.5,1976.46,1.81785,1.7313
instructorxl-arxiv-768_1000k,20,95.2,3047.28,2.88867,2.79975
instructorxl-arxiv-768_1000k,30,97.03,3911.26,3.75265,3.68069
instructorxl-arxiv-768_1000k,40,98.02,4658.24,4.49963,4.42076
instructorxl-arxiv-768_1000k,50,98.63,5323.95,5.16534,5.06735
instructorxl-arxiv-768_1000k,60,99.07,5927.08,5.76848,5.67723
instructorxl-arxiv-768_1000k,70,99.23,6479.44,6.32084,6.21175
instructorxl-arxiv-768_1000k,80,99.46,6970.07,6.81146,6.66631
instructorxl-arxiv-768_1000k,90,99.54,7447.51,7.2889,7.10913
instructorxl-arxiv-768_100k,5,81.46,523.661,0.362575,0.322104
instructorxl-arxiv-768_100k,10,90.91,733.448,0.572362,0.529465
instructorxl-arxiv-768_100k,20,96.69,1054.81,0.893728,0.846539
instructorxl-arxiv-768_100k,30,98.3,1302.75,1.14166,1.09363
instructorxl-arxiv-768_100k,40,99.18,1510.84,1.34976,1.29464
instructorxl-arxiv-768_100k,50,99.43,1687.74,1.52666,1.46785
instructorxl-arxiv-768_100k,60,99.65,1842.89,1.68181,1.61933
instructorxl-arxiv-768_10k,5,84.78,255.654,0.095808,0.0854789
instructorxl-arxiv-768_10k,10,94.04,292.886,0.13304,0.120875
instructorxl-arxiv-768_10k,20,98.36,344.911,0.185065,0.170717
instructorxl-arxiv-768_10k,30,99.48,377.504,0.217658,0.205159
instructorxl-arxiv-768_10k,40,99.86,408.333,0.248487,0.230909
instructorxl-arxiv-768_1k,5,89.61,198.13,0.037723,0.0341607
instructorxl-arxiv-768_1k,10,97.73,209.129,0.048722,0.0445141
instructorxl-arxiv-768_1k,20,99.93,220.101,0.059694,0.0551255
