dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,10,56.68,561.149,0.421483
contriever-768,20,72.52,812.713,0.680041
contriever-768,30,79.73,1036.41,0.90321
contriever-768,40,84.02,1248.81,1.12245
contriever-768,50,85.76,1447.09,1.32761
contriever-768,60,87.66,1661.55,1.51999
contriever-768,70,88.78,1861.75,1.73514
contriever-768,80,89.59,2071.85,1.95382
contriever-768,90,90.85,2283.28,2.17648
contriever-768,100,91.34,2485.25,2.3639
contriever-768,110,91.8,2691.59,2.5833
contriever-768,120,92.04,2896.82,2.79572
contriever-768,130,92.39,3104.88,3.01104
contriever-768,140,92.88,3311.93,3.22132
contriever-768,150,93.46,3516.14,3.39189
contriever-768,160,93.68,3728.11,3.64802
contriever-768,170,93.84,3938.27,3.85343
contriever-768,180,93.92,4144.7,4.05926
contriever-768,190,94.07,4351.79,4.25854
contriever-768,200,94.12,4564.67,4.48442
contriever-768,240,94.64,5418.56,5.35626
contriever-768,280,94.89,6282.24,6.23293
contriever-768,320,95.22,7143.23,7.09321
contriever-768,360,95.37,7980.77,7.95661
contriever-768,400,95.62,8820.87,8.81907
contriever-768,500,96.07,10968.6,11.0113
contriever-768,600,96.5,13107.2,13.1787
contriever-768,700,96.81,15294.2,15.4052
contriever-768,800,96.97,17449.4,17.5966
contriever-768,900,97.17,19517.7,19.706
contriever-768,1000,97.22,21660.3,21.8846
contriever-768,1100,97.29,23806.3,24.0585
contriever-768,1200,97.32,25815.3,25.9919
contriever-768,1300,97.34,27826.9,27.6787
contriever-768,1400,97.38,29898.1,29.7193
contriever-768,1500,97.4,31939.2,31.7534
contriever-768,2000,97.55,42031.5,41.8298
contriever-768,2500,97.63,51870.2,51.6431
contriever-768,3000,97.66,61409.3,61.1487
contriever-768,3500,97.67,70761.3,70.4815
contriever-768,4000,97.73,79897.3,79.6003
deep-image-96-angular,10,39.65,94.2577,0.0821028
deep-image-96-angular,20,55.58,160.192,0.126267
deep-image-96-angular,30,64.94,206.43,0.173379
deep-image-96-angular,40,70.54,255.064,0.221445
deep-image-96-angular,50,75.19,389.524,0.355125
deep-image-96-angular,60,78.37,475.233,0.431014
deep-image-96-angular,70,80.85,543.515,0.500379
deep-image-96-angular,80,82.99,617.524,0.569915
deep-image-96-angular,90,84.56,658.465,0.676517
deep-image-96-angular,100,85.79,764.075,0.779932
deep-image-96-angular,110,86.83,791.89,0.847738
deep-image-96-angular,120,87.72,864.266,0.927198
deep-image-96-angular,130,88.78,968.612,1.02253
deep-image-96-angular,140,89.65,1031.07,1.12807
deep-image-96-angular,150,90.39,1077.99,1.23309
deep-image-96-angular,160,90.94,1172.72,1.3639
deep-image-96-angular,170,91.48,1282.97,1.65194
deep-image-96-angular,180,91.99,1322.29,1.94734
deep-image-96-angular,190,92.55,1275.73,2.11485
deep-image-96-angular,200,92.89,1286.89,2.26772
deep-image-96-angular,240,94.19,1518.82,2.65743
deep-image-96-angular,280,95.09,1576.15,1.89497
deep-image-96-angular,320,95.72,1786.74,1.98208
deep-image-96-angular,360,96.15,1981.36,2.1347
deep-image-96-angular,400,96.65,2156.28,2.27542
deep-image-96-angular,500,97.72,2605.93,2.98768
deep-image-96-angular,600,98.25,3114.11,3.36071
deep-image-96-angular,700,98.61,3547.25,3.7474
deep-image-96-angular,800,98.88,4023.95,4.17533
deep-image-96-angular,900,99.04,4537.96,4.56604
deep-image-96-angular,1000,99.2,4942.25,4.97882
deep-image-96-angular,1100,99.35,5400.33,5.39598
deep-image-96-angular,1200,99.48,5825.17,5.84064
deep-image-96-angular,1300,99.57,6264.24,6.23985
gist-960-euclidean,10,35.27,621.878,0.439686
gist-960-euclidean,20,50.0,931.746,0.754638
gist-960-euclidean,30,58.73,1208.14,1.04029
gist-960-euclidean,40,64.5,1476.02,1.3239
gist-960-euclidean,50,68.69,1725.7,1.55649
gist-960-euclidean,60,71.88,1984.03,1.83407
gist-960-euclidean,70,74.68,2240.38,2.0937
gist-960-euclidean,80,76.99,2488.1,2.34375
gist-960-euclidean,90,78.99,2737.25,2.59716
gist-960-euclidean,100,80.48,2981.61,2.84474
gist-960-euclidean,110,81.92,3224.3,3.07216
gist-960-euclidean,120,83.23,3470.69,3.33662
gist-960-euclidean,130,84.2,3711.61,3.58471
gist-960-euclidean,140,85.24,3944.24,3.81984
gist-960-euclidean,150,85.93,4183.85,4.05131
gist-960-euclidean,160,86.61,4416.5,4.29464
gist-960-euclidean,170,87.25,4643.22,4.52655
gist-960-euclidean,180,87.92,4875.07,4.74215
gist-960-euclidean,190,88.45,5082.82,4.92413
gist-960-euclidean,200,88.87,5312.17,5.14876
gist-960-euclidean,240,90.51,6192.7,6.03069
gist-960-euclidean,280,91.85,7056.63,6.86104
gist-960-euclidean,320,92.83,7903.05,7.71593
gist-960-euclidean,360,93.51,8724.84,8.53921
gist-960-euclidean,400,94.11,9543.29,9.35439
gist-960-euclidean,500,95.29,11522.9,11.3229
gist-960-euclidean,600,96.11,13423.3,13.2162
gist-960-euclidean,700,96.48,15269.7,15.0713
gist-960-euclidean,800,96.83,17059.8,16.8497
gist-960-euclidean,900,97.19,18796.9,18.5828
gist-960-euclidean,1000,97.47,20509.4,20.2876
gist-960-euclidean,1100,97.72,22176.7,21.9469
gist-960-euclidean,1200,97.95,23829.0,23.6073
gist-960-euclidean,1300,98.13,25414.4,25.1766
gist-960-euclidean,1400,98.3,26979.9,26.7346
gist-960-euclidean,1500,98.46,28523.8,28.271
gist-960-euclidean,2000,98.83,35917.4,35.6396
gist-960-euclidean,2500,99.04,42848.0,42.5368
gist-960-euclidean,3000,99.22,49420.9,49.0835
gist-960-euclidean,3500,99.34,55705.1,55.3231
gist-960-euclidean,4000,99.45,61748.1,61.3359
glove-200-angular,10,34.12,145.669,0.111999
glove-200-angular,20,46.15,214.626,0.178092
glove-200-angular,30,52.64,280.66,0.243376
glove-200-angular,40,56.62,343.334,0.312801
glove-200-angular,50,60.11,406.149,0.374613
glove-200-angular,60,62.65,468.376,0.435868
glove-200-angular,70,64.37,524.915,0.495579
glove-200-angular,80,66.02,584.483,0.554333
glove-200-angular,90,67.2,641.642,0.614474
glove-200-angular,100,68.53,708.707,0.673097
glove-200-angular,110,69.68,764.062,0.739698
glove-200-angular,120,70.57,827.084,0.797974
glove-200-angular,130,71.37,886.976,0.857106
glove-200-angular,140,72.15,946.089,0.915516
glove-200-angular,150,72.79,1005.43,0.974189
glove-200-angular,160,73.33,1066.04,1.026
glove-200-angular,170,73.88,1120.03,1.09121
glove-200-angular,180,74.32,1182.56,1.14923
glove-200-angular,190,74.79,1242.68,1.21663
glove-200-angular,200,75.3,1303.22,1.27645
glove-200-angular,240,76.91,1539.99,1.51027
glove-200-angular,280,77.78,1774.02,1.74937
glove-200-angular,320,78.73,2006.45,1.9909
glove-200-angular,360,79.46,2247.16,2.2244
glove-200-angular,400,80.06,2483.97,2.45865
glove-200-angular,500,81.52,3086.39,3.06481
glove-200-angular,600,82.3,3681.15,3.65549
glove-200-angular,700,83.2,4277.55,4.26421
glove-200-angular,800,83.98,4888.54,4.87924
glove-200-angular,900,84.54,5490.15,5.4806
glove-200-angular,1000,84.87,6090.86,6.08904
glove-200-angular,1100,85.24,6691.26,6.61322
glove-200-angular,1200,85.61,7280.97,7.17529
glove-200-angular,1300,85.89,7859.69,7.73756
glove-200-angular,1400,86.1,8430.25,8.30025
glove-200-angular,1500,86.3,9004.97,8.85829
glove-200-angular,2000,87.11,11794.6,11.6041
glove-200-angular,2500,87.71,14442.1,14.2161
glove-200-angular,3000,88.12,16951.1,16.6846
glove-200-angular,3500,88.51,19333.4,19.0174
glove-200-angular,4000,88.85,21714.6,21.3551
instructorxl-arxiv-768,10,58.0,484.518,0.322189
instructorxl-arxiv-768,20,72.89,683.716,0.519055
instructorxl-arxiv-768,30,80.11,872.819,0.71898
instructorxl-arxiv-768,40,84.8,1056.17,0.90122
instructorxl-arxiv-768,50,87.61,1236.49,1.06809
instructorxl-arxiv-768,60,89.38,1412.4,1.26746
instructorxl-arxiv-768,70,90.85,1587.63,1.43394
instructorxl-arxiv-768,80,92.07,1762.88,1.6045
instructorxl-arxiv-768,90,92.96,1942.23,1.7791
instructorxl-arxiv-768,100,93.78,2116.68,1.95686
instructorxl-arxiv-768,110,94.26,2289.49,2.13692
instructorxl-arxiv-768,120,94.73,2451.68,2.29428
instructorxl-arxiv-768,130,95.09,2629.34,2.45393
instructorxl-arxiv-768,140,95.49,2801.53,2.64687
instructorxl-arxiv-768,150,95.84,2971.12,2.79582
instructorxl-arxiv-768,160,96.13,3139.82,2.97423
instructorxl-arxiv-768,170,96.4,3304.86,3.14024
instructorxl-arxiv-768,180,96.7,3479.73,3.3104
instructorxl-arxiv-768,190,96.93,3640.82,3.48667
instructorxl-arxiv-768,200,97.09,3811.93,3.65315
instructorxl-arxiv-768,240,97.59,4470.95,4.29748
instructorxl-arxiv-768,280,98.11,5121.14,4.96092
instructorxl-arxiv-768,320,98.36,5770.76,5.60201
instructorxl-arxiv-768,360,98.6,6407.2,6.24964
instructorxl-arxiv-768,400,98.82,7039.58,6.85347
instructorxl-arxiv-768,500,99.11,8607.57,8.44226
instructorxl-arxiv-768,600,99.32,10137.1,9.96997
instructorxl-arxiv-768,700,99.52,11632.8,11.4625
msong-420,10,64.57,244.233,0.161683
msong-420,20,78.61,351.094,0.266093
msong-420,30,85.01,450.826,0.376649
msong-420,40,89.01,547.397,0.460157
msong-420,50,91.56,645.536,0.569141
msong-420,60,93.07,732.887,0.647436
msong-420,70,94.06,829.989,0.739105
msong-420,80,94.95,917.954,0.826851
msong-420,90,95.5,1007.91,0.927992
msong-420,100,95.98,1094.89,1.00112
msong-420,110,96.53,1179.45,1.09795
msong-420,120,96.95,1263.88,1.16969
msong-420,130,97.31,1349.94,1.25496
msong-420,140,97.6,1426.44,1.34668
msong-420,150,97.83,1515.48,1.4191
msong-420,160,98.03,1594.4,1.5093
msong-420,170,98.21,1675.94,1.57688
msong-420,180,98.36,1752.6,1.66613
msong-420,190,98.43,1831.32,1.73215
msong-420,200,98.58,1910.84,1.81096
msong-420,240,98.92,2214.06,2.12337
msong-420,280,99.19,2510.74,2.40534
msong-420,320,99.36,2800.31,2.69204
msong-420,360,99.43,3074.85,2.96705
msong-420,400,99.5,3351.64,3.24144
openai-1536-angular,10,57.32,805.08,0.500158
openai-1536-angular,20,72.28,1128.53,0.816037
openai-1536-angular,30,79.71,1438.08,1.12685
openai-1536-angular,40,84.26,1745.73,1.46882
openai-1536-angular,50,86.52,2043.37,1.74201
openai-1536-angular,60,88.54,2344.09,2.07749
openai-1536-angular,70,90.04,2632.29,2.36882
openai-1536-angular,80,90.95,2932.06,2.64754
openai-1536-angular,90,91.83,3223.58,2.95122
openai-1536-angular,100,92.72,3515.13,3.24479
openai-1536-angular,110,93.31,3813.77,3.54631
openai-1536-angular,120,93.92,4099.39,3.85268
openai-1536-angular,130,94.47,4396.79,4.15199
openai-1536-angular,140,94.85,4672.37,4.42915
openai-1536-angular,150,95.3,4952.02,4.70822
openai-1536-angular,160,95.73,5238.11,4.97776
openai-1536-angular,170,96.08,5517.46,5.23262
openai-1536-angular,180,96.29,5803.25,5.51786
openai-1536-angular,190,96.47,6084.1,5.79362
openai-1536-angular,200,96.67,6362.04,6.0634
openai-1536-angular,240,97.38,7479.99,7.17884
openai-1536-angular,280,97.91,8583.97,8.27268
openai-1536-angular,320,98.17,9682.68,9.38064
openai-1536-angular,360,98.44,10776.9,10.4684
openai-1536-angular,400,98.68,11869.7,11.5541
openai-1536-angular,500,99.06,14533.3,14.2182
openai-1536-angular,600,99.22,17173.5,16.8794
openai-1536-angular,700,99.33,19778.5,19.4772
openai-1536-angular,800,99.4,22336.7,22.0325
openai-1536-angular,900,99.45,24884.6,24.5771
openai-1536-angular,1000,99.55,27394.8,27.0917
sift-128-euclidean,10,65.39,94.3063,0.0710907
sift-128-euclidean,20,80.03,142.263,0.115534
sift-128-euclidean,30,86.51,187.87,0.160381
sift-128-euclidean,40,90.29,233.737,0.205304
sift-128-euclidean,50,92.46,279.54,0.250243
sift-128-euclidean,60,94.07,324.097,0.301799
sift-128-euclidean,70,95.01,369.607,0.346486
sift-128-euclidean,80,95.8,413.85,0.381825
sift-128-euclidean,90,96.27,461.208,0.432369
sift-128-euclidean,100,96.76,505.179,0.475506
sift-128-euclidean,110,97.25,553.51,0.53055
sift-128-euclidean,120,97.55,588.17,0.560708
sift-128-euclidean,130,97.78,627.492,0.603369
sift-128-euclidean,140,98.06,673.991,0.645143
sift-128-euclidean,150,98.35,719.915,0.68632
sift-128-euclidean,160,98.47,761.833,0.735493
sift-128-euclidean,170,98.63,795.769,0.768778
sift-128-euclidean,180,98.85,848.724,0.816971
sift-128-euclidean,190,98.98,882.327,0.857912
sift-128-euclidean,200,99.11,923.903,0.890795
sift-128-euclidean,240,99.33,1090.64,1.05858
sift-128-euclidean,280,99.46,1254.15,1.2232
sift-128-euclidean,320,99.58,1407.29,1.36956
