dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,10,56.68,177.477,0.132558
contriever-768,20,72.52,265.056,0.217203
contriever-768,30,79.73,344.222,0.294854
contriever-768,40,84.02,423.554,0.382827
contriever-768,50,85.76,490.564,0.438593
contriever-768,60,87.66,565.349,0.518353
contriever-768,70,88.78,637.277,0.593436
contriever-768,80,89.59,707.731,0.652669
contriever-768,90,90.85,784.435,0.734533
contriever-768,100,91.34,854.682,0.794556
contriever-768,110,91.8,927.246,0.875493
contriever-768,120,92.04,995.086,0.936441
contriever-768,130,92.39,1070.1,1.0205
contriever-768,140,92.88,1142.38,1.08789
contriever-768,150,93.46,1211.92,1.15063
contriever-768,160,93.68,1285.11,1.23608
contriever-768,170,93.84,1357.81,1.30177
contriever-768,180,93.92,1427.29,1.36358
contriever-768,190,94.07,1504.03,1.44928
contriever-768,200,94.12,1576.74,1.51722
contriever-768,240,94.64,1865.97,1.79713
contriever-768,280,94.89,2165.77,2.10337
contriever-768,320,95.22,2457.87,2.38813
contriever-768,360,95.37,2753.01,2.68379
contriever-768,400,95.62,3039.14,2.9746
contriever-768,500,96.07,3792.73,3.7016
contriever-768,600,96.5,4543.64,4.46049
contriever-768,700,96.81,5284.95,5.18763
contriever-768,800,96.97,6031.08,5.9216
contriever-768,900,97.17,6773.73,6.6599
contriever-768,1000,97.22,7516.56,7.40106
contriever-768,1100,97.29,8256.81,8.13315
contriever-768,1200,97.32,8992.1,8.86057
contriever-768,1300,97.34,9725.6,9.5856
contriever-768,1400,97.38,10457.3,10.3092
contriever-768,1500,97.4,11179.5,11.0347
contriever-768,2000,97.55,14781.2,14.5921
contriever-768,2500,97.63,18307.3,18.0801
contriever-768,3000,97.66,21753.3,21.4866
contriever-768,3500,97.67,25123.3,24.8115
contriever-768,4000,97.73,28427.3,28.0807
deep-image-96-angular,10,39.65,88.6033,0.0807766
deep-image-96-angular,20,55.58,131.4,0.112078
deep-image-96-angular,30,64.94,175.858,0.167643
deep-image-96-angular,40,70.54,208.914,0.219718
deep-image-96-angular,50,75.19,242.227,0.270704
deep-image-96-angular,60,78.37,283.907,0.316522
deep-image-96-angular,70,80.85,318.644,0.347004
deep-image-96-angular,80,82.99,355.464,0.406549
deep-image-96-angular,90,84.56,379.412,0.463865
deep-image-96-angular,100,85.79,456.058,0.550001
deep-image-96-angular,110,86.83,536.35,0.652531
deep-image-96-angular,120,87.72,552.666,0.671833
deep-image-96-angular,130,88.78,619.761,1.32334
deep-image-96-angular,140,89.65,750.693,1.99432
deep-image-96-angular,150,90.39,755.43,1.83989
deep-image-96-angular,160,90.94,610.475,0.73588
deep-image-96-angular,170,91.48,581.786,0.684422
deep-image-96-angular,180,91.99,616.812,0.710825
deep-image-96-angular,190,92.55,608.778,0.730242
deep-image-96-angular,200,92.89,691.794,0.761815
deep-image-96-angular,240,94.19,863.088,1.17313
deep-image-96-angular,280,95.09,918.41,1.20609
deep-image-96-angular,320,95.72,1045.49,1.27777
