dataset,algorithm,avg,max,min,recall,knn,n_queries,num_measure_runs,avg_all,max_all,min_all,ef_search,M,ef_construction,ivf_nprobe
nytimes-16-angular,ivf_faiss,2.3841403999733606,2.458810806274414,2.324819564819336,0.9959199999999926,10,10000,1,2.3954017639160154,16.78299903869629,2.324819564819336,0,0,0,512
nytimes-16-angular,ivf_faiss,1.177748104666563,1.230478286743164,1.1250972747802734,0.9959199999999926,10,10000,1,1.1788082838058471,2.8743743896484375,1.1150836944580078,0,0,0,256
nytimes-16-angular,ivf_faiss,1.0341328378260928,1.0821819305419922,0.9860992431640625,0.9959099999999925,10,10000,1,1.0351826429367066,3.0617713928222656,0.96893310546875,0,0,0,224
nytimes-16-angular,ivf_faiss,0.8888181237727313,0.9341239929199219,0.8437633514404297,0.9958999999999926,10,10000,1,0.8898920774459839,2.6671886444091797,0.8263587951660156,0,0,0,192
nytimes-16-angular,ivf_faiss,0.7643407124029914,0.8943080902099609,0.6914138793945312,0.9957799999999927,10,10000,1,0.7812922716140747,1.2195110321044922,0.6914138793945312,0,0,0,160
nytimes-16-angular,ivf_faiss,0.6716418757029553,0.7119178771972656,0.6318092346191406,0.9956099999999924,10,10000,1,0.672972583770752,1.9042491912841797,0.6253719329833984,0,0,0,144
nytimes-16-angular,ivf_faiss,0.5992357457748394,0.6365776062011719,0.5621910095214844,0.995389999999992,10,10000,1,0.6003842353820801,1.3344287872314453,0.5462169647216797,0,0,0,128
nytimes-16-angular,ivf_faiss,0.5260689049029746,0.5595684051513672,0.4928112030029297,0.9948499999999911,10,10000,1,0.5265426397323608,0.6022453308105469,0.48422813415527344,0,0,0,112
nytimes-16-angular,ivf_faiss,0.4587020818078145,0.4897117614746094,0.4279613494873047,0.9936199999999897,10,10000,1,0.459086012840271,0.5788803100585938,0.42057037353515625,0,0,0,96
nytimes-16-angular,ivf_faiss,0.3843850034766963,0.4115104675292969,0.3573894500732422,0.9911299999999869,10,10000,1,0.384649395942688,0.4658699035644531,0.3485679626464844,0,0,0,80
nytimes-16-angular,ivf_faiss,0.310017704939616,0.3337860107421875,0.286102294921875,0.9861099999999802,10,10000,1,0.31024017333984377,0.37670135498046875,0.2796649932861328,0,0,0,64
nytimes-16-angular,ivf_faiss,0.27304019227839416,0.2944469451904297,0.25177001953125,0.9808899999999747,10,10000,1,0.27321972846984866,0.3399848937988281,0.24366378784179688,0,0,0,56
nytimes-16-angular,ivf_faiss,0.23522099357262538,0.25463104248046875,0.21576881408691406,0.9729999999999689,10,10000,1,0.2353827476501465,0.33926963806152344,0.2048015594482422,0,0,0,48
nytimes-16-angular,ivf_faiss,0.19690085935138704,0.21409988403320312,0.17976760864257812,0.9604199999999619,10,10000,1,0.19702279567718506,0.23674964904785156,0.17142295837402344,0,0,0,40
nytimes-16-angular,ivf_faiss,0.15860927433293456,0.1742839813232422,0.1430511474609375,0.9399199999999565,10,10000,1,0.15876355171203613,0.19860267639160156,0.13208389282226562,0,0,0,32
nytimes-16-angular,ivf_faiss,0.1387199490308858,0.15306472778320312,0.12445449829101562,0.9243899999999551,10,10000,1,0.1387631893157959,0.17833709716796875,0.11134147644042969,0,0,0,28
nytimes-16-angular,ivf_faiss,0.12956540305893144,0.14328956604003906,0.11587142944335938,0.9157299999999543,10,10000,1,0.12965636253356932,0.1819133758544922,0.10466575622558594,0,0,0,26
