dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,adsampling,8.54731,12.3486,4.50474,0.990531,512,2.1,10,10000,0,1,8.451,12.35,3.28
nytimes-16-angular,adsampling,4.89817,6.26816,3.17341,0.990531,256,2.1,10,10000,0,1,4.819,6.268,1.675
nytimes-16-angular,adsampling,4.38923,5.59475,2.93081,0.990521,224,2.1,10,10000,0,1,4.316,5.595,1.472
nytimes-16-angular,adsampling,3.86153,5.04252,2.65476,0.99051,192,2.1,10,10000,0,1,3.795,5.568,1.265
nytimes-16-angular,adsampling,3.2835,4.02526,2.34069,0.990391,160,2.1,10,10000,0,1,3.224,4.025,1.055
nytimes-16-angular,adsampling,2.9966,3.72101,2.16858,0.990221,144,2.1,10,10000,0,1,2.942,3.721,0.9419
nytimes-16-angular,adsampling,2.69643,3.28971,1.98257,0.990041,128,2.1,10,10000,0,1,2.648,3.29,0.8446
nytimes-16-angular,adsampling,2.38774,2.96818,1.79457,0.989491,112,2.1,10,10000,0,1,2.344,3.225,0.7429
nytimes-16-angular,adsampling,2.08594,2.49951,1.59686,0.988261,96,2.1,10,10000,0,1,2.048,2.5,0.6364
nytimes-16-angular,adsampling,1.7688,2.08277,1.39034,0.985831,80,2.1,10,10000,0,1,1.736,2.083,0.5293
nytimes-16-angular,adsampling,1.44611,1.70701,1.16665,0.9809,64,2.1,10,10000,0,1,1.419,1.818,0.4281
nytimes-16-angular,adsampling,1.2858,1.5128,1.05226,0.975749,56,2.1,10,10000,0,1,1.262,1.54,0.3725
nytimes-16-angular,adsampling,1.11035,1.29532,0.916993,0.968068,48,2.1,10,10000,0,1,1.091,1.367,0.3196
nytimes-16-angular,adsampling,0.966898,1.13903,0.788053,0.955734,40,2.1,10,10000,0,1,0.9524,1.203,0.2747
nytimes-16-angular,adsampling,0.812303,1.02989,0.594646,0.93565,32,2.1,10,10000,0,1,0.8041,1.241,0.2106
nytimes-16-angular,adsampling,0.681879,0.795273,0.566587,0.920339,28,2.1,10,10000,0,1,0.6761,0.9884,0.1868
nytimes-16-angular,adsampling,0.619949,0.708761,0.527414,0.911817,26,2.1,10,10000,0,1,0.61,0.8264,0.1738
nytimes-16-angular,adsampling,0.573491,0.653685,0.490327,0.901195,24,2.1,10,10000,0,1,0.5643,0.7754,0.161
nytimes-16-angular,adsampling,0.524444,0.600071,0.446444,0.888733,22,2.1,10,10000,0,1,0.5166,0.7571,0.1462
nytimes-16-angular,adsampling,0.482578,0.554219,0.409124,0.874621,20,2.1,10,10000,0,1,0.476,0.6253,0.1355
nytimes-16-angular,adsampling,0.433568,0.499357,0.366657,0.857239,18,2.1,10,10000,0,1,0.428,0.6342,0.1213
nytimes-16-angular,adsampling,0.397055,0.475846,0.318903,0.837317,16,2.1,10,10000,0,1,0.3995,0.8146,0.1103
nytimes-16-angular,adsampling,0.34518,0.400602,0.28904,0.81289,14,2.1,10,10000,0,1,0.3414,0.5711,0.09706
nytimes-16-angular,adsampling,0.321216,0.404863,0.237555,0.783446,12,2.1,10,10000,0,1,0.321,0.7466,0.0862
nytimes-16-angular,adsampling,0.247625,0.291758,0.202547,0.745239,10,2.1,10,10000,0,1,0.2455,0.4033,0.07271
nytimes-16-angular,adsampling,0.215832,0.275128,0.155776,0.696594,8,2.1,10,10000,0,1,0.2145,0.4588,0.06079
nytimes-16-angular,adsampling,0.15206,0.183872,0.119905,0.634096,6,2.1,10,10000,0,1,0.151,0.213,0.04758
nytimes-16-angular,adsampling,0.101635,0.124168,0.078799,0.544446,4,2.1,10,10000,0,1,0.1008,0.1384,0.03308
