dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,bsa,8.13365,11.036,5.5931,0.96566,512,14,10,10000,0,1,8.343,21.79,5.593
nytimes-16-angular,bsa,3.59856,4.25099,3.02376,0.96566,256,14,10,10000,0,1,3.707,10.66,2.801
nytimes-16-angular,bsa,3.19993,3.96725,2.46673,0.96564,224,14,10,10000,0,1,3.267,8.036,2.467
nytimes-16-angular,bsa,2.66802,3.28779,2.14662,0.96559,192,14,10,10000,0,1,2.767,7.473,2.084
nytimes-16-angular,bsa,2.21671,2.58945,1.8832,0.96544,160,14,10,10000,0,1,2.288,4.493,1.766
nytimes-16-angular,bsa,1.96031,2.20614,1.73565,0.96522,144,14,10,10000,0,1,2.003,2.93,1.563
nytimes-16-angular,bsa,1.70978,1.93709,1.5113,0.96483,128,14,10,10000,0,1,1.748,5.73,1.405
nytimes-16-angular,bsa,1.501,1.70873,1.3079,0.96406,112,14,10,10000,0,1,1.532,2.382,1.248
nytimes-16-angular,bsa,1.27941,1.44637,1.12665,0.96263,96,14,10,10000,0,1,1.305,2.115,1.045
nytimes-16-angular,bsa,1.07647,1.2295,0.948988,0.95982,80,14,10,10000,0,1,1.097,1.691,0.8613
nytimes-16-angular,bsa,0.909346,1.13677,0.718049,0.953478,64,14,10,10000,0,1,0.9352,1.771,0.718
nytimes-16-angular,bsa,0.769741,0.915997,0.652572,0.948277,56,14,10,10000,0,1,0.7791,1.186,0.6218
nytimes-16-angular,bsa,0.64198,0.739181,0.555209,0.939795,48,14,10,10000,0,1,0.6539,1.318,0.5427
nytimes-16-angular,bsa,0.5362,0.616763,0.462922,0.925922,40,14,10,10000,0,1,0.545,0.8196,0.4629
nytimes-16-angular,bsa,0.43523,0.508891,0.371947,0.904546,32,14,10,10000,0,1,0.4418,0.7104,0.3719
nytimes-16-angular,bsa,0.375924,0.434478,0.322126,0.888663,28,14,10,10000,0,1,0.381,0.5683,0.3191
nytimes-16-angular,bsa,0.347776,0.398433,0.29855,0.879383,26,14,10,10000,0,1,0.3517,0.5102,0.2985
nytimes-16-angular,bsa,0.32788,0.40248,0.270397,0.868611,24,14,10,10000,0,1,0.3699,1.16,0.2704
nytimes-16-angular,bsa,0.301499,0.353854,0.252843,0.856179,22,14,10,10000,0,1,0.3136,0.8116,0.2528
nytimes-16-angular,bsa,0.279797,0.332863,0.234279,0.841669,20,14,10,10000,0,1,0.3,0.9474,0.2301
nytimes-16-angular,bsa,0.247312,0.300867,0.204437,0.824078,18,14,10,10000,0,1,0.2683,0.7287,0.2044
nytimes-16-angular,bsa,0.218971,0.257104,0.182191,0.803119,16,14,10,10000,0,1,0.2216,0.3727,0.182
nytimes-16-angular,bsa,0.193726,0.230626,0.157982,0.778144,14,14,10,10000,0,1,0.196,0.4427,0.1524
nytimes-16-angular,bsa,0.167386,0.201123,0.134292,0.748418,12,14,10,10000,0,1,0.1692,0.2893,0.1293
nytimes-16-angular,bsa,0.14054,0.168868,0.112542,0.709512,10,14,10,10000,0,1,0.1416,0.2228,0.1096
nytimes-16-angular,bsa,0.115601,0.141968,0.089497,0.661645,8,14,10,10000,0,1,0.117,0.3133,0.08429
nytimes-16-angular,bsa,0.0885058,0.109569,0.067703,0.599018,6,14,10,10000,0,1,0.08924,0.1621,0.06379
nytimes-16-angular,bsa,0.0617862,0.077889,0.045906,0.510029,4,14,10,10000,0,1,0.06244,0.1432,0.04147
nytimes-16-angular,bsa,0.0352112,0.045537,0.024907,0.36715,2,14,10,10000,0,1,0.03547,0.06069,0.01854
