dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,bsa,9.58095,11.7617,8.17283,0.96566,512,14,10,10000,0,1,10.05,20.54,6.106
nytimes-16-angular,bsa,4.44166,5.0099,3.94674,0.96566,256,14,10,10000,0,1,4.521,10.05,3.133
nytimes-16-angular,bsa,4.04293,5.23456,3.04489,0.96564,224,14,10,10000,0,1,4.266,10.07,2.764
nytimes-16-angular,bsa,3.40268,4.43203,2.5817,0.96559,192,14,10,10000,0,1,3.671,8.68,2.392
nytimes-16-angular,bsa,3.05558,4.16824,2.06087,0.96544,160,14,10,10000,0,1,3.187,6.485,2.061
nytimes-16-angular,bsa,2.48341,2.86882,2.15653,0.96522,144,14,10,10000,0,1,2.536,5.676,1.834
nytimes-16-angular,bsa,2.39258,3.50462,1.61257,0.96483,128,14,10,10000,0,1,2.499,7.162,1.613
nytimes-16-angular,bsa,2.15509,3.08335,1.47832,0.96406,112,14,10,10000,0,1,2.232,4.705,1.478
nytimes-16-angular,bsa,1.87204,2.77486,1.26528,0.96263,96,14,10,10000,0,1,1.948,4.192,1.265
nytimes-16-angular,bsa,1.4306,1.77457,1.11492,0.95982,80,14,10,10000,0,1,1.486,3.347,1.046
nytimes-16-angular,bsa,1.13932,1.37436,0.92149,0.953478,64,14,10,10000,0,1,1.171,3.083,0.8557
nytimes-16-angular,bsa,1.02052,1.28114,0.761474,0.948277,56,14,10,10000,0,1,1.036,1.733,0.756
nytimes-16-angular,bsa,0.856197,1.0516,0.672933,0.939795,48,14,10,10000,0,1,0.8867,1.937,0.6581
nytimes-16-angular,bsa,0.759561,1.0907,0.556469,0.925922,40,14,10,10000,0,1,0.7813,1.902,0.5565
nytimes-16-angular,bsa,0.650326,0.999862,0.43678,0.904546,32,14,10,10000,0,1,0.665,1.391,0.4368
nytimes-16-angular,bsa,0.561749,0.828793,0.382984,0.888663,28,14,10,10000,0,1,0.5664,1.012,0.383
nytimes-16-angular,bsa,0.455777,0.5566,0.362394,0.879383,26,14,10,10000,0,1,0.4676,1.035,0.3531
nytimes-16-angular,bsa,0.429782,0.542424,0.323566,0.868611,24,14,10,10000,0,1,0.4425,0.866,0.3236
nytimes-16-angular,bsa,0.437792,0.681812,0.304169,0.856179,22,14,10,10000,0,1,0.4541,0.9135,0.3042
nytimes-16-angular,bsa,0.398633,0.636115,0.286108,0.841669,20,14,10,10000,0,1,0.4053,0.8316,0.2861
nytimes-16-angular,bsa,0.321927,0.424707,0.248741,0.824078,18,14,10,10000,0,1,0.3356,0.636,0.2487
nytimes-16-angular,bsa,0.284322,0.36198,0.214946,0.803119,16,14,10,10000,0,1,0.2914,0.5951,0.2149
nytimes-16-angular,bsa,0.243019,0.323439,0.180364,0.778144,14,14,10,10000,0,1,0.251,0.5611,0.1804
nytimes-16-angular,bsa,0.205586,0.271995,0.148701,0.748418,12,14,10,10000,0,1,0.2147,0.5329,0.1487
