dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,adsampling,1.08835,1.28218,0.887237,0.9908,512,0,10,10000,0.2,1,1.074,1.473,0.49
nytimes-16-angular,adsampling,0.609425,0.695355,0.520395,0.9908,256,0,10,10000,0.2,1,0.6027,0.807,0.2678
nytimes-16-angular,adsampling,0.54415,0.619064,0.467266,0.99079,224,0,10,10000,0.2,1,0.5385,0.8718,0.2362
nytimes-16-angular,adsampling,0.47204,0.532967,0.409531,0.99078,192,0,10,10000,0.2,1,0.4669,0.6741,0.2059
nytimes-16-angular,adsampling,0.40101,0.449117,0.351355,0.99066,160,0,10,10000,0.2,1,0.3967,0.5843,0.1734
nytimes-16-angular,adsampling,0.364756,0.407513,0.321081,0.990501,144,0,10,10000,0.2,1,0.3609,0.551,0.1583
nytimes-16-angular,adsampling,0.328287,0.364719,0.290038,0.990321,128,0,10,10000,0.2,1,0.3248,0.5109,0.1416
nytimes-16-angular,adsampling,0.291044,0.322234,0.259051,0.989761,112,0,10,10000,0.2,1,0.288,0.4757,0.1246
nytimes-16-angular,adsampling,0.253007,0.278564,0.226923,0.988531,96,0,10,10000,0.2,1,0.2504,0.4391,0.1089
nytimes-16-angular,adsampling,0.215721,0.236913,0.194044,0.986071,80,0,10,10000,0.2,1,0.2139,0.399,0.09202
nytimes-16-angular,adsampling,0.176252,0.192828,0.159267,0.98113,64,0,10,10000,0.2,1,0.1747,0.3596,0.07514
nytimes-16-angular,adsampling,0.156126,0.17029,0.141658,0.975979,56,0,10,10000,0.2,1,0.1548,0.3375,0.06683
nytimes-16-angular,adsampling,0.134685,0.146868,0.122293,0.968308,48,0,10,10000,0.2,1,0.1336,0.3144,0.05778
nytimes-16-angular,adsampling,0.11362,0.125223,0.10191,0.955994,40,0,10,10000,0.2,1,0.1136,0.3467,0.04884
nytimes-16-angular,adsampling,0.0889972,0.09742,0.08047,0.935979,32,0,10,10000,0.2,1,0.08845,0.33,0.03877
nytimes-16-angular,adsampling,0.0795855,0.08977,0.070449,0.920769,28,0,10,10000,0.2,1,0.08145,0.1695,0.03415
nytimes-16-angular,adsampling,0.0729073,0.079863,0.065933,0.912257,26,0,10,10000,0.2,1,0.07256,0.108,0.03254
nytimes-16-angular,adsampling,0.0686045,0.07887,0.05985,0.901704,24,0,10,10000,0.2,1,0.07116,0.1413,0.031
nytimes-16-angular,adsampling,0.0627176,0.069164,0.056279,0.889322,22,0,10,10000,0.2,1,0.06254,0.2455,0.0276
nytimes-16-angular,adsampling,0.0572342,0.06322,0.051255,0.875251,20,0,10,10000,0.2,1,0.05713,0.09223,0.02562
nytimes-16-angular,adsampling,0.0540438,0.061224,0.046952,0.857889,18,0,10,10000,0.2,1,0.05416,0.0912,0.0247
nytimes-16-angular,adsampling,0.0478902,0.053926,0.041915,0.837998,16,0,10,10000,0.2,1,0.04795,0.241,0.02212
nytimes-16-angular,adsampling,0.042406,0.048098,0.03675,0.81363,14,0,10,10000,0.2,1,0.04245,0.09055,0.01989
nytimes-16-angular,adsampling,0.0363578,0.040886,0.031808,0.784166,12,0,10,10000,0.2,1,0.03628,0.06286,0.01751
nytimes-16-angular,adsampling,0.0308943,0.035076,0.026724,0.745899,10,0,10,10000,0.2,1,0.03088,0.06957,0.0148
nytimes-16-angular,adsampling,0.0256257,0.029321,0.021939,0.697304,8,0,10,10000,0.2,1,0.02566,0.05442,0.01283
nytimes-16-angular,adsampling,0.020348,0.023503,0.017224,0.634836,6,0,10,10000,0.2,1,0.02039,0.05876,0.01057
nytimes-16-angular,adsampling,0.0149025,0.017442,0.012354,0.545226,4,0,10,10000,0.2,1,0.01495,0.03741,0.0082
nytimes-16-angular,adsampling,0.00948989,0.011417,0.00756,0.403381,2,0,10,10000,0.2,1,0.009541,0.03653,0.005174
glove-50-angular,adsampling,6.81438,11.8641,1.40257,0.99915,512,0,10,10000,0.2,1,6.814,11.86,1.403
glove-50-angular,adsampling,3.83459,6.05161,1.17902,0.994439,256,0,10,10000,0.2,1,3.819,7.69,0.7505
glove-50-angular,adsampling,3.41296,5.55675,1.13436,0.992739,224,0,10,10000,0.2,1,3.396,5.557,0.7132
glove-50-angular,adsampling,3.03302,4.76747,1.09251,0.990389,192,0,10,10000,0.2,1,3.009,4.767,0.5873
glove-50-angular,adsampling,2.58787,4.19588,0.981223,0.986529,160,0,10,10000,0.2,1,2.563,4.196,0.5066
glove-50-angular,adsampling,2.35963,3.74533,0.916716,0.983818,144,0,10,10000,0.2,1,2.336,4.818,0.457
glove-50-angular,adsampling,2.09925,3.35604,0.825495,0.980678,128,0,10,10000,0.2,1,2.078,3.356,0.4142
glove-50-angular,adsampling,1.86314,2.99633,0.747204,0.976487,112,0,10,10000,0.2,1,1.844,3.774,0.3698
glove-50-angular,adsampling,1.61483,2.57071,0.658764,0.970737,96,0,10,10000,0.2,1,1.598,3.546,0.319
glove-50-angular,adsampling,1.37861,2.18794,0.568474,0.963256,80,0,10,10000,0.2,1,1.365,2.251,0.2846
glove-50-angular,adsampling,1.12748,1.79838,0.464235,0.952176,64,0,10,10000,0.2,1,1.118,2.565,0.2478
glove-50-angular,adsampling,1.00205,1.59014,0.414263,0.944846,56,0,10,10000,0.2,1,0.9938,2.128,0.2275
glove-50-angular,adsampling,0.867201,1.39085,0.348752,0.935505,48,0,10,10000,0.2,1,0.8615,1.527,0.1896
glove-50-angular,adsampling,0.731316,1.1735,0.287331,0.922795,40,0,10,10000,0.2,1,0.7284,1.811,0.1675
glove-50-angular,adsampling,0.598054,0.97452,0.223342,0.905765,32,0,10,10000,0.2,1,0.5958,1.044,0.1418
glove-50-angular,adsampling,0.529851,0.864758,0.197374,0.894663,28,0,10,10000,0.2,1,0.5284,0.9493,0.1299
glove-50-angular,adsampling,0.495421,0.808198,0.183842,0.887783,26,0,10,10000,0.2,1,0.4944,0.9022,0.1279
glove-50-angular,adsampling,0.466163,0.765481,0.169151,0.879811,24,0,10,10000,0.2,1,0.4656,0.8556,0.1188
glove-50-angular,adsampling,0.426146,0.702298,0.15379,0.871001,22,0,10,10000,0.2,1,0.4263,1.154,0.1127
glove-50-angular,adsampling,0.390415,0.642591,0.139035,0.86036,20,0,10,10000,0.2,1,0.3906,0.7701,0.1066
glove-50-angular,adsampling,0.351711,0.581264,0.123942,0.848839,18,0,10,10000,0.2,1,0.3518,0.6644,0.09863
glove-50-angular,adsampling,0.318159,0.5297,0.107785,0.835358,16,0,10,10000,0.2,1,0.3187,0.6696,0.08955
glove-50-angular,adsampling,0.283593,0.474179,0.093267,0.819517,14,0,10,10000,0.2,1,0.2843,0.5282,0.08899
glove-50-angular,adsampling,0.249077,0.419154,0.078144,0.799488,12,0,10,10000,0.2,1,0.25,0.4869,0.07814
glove-50-angular,adsampling,0.212842,0.359138,0.066066,0.774549,10,0,10,10000,0.2,1,0.2138,0.4235,0.06607
glove-50-angular,adsampling,0.175299,0.298169,0.052071,0.741322,8,0,10,10000,0.2,1,0.1761,0.3428,0.05207
glove-50-angular,adsampling,0.137445,0.235077,0.041638,0.696274,6,0,10,10000,0.2,1,0.1385,0.2896,0.04164
glove-50-angular,adsampling,0.0971849,0.169402,0.027264,0.626568,4,0,10,10000,0.2,1,0.09789,0.2101,0.02726
glove-50-angular,adsampling,0.0566739,0.10026,0.01995,0.495222,2,0,10,10000,0.2,1,0.05744,0.1288,0.01995
deep-image-96-angular,adsampling,6.57273,13.6975,1.30747,0.99866,512,0,10,10000,0.2,1,6.743,28.22,1.307
deep-image-96-angular,adsampling,4.05209,8.09755,0.786755,0.99555,256,0,10,10000,0.2,1,4.153,22.58,0.7868
deep-image-96-angular,adsampling,3.70045,7.25228,0.736074,0.99426,224,0,10,10000,0.2,1,3.724,19.23,0.7361
deep-image-96-angular,adsampling,3.31277,6.41678,0.671548,0.99245,192,0,10,10000,0.2,1,3.335,20.42,0.6715
deep-image-96-angular,adsampling,2.93805,5.60575,0.605744,0.990049,160,0,10,10000,0.2,1,2.959,19.64,0.6057
deep-image-96-angular,adsampling,2.71652,5.1366,0.566161,0.988249,144,0,10,10000,0.2,1,2.737,18.85,0.5662
deep-image-96-angular,adsampling,2.50844,4.70071,0.53644,0.985829,128,0,10,10000,0.2,1,2.528,17.46,0.5364
deep-image-96-angular,adsampling,2.29179,4.24206,0.506728,0.983119,112,0,10,10000,0.2,1,2.312,19.04,0.5067
deep-image-96-angular,adsampling,2.06591,3.75879,0.473602,0.979039,96,0,10,10000,0.2,1,2.086,17.73,0.4736
deep-image-96-angular,adsampling,1.81495,3.24362,0.43912,0.973118,80,0,10,10000,0.2,1,1.835,16.53,0.4391
deep-image-96-angular,adsampling,1.52526,2.66293,0.418544,0.964808,64,0,10,10000,0.2,1,1.546,16.14,0.3851
deep-image-96-angular,adsampling,1.39576,2.3948,0.418714,0.958977,56,0,10,10000,0.2,1,1.414,16.09,0.3679
deep-image-96-angular,adsampling,1.26163,2.1344,0.409083,0.950906,48,0,10,10000,0.2,1,1.278,15.95,0.3496
deep-image-96-angular,adsampling,1.12057,1.85522,0.403927,0.940175,40,0,10,10000,0.2,1,1.137,15.8,0.3308
deep-image-96-angular,adsampling,0.972207,1.57453,0.383537,0.924114,32,0,10,10000,0.2,1,0.9864,15.89,0.3139
deep-image-96-angular,adsampling,0.894455,1.42838,0.369505,0.912893,28,0,10,10000,0.2,1,0.9084,15.51,0.3054
