dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,bsa-pdx,1.94082,1.99086,1.8941,0.99059,512,14,10,10000,0.2,1,1.945,2.214,1.635
nytimes-16-angular,bsa-pdx,0.974932,1.01758,0.933232,0.99059,256,14,10,10000,0.2,1,0.9766,1.11,0.8338
nytimes-16-angular,bsa-pdx,0.854432,0.894227,0.815623,0.99057,224,14,10,10000,0.2,1,0.8558,1.036,0.7256
nytimes-16-angular,bsa-pdx,0.734858,0.772052,0.698463,0.99052,192,14,10,10000,0.2,1,0.7363,0.9111,0.6416
nytimes-16-angular,bsa-pdx,0.615191,0.649416,0.581274,0.9904,160,14,10,10000,0.2,1,0.6165,0.8115,0.5367
nytimes-16-angular,bsa-pdx,0.554599,0.58688,0.522697,0.99018,144,14,10,10000,0.2,1,0.5558,0.7283,0.4673
nytimes-16-angular,bsa-pdx,0.494034,0.522955,0.465431,0.98981,128,14,10,10000,0.2,1,0.4952,0.6201,0.4298
nytimes-16-angular,bsa-pdx,0.433828,0.461107,0.406844,0.989031,112,14,10,10000,0.2,1,0.4349,0.6106,0.3804
nytimes-16-angular,bsa-pdx,0.373515,0.398171,0.349152,0.987591,96,14,10,10000,0.2,1,0.3744,0.4928,0.3288
nytimes-16-angular,bsa-pdx,0.312152,0.333981,0.290523,0.984751,80,14,10,10000,0.2,1,0.313,0.5326,0.2762
nytimes-16-angular,bsa-pdx,0.251431,0.270931,0.232167,0.978339,64,14,10,10000,0.2,1,0.2522,0.3595,0.2213
nytimes-16-angular,bsa-pdx,0.221263,0.23882,0.203977,0.973178,56,14,10,10000,0.2,1,0.222,0.3198,0.195
nytimes-16-angular,bsa-pdx,0.190221,0.206416,0.174256,0.964676,48,14,10,10000,0.2,1,0.1909,0.2739,0.1674
nytimes-16-angular,bsa-pdx,0.159164,0.173641,0.144927,0.950713,40,14,10,10000,0.2,1,0.1597,0.2324,0.1389
nytimes-16-angular,bsa-pdx,0.128006,0.140192,0.116063,0.929328,32,14,10,10000,0.2,1,0.1285,0.1905,0.1102
