dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,pdx-bond-dec,1.01968,1.3654,0.676309,0.9908,512,0,10,10000,0.2,1,1.013,1.39,0.5413
nytimes-16-angular,pdx-bond-dec,0.576383,0.679377,0.47001,0.9908,256,0,10,10000,0.2,1,0.5692,0.7701,0.2895
nytimes-16-angular,pdx-bond-dec,0.512495,0.595383,0.42641,0.99079,224,0,10,10000,0.2,1,0.5062,0.719,0.2537
nytimes-16-angular,pdx-bond-dec,0.446629,0.511763,0.379023,0.99078,192,0,10,10000,0.2,1,0.4415,0.6654,0.22
nytimes-16-angular,pdx-bond-dec,0.379853,0.431344,0.326619,0.99066,160,0,10,10000,0.2,1,0.3759,0.5531,0.188
nytimes-16-angular,pdx-bond-dec,0.345218,0.388847,0.300264,0.990501,144,0,10,10000,0.2,1,0.3418,0.5228,0.171
nytimes-16-angular,pdx-bond-dec,0.30949,0.347566,0.2703,0.990321,128,0,10,10000,0.2,1,0.3068,0.5468,0.153
nytimes-16-angular,pdx-bond-dec,0.274772,0.307625,0.241132,0.989761,112,0,10,10000,0.2,1,0.2725,0.4653,0.135
nytimes-16-angular,pdx-bond-dec,0.238447,0.26654,0.209571,0.988531,96,0,10,10000,0.2,1,0.2366,0.4498,0.1155
nytimes-16-angular,pdx-bond-dec,0.2016,0.225185,0.177591,0.986071,80,0,10,10000,0.2,1,0.2003,0.3879,0.09865
nytimes-16-angular,pdx-bond-dec,0.164503,0.18429,0.144266,0.98113,64,0,10,10000,0.2,1,0.1635,0.3645,0.07825
nytimes-16-angular,pdx-bond-dec,0.14534,0.16309,0.127119,0.975979,56,0,10,10000,0.2,1,0.1445,0.3255,0.07001
nytimes-16-angular,pdx-bond-dec,0.125974,0.141395,0.110193,0.968308,48,0,10,10000,0.2,1,0.1253,0.3106,0.06077
nytimes-16-angular,pdx-bond-dec,0.106303,0.119728,0.092767,0.955994,40,0,10,10000,0.2,1,0.1057,0.2791,0.05149
nytimes-16-angular,pdx-bond-dec,0.0868466,0.098399,0.075055,0.935979,32,0,10,10000,0.2,1,0.08638,0.2644,0.04202
nytimes-16-angular,pdx-bond-dec,0.0768759,0.087196,0.06638,0.920769,28,0,10,10000,0.2,1,0.07648,0.2482,0.03703
nytimes-16-angular,pdx-bond-dec,0.0719786,0.081741,0.062043,0.912257,26,0,10,10000,0.2,1,0.0716,0.2397,0.03435
nytimes-16-angular,pdx-bond-dec,0.0671282,0.076488,0.05765,0.901704,24,0,10,10000,0.2,1,0.06679,0.2448,0.03208
nytimes-16-angular,pdx-bond-dec,0.0620319,0.0707,0.053276,0.889322,22,0,10,10000,0.2,1,0.06171,0.09409,0.02938
nytimes-16-angular,pdx-bond-dec,0.0571302,0.065264,0.048749,0.875251,20,0,10,10000,0.2,1,0.05683,0.08328,0.02669
nytimes-16-angular,pdx-bond-dec,0.0519811,0.059646,0.044279,0.857889,18,0,10,10000,0.2,1,0.0518,0.1035,0.02508
nytimes-16-angular,pdx-bond-dec,0.0468915,0.053893,0.039875,0.837998,16,0,10,10000,0.2,1,0.04671,0.09971,0.02239
nytimes-16-angular,pdx-bond-dec,0.0418797,0.048262,0.035472,0.81363,14,0,10,10000,0.2,1,0.0417,0.07224,0.02029
nytimes-16-angular,pdx-bond-dec,0.0369434,0.042672,0.031141,0.784166,12,0,10,10000,0.2,1,0.03679,0.2152,0.01872
nytimes-16-angular,pdx-bond-dec,0.0316398,0.036714,0.026516,0.745899,10,0,10,10000,0.2,1,0.03152,0.05042,0.01567
nytimes-16-angular,pdx-bond-dec,0.0263662,0.03075,0.021972,0.697304,8,0,10,10000,0.2,1,0.02626,0.04184,0.0129
nytimes-16-angular,pdx-bond-dec,0.0210681,0.024629,0.017437,0.634836,6,0,10,10000,0.2,1,0.021,0.06855,0.009944
nytimes-16-angular,pdx-bond-dec,0.0156469,0.018503,0.012763,0.545226,4,0,10,10000,0.2,1,0.01562,0.04295,0.007773
nytimes-16-angular,pdx-bond-dec,0.00980659,0.011763,0.007843,0.403381,2,0,10,10000,0.2,1,0.009826,0.06055,0.004757
glove-50-angular,pdx-bond-dec,6.75289,11.2166,2.23695,0.99919,512,0,10,10000,0.2,1,6.73,11.22,1.431
glove-50-angular,pdx-bond-dec,3.83082,5.87275,1.76861,0.994479,256,0,10,10000,0.2,1,3.791,6.904,0.7369
glove-50-angular,pdx-bond-dec,3.40804,5.2238,1.621,0.992779,224,0,10,10000,0.2,1,3.367,6.439,0.6556
glove-50-angular,pdx-bond-dec,2.96774,4.29056,1.45717,0.990429,192,0,10,10000,0.2,1,2.929,5.793,0.5664
glove-50-angular,pdx-bond-dec,2.51427,3.65014,1.25587,0.986559,160,0,10,10000,0.2,1,2.481,5.17,0.4842
glove-50-angular,pdx-bond-dec,2.29063,3.33321,1.14958,0.983838,144,0,10,10000,0.2,1,2.262,5.173,0.4437
glove-50-angular,pdx-bond-dec,2.0454,3.02647,1.03166,0.980698,128,0,10,10000,0.2,1,2.022,4.459,0.3948
glove-50-angular,pdx-bond-dec,1.82333,2.69988,0.922835,0.976507,112,0,10,10000,0.2,1,1.803,4.348,0.353
glove-50-angular,pdx-bond-dec,1.58071,2.37041,0.796319,0.970757,96,0,10,10000,0.2,1,1.565,4.101,0.3144
glove-50-angular,pdx-bond-dec,1.32537,1.97704,0.655424,0.963266,80,0,10,10000,0.2,1,1.316,3.658,0.2653
glove-50-angular,pdx-bond-dec,1.07788,1.62749,0.531801,0.952186,64,0,10,10000,0.2,1,1.072,3.222,0.2244
glove-50-angular,pdx-bond-dec,0.953069,1.44775,0.463584,0.944856,56,0,10,10000,0.2,1,0.9486,3.165,0.2065
glove-50-angular,pdx-bond-dec,0.830464,1.2683,0.391076,0.935515,48,0,10,10000,0.2,1,0.8274,2.95,0.192
glove-50-angular,pdx-bond-dec,0.701914,1.08013,0.32348,0.922805,40,0,10,10000,0.2,1,0.7001,2.921,0.1678
glove-50-angular,pdx-bond-dec,0.57626,0.894934,0.258753,0.905775,32,0,10,10000,0.2,1,0.5755,2.774,0.143
glove-50-angular,pdx-bond-dec,0.510789,0.796843,0.224505,0.894673,28,0,10,10000,0.2,1,0.5104,2.584,0.1313
glove-50-angular,pdx-bond-dec,0.477831,0.744807,0.208098,0.887793,26,0,10,10000,0.2,1,0.4778,2.554,0.1282
glove-50-angular,pdx-bond-dec,0.441303,0.696096,0.18611,0.879821,24,0,10,10000,0.2,1,0.4413,2.507,0.122
glove-50-angular,pdx-bond-dec,0.411327,0.650317,0.1737,0.871011,22,0,10,10000,0.2,1,0.4116,2.345,0.1145
glove-50-angular,pdx-bond-dec,0.377999,0.600992,0.154559,0.86036,20,0,10,10000,0.2,1,0.3785,2.43,0.1091
glove-50-angular,pdx-bond-dec,0.344052,0.548089,0.139042,0.848839,18,0,10,10000,0.2,1,0.3448,2.443,0.1008
glove-50-angular,pdx-bond-dec,0.310171,0.497986,0.12215,0.835358,16,0,10,10000,0.2,1,0.3109,2.351,0.09297
glove-50-angular,pdx-bond-dec,0.276023,0.444267,0.107555,0.819517,14,0,10,10000,0.2,1,0.277,2.299,0.08651
glove-50-angular,pdx-bond-dec,0.241252,0.393854,0.08866,0.799488,12,0,10,10000,0.2,1,0.2419,2.228,0.07956
glove-50-angular,pdx-bond-dec,0.205232,0.337609,0.072196,0.774549,10,0,10,10000,0.2,1,0.2061,2.159,0.07128
glove-50-angular,pdx-bond-dec,0.171333,0.283908,0.059893,0.741322,8,0,10,10000,0.2,1,0.1723,2.111,0.05379
glove-50-angular,pdx-bond-dec,0.134804,0.226203,0.042837,0.696274,6,0,10,10000,0.2,1,0.1359,2.113,0.04284
glove-50-angular,pdx-bond-dec,0.0968213,0.164957,0.02822,0.626568,4,0,10,10000,0.2,1,0.09748,0.2025,0.02822
glove-50-angular,pdx-bond-dec,0.0571705,0.099265,0.022068,0.495162,2,0,10,10000,0.2,1,0.05805,2.012,0.02207
deep-image-96-angular,pdx-bond-dec,9.10266,15.7525,2.50623,0.99875,512,0,10,10000,0.2,1,9.317,29.64,1.387
deep-image-96-angular,pdx-bond-dec,5.39993,9.03644,1.81425,0.99564,256,0,10,10000,0.2,1,5.461,23.6,0.8557
deep-image-96-angular,pdx-bond-dec,4.87057,8.09014,1.66874,0.99435,224,0,10,10000,0.2,1,4.926,21.73,0.7796
deep-image-96-angular,pdx-bond-dec,4.31646,7.13873,1.53127,0.99254,192,0,10,10000,0.2,1,4.365,21.01,0.7098
deep-image-96-angular,pdx-bond-dec,3.71584,6.12876,1.32852,0.990139,160,0,10,10000,0.2,1,3.765,20.21,0.6234
deep-image-96-angular,pdx-bond-dec,3.42206,5.61376,1.24627,0.988339,144,0,10,10000,0.2,1,3.468,19.45,0.5856
deep-image-96-angular,pdx-bond-dec,3.12311,5.08738,1.168,0.98592,128,0,10,10000,0.2,1,3.167,19.28,0.5561
deep-image-96-angular,pdx-bond-dec,2.81927,4.57598,1.06113,0.98321,112,0,10,10000,0.2,1,2.861,18.59,0.5205
deep-image-96-angular,pdx-bond-dec,2.50297,4.02114,0.974502,0.979129,96,0,10,10000,0.2,1,2.544,18.03,0.4833
deep-image-96-angular,pdx-bond-dec,2.17673,3.48284,0.870551,0.973208,80,0,10,10000,0.2,1,2.218,17.26,0.4499
deep-image-96-angular,pdx-bond-dec,1.83742,2.92174,0.74615,0.964888,64,0,10,10000,0.2,1,1.876,17.31,0.4041
deep-image-96-angular,pdx-bond-dec,1.66438,2.62274,0.697636,0.959057,56,0,10,10000,0.2,1,1.702,16.77,0.3845
deep-image-96-angular,pdx-bond-dec,1.48562,2.34,0.628374,0.950966,48,0,10,10000,0.2,1,1.52,16.19,0.367
deep-image-96-angular,pdx-bond-dec,1.30103,2.03087,0.56914,0.940235,40,0,10,10000,0.2,1,1.334,16.63,0.348
deep-image-96-angular,pdx-bond-dec,1.11101,1.71803,0.502405,0.924155,32,0,10,10000,0.2,1,1.138,15.7,0.3289
deep-image-96-angular,pdx-bond-dec,1.01308,1.5529,0.47372,0.912933,28,0,10,10000,0.2,1,1.038,16.1,0.3246
deep-image-96-angular,pdx-bond-dec,0.964405,1.47412,0.452336,0.905983,26,0,10,10000,0.2,1,0.9874,16.02,0.3169
deep-image-96-angular,pdx-bond-dec,0.914638,1.39005,0.43994,0.898412,24,0,10,10000,0.2,1,0.9347,15.48,0.3103
deep-image-96-angular,pdx-bond-dec,0.863809,1.30691,0.418708,0.889653,22,0,10,10000,0.2,1,0.8824,15.57,0.3045
deep-image-96-angular,pdx-bond-dec,0.813124,1.22727,0.398118,0.879361,20,0,10,10000,0.2,1,0.8312,15.64,0.2999
deep-image-96-angular,pdx-bond-dec,0.760824,1.14399,0.376756,0.86707,18,0,10,10000,0.2,1,0.7774,15.29,0.2975
deep-image-96-angular,pdx-bond-dec,0.707501,1.05404,0.359457,0.8519,16,0,10,10000,0.2,1,0.7243,15.19,0.2916
deep-image-96-angular,pdx-bond-dec,0.653813,0.969521,0.337833,0.834939,14,0,10,10000,0.2,1,0.6704,15.5,0.2877
deep-image-96-angular,pdx-bond-dec,0.598866,0.875732,0.321893,0.812658,12,0,10,10000,0.2,1,0.6122,15.15,0.2822
deep-image-96-angular,pdx-bond-dec,0.542898,0.781798,0.302925,0.784699,10,0,10,10000,0.2,1,0.556,15.39,0.2774
deep-image-96-angular,pdx-bond-dec,0.485239,0.68415,0.284331,0.74801,8,0,10,10000,0.2,1,0.4977,15.07,0.2709
deep-image-96-angular,pdx-bond-dec,0.425446,0.582422,0.267621,0.696853,6,0,10,10000,0.2,1,0.4359,15.14,0.2675
deep-image-96-angular,pdx-bond-dec,0.36426,0.479075,0.257768,0.615455,4,0,10,10000,0.2,1,0.373,14.86,0.2578
deep-image-96-angular,pdx-bond-dec,0.298394,0.365725,0.24263,0.466601,2,0,10,10000,0.2,1,0.3044,14.8,0.2426
sift-128-euclidean,pdx-bond-dec,3.59365,6.52394,0.862236,0.99938,512,0,10,10000,0.2,1,3.615,10.04,0.8622
sift-128-euclidean,pdx-bond-dec,2.17458,3.7034,0.623764,0.9993,256,0,10,10000,0.2,1,2.189,6.705,0.5091
sift-128-euclidean,pdx-bond-dec,1.96706,3.34276,0.600566,0.99922,224,0,10,10000,0.2,1,1.978,6.292,0.4592
sift-128-euclidean,pdx-bond-dec,1.74859,2.93785,0.578265,0.99902,192,0,10,10000,0.2,1,1.758,6.006,0.4053
sift-128-euclidean,pdx-bond-dec,1.52154,2.48838,0.547287,0.99856,160,0,10,10000,0.2,1,1.528,5.795,0.3522
sift-128-euclidean,pdx-bond-dec,1.40412,2.30963,0.526616,0.9981,144,0,10,10000,0.2,1,1.41,5.626,0.3285
sift-128-euclidean,pdx-bond-dec,1.28308,2.083,0.497691,0.99725,128,0,10,10000,0.2,1,1.287,5.369,0.299
sift-128-euclidean,pdx-bond-dec,1.15926,1.8512,0.471834,0.996221,112,0,10,10000,0.2,1,1.161,5.152,0.2708
sift-128-euclidean,pdx-bond-dec,1.03098,1.61796,0.44044,0.99466,96,0,10,10000,0.2,1,1.031,4.93,0.249
sift-128-euclidean,pdx-bond-dec,0.897604,1.39746,0.400717,0.99205,80,0,10,10000,0.2,1,0.8975,4.689,0.2192
sift-128-euclidean,pdx-bond-dec,0.758338,1.16413,0.356768,0.987069,64,0,10,10000,0.2,1,0.7575,4.364,0.1931
sift-128-euclidean,pdx-bond-dec,0.686549,1.04066,0.332357,0.98311,56,0,10,10000,0.2,1,0.686,4.444,0.1789
sift-128-euclidean,pdx-bond-dec,0.613757,0.920112,0.306239,0.977429,48,0,10,10000,0.2,1,0.6131,4.266,0.1702
sift-128-euclidean,pdx-bond-dec,0.535521,0.793164,0.277618,0.96884,40,0,10,10000,0.2,1,0.5349,4.168,0.1597
sift-128-euclidean,pdx-bond-dec,0.458252,0.671888,0.245846,0.955307,32,0,10,10000,0.2,1,0.4586,4.068,0.1448
sift-128-euclidean,pdx-bond-dec,0.416877,0.60553,0.228688,0.945665,28,0,10,10000,0.2,1,0.4174,3.951,0.14
sift-128-euclidean,pdx-bond-dec,0.395625,0.571602,0.219927,0.939125,26,0,10,10000,0.2,1,0.3966,3.98,0.1368
