dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,pdx-bond-decimpr,0.904831,1.16329,0.605589,0.9908,512,0,10,10000,0.2,1,0.8991,1.163,0.5045
nytimes-16-angular,pdx-bond-decimpr,0.515769,0.604252,0.422863,0.9908,256,0,10,10000,0.2,1,0.5092,0.6951,0.2715
nytimes-16-angular,pdx-bond-decimpr,0.459546,0.532489,0.383635,0.99079,224,0,10,10000,0.2,1,0.4535,0.5629,0.2398
nytimes-16-angular,pdx-bond-decimpr,0.400741,0.457109,0.342445,0.99078,192,0,10,10000,0.2,1,0.3954,0.4809,0.2078
nytimes-16-angular,pdx-bond-decimpr,0.341099,0.383135,0.297606,0.99066,160,0,10,10000,0.2,1,0.3367,0.4049,0.1754
nytimes-16-angular,pdx-bond-decimpr,0.309968,0.345107,0.272563,0.990501,144,0,10,10000,0.2,1,0.306,0.4809,0.1591
nytimes-16-angular,pdx-bond-decimpr,0.278354,0.30859,0.246531,0.990321,128,0,10,10000,0.2,1,0.275,0.3368,0.1435
nytimes-16-angular,pdx-bond-decimpr,0.246925,0.272687,0.220151,0.989761,112,0,10,10000,0.2,1,0.2441,0.2917,0.1275
nytimes-16-angular,pdx-bond-decimpr,0.214476,0.235912,0.192358,0.988531,96,0,10,10000,0.2,1,0.2123,0.3961,0.1096
nytimes-16-angular,pdx-bond-decimpr,0.18158,0.199532,0.163088,0.986071,80,0,10,10000,0.2,1,0.1799,0.2298,0.09327
nytimes-16-angular,pdx-bond-decimpr,0.148236,0.16294,0.133096,0.98113,64,0,10,10000,0.2,1,0.147,0.1867,0.07539
nytimes-16-angular,pdx-bond-decimpr,0.131464,0.144943,0.117715,0.975979,56,0,10,10000,0.2,1,0.1305,0.1657,0.0673
nytimes-16-angular,pdx-bond-decimpr,0.113574,0.125195,0.101756,0.968308,48,0,10,10000,0.2,1,0.1128,0.1675,0.05758
