dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,pdx-bond-dtm,0.783828,0.989871,0.572463,0.9908,512,0,10,10000,0.2,1,0.78,1.086,0.5196
nytimes-16-angular,pdx-bond-dtm,0.470464,0.58386,0.354857,0.9908,256,0,10,10000,0.2,1,0.4666,0.6712,0.2763
nytimes-16-angular,pdx-bond-dtm,0.423364,0.519272,0.324292,0.99079,224,0,10,10000,0.2,1,0.4196,0.6379,0.2447
nytimes-16-angular,pdx-bond-dtm,0.37325,0.451857,0.292215,0.99078,192,0,10,10000,0.2,1,0.3696,0.5639,0.2115
nytimes-16-angular,pdx-bond-dtm,0.321899,0.381466,0.25715,0.99066,160,0,10,10000,0.2,1,0.3186,0.5124,0.1773
nytimes-16-angular,pdx-bond-dtm,0.294505,0.347286,0.238102,0.990501,144,0,10,10000,0.2,1,0.2914,0.5048,0.1616
nytimes-16-angular,pdx-bond-dtm,0.265932,0.312187,0.217724,0.990321,128,0,10,10000,0.2,1,0.263,0.4606,0.1449
nytimes-16-angular,pdx-bond-dtm,0.237459,0.275592,0.196664,0.989761,112,0,10,10000,0.2,1,0.2348,0.4161,0.1276
nytimes-16-angular,pdx-bond-dtm,0.207988,0.240252,0.174717,0.988531,96,0,10,10000,0.2,1,0.2056,0.3946,0.1098
nytimes-16-angular,pdx-bond-dtm,0.177302,0.20308,0.150952,0.986071,80,0,10,10000,0.2,1,0.1753,0.3725,0.09333
nytimes-16-angular,pdx-bond-dtm,0.145271,0.164668,0.125413,0.98113,64,0,10,10000,0.2,1,0.1438,0.3235,0.07489
nytimes-16-angular,pdx-bond-dtm,0.12906,0.145312,0.112328,0.975979,56,0,10,10000,0.2,1,0.1278,0.302,0.06698
nytimes-16-angular,pdx-bond-dtm,0.112301,0.125838,0.098367,0.968308,48,0,10,10000,0.2,1,0.1112,0.2852,0.05776
nytimes-16-angular,pdx-bond-dtm,0.0950877,0.106372,0.08355,0.955994,40,0,10,10000,0.2,1,0.09425,0.275,0.04909
nytimes-16-angular,pdx-bond-dtm,0.0777463,0.086694,0.068645,0.935979,32,0,10,10000,0.2,1,0.07712,0.2386,0.03944
