dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,pdx-bond-dz,0.970975,1.12301,0.813194,0.9908,512,0,10,10000,0.2,1,0.9556,1.272,0.4929
nytimes-16-angular,pdx-bond-dz,0.526221,0.565502,0.484884,0.9908,256,0,10,10000,0.2,1,0.5199,0.7238,0.2612
nytimes-16-angular,pdx-bond-dz,0.465163,0.497728,0.431048,0.99079,224,0,10,10000,0.2,1,0.46,0.6451,0.2302
nytimes-16-angular,pdx-bond-dz,0.404639,0.432551,0.375659,0.99078,192,0,10,10000,0.2,1,0.4008,1.25,0.2021
nytimes-16-angular,pdx-bond-dz,0.341763,0.365782,0.317155,0.99066,160,0,10,10000,0.2,1,0.3389,0.5207,0.1699
nytimes-16-angular,pdx-bond-dz,0.310482,0.332543,0.287856,0.990501,144,0,10,10000,0.2,1,0.3081,0.485,0.1553
nytimes-16-angular,pdx-bond-dz,0.278558,0.298681,0.257966,0.990321,128,0,10,10000,0.2,1,0.2765,0.4512,0.1388
nytimes-16-angular,pdx-bond-dz,0.245916,0.264017,0.227383,0.989761,112,0,10,10000,0.2,1,0.2442,0.4325,0.1218
nytimes-16-angular,pdx-bond-dz,0.213735,0.230369,0.196987,0.988531,96,0,10,10000,0.2,1,0.2125,0.4008,0.1063
nytimes-16-angular,pdx-bond-dz,0.180839,0.195956,0.165503,0.986071,80,0,10,10000,0.2,1,0.1799,0.3613,0.08989
nytimes-16-angular,pdx-bond-dz,0.14696,0.159849,0.134093,0.98113,64,0,10,10000,0.2,1,0.1462,0.3273,0.07265
nytimes-16-angular,pdx-bond-dz,0.130048,0.141821,0.118115,0.975979,56,0,10,10000,0.2,1,0.1294,0.309,0.06477
nytimes-16-angular,pdx-bond-dz,0.112545,0.12326,0.101786,0.968308,48,0,10,10000,0.2,1,0.112,0.278,0.0557
nytimes-16-angular,pdx-bond-dz,0.0950558,0.104725,0.085267,0.955994,40,0,10,10000,0.2,1,0.09462,0.2778,0.0472
nytimes-16-angular,pdx-bond-dz,0.0774513,0.085706,0.069148,0.935979,32,0,10,10000,0.2,1,0.07712,0.2491,0.03858
nytimes-16-angular,pdx-bond-dz,0.0687863,0.07645,0.061118,0.920769,28,0,10,10000,0.2,1,0.06851,0.1195,0.03447
nytimes-16-angular,pdx-bond-dz,0.0646286,0.071994,0.057218,0.912257,26,0,10,10000,0.2,1,0.06439,0.243,0.03263
nytimes-16-angular,pdx-bond-dz,0.0601492,0.067219,0.053044,0.901704,24,0,10,10000,0.2,1,0.05991,0.2429,0.03068
