dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,pdx-bond-sec,0.923605,1.06434,0.776055,0.9908,512,0,10,10000,0.2,1,0.9092,1.141,0.4754
nytimes-16-angular,pdx-bond-sec,0.501083,0.537044,0.463071,0.9908,256,0,10,10000,0.2,1,0.495,0.6954,0.2539
nytimes-16-angular,pdx-bond-sec,0.443961,0.47455,0.412042,0.99079,224,0,10,10000,0.2,1,0.4391,0.6209,0.2237
nytimes-16-angular,pdx-bond-sec,0.382351,0.408068,0.355617,0.99078,192,0,10,10000,0.2,1,0.3795,1.331,0.1947
nytimes-16-angular,pdx-bond-sec,0.323389,0.345214,0.300878,0.99066,160,0,10,10000,0.2,1,0.3207,0.5008,0.1635
nytimes-16-angular,pdx-bond-sec,0.293383,0.313715,0.272687,0.990501,144,0,10,10000,0.2,1,0.2911,0.4671,0.1488
nytimes-16-angular,pdx-bond-sec,0.26333,0.281787,0.244407,0.990321,128,0,10,10000,0.2,1,0.2614,0.437,0.1336
nytimes-16-angular,pdx-bond-sec,0.233106,0.250145,0.21584,0.989761,112,0,10,10000,0.2,1,0.2316,0.4192,0.1183
nytimes-16-angular,pdx-bond-sec,0.20231,0.217758,0.186504,0.988531,96,0,10,10000,0.2,1,0.2011,0.383,0.102
nytimes-16-angular,pdx-bond-sec,0.171421,0.185195,0.157434,0.986071,80,0,10,10000,0.2,1,0.1705,0.361,0.08653
nytimes-16-angular,pdx-bond-sec,0.139236,0.150943,0.127398,0.98113,64,0,10,10000,0.2,1,0.1385,0.3194,0.07049
nytimes-16-angular,pdx-bond-sec,0.124189,0.135919,0.112344,0.975979,56,0,10,10000,0.2,1,0.1237,0.3016,0.06281
nytimes-16-angular,pdx-bond-sec,0.106966,0.116958,0.096985,0.968308,48,0,10,10000,0.2,1,0.1065,0.2325,0.05371
nytimes-16-angular,pdx-bond-sec,0.0905118,0.099443,0.081486,0.955994,40,0,10,10000,0.2,1,0.09012,0.2612,0.04538
nytimes-16-angular,pdx-bond-sec,0.0736734,0.081331,0.065979,0.935979,32,0,10,10000,0.2,1,0.07335,0.2464,0.03689
nytimes-16-angular,pdx-bond-sec,0.0654822,0.072517,0.058486,0.920769,28,0,10,10000,0.2,1,0.0652,0.2393,0.03265
nytimes-16-angular,pdx-bond-sec,0.0613204,0.068137,0.054429,0.912257,26,0,10,10000,0.2,1,0.06104,0.09508,0.03091
