dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,pdx-bond,0.780787,0.988097,0.568725,0.9908,512,0,10,10000,0.2,1,0.7773,1.142,0.5154
nytimes-16-angular,pdx-bond,0.445003,0.546319,0.337515,0.9908,256,0,10,10000,0.2,1,0.4415,0.7124,0.2639
nytimes-16-angular,pdx-bond,0.400047,0.483608,0.308526,0.99079,224,0,10,10000,0.2,1,0.3967,0.6937,0.2334
nytimes-16-angular,pdx-bond,0.352887,0.425824,0.277487,0.99078,192,0,10,10000,0.2,1,0.3497,0.6248,0.2029
nytimes-16-angular,pdx-bond,0.304314,0.363983,0.244325,0.99066,160,0,10,10000,0.2,1,0.3013,0.5334,0.1723
nytimes-16-angular,pdx-bond,0.278964,0.347708,0.220829,0.990501,144,0,10,10000,0.2,1,0.299,0.5368,0.1562
nytimes-16-angular,pdx-bond,0.262832,0.310969,0.213898,0.990321,128,0,10,10000,0.2,1,0.2659,0.45,0.1453
nytimes-16-angular,pdx-bond,0.235571,0.279299,0.194292,0.989761,112,0,10,10000,0.2,1,0.2411,0.3976,0.1275
nytimes-16-angular,pdx-bond,0.205492,0.240834,0.171759,0.988531,96,0,10,10000,0.2,1,0.2088,0.4104,0.1102
nytimes-16-angular,pdx-bond,0.174422,0.209441,0.143843,0.986071,80,0,10,10000,0.2,1,0.1825,0.3727,0.09108
nytimes-16-angular,pdx-bond,0.138012,0.155893,0.119478,0.98113,64,0,10,10000,0.2,1,0.1365,0.1703,0.07328
nytimes-16-angular,pdx-bond,0.122645,0.137991,0.106935,0.975979,56,0,10,10000,0.2,1,0.1214,0.1654,0.06494
nytimes-16-angular,pdx-bond,0.106958,0.11995,0.09366,0.968308,48,0,10,10000,0.2,1,0.1059,0.1324,0.05584
nytimes-16-angular,pdx-bond,0.0904505,0.100997,0.079628,0.955994,40,0,10,10000,0.2,1,0.08961,0.1264,0.04762
nytimes-16-angular,pdx-bond,0.0747763,0.083472,0.065932,0.935979,32,0,10,10000,0.2,1,0.07419,0.1196,0.03925
nytimes-16-angular,pdx-bond,0.0661427,0.073547,0.058502,0.920769,28,0,10,10000,0.2,1,0.06564,0.1114,0.03456
nytimes-16-angular,pdx-bond,0.0620693,0.069055,0.054941,0.912257,26,0,10,10000,0.2,1,0.06161,0.08916,0.03283
nytimes-16-angular,pdx-bond,0.0582373,0.065144,0.051265,0.901704,24,0,10,10000,0.2,1,0.05786,0.1041,0.0303
nytimes-16-angular,pdx-bond,0.0536705,0.059886,0.047354,0.889322,22,0,10,10000,0.2,1,0.05332,0.0802,0.02765
nytimes-16-angular,pdx-bond,0.0495414,0.055469,0.043541,0.875251,20,0,10,10000,0.2,1,0.04924,0.09652,0.02561
nytimes-16-angular,pdx-bond,0.0453207,0.050851,0.039725,0.857889,18,0,10,10000,0.2,1,0.04505,0.06131,0.02365
nytimes-16-angular,pdx-bond,0.0409712,0.046063,0.035811,0.837998,16,0,10,10000,0.2,1,0.04075,0.06729,0.02163
nytimes-16-angular,pdx-bond,0.0368059,0.041487,0.032029,0.81363,14,0,10,10000,0.2,1,0.03661,0.069,0.01986
nytimes-16-angular,pdx-bond,0.0324861,0.036748,0.02817,0.784166,12,0,10,10000,0.2,1,0.03234,0.06435,0.01784
nytimes-16-angular,pdx-bond,0.028013,0.03188,0.024108,0.745899,10,0,10,10000,0.2,1,0.02791,0.05691,0.01543
