dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
glove-200-angular,pdx-adsampling,9.38265,14.7044,4.02752,0.329591,512,2.1,10,10000,0.2,1,9.381,18.32,2.828,0
glove-200-angular,pdx-adsampling,6.62417,10.6725,2.58037,0.329261,256,2.1,10,10000,0.2,1,6.624,16.15,1.76,0
glove-200-angular,pdx-adsampling,5.98657,9.69032,2.26177,0.329181,224,2.1,10,10000,0.2,1,5.986,12.86,1.498,0
glove-200-angular,pdx-adsampling,5.43827,8.87359,2.07959,0.329051,192,2.1,10,10000,0.2,1,5.443,12.79,1.359,0
glove-200-angular,pdx-adsampling,4.79475,7.82945,1.73809,0.328821,160,2.1,10,10000,0.2,1,4.796,12.02,1.153,0
glove-200-angular,pdx-adsampling,4.41693,7.23139,1.57022,0.328691,144,2.1,10,10000,0.2,1,4.422,12.05,1.06,0
glove-200-angular,pdx-adsampling,3.97975,6.59014,1.37208,0.328521,128,2.1,10,10000,0.2,1,3.981,11.45,0.9392,0
glove-200-angular,pdx-adsampling,3.60139,5.94296,1.24347,0.328211,112,2.1,10,10000,0.2,1,3.603,10.42,0.8041,0
glove-200-angular,pdx-adsampling,3.18929,5.33787,1.04693,0.327881,96,2.1,10,10000,0.2,1,3.19,11.04,0.6784,0
glove-200-angular,pdx-adsampling,2.73427,4.58249,0.895657,0.327541,80,2.1,10,10000,0.2,1,2.735,8.959,0.5553,0
glove-200-angular,pdx-adsampling,2.28465,3.84781,0.714399,0.326891,64,2.1,10,10000,0.2,1,2.287,9.061,0.4424,0
glove-200-angular,pdx-adsampling,2.03809,3.46428,0.617892,0.326472,56,2.1,10,10000,0.2,1,2.039,9.386,0.3718,0
glove-200-angular,pdx-adsampling,1.80462,3.07249,0.535895,0.325862,48,2.1,10,10000,0.2,1,1.807,8.125,0.3288,0
glove-200-angular,pdx-adsampling,1.56466,2.69332,0.4429,0.325051,40,2.1,10,10000,0.2,1,1.568,8.499,0.2828,0
glove-200-angular,pdx-adsampling,1.32732,2.30459,0.363103,0.324171,32,2.1,10,10000,0.2,1,1.331,7.401,0.2571,0
glove-200-angular,pdx-adsampling,1.20653,2.10104,0.319194,0.323371,28,2.1,10,10000,0.2,1,1.211,7.627,0.2377,0
glove-200-angular,pdx-adsampling,1.14224,1.99703,0.293844,0.322922,26,2.1,10,10000,0.2,1,1.146,2.314,0.2222,0
glove-200-angular,pdx-adsampling,1.11643,1.96377,0.27923,0.322471,24,2.1,10,10000,0.2,1,1.121,7.273,0.2165,0
glove-200-angular,pdx-adsampling,1.05491,1.85572,0.25531,0.321842,22,2.1,10,10000,0.2,1,1.059,2.279,0.2064,0
glove-200-angular,pdx-adsampling,0.989851,1.75496,0.230619,0.321091,20,2.1,10,10000,0.2,1,0.9947,7.128,0.2014,0
glove-200-angular,pdx-adsampling,0.923217,1.64963,0.19932,0.320261,18,2.1,10,10000,0.2,1,0.9287,7.703,0.1993,0
glove-200-angular,pdx-adsampling,0.859036,1.54378,0.202085,0.319051,16,2.1,10,10000,0.2,1,0.8645,7.139,0.2021,0
glove-200-angular,pdx-adsampling,0.788973,1.4247,0.192049,0.317621,14,2.1,10,10000,0.2,1,0.7948,7.483,0.192,0
glove-200-angular,pdx-adsampling,0.719256,1.31568,0.181875,0.315421,12,2.1,10,10000,0.2,1,0.7251,7.586,0.1819,0
glove-200-angular,pdx-adsampling,0.650484,1.19726,0.16653,0.312561,10,2.1,10,10000,0.2,1,0.6577,7.036,0.1665,0
glove-200-angular,pdx-adsampling,0.579389,1.07685,0.1521,0.308971,8,2.1,10,10000,0.2,1,0.5867,7.023,0.1521,0
glove-200-angular,pdx-adsampling,0.506191,0.958966,0.140864,0.302671,6,2.1,10,10000,0.2,1,0.5134,1.226,0.1409,0
glove-200-angular,pdx-adsampling,0.428223,0.839049,0.124353,0.291091,4,2.1,10,10000,0.2,1,0.4365,1.152,0.1244,0
glove-200-angular,pdx-adsampling,0.339333,0.714445,0.090525,0.25854,2,2.1,10,10000,0.2,1,0.3479,0.8734,0.09052,0
glove-200-angular,pdx-adsampling-decimpr,16.8592,30.8894,3.58225,0.785024,512,2.1,10,10000,0.2,1,17.82,65.86,3.065,0
glove-200-angular,pdx-adsampling-decimpr,12.3973,23.4492,1.94589,0.784304,256,2.1,10,10000,0.2,1,13.17,46.09,1.946,0
glove-200-angular,pdx-adsampling-decimpr,11.7394,22.3792,1.78763,0.783424,224,2.1,10,10000,0.2,1,12.46,42.86,1.788,0
glove-200-angular,pdx-adsampling-decimpr,10.5833,20.3536,1.53306,0.781593,192,2.1,10,10000,0.2,1,11.24,43.14,1.533,0
glove-200-angular,pdx-adsampling-decimpr,9.4975,18.3361,1.32553,0.777403,160,2.1,10,10000,0.2,1,10.08,33.94,1.326,0
glove-200-angular,pdx-adsampling-decimpr,8.68679,16.8893,1.25643,0.773392,144,2.1,10,10000,0.2,1,9.211,32.04,1.256,0
glove-200-angular,pdx-adsampling-decimpr,8.04417,15.7155,1.02412,0.766992,128,2.1,10,10000,0.2,1,8.525,28.12,1.024,0
glove-200-angular,pdx-adsampling-decimpr,7.26287,14.3519,1.02293,0.757673,112,2.1,10,10000,0.2,1,7.673,24.69,1.023,0
glove-200-angular,pdx-adsampling-decimpr,6.49847,12.9666,0.810895,0.744362,96,2.1,10,10000,0.2,1,6.849,21.44,0.8109,0
glove-200-angular,pdx-adsampling-decimpr,5.73225,11.5571,0.683212,0.726232,80,2.1,10,10000,0.2,1,6.012,17.83,0.6832,0
glove-200-angular,pdx-adsampling-decimpr,4.86173,9.91685,0.568034,0.698694,64,2.1,10,10000,0.2,1,5.081,15.85,0.568,0
glove-200-angular,pdx-adsampling-decimpr,4.3763,8.96995,0.496038,0.682165,56,2.1,10,10000,0.2,1,4.557,14.19,0.496,0
glove-200-angular,pdx-adsampling-decimpr,3.99375,8.26433,0.477463,0.662185,48,2.1,10,10000,0.2,1,4.142,12.28,0.4775,0
glove-200-angular,pdx-adsampling-decimpr,3.42088,7.11722,0.355904,0.635747,40,2.1,10,10000,0.2,1,3.531,11.55,0.3559,0
glove-200-angular,pdx-adsampling-decimpr,2.99043,6.26533,0.321571,0.606327,32,2.1,10,10000,0.2,1,3.066,11.46,0.3216,0
glove-200-angular,pdx-adsampling-decimpr,2.68398,5.65156,0.274873,0.588078,28,2.1,10,10000,0.2,1,2.742,11.52,0.2749,0
glove-200-angular,pdx-adsampling-decimpr,2.54008,5.36321,0.24327,0.578339,26,2.1,10,10000,0.2,1,2.591,8.573,0.2433,0
glove-200-angular,pdx-adsampling-decimpr,2.3852,5.04617,0.234461,0.56817,24,2.1,10,10000,0.2,1,2.43,10.27,0.2345,0
glove-200-angular,pdx-adsampling-decimpr,2.24291,4.77035,0.231581,0.55659,22,2.1,10,10000,0.2,1,2.282,8.547,0.2316,0
glove-200-angular,pdx-adsampling-decimpr,2.0985,4.48066,0.216703,0.54309,20,2.1,10,10000,0.2,1,2.132,7.755,0.2167,0
glove-200-angular,pdx-adsampling-decimpr,1.95114,4.18408,0.209882,0.529261,18,2.1,10,10000,0.2,1,1.978,8.122,0.2099,0
glove-200-angular,pdx-adsampling-decimpr,1.7926,3.84306,0.201199,0.513322,16,2.1,10,10000,0.2,1,1.816,9.77,0.2012,0
glove-200-angular,pdx-adsampling-decimpr,1.63491,3.52616,0.198651,0.495443,14,2.1,10,10000,0.2,1,1.655,8.772,0.1987,0
glove-200-angular,pdx-adsampling-decimpr,1.47015,3.17946,0.183632,0.477003,12,2.1,10,10000,0.2,1,1.487,7.612,0.1836,0
glove-200-angular,pdx-adsampling-decimpr,1.29846,2.79082,0.16514,0.457643,10,2.1,10,10000,0.2,1,1.312,3.53,0.1651,0
glove-200-angular,pdx-adsampling-decimpr,1.11649,2.38726,0.15212,0.433922,8,2.1,10,10000,0.2,1,1.128,8.33,0.1521,0
glove-200-angular,pdx-adsampling-decimpr,0.917846,1.95735,0.138289,0.403873,6,2.1,10,10000,0.2,1,0.9304,7.403,0.1383,0
glove-200-angular,pdx-adsampling-decimpr,0.696342,1.46967,0.121138,0.363263,4,2.1,10,10000,0.2,1,0.7081,2.046,0.1211,0
glove-200-angular,pdx-adsampling-decimpr,0.437181,0.926315,0.084972,0.290251,2,2.1,10,10000,0.2,1,0.4485,6.998,0.08497,0
glove-200-angular,pdx-adsampling-dz,32.7946,71.1635,3.33207,0.99378,512,2.1,10,10000,0.2,1,32.79,71.16,3.332,0
glove-200-angular,pdx-adsampling-dz,24.4055,52.5662,2.29882,0.99274,256,2.1,10,10000,0.2,1,24.41,52.57,2.299,0
glove-200-angular,pdx-adsampling-dz,22.4477,47.076,2.02602,0.99127,224,2.1,10,10000,0.2,1,22.45,47.08,2.026,0
glove-200-angular,pdx-adsampling-dz,20.2076,42.5305,1.78359,0.98807,192,2.1,10,10000,0.2,1,20.21,42.53,1.784,0
glove-200-angular,pdx-adsampling-dz,17.8094,37.9547,1.57087,0.98108,160,2.1,10,10000,0.2,1,17.81,37.95,1.571,0
glove-200-angular,pdx-adsampling-dz,16.4982,34.322,1.3889,0.974309,144,2.1,10,10000,0.2,1,16.5,34.32,1.389,0
glove-200-angular,pdx-adsampling-dz,15.0969,32.326,1.23286,0.963598,128,2.1,10,10000,0.2,1,15.1,32.33,1.233,0
glove-200-angular,pdx-adsampling-dz,13.6353,28.6667,1.02911,0.947907,112,2.1,10,10000,0.2,1,13.64,28.67,1.029,0
glove-200-angular,pdx-adsampling-dz,12.0917,24.6507,0.866608,0.925216,96,2.1,10,10000,0.2,1,12.09,25.75,0.8666,0
glove-200-angular,pdx-adsampling-dz,10.459,21.8029,0.728792,0.893423,80,2.1,10,10000,0.2,1,10.47,24.1,0.7288,0
glove-200-angular,pdx-adsampling-dz,8.80582,18.0668,0.590135,0.846852,64,2.1,10,10000,0.2,1,8.821,20.6,0.5901,0
glove-200-angular,pdx-adsampling-dz,7.90133,15.6493,0.512952,0.81891,56,2.1,10,10000,0.2,1,7.909,19.38,0.513,0
glove-200-angular,pdx-adsampling-dz,6.86832,12.9218,0.446925,0.785439,48,2.1,10,10000,0.2,1,6.878,17.46,0.4469,0
glove-200-angular,pdx-adsampling-dz,5.87599,11.0483,0.39091,0.743462,40,2.1,10,10000,0.2,1,5.884,15.89,0.3624,0
glove-200-angular,pdx-adsampling-dz,4.86007,9.18469,0.479359,0.697184,32,2.1,10,10000,0.2,1,4.864,14.02,0.3091,0
glove-200-angular,pdx-adsampling-dz,4.34204,8.0182,0.461223,0.669325,28,2.1,10,10000,0.2,1,4.346,12.97,0.2876,0
glove-200-angular,pdx-adsampling-dz,4.07342,7.51264,0.496044,0.654146,26,2.1,10,10000,0.2,1,4.075,13.46,0.246,0
glove-200-angular,pdx-adsampling-dz,3.80192,7.16663,0.485222,0.638587,24,2.1,10,10000,0.2,1,3.803,12.49,0.23,0
glove-200-angular,pdx-adsampling-dz,3.52661,6.57673,0.406361,0.621268,22,2.1,10,10000,0.2,1,3.529,11.17,0.2187,0
glove-200-angular,pdx-adsampling-dz,3.25031,6.11166,0.366804,0.601408,20,2.1,10,10000,0.2,1,3.252,10.71,0.2049,0
glove-200-angular,pdx-adsampling-dz,2.96474,5.66244,0.344558,0.581149,18,2.1,10,10000,0.2,1,2.967,11.81,0.2008,0
glove-200-angular,pdx-adsampling-dz,2.67462,5.07481,0.292509,0.559781,16,2.1,10,10000,0.2,1,2.679,10.52,0.1984,0
glove-200-angular,pdx-adsampling-dz,2.3841,4.58489,0.260084,0.534661,14,2.1,10,10000,0.2,1,2.388,10.83,0.1974,0
glove-200-angular,pdx-adsampling-dz,2.08959,4.02607,0.173278,0.509602,12,2.1,10,10000,0.2,1,2.094,9.614,0.1733,0
glove-200-angular,pdx-adsampling-dz,1.79316,3.51294,0.16149,0.484742,10,2.1,10,10000,0.2,1,1.797,9.714,0.1615,0
glove-200-angular,pdx-adsampling-dz,1.51438,2.99435,0.156674,0.454812,8,2.1,10,10000,0.2,1,1.52,9.506,0.1567,0
glove-200-angular,pdx-adsampling-dz,1.1858,2.38569,0.136184,0.418513,6,2.1,10,10000,0.2,1,1.193,8.188,0.1362,0
glove-200-angular,pdx-adsampling-dz,0.813782,1.68193,0.105871,0.370853,4,2.1,10,10000,0.2,1,0.8232,7.875,0.1059,0
glove-200-angular,pdx-adsampling-dz,0.450997,0.967264,0.071161,0.292431,2,2.1,10,10000,0.2,1,0.4631,7.116,0.07116,0
sift-128-euclidean,pdx-adsampling,2.56848,5.034,0.686558,0.99813,512,2.1,10,10000,0.2,1,2.622,8.494,0.6866,0
sift-128-euclidean,pdx-adsampling,1.69601,3.36392,0.414108,0.99801,256,2.1,10,10000,0.2,1,1.731,7.093,0.4141,0
sift-128-euclidean,pdx-adsampling,1.57342,3.1197,0.376297,0.99793,224,2.1,10,10000,0.2,1,1.604,7.002,0.3763,0
sift-128-euclidean,pdx-adsampling,1.43618,2.83931,0.334431,0.99769,192,2.1,10,10000,0.2,1,1.457,6.374,0.3344,0
sift-128-euclidean,pdx-adsampling,1.28452,2.53375,0.289188,0.99716,160,2.1,10,10000,0.2,1,1.301,6.246,0.2892,0
sift-128-euclidean,pdx-adsampling,1.20343,2.37597,0.266552,0.9967,144,2.1,10,10000,0.2,1,1.218,5.705,0.2666,0
sift-128-euclidean,pdx-adsampling,1.12096,2.20216,0.242989,0.99615,128,2.1,10,10000,0.2,1,1.134,5.704,0.243,0
sift-128-euclidean,pdx-adsampling,1.03524,2.02242,0.222887,0.99525,112,2.1,10,10000,0.2,1,1.045,5.886,0.2229,0
sift-128-euclidean,pdx-adsampling,0.941675,1.82557,0.199157,0.99387,96,2.1,10,10000,0.2,1,0.95,4.783,0.1992,0
sift-128-euclidean,pdx-adsampling,0.846629,1.6345,0.178445,0.99117,80,2.1,10,10000,0.2,1,0.8538,5.267,0.1784,0
