dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-200-angular,pdx-adsampling,59.4684,120.249,4.71804,0.99918,512,2.1,10,10000,0.2,1,59.47,120.2,4.718,0,59.1295
glove-200-angular,pdx-adsampling,43.5614,88.4408,3.23137,0.99813,256,2.1,10,10000,0.2,1,43.56,88.44,3.231,0,43.2622
glove-200-angular,pdx-adsampling,39.7032,76.4312,2.93659,0.99663,224,2.1,10,10000,0.2,1,39.7,76.43,2.937,0,39.4112
glove-200-angular,pdx-adsampling,35.587,69.3305,2.59661,0.993401,192,2.1,10,10000,0.2,1,35.59,69.33,2.597,0,35.3017
glove-200-angular,pdx-adsampling,31.1502,60.8708,2.19116,0.98631,160,2.1,10,10000,0.2,1,31.15,60.87,2.191,0,30.8727
glove-200-angular,pdx-adsampling,28.6831,54.5984,1.97627,0.979449,144,2.1,10,10000,0.2,1,28.68,54.6,1.976,0,28.4089
glove-200-angular,pdx-adsampling,26.2736,50.4932,1.81039,0.968568,128,2.1,10,10000,0.2,1,26.27,50.49,1.81,0,26.0026
glove-200-angular,pdx-adsampling,23.6028,45.8232,1.64689,0.952737,112,2.1,10,10000,0.2,1,23.6,45.82,1.647,0,23.3379
glove-200-angular,pdx-adsampling,20.8647,38.0825,1.39938,0.929816,96,2.1,10,10000,0.2,1,20.86,38.08,1.399,0,20.6042
glove-200-angular,pdx-adsampling,18.0028,33.169,1.13218,0.897643,80,2.1,10,10000,0.2,1,18,33.17,1.132,0,17.7472
glove-200-angular,pdx-adsampling,14.9221,28.3967,1.37911,0.850592,64,2.1,10,10000,0.2,1,14.92,28.4,1,0,14.6688
glove-200-angular,pdx-adsampling,13.2996,24.5611,1.25081,0.822271,56,2.1,10,10000,0.2,1,13.3,26.09,0.9254,0,13.0513
glove-200-angular,pdx-adsampling,11.6836,22.1509,1.28865,0.78856,48,2.1,10,10000,0.2,1,11.68,24.25,0.8698,0,11.4318
glove-200-angular,pdx-adsampling,10.0076,18.9414,1.25635,0.746252,40,2.1,10,10000,0.2,1,10,22.94,0.7107,0,9.76018
glove-200-angular,pdx-adsampling,8.26401,15.6054,1.19473,0.699324,32,2.1,10,10000,0.2,1,8.252,16.97,0.6394,0,8.01621
glove-200-angular,pdx-adsampling,7.35588,13.6652,1.05275,0.671136,28,2.1,10,10000,0.2,1,7.346,16.28,0.5862,0,7.1126
glove-200-angular,pdx-adsampling,6.91216,12.8536,1.05654,0.655886,26,2.1,10,10000,0.2,1,6.902,16.48,0.5263,0,6.66919
glove-200-angular,pdx-adsampling,6.43137,12.0211,0.962373,0.640187,24,2.1,10,10000,0.2,1,6.424,14.84,0.4907,0,6.19344
glove-200-angular,pdx-adsampling,5.9721,11.2271,0.834207,0.622718,22,2.1,10,10000,0.2,1,5.97,14.49,0.4775,0,5.74124
glove-200-angular,pdx-adsampling,5.50546,10.4008,0.722874,0.602639,20,2.1,10,10000,0.2,1,5.505,13.46,0.4526,0,5.27911
glove-200-angular,pdx-adsampling,5.05532,9.43412,0.665688,0.582269,18,2.1,10,10000,0.2,1,5.055,11.59,0.4525,0,4.83103
glove-200-angular,pdx-adsampling,4.54674,8.51818,0.55184,0.560781,16,2.1,10,10000,0.2,1,4.551,18.1,0.4423,0,4.3302
glove-200-angular,pdx-adsampling,4.0621,7.80921,0.447268,0.535371,14,2.1,10,10000,0.2,1,4.066,10.9,0.4473,0,3.84694
glove-200-angular,pdx-adsampling,3.57833,6.90436,0.39888,0.510202,12,2.1,10,10000,0.2,1,3.582,9.437,0.3989,0,3.3641
glove-200-angular,pdx-adsampling,3.07939,5.95463,0.36836,0.485222,10,2.1,10,10000,0.2,1,3.085,9.645,0.3684,0,2.86835
glove-200-angular,pdx-adsampling,2.56247,5.022,0.331046,0.455202,8,2.1,10,10000,0.2,1,2.57,11.85,0.331,0,2.3526
glove-200-angular,pdx-adsampling,2.02721,4.01985,0.302918,0.418693,6,2.1,10,10000,0.2,1,2.035,6.843,0.3029,0,1.81824
glove-200-angular,pdx-adsampling,1.47019,2.94718,0.268688,0.370983,4,2.1,10,10000,0.2,1,1.482,8.089,0.2687,0,1.26457
