dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-200-angular,pdx-bond-sec,50.0392,63.7522,35.5725,0.99993,512,0,10,10000,0.2,1,49.12,67.55,6.38,0,48.8884
glove-200-angular,pdx-bond-sec,34.7902,44.6571,24.5928,0.99888,256,0,10,10000,0.2,1,34.13,48.68,4.527,0,33.9415
glove-200-angular,pdx-bond-sec,31.5117,40.05,22.2696,0.99738,224,0,10,10000,0.2,1,30.9,42.11,4.23,0,30.726
glove-200-angular,pdx-bond-sec,28.1156,36.1005,19.7016,0.99415,192,0,10,10000,0.2,1,27.56,38.88,3.831,0,27.3912
glove-200-angular,pdx-bond-sec,24.4255,31.7126,16.9764,0.98706,160,0,10,10000,0.2,1,23.94,34.45,3.353,0,23.7759
glove-200-angular,pdx-bond-sec,22.2415,28.6223,15.4627,0.980189,144,0,10,10000,0.2,1,21.8,31.41,3.18,0,21.6394
glove-200-angular,pdx-bond-sec,20.1484,25.9167,13.9241,0.969298,128,0,10,10000,0.2,1,19.74,28.12,2.95,0,19.5929
glove-200-angular,pdx-bond-sec,18.1774,23.8432,12.4357,0.953417,112,0,10,10000,0.2,1,17.81,26.22,2.738,0,17.6611
glove-200-angular,pdx-bond-sec,15.6659,20.5891,10.5555,0.930426,96,0,10,10000,0.2,1,15.35,23.49,2.469,0,15.2062
glove-200-angular,pdx-bond-sec,13.5153,18.1166,8.79089,0.898203,80,0,10,10000,0.2,1,13.26,21.65,2.115,0,13.1166
glove-200-angular,pdx-bond-sec,10.9868,15.0198,6.8267,0.851152,64,0,10,10000,0.2,1,10.78,17.14,1.697,0,10.652
glove-200-angular,pdx-bond-sec,9.46872,13.1984,5.69665,0.822721,56,0,10,10000,0.2,1,9.298,16.1,1.399,0,9.17421
glove-200-angular,pdx-bond-sec,8.19023,11.5011,4.66769,0.78897,48,0,10,10000,0.2,1,8.054,14.92,1.228,0,7.9337
glove-200-angular,pdx-bond-sec,6.87135,10.0667,3.65743,0.746582,40,0,10,10000,0.2,1,6.766,13.51,0.9219,0,6.65127
glove-200-angular,pdx-bond-sec,5.56407,8.47023,2.66941,0.699584,32,0,10,10000,0.2,1,5.492,11.7,0.7841,0,5.38866
glove-200-angular,pdx-bond-sec,4.90578,7.57191,2.21067,0.671376,28,0,10,10000,0.2,1,4.85,12.07,0.6798,0,4.75276
glove-200-angular,pdx-bond-sec,4.52782,7.05885,1.93389,0.656126,26,0,10,10000,0.2,1,4.481,10.97,0.5511,0,4.38995
glove-200-angular,pdx-bond-sec,4.30344,6.87988,1.75332,0.640407,24,0,10,10000,0.2,1,4.262,9.819,0.525,0,4.17081
glove-200-angular,pdx-bond-sec,3.94442,6.30409,1.50155,0.622918,22,0,10,10000,0.2,1,3.913,9.653,0.4757,0,3.82665
glove-200-angular,pdx-bond-sec,3.58188,5.85002,1.28912,0.602749,20,0,10,10000,0.2,1,3.554,9.559,0.4236,0,3.47394
glove-200-angular,pdx-bond-sec,3.19782,5.27288,1.06955,0.582369,18,0,10,10000,0.2,1,3.177,8.877,0.4214,0,3.10301
glove-200-angular,pdx-bond-sec,2.86079,4.79487,0.897678,0.560861,16,0,10,10000,0.2,1,2.844,8.981,0.4125,0,2.77111
glove-200-angular,pdx-bond-sec,2.52068,4.38674,0.69046,0.535451,14,0,10,10000,0.2,1,2.513,7.699,0.4097,0,2.44183
glove-200-angular,pdx-bond-sec,2.17854,3.84621,0.537728,0.510232,12,0,10,10000,0.2,1,2.176,7.022,0.3219,0,2.10606
glove-200-angular,pdx-bond-sec,1.84897,3.35291,0.382933,0.485202,10,0,10,10000,0.2,1,1.851,7.393,0.2622,0,1.78236
glove-200-angular,pdx-bond-sec,1.50467,2.77481,0.265566,0.455152,8,0,10,10000,0.2,1,1.508,6.693,0.2032,0,1.44071
glove-200-angular,pdx-bond-sec,1.15568,2.21437,0.161086,0.418643,6,0,10,10000,0.2,1,1.161,6.82,0.1611,0,1.09596
glove-200-angular,pdx-bond-sec,0.800889,1.59299,0.096971,0.370903,4,0,10,10000,0.2,1,0.8098,6.133,0.09697,0,0.747205
glove-200-angular,pdx-bond-sec,0.440808,0.941781,0.063948,0.292351,2,0,10,10000,0.2,1,0.45,1.278,0.06395,0,0.38922
sift-128-euclidean,pdx-bond-sec,6.36672,9.64078,3.11379,0.99927,512,0,10,10000,0.2,1,6.291,9.641,1.432,0,6.12536
sift-128-euclidean,pdx-bond-sec,3.64672,5.30418,1.92772,0.99915,256,0,10,10000,0.2,1,3.604,8.352,0.9646,0,3.49435
sift-128-euclidean,pdx-bond-sec,3.26359,4.7207,1.74078,0.99907,224,0,10,10000,0.2,1,3.225,6.442,0.8579,0,3.12304
sift-128-euclidean,pdx-bond-sec,2.86852,4.165,1.55313,0.99883,192,0,10,10000,0.2,1,2.835,7.235,0.7654,0,2.74153
sift-128-euclidean,pdx-bond-sec,2.4096,3.50041,1.31041,0.99829,160,0,10,10000,0.2,1,2.384,6.496,0.6176,0,2.30044
sift-128-euclidean,pdx-bond-sec,2.20357,3.20481,1.1985,0.99783,144,0,10,10000,0.2,1,2.181,3.406,0.5784,0,2.10169
sift-128-euclidean,pdx-bond-sec,1.99314,2.90939,1.07125,0.99726,128,0,10,10000,0.2,1,1.975,5.523,0.5056,0,1.89993
sift-128-euclidean,pdx-bond-sec,1.77889,2.59503,0.957112,0.99635,112,0,10,10000,0.2,1,1.764,2.817,0.4483,0,1.69307
sift-128-euclidean,pdx-bond-sec,1.55856,2.29065,0.828106,0.99496,96,0,10,10000,0.2,1,1.547,2.497,0.3888,0,1.48179
sift-128-euclidean,pdx-bond-sec,1.33326,1.97239,0.695629,0.99224,80,0,10,10000,0.2,1,1.326,2.118,0.3392,0,1.26489
sift-128-euclidean,pdx-bond-sec,1.10262,1.63844,0.565078,0.987129,64,0,10,10000,0.2,1,1.098,1.807,0.2817,0,1.04255
sift-128-euclidean,pdx-bond-sec,0.983808,1.46342,0.497535,0.983059,56,0,10,10000,0.2,1,0.9815,1.672,0.2619,0,0.927995
sift-128-euclidean,pdx-bond-sec,0.863004,1.29133,0.433967,0.977118,48,0,10,10000,0.2,1,0.8624,4.434,0.2347,0,0.811431
sift-128-euclidean,pdx-bond-sec,0.738756,1.11644,0.359193,0.967968,40,0,10,10000,0.2,1,0.7397,1.316,0.2043,0,0.691405
sift-128-euclidean,pdx-bond-sec,0.612941,0.931803,0.290099,0.954346,32,0,10,10000,0.2,1,0.6148,4.157,0.1769,0,0.568955
sift-128-euclidean,pdx-bond-sec,0.548631,0.835997,0.258618,0.944175,28,0,10,10000,0.2,1,0.5506,1.009,0.1639,0,0.505712
sift-128-euclidean,pdx-bond-sec,0.515901,0.789564,0.23785,0.937654,26,0,10,10000,0.2,1,0.518,0.9736,0.1592,0,0.473751
sift-128-euclidean,pdx-bond-sec,0.48285,0.742416,0.220576,0.930583,24,0,10,10000,0.2,1,0.4854,0.9338,0.1484,0,0.441595
sift-128-euclidean,pdx-bond-sec,0.449493,0.692127,0.205824,0.922282,22,0,10,10000,0.2,1,0.4526,0.8297,0.1425,0,0.409567
sift-128-euclidean,pdx-bond-sec,0.414981,0.63874,0.189645,0.911971,20,0,10,10000,0.2,1,0.4183,0.7719,0.1276,0,0.375856
sift-128-euclidean,pdx-bond-sec,0.381283,0.586764,0.173474,0.899952,18,0,10,10000,0.2,1,0.3851,4.177,0.1186,0,0.343408
sift-128-euclidean,pdx-bond-sec,0.346681,0.537141,0.156618,0.885602,16,0,10,10000,0.2,1,0.3502,0.6627,0.1085,0,0.309171
sift-128-euclidean,pdx-bond-sec,0.311838,0.482468,0.140424,0.8679,14,0,10,10000,0.2,1,0.3155,0.6112,0.1016,0,0.27501
sift-128-euclidean,pdx-bond-sec,0.276054,0.428273,0.122515,0.844539,12,0,10,10000,0.2,1,0.2798,0.5353,0.09635,0,0.23998
sift-128-euclidean,pdx-bond-sec,0.23937,0.371392,0.106427,0.814328,10,0,10,10000,0.2,1,0.2435,0.4801,0.08617,0,0.204376
sift-128-euclidean,pdx-bond-sec,0.202034,0.314208,0.096816,0.775081,8,0,10,10000,0.2,1,0.206,0.4151,0.07949,0,0.167516
sift-128-euclidean,pdx-bond-sec,0.163947,0.25374,0.082264,0.717664,6,0,10,10000,0.2,1,0.1677,0.3595,0.06969,0,0.130013
sift-128-euclidean,pdx-bond-sec,0.123727,0.19068,0.060845,0.630055,4,0,10,10000,0.2,1,0.127,0.2867,0.06085,0,0.0907227
sift-128-euclidean,pdx-bond-sec,0.0793558,0.120303,0.040901,0.472279,2,0,10,10000,0.2,1,0.08147,0.2016,0.0409,0,0.0490582
gist-960-euclidean,pdx-bond-sec,102.118,149.208,53.0288,0.9989,512,0,10,1000,0.2,1,99.97,191.8,21.83,0,99.2012
gist-960-euclidean,pdx-bond-sec,59.2216,84.1643,29.4267,0.9972,256,0,10,1000,0.2,1,58.1,95.24,14.84,0,57.3966
gist-960-euclidean,pdx-bond-sec,54.4744,81.215,26.5018,0.9964,224,0,10,1000,0.2,1,53.58,88.63,14.18,0,52.8297
gist-960-euclidean,pdx-bond-sec,46.2079,70.1667,22.281,0.994701,192,0,10,1000,0.2,1,45.43,77.89,10.85,0,44.7679
gist-960-euclidean,pdx-bond-sec,39.4309,58.7471,18.2528,0.991201,160,0,10,1000,0.2,1,38.81,64.3,8.241,0,38.1997
gist-960-euclidean,pdx-bond-sec,36.4505,54.6271,16.2785,0.989201,144,0,10,1000,0.2,1,35.85,54.63,7.914,0,35.094
gist-960-euclidean,pdx-bond-sec,32.504,49.8285,14.1641,0.986701,128,0,10,1000,0.2,1,31.98,49.83,6.303,0,31.4116
gist-960-euclidean,pdx-bond-sec,30.4768,48.2042,13.015,0.982301,112,0,10,1000,0.2,1,30.11,55.92,7.279,0,29.3697
gist-960-euclidean,pdx-bond-sec,25.7461,40.6219,10.2856,0.975501,96,0,10,1000,0.2,1,25.37,44.4,5.513,0,24.7373
gist-960-euclidean,pdx-bond-sec,21.5799,33.9844,8.69366,0.965001,80,0,10,1000,0.2,1,21.27,34.65,4.82,0,20.691
gist-960-euclidean,pdx-bond-sec,18.2701,29.2365,7.29973,0.947601,64,0,10,1000,0.2,1,18.06,34.22,3.909,0,17.452
gist-960-euclidean,pdx-bond-sec,16.2484,25.1699,6.50983,0.934801,56,0,10,1000,0.2,1,16.13,29.73,3.106,0,15.5075
gist-960-euclidean,pdx-bond-sec,13.9485,22.0789,5.63579,0.918501,48,0,10,1000,0.2,1,13.76,27.03,2.42,0,13.2206
gist-960-euclidean,pdx-bond-sec,11.7283,19.0139,4.35149,0.897001,40,0,10,1000,0.2,1,11.57,19.01,2.038,0,11.0562
gist-960-euclidean,pdx-bond-sec,9.87007,16.2827,3.67154,0.864301,32,0,10,1000,0.2,1,9.909,30.88,1.583,0,9.30112
gist-960-euclidean,pdx-bond-sec,8.87583,14.3007,3.38056,0.842301,28,0,10,1000,0.2,1,8.856,20.2,1.302,0,8.21051
gist-960-euclidean,pdx-bond-sec,7.91204,13.1191,2.64975,0.829701,26,0,10,1000,0.2,1,7.925,15.92,1.223,0,7.45857
gist-960-euclidean,pdx-bond-sec,7.25231,11.9883,2.44095,0.816301,24,0,10,1000,0.2,1,7.244,13.25,1.143,0,6.76928
gist-960-euclidean,pdx-bond-sec,6.95511,11.2764,2.44581,0.798901,22,0,10,1000,0.2,1,6.903,12.35,1.073,0,6.28864
gist-960-euclidean,pdx-bond-sec,6.32796,10.2729,2.27389,0.780801,20,0,10,1000,0.2,1,6.28,12.68,1.047,0,5.71096
gist-960-euclidean,pdx-bond-sec,5.80237,9.67918,1.83421,0.7599,18,0,10,1000,0.2,1,5.805,12.67,0.9328,0,5.27072
gist-960-euclidean,pdx-bond-sec,5.17245,8.55976,1.73851,0.741,16,0,10,1000,0.2,1,5.169,9.83,0.8509,0,4.69063
gist-960-euclidean,pdx-bond-sec,4.52327,7.69265,1.50723,0.7131,14,0,10,1000,0.2,1,4.618,12.33,0.8473,0,4.20555
gist-960-euclidean,pdx-bond-sec,3.92234,6.80574,1.0595,0.6816,12,0,10,1000,0.2,1,3.991,12.04,0.7586,0,3.61101
gist-960-euclidean,pdx-bond-sec,3.3113,5.71274,0.929776,0.6432,10,0,10,1000,0.2,1,3.395,7.758,0.6475,0,3.04133
gist-960-euclidean,pdx-bond-sec,2.63819,4.63386,0.686166,0.595,8,0,10,1000,0.2,1,2.73,6.216,0.5339,0,2.40782
gist-960-euclidean,pdx-bond-sec,2.07247,3.69471,0.547636,0.5272,6,0,10,1000,0.2,1,2.163,6.407,0.4936,0,1.85636
gist-960-euclidean,pdx-bond-sec,1.46549,2.58315,0.378915,0.4398,4,0,10,1000,0.2,1,1.538,4.114,0.3684,0,1.24469
gist-960-euclidean,pdx-bond-sec,0.876341,1.58784,0.302297,0.3041,2,0,10,1000,0.2,1,0.9259,2.852,0.3023,0,0.643524
deep-image-96-angular,pdx-bond-sec,9.42577,15.4573,3.44518,0.99872,512,0,10,10000,0.2,1,9.395,22.14,1.375,0,8.87277
deep-image-96-angular,pdx-bond-sec,5.20023,8.54721,1.86761,0.99537,256,0,10,10000,0.2,1,5.183,13.38,0.8119,0,4.84714
deep-image-96-angular,pdx-bond-sec,4.73293,7.77412,1.69262,0.994059,224,0,10,10000,0.2,1,4.718,10.67,0.7286,0,4.40128
deep-image-96-angular,pdx-bond-sec,4.34113,7.16005,1.52583,0.992289,192,0,10,10000,0.2,1,4.33,9.813,0.6742,0,4.01835
deep-image-96-angular,pdx-bond-sec,3.65364,6.0678,1.23569,0.989829,160,0,10,10000,0.2,1,3.652,10.24,0.599,0,3.38049
deep-image-96-angular,pdx-bond-sec,3.2656,5.37811,1.13662,0.988119,144,0,10,10000,0.2,1,3.264,8.125,0.529,0,3.01149
deep-image-96-angular,pdx-bond-sec,3.16554,5.23817,1.07787,0.985609,128,0,10,10000,0.2,1,3.17,9.696,0.5232,0,2.90164
deep-image-96-angular,pdx-bond-sec,2.6619,4.39223,0.914691,0.982268,112,0,10,10000,0.2,1,2.669,7.359,0.4483,0,2.44022
deep-image-96-angular,pdx-bond-sec,2.52288,4.16648,0.868107,0.978468,96,0,10,10000,0.2,1,2.536,7.309,0.4436,0,2.28865
deep-image-96-angular,pdx-bond-sec,2.06271,3.40973,0.706928,0.972777,80,0,10,10000,0.2,1,2.078,5.972,0.3845,0,1.86046
deep-image-96-angular,pdx-bond-sec,1.80726,2.98631,0.6298,0.964286,64,0,10,10000,0.2,1,1.828,6.296,0.347,0,1.61651
deep-image-96-angular,pdx-bond-sec,1.66692,2.73869,0.593003,0.958195,56,0,10,10000,0.2,1,1.689,6.973,0.3387,0,1.47265
deep-image-96-angular,pdx-bond-sec,1.44346,2.36168,0.523797,0.950104,48,0,10,10000,0.2,1,1.465,5.246,0.3084,0,1.26071
deep-image-96-angular,pdx-bond-sec,1.21658,1.98353,0.450047,0.939214,40,0,10,10000,0.2,1,1.235,6.214,0.3121,0,1.04474
deep-image-96-angular,pdx-bond-sec,1.02471,1.65441,0.401139,0.923314,32,0,10,10000,0.2,1,1.045,3.916,0.27,0,0.858563
deep-image-96-angular,pdx-bond-sec,0.988057,1.58611,0.396649,0.911952,28,0,10,10000,0.2,1,1.009,5.077,0.2676,0,0.812486
deep-image-96-angular,pdx-bond-sec,0.928077,1.483,0.378792,0.905442,26,0,10,10000,0.2,1,0.9486,2.416,0.2615,0,0.753347
deep-image-96-angular,pdx-bond-sec,0.888233,1.41794,0.361965,0.898662,24,0,10,10000,0.2,1,0.9073,3.887,0.265,0,0.713008
deep-image-96-angular,pdx-bond-sec,0.792131,1.2553,0.33071,0.890132,22,0,10,10000,0.2,1,0.8094,4.55,0.2579,0,0.615178
deep-image-96-angular,pdx-bond-sec,0.746658,1.18507,0.308504,0.879751,20,0,10,10000,0.2,1,0.7629,4.051,0.2563,0,0.569273
deep-image-96-angular,pdx-bond-sec,0.693947,1.09658,0.294599,0.86843,18,0,10,10000,0.2,1,0.7081,3.244,0.2503,0,0.5159
deep-image-96-angular,pdx-bond-sec,0.64019,1.00217,0.279249,0.854349,16,0,10,10000,0.2,1,0.6534,2.984,0.2454,0,0.462047
deep-image-96-angular,pdx-bond-sec,0.628255,0.982968,0.276008,0.83697,14,0,10,10000,0.2,1,0.6418,5.348,0.234,0,0.452106
deep-image-96-angular,pdx-bond-sec,0.57583,0.893176,0.259713,0.814639,12,0,10,10000,0.2,1,0.5883,3.913,0.2356,0,0.399762
deep-image-96-angular,pdx-bond-sec,0.508313,0.774278,0.246645,0.785959,10,0,10,10000,0.2,1,0.5181,1.656,0.2325,0,0.330303
deep-image-96-angular,pdx-bond-sec,0.456535,0.686391,0.236273,0.749631,8,0,10,10000,0.2,1,0.4652,3.901,0.2195,0,0.278457
deep-image-96-angular,pdx-bond-sec,0.394942,0.578586,0.215538,0.696452,6,0,10,10000,0.2,1,0.4017,3.397,0.2155,0,0.215572
deep-image-96-angular,pdx-bond-sec,0.33118,0.468961,0.211359,0.616145,4,0,10,10000,0.2,1,0.3365,3.32,0.2114,0,0.151157
deep-image-96-angular,pdx-bond-sec,0.249802,0.326841,0.185593,0.46948,2,0,10,10000,0.2,1,0.253,0.5241,0.1856,0,0.0798189
contriever-768,pdx-bond-sec,129.373,160.198,98.506,0.9984,512,0,10,10000,0.2,1,129,198.5,40.03,0,128.292
contriever-768,pdx-bond-sec,70.8381,92.7952,48.5941,0.99522,256,0,10,10000,0.2,1,70.78,109.4,23.53,0,70.1615
contriever-768,pdx-bond-sec,62.8465,83.0569,42.2014,0.99429,224,0,10,10000,0.2,1,62.85,100.1,21.25,0,62.2318
contriever-768,pdx-bond-sec,54.5818,73.3847,35.603,0.99308,192,0,10,10000,0.2,1,54.66,101.4,17.22,0,54.0375
contriever-768,pdx-bond-sec,45.8057,62.8033,28.6045,0.99138,160,0,10,10000,0.2,1,45.92,96.59,15.86,0,45.3164
contriever-768,pdx-bond-sec,39.3314,56.7474,21.6447,0.9905,144,0,10,10000,0.2,1,39.46,105.2,13.24,0,38.8861
contriever-768,pdx-bond-sec,31.0225,43.2214,18.7893,0.98933,128,0,10,10000,0.2,1,31.07,51.44,10.5,0,30.5619
contriever-768,pdx-bond-sec,26.8039,37.7514,15.6295,0.987969,112,0,10,10000,0.2,1,26.87,52.65,9.121,0,26.3846
contriever-768,pdx-bond-sec,23.1257,32.9124,13.1501,0.98596,96,0,10,10000,0.2,1,23.21,43.56,8.014,0,22.742
contriever-768,pdx-bond-sec,19.4535,28.082,10.7794,0.98348,80,0,10,10000,0.2,1,19.58,40.37,6.728,0,19.1256
contriever-768,pdx-bond-sec,15.7299,22.9087,8.7753,0.97959,64,0,10,10000,0.2,1,15.89,34.36,5.579,0,15.455
contriever-768,pdx-bond-sec,13.8721,20.3269,7.36081,0.976939,56,0,10,10000,0.2,1,14.05,32.73,5.096,0,13.6148
contriever-768,pdx-bond-sec,12.06,17.7762,6.45626,0.973788,48,0,10,10000,0.2,1,12.26,29.47,4.508,0,11.8234
contriever-768,pdx-bond-sec,10.1315,15.0254,5.51872,0.969337,40,0,10,10000,0.2,1,10.35,29.35,3.974,0,9.92696
contriever-768,pdx-bond-sec,8.23894,12.3382,4.19194,0.963047,32,0,10,10000,0.2,1,8.442,24.51,3.454,0,8.02616
contriever-768,pdx-bond-sec,7.33151,11.065,3.59026,0.958506,28,0,10,10000,0.2,1,7.515,21.83,2.988,0,7.09987
contriever-768,pdx-bond-sec,6.84572,10.3544,3.588,0.955796,26,0,10,10000,0.2,1,7.031,23.85,2.764,0,6.61979
contriever-768,pdx-bond-sec,6.37219,9.70495,3.04699,0.952806,24,0,10,10000,0.2,1,6.543,20.66,2.643,0,6.13539
contriever-768,pdx-bond-sec,5.8854,9.0002,2.82375,0.949095,22,0,10,10000,0.2,1,6.048,21.84,2.397,0,5.64812
contriever-768,pdx-bond-sec,5.39002,8.29266,2.49325,0.944724,20,0,10,10000,0.2,1,5.546,20.9,2.327,0,5.15418
contriever-768,pdx-bond-sec,4.89397,7.58286,2.21988,0.939374,18,0,10,10000,0.2,1,5.037,22.41,2.22,0,4.66225
contriever-768,pdx-bond-sec,4.39743,6.91713,2.03103,0.933104,16,0,10,10000,0.2,1,4.522,21.23,2.031,0,4.16759
contriever-768,pdx-bond-sec,3.88965,6.18124,1.88892,0.925794,14,0,10,10000,0.2,1,4,18.93,1.889,0,3.66897
contriever-768,pdx-bond-sec,3.38233,5.48647,1.70466,0.915803,12,0,10,10000,0.2,1,3.473,17.35,1.705,0,3.17333
contriever-768,pdx-bond-sec,2.85777,4.69572,1.36271,0.903101,10,0,10,10000,0.2,1,2.938,16.79,1.363,0,2.66847
contriever-768,pdx-bond-sec,2.34418,3.90153,1.00464,0.88497,8,0,10,10000,0.2,1,2.409,16.2,1.005,0,2.16146
contriever-768,pdx-bond-sec,1.82976,3.10619,0.629982,0.857628,6,0,10,10000,0.2,1,1.883,16.62,0.63,0,1.64817
contriever-768,pdx-bond-sec,1.30592,2.23015,0.526549,0.809177,4,0,10,10000,0.2,1,1.352,15.22,0.5265,0,1.12613
contriever-768,pdx-bond-sec,0.772278,1.34287,0.239919,0.694872,2,0,10,10000,0.2,1,0.8045,14.81,0.2399,0,0.585948
instructorxl-arxiv-768,pdx-bond-sec,79.0549,121.963,39.9471,0.9997,512,0,10,1000,0.2,1,79.27,126.1,19.92,0,78.4161
instructorxl-arxiv-768,pdx-bond-sec,45.5007,71.6606,21.9252,0.9984,256,0,10,1000,0.2,1,45.5,75.72,9.849,0,44.6769
instructorxl-arxiv-768,pdx-bond-sec,37.2408,57.4604,18.3856,0.9975,224,0,10,1000,0.2,1,37.37,64.62,9.309,0,36.6314
instructorxl-arxiv-768,pdx-bond-sec,33.7008,52.3733,15.9694,0.9964,192,0,10,1000,0.2,1,33.76,55.69,12.76,0,33.025
instructorxl-arxiv-768,pdx-bond-sec,34.4277,52.059,16.4724,0.9944,160,0,10,1000,0.2,1,34.4,52.06,8.053,0,33.5591
instructorxl-arxiv-768,pdx-bond-sec,24.3953,36.7683,12.8285,0.9932,144,0,10,1000,0.2,1,24.42,43.43,5.695,0,23.7443
instructorxl-arxiv-768,pdx-bond-sec,27.9172,40.4639,15.3544,0.9913,128,0,10,1000,0.2,1,27.91,43.76,6.502,0,27.1002
instructorxl-arxiv-768,pdx-bond-sec,19.623,29.0269,10.2805,0.9886,112,0,10,1000,0.2,1,19.64,35.25,4.466,0,18.9769
instructorxl-arxiv-768,pdx-bond-sec,22.0965,32.2661,11.9518,0.986701,96,0,10,1000,0.2,1,22.07,32.27,5.514,0,21.2584
instructorxl-arxiv-768,pdx-bond-sec,14.8689,22.054,8.0396,0.983201,80,0,10,1000,0.2,1,14.87,23.04,4.359,0,14.2194
instructorxl-arxiv-768,pdx-bond-sec,12.1505,17.888,6.2072,0.976501,64,0,10,1000,0.2,1,12.17,26.6,3.01,0,11.5323
instructorxl-arxiv-768,pdx-bond-sec,13.7852,19.9166,7.34461,0.972801,56,0,10,1000,0.2,1,13.8,21.64,3.296,0,13.0038
instructorxl-arxiv-768,pdx-bond-sec,11.938,17.1597,6.63439,0.968201,48,0,10,1000,0.2,1,11.94,19.22,3.05,0,11.1816
instructorxl-arxiv-768,pdx-bond-sec,8.6408,12.8549,4.68776,0.960601,40,0,10,1000,0.2,1,8.682,18.69,3.172,0,8.04024
instructorxl-arxiv-768,pdx-bond-sec,6.63621,9.62556,3.49134,0.951701,32,0,10,1000,0.2,1,6.652,21.53,1.799,0,6.06789
instructorxl-arxiv-768,pdx-bond-sec,6.00622,8.69932,3.25743,0.944901,28,0,10,1000,0.2,1,6.023,10.25,1.711,0,5.46231
instructorxl-arxiv-768,pdx-bond-sec,7.05171,10.0938,3.84797,0.941701,26,0,10,1000,0.2,1,7.05,10.69,1.879,0,6.40358
instructorxl-arxiv-768,pdx-bond-sec,6.70583,9.67145,3.83868,0.936201,24,0,10,1000,0.2,1,6.72,12.02,1.985,0,6.06707
instructorxl-arxiv-768,pdx-bond-sec,6.06936,8.88662,3.23059,0.930701,22,0,10,1000,0.2,1,6.091,10.74,1.824,0,5.49205
instructorxl-arxiv-768,pdx-bond-sec,5.61271,8.28125,2.86633,0.924201,20,0,10,1000,0.2,1,5.625,9.727,1.623,0,5.06318
instructorxl-arxiv-768,pdx-bond-sec,5.07656,7.54438,2.71675,0.916901,18,0,10,1000,0.2,1,5.095,8.563,1.527,0,4.58255
instructorxl-arxiv-768,pdx-bond-sec,3.77259,5.43326,2.04661,0.908601,16,0,10,1000,0.2,1,3.786,7.863,1.245,0,3.33537
instructorxl-arxiv-768,pdx-bond-sec,3.38526,5.06838,1.78695,0.8954,14,0,10,1000,0.2,1,3.411,7.085,1.181,0,2.98191
instructorxl-arxiv-768,pdx-bond-sec,2.93021,4.3862,1.5602,0.880001,12,0,10,1000,0.2,1,2.941,14.48,0.9554,0,2.52914
instructorxl-arxiv-768,pdx-bond-sec,2.53595,3.81853,1.23107,0.860901,10,0,10,1000,0.2,1,2.543,11.72,0.8995,0,2.14672
instructorxl-arxiv-768,pdx-bond-sec,2.17191,3.367,1.08483,0.8337,8,0,10,1000,0.2,1,2.2,6.022,0.8376,0,1.81214
instructorxl-arxiv-768,pdx-bond-sec,1.73218,2.62247,0.942823,0.7953,6,0,10,1000,0.2,1,1.746,3.095,0.9428,0,1.3732
