dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-200-angular,pdx-bond,66.3493,93.2095,37.1653,0.99994,512,0,10,10000,0.2,1,64.86,93.21,9.882,0,64.5067
glove-200-angular,pdx-bond,47.5285,66.3328,26.7179,0.99889,256,0,10,10000,0.2,1,46.13,66.33,6.505,0,45.8206
glove-200-angular,pdx-bond,43.4021,60.4542,24.4805,0.99739,224,0,10,10000,0.2,1,42.1,60.45,5.841,0,41.7955
glove-200-angular,pdx-bond,38.8994,53.987,22.1859,0.99416,192,0,10,10000,0.2,1,37.63,53.99,5.173,0,37.3369
glove-200-angular,pdx-bond,33.8396,46.4058,19.2383,0.98707,160,0,10,10000,0.2,1,32.74,46.41,4.489,0,32.4581
glove-200-angular,pdx-bond,31.2062,43.5628,17.7378,0.980199,144,0,10,10000,0.2,1,30.18,43.56,4.075,0,29.903
glove-200-angular,pdx-bond,28.3912,39.6705,16.1477,0.969308,128,0,10,10000,0.2,1,27.45,43.81,3.688,0,27.1746
glove-200-angular,pdx-bond,25.3501,35.987,14.2754,0.953427,112,0,10,10000,0.2,1,24.53,40.74,3.311,0,24.2574
glove-200-angular,pdx-bond,22.2644,31.5089,12.4266,0.930436,96,0,10,10000,0.2,1,21.56,31.51,2.865,0,21.2909
glove-200-angular,pdx-bond,19.0413,27.3444,10.3414,0.898203,80,0,10,10000,0.2,1,18.49,28.68,2.223,0,18.2307
glove-200-angular,pdx-bond,15.7268,22.7824,8.36267,0.851152,64,0,10,10000,0.2,1,15.28,24.37,1.747,0,15.034
glove-200-angular,pdx-bond,13.9514,20.2299,7.22046,0.822721,56,0,10,10000,0.2,1,13.58,21.74,1.475,0,13.3353
glove-200-angular,pdx-bond,12.1688,17.8173,6.06585,0.78897,48,0,10,10000,0.2,1,11.88,19.91,1.304,0,11.6384
glove-200-angular,pdx-bond,10.3029,15.7732,4.8315,0.746582,40,0,10,10000,0.2,1,10.09,21.7,1.074,0,9.84792
glove-200-angular,pdx-bond,8.4185,12.9803,3.64461,0.699584,32,0,10,10000,0.2,1,8.268,16.35,0.9411,0,8.03234
glove-200-angular,pdx-bond,7.45138,11.6374,3.04426,0.671376,28,0,10,10000,0.2,1,7.335,14.41,0.8339,0,7.10134
glove-200-angular,pdx-bond,6.94382,11.1659,2.75597,0.656126,26,0,10,10000,0.2,1,6.843,12.75,0.7615,0,6.61109
glove-200-angular,pdx-bond,6.46338,10.196,2.47284,0.640407,24,0,10,10000,0.2,1,6.382,15.96,0.6969,0,6.15057
glove-200-angular,pdx-bond,6.00547,9.48128,2.17369,0.622918,22,0,10,10000,0.2,1,5.94,12.27,0.6742,0,5.70952
glove-200-angular,pdx-bond,5.51437,9.0579,1.92032,0.602749,20,0,10,10000,0.2,1,5.458,11.23,0.6244,0,5.22853
glove-200-angular,pdx-bond,5.00262,8.33396,1.62245,0.582369,18,0,10,10000,0.2,1,4.963,11.22,0.6101,0,4.73491
glove-200-angular,pdx-bond,4.50852,7.69093,1.38632,0.560861,16,0,10,10000,0.2,1,4.478,9.7,0.5988,0,4.25147
glove-200-angular,pdx-bond,4.00307,6.93058,1.0852,0.535451,14,0,10,10000,0.2,1,3.989,8.674,0.6045,0,3.76299
glove-200-angular,pdx-bond,3.49807,6.07656,0.86797,0.510232,12,0,10,10000,0.2,1,3.493,9.234,0.518,0,3.26759
glove-200-angular,pdx-bond,2.98974,5.37102,0.625567,0.485202,10,0,10,10000,0.2,1,2.991,9.2,0.4619,0,2.76642
glove-200-angular,pdx-bond,2.48043,4.49468,0.508337,0.455152,8,0,10,10000,0.2,1,2.482,6.729,0.3968,0,2.25987
glove-200-angular,pdx-bond,1.95572,3.62347,0.351115,0.418643,6,0,10,10000,0.2,1,1.96,7.252,0.3511,0,1.74021
glove-200-angular,pdx-bond,1.40754,2.6714,0.284652,0.370903,4,0,10,10000,0.2,1,1.416,5.109,0.2847,0,1.19906
glove-200-angular,pdx-bond,0.839888,1.64714,0.21666,0.292351,2,0,10,10000,0.2,1,0.8466,5.726,0.2167,0,0.636154
sift-128-euclidean,pdx-bond,7.76582,12.686,2.9013,0.99927,512,0,10,10000,0.2,1,7.744,16.48,1.614,0,7.51157
sift-128-euclidean,pdx-bond,4.66821,7.75743,1.62712,0.99915,256,0,10,10000,0.2,1,4.673,12.81,0.9532,0,4.48364
sift-128-euclidean,pdx-bond,4.22337,7.01504,1.47306,0.99907,224,0,10,10000,0.2,1,4.225,8.712,0.8603,0,4.04108
sift-128-euclidean,pdx-bond,3.75679,6.25686,1.2867,0.99883,192,0,10,10000,0.2,1,3.764,7.935,0.7807,0,3.58759
sift-128-euclidean,pdx-bond,3.27343,5.43597,1.12565,0.99829,160,0,10,10000,0.2,1,3.274,7.294,0.6941,0,3.1055
sift-128-euclidean,pdx-bond,3.02295,5.03352,1.03471,0.99783,144,0,10,10000,0.2,1,3.024,6.783,0.6464,0,2.85923
sift-128-euclidean,pdx-bond,2.76383,4.5733,0.955047,0.99726,128,0,10,10000,0.2,1,2.766,6.854,0.5791,0,2.60401
sift-128-euclidean,pdx-bond,2.49837,4.1198,0.877171,0.99635,112,0,10,10000,0.2,1,2.5,6.077,0.534,0,2.34327
sift-128-euclidean,pdx-bond,2.22272,3.64118,0.816015,0.99496,96,0,10,10000,0.2,1,2.225,5.85,0.484,0,2.07202
sift-128-euclidean,pdx-bond,1.93691,3.15476,0.721119,0.99224,80,0,10,10000,0.2,1,1.939,5.151,0.4298,0,1.79051
sift-128-euclidean,pdx-bond,1.63935,2.63528,0.64464,0.987129,64,0,10,10000,0.2,1,1.642,4.782,0.381,0,1.49757
sift-128-euclidean,pdx-bond,1.48997,2.3773,0.604206,0.983059,56,0,10,10000,0.2,1,1.493,4.377,0.3519,0,1.35079
sift-128-euclidean,pdx-bond,1.32472,2.10717,0.549428,0.977118,48,0,10,10000,0.2,1,1.328,4.46,0.3347,0,1.18745
sift-128-euclidean,pdx-bond,1.15779,1.82098,0.504226,0.967968,40,0,10,10000,0.2,1,1.162,4.041,0.2997,0,1.02434
sift-128-euclidean,pdx-bond,0.984073,1.52582,0.445796,0.954346,32,0,10,10000,0.2,1,0.9886,3.614,0.284,0,0.853968
sift-128-euclidean,pdx-bond,0.893794,1.37772,0.413942,0.944175,28,0,10,10000,0.2,1,0.8987,3.778,0.2622,0,0.765293
sift-128-euclidean,pdx-bond,0.847406,1.30103,0.396746,0.937654,26,0,10,10000,0.2,1,0.8527,3.736,0.2541,0,0.719737
