dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-200-angular,pdx-adsampling,38.7291,78.6889,2.90778,0.99918,512,2.1,10,10000,0.2,1,38.76,91.7,2.908,0,38.5194
glove-200-angular,pdx-adsampling,28.7745,51.3205,2.03793,0.99813,256,2.1,10,10000,0.2,1,28.77,51.32,2.038,0,28.5675
glove-200-angular,pdx-adsampling,26.3041,53.0236,1.86105,0.99663,224,2.1,10,10000,0.2,1,26.33,73.53,1.861,0,26.1359
glove-200-angular,pdx-adsampling,23.9719,42.6935,1.69499,0.993401,192,2.1,10,10000,0.2,1,23.97,42.69,1.695,0,23.7798
glove-200-angular,pdx-adsampling,20.7687,36.8005,1.43203,0.98631,160,2.1,10,10000,0.2,1,20.77,36.8,1.432,0,20.5866
glove-200-angular,pdx-adsampling,19.3741,36.7286,1.36339,0.979449,144,2.1,10,10000,0.2,1,19.37,36.73,1.363,0,19.1933
glove-200-angular,pdx-adsampling,17.673,33.2105,1.21275,0.968568,128,2.1,10,10000,0.2,1,17.67,33.21,1.213,0,17.4995
glove-200-angular,pdx-adsampling,15.9154,29.1162,1.47691,0.952737,112,2.1,10,10000,0.2,1,15.91,29.12,1.113,0,15.7439
glove-200-angular,pdx-adsampling,14.0522,25.8728,1.51935,0.929816,96,2.1,10,10000,0.2,1,14.04,25.87,0.9884,0,13.877
glove-200-angular,pdx-adsampling,12.0504,22.991,1.63703,0.897643,80,2.1,10,10000,0.2,1,12.03,22.99,0.8449,0,11.8763
glove-200-angular,pdx-adsampling,9.76833,18.0035,1.63379,0.850592,64,2.1,10,10000,0.2,1,9.735,19.34,0.7035,0,9.59074
glove-200-angular,pdx-adsampling,8.82943,16.2455,1.59789,0.822271,56,2.1,10,10000,0.2,1,8.791,18.82,0.6288,0,8.64752
glove-200-angular,pdx-adsampling,7.79254,13.3504,1.58181,0.78856,48,2.1,10,10000,0.2,1,7.749,16.25,0.5792,0,7.61016
glove-200-angular,pdx-adsampling,6.64842,11.5301,1.44487,0.746252,40,2.1,10,10000,0.2,1,6.599,15.52,0.4649,0,6.46793
glove-200-angular,pdx-adsampling,5.45625,9.53331,1.21921,0.699324,32,2.1,10,10000,0.2,1,5.413,13.45,0.3958,0,5.29643
glove-200-angular,pdx-adsampling,4.84072,8.47007,1.06542,0.671136,28,2.1,10,10000,0.2,1,4.806,13.3,0.3501,0,4.69772
glove-200-angular,pdx-adsampling,4.52715,8.03545,0.992862,0.655886,26,2.1,10,10000,0.2,1,4.494,12.89,0.3071,0,4.39031
glove-200-angular,pdx-adsampling,4.20688,7.54606,0.907552,0.640187,24,2.1,10,10000,0.2,1,4.18,12.2,0.2836,0,4.08102
glove-200-angular,pdx-adsampling,3.89415,7.09258,0.785535,0.622718,22,2.1,10,10000,0.2,1,3.875,11.66,0.27,0,3.78065
glove-200-angular,pdx-adsampling,3.57022,6.50153,0.698867,0.602639,20,2.1,10,10000,0.2,1,3.555,11.51,0.249,0,3.46498
glove-200-angular,pdx-adsampling,3.24579,5.88968,0.610698,0.582269,18,2.1,10,10000,0.2,1,3.235,10.4,0.2466,0,3.14951
glove-200-angular,pdx-adsampling,2.92101,5.37228,0.522539,0.560781,16,2.1,10,10000,0.2,1,2.915,9.77,0.2404,0,2.83296
glove-200-angular,pdx-adsampling,2.58837,4.82167,0.399764,0.535371,14,2.1,10,10000,0.2,1,2.587,9.509,0.2355,0,2.50693
glove-200-angular,pdx-adsampling,2.25399,4.24564,0.26676,0.510202,12,2.1,10,10000,0.2,1,2.257,10.03,0.2114,0,2.17802
glove-200-angular,pdx-adsampling,1.91994,3.6736,0.186051,0.485222,10,2.1,10,10000,0.2,1,1.922,9.065,0.1861,0,1.84475
glove-200-angular,pdx-adsampling,1.57844,3.07646,0.16019,0.455202,8,2.1,10,10000,0.2,1,1.583,8.722,0.1602,0,1.50709
glove-200-angular,pdx-adsampling,1.22502,2.43415,0.139433,0.418693,6,2.1,10,10000,0.2,1,1.233,8.385,0.1394,0,1.15919
glove-200-angular,pdx-adsampling,0.853727,1.74311,0.110062,0.370983,4,2.1,10,10000,0.2,1,0.8644,2.156,0.1101,0,0.793378
glove-200-angular,pdx-adsampling,0.470843,1.0079,0.072117,0.292471,2,2.1,10,10000,0.2,1,0.4806,1.33,0.07212,0,0.411767
sift-128-euclidean,pdx-adsampling,3.84244,7.91254,0.648608,0.99915,512,2.1,10,10000,0.2,1,3.871,9.476,0.6486,0,3.72038
sift-128-euclidean,pdx-adsampling,2.45437,4.9654,0.402573,0.99903,256,2.1,10,10000,0.2,1,2.46,5.58,0.4026,0,2.35307
sift-128-euclidean,pdx-adsampling,2.246,4.54641,0.371186,0.99895,224,2.1,10,10000,0.2,1,2.25,5.912,0.3712,0,2.14808
sift-128-euclidean,pdx-adsampling,2.02317,4.08191,0.325566,0.99871,192,2.1,10,10000,0.2,1,2.025,4.378,0.3256,0,1.93075
sift-128-euclidean,pdx-adsampling,1.78532,3.50029,0.29008,0.99817,160,2.1,10,10000,0.2,1,1.788,4.953,0.2901,0,1.70057
sift-128-euclidean,pdx-adsampling,1.65258,3.24942,0.26851,0.99771,144,2.1,10,10000,0.2,1,1.655,6.191,0.2685,0,1.57188
