dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
glove-200-angular,pdx-adsampling,9.38265,14.7044,4.02752,0.329591,512,2.1,10,10000,0.2,1,9.381,18.32,2.828,0
glove-200-angular,pdx-adsampling,6.62417,10.6725,2.58037,0.329261,256,2.1,10,10000,0.2,1,6.624,16.15,1.76,0
glove-200-angular,pdx-adsampling,5.98657,9.69032,2.26177,0.329181,224,2.1,10,10000,0.2,1,5.986,12.86,1.498,0
glove-200-angular,pdx-adsampling,5.43827,8.87359,2.07959,0.329051,192,2.1,10,10000,0.2,1,5.443,12.79,1.359,0
glove-200-angular,pdx-adsampling,4.79475,7.82945,1.73809,0.328821,160,2.1,10,10000,0.2,1,4.796,12.02,1.153,0
glove-200-angular,pdx-adsampling,4.41693,7.23139,1.57022,0.328691,144,2.1,10,10000,0.2,1,4.422,12.05,1.06,0
glove-200-angular,pdx-adsampling,3.97975,6.59014,1.37208,0.328521,128,2.1,10,10000,0.2,1,3.981,11.45,0.9392,0
glove-200-angular,pdx-adsampling,3.60139,5.94296,1.24347,0.328211,112,2.1,10,10000,0.2,1,3.603,10.42,0.8041,0
glove-200-angular,pdx-adsampling,3.18929,5.33787,1.04693,0.327881,96,2.1,10,10000,0.2,1,3.19,11.04,0.6784,0
glove-200-angular,pdx-adsampling,2.73427,4.58249,0.895657,0.327541,80,2.1,10,10000,0.2,1,2.735,8.959,0.5553,0
glove-200-angular,pdx-adsampling,2.28465,3.84781,0.714399,0.326891,64,2.1,10,10000,0.2,1,2.287,9.061,0.4424,0
glove-200-angular,pdx-adsampling,2.03809,3.46428,0.617892,0.326472,56,2.1,10,10000,0.2,1,2.039,9.386,0.3718,0
glove-200-angular,pdx-adsampling,1.80462,3.07249,0.535895,0.325862,48,2.1,10,10000,0.2,1,1.807,8.125,0.3288,0
glove-200-angular,pdx-adsampling,1.56466,2.69332,0.4429,0.325051,40,2.1,10,10000,0.2,1,1.568,8.499,0.2828,0
glove-200-angular,pdx-adsampling,1.32732,2.30459,0.363103,0.324171,32,2.1,10,10000,0.2,1,1.331,7.401,0.2571,0
glove-200-angular,pdx-adsampling,1.20653,2.10104,0.319194,0.323371,28,2.1,10,10000,0.2,1,1.211,7.627,0.2377,0
glove-200-angular,pdx-adsampling,1.14224,1.99703,0.293844,0.322922,26,2.1,10,10000,0.2,1,1.146,2.314,0.2222,0
glove-200-angular,pdx-adsampling,1.11643,1.96377,0.27923,0.322471,24,2.1,10,10000,0.2,1,1.121,7.273,0.2165,0
glove-200-angular,pdx-adsampling,1.05491,1.85572,0.25531,0.321842,22,2.1,10,10000,0.2,1,1.059,2.279,0.2064,0
glove-200-angular,pdx-adsampling,0.989851,1.75496,0.230619,0.321091,20,2.1,10,10000,0.2,1,0.9947,7.128,0.2014,0
glove-200-angular,pdx-adsampling,0.923217,1.64963,0.19932,0.320261,18,2.1,10,10000,0.2,1,0.9287,7.703,0.1993,0
glove-200-angular,pdx-adsampling,0.859036,1.54378,0.202085,0.319051,16,2.1,10,10000,0.2,1,0.8645,7.139,0.2021,0
glove-200-angular,pdx-adsampling,0.788973,1.4247,0.192049,0.317621,14,2.1,10,10000,0.2,1,0.7948,7.483,0.192,0
glove-200-angular,pdx-adsampling,0.719256,1.31568,0.181875,0.315421,12,2.1,10,10000,0.2,1,0.7251,7.586,0.1819,0
glove-200-angular,pdx-adsampling,0.650484,1.19726,0.16653,0.312561,10,2.1,10,10000,0.2,1,0.6577,7.036,0.1665,0
glove-200-angular,pdx-adsampling,0.579389,1.07685,0.1521,0.308971,8,2.1,10,10000,0.2,1,0.5867,7.023,0.1521,0
glove-200-angular,pdx-adsampling,0.506191,0.958966,0.140864,0.302671,6,2.1,10,10000,0.2,1,0.5134,1.226,0.1409,0
glove-200-angular,pdx-adsampling,0.428223,0.839049,0.124353,0.291091,4,2.1,10,10000,0.2,1,0.4365,1.152,0.1244,0
glove-200-angular,pdx-adsampling,0.339333,0.714445,0.090525,0.25854,2,2.1,10,10000,0.2,1,0.3479,0.8734,0.09052,0
sift-128-euclidean,pdx-adsampling,2.56848,5.034,0.686558,0.99813,512,2.1,10,10000,0.2,1,2.622,8.494,0.6866,0
sift-128-euclidean,pdx-adsampling,1.69601,3.36392,0.414108,0.99801,256,2.1,10,10000,0.2,1,1.731,7.093,0.4141,0
sift-128-euclidean,pdx-adsampling,1.57342,3.1197,0.376297,0.99793,224,2.1,10,10000,0.2,1,1.604,7.002,0.3763,0
sift-128-euclidean,pdx-adsampling,1.43618,2.83931,0.334431,0.99769,192,2.1,10,10000,0.2,1,1.457,6.374,0.3344,0
sift-128-euclidean,pdx-adsampling,1.28452,2.53375,0.289188,0.99716,160,2.1,10,10000,0.2,1,1.301,6.246,0.2892,0
sift-128-euclidean,pdx-adsampling,1.20343,2.37597,0.266552,0.9967,144,2.1,10,10000,0.2,1,1.218,5.705,0.2666,0
sift-128-euclidean,pdx-adsampling,1.12096,2.20216,0.242989,0.99615,128,2.1,10,10000,0.2,1,1.134,5.704,0.243,0
sift-128-euclidean,pdx-adsampling,1.03524,2.02242,0.222887,0.99525,112,2.1,10,10000,0.2,1,1.045,5.886,0.2229,0
sift-128-euclidean,pdx-adsampling,0.941675,1.82557,0.199157,0.99387,96,2.1,10,10000,0.2,1,0.95,4.783,0.1992,0
sift-128-euclidean,pdx-adsampling,0.846629,1.6345,0.178445,0.99117,80,2.1,10,10000,0.2,1,0.8538,5.267,0.1784,0
sift-128-euclidean,pdx-adsampling,0.738761,1.40824,0.155467,0.986079,64,2.1,10,10000,0.2,1,0.7441,4.947,0.1555,0
sift-128-euclidean,pdx-adsampling,0.680173,1.27868,0.143646,0.982059,56,2.1,10,10000,0.2,1,0.6855,4.847,0.1436,0
sift-128-euclidean,pdx-adsampling,0.617923,1.14778,0.133505,0.976138,48,2.1,10,10000,0.2,1,0.6224,4.52,0.1335,0
sift-128-euclidean,pdx-adsampling,0.551307,1.00837,0.119363,0.967038,40,2.1,10,10000,0.2,1,0.5552,4.432,0.1194,0
sift-128-euclidean,pdx-adsampling,0.479125,0.854859,0.106844,0.953476,32,2.1,10,10000,0.2,1,0.483,4.36,0.1068,0
sift-128-euclidean,pdx-adsampling,0.440766,0.774027,0.106913,0.943344,28,2.1,10,10000,0.2,1,0.4445,4.297,0.1033,0
sift-128-euclidean,pdx-adsampling,0.420749,0.733283,0.110434,0.936853,26,2.1,10,10000,0.2,1,0.424,3.992,0.09894,0
sift-128-euclidean,pdx-adsampling,0.400137,0.692577,0.109332,0.929793,24,2.1,10,10000,0.2,1,0.4036,4.241,0.09607,0
sift-128-euclidean,pdx-adsampling,0.376805,0.646449,0.110544,0.921542,22,2.1,10,10000,0.2,1,0.3804,4.173,0.09344,0
sift-128-euclidean,pdx-adsampling,0.355131,0.603847,0.107762,0.911261,20,2.1,10,10000,0.2,1,0.3586,4.25,0.08968,0
sift-128-euclidean,pdx-adsampling,0.332314,0.558536,0.107868,0.899282,18,2.1,10,10000,0.2,1,0.3358,4.042,0.08829,0
sift-128-euclidean,pdx-adsampling,0.308439,0.510795,0.107752,0.885011,16,2.1,10,10000,0.2,1,0.3117,4.042,0.08371,0
sift-128-euclidean,pdx-adsampling,0.28365,0.464439,0.105058,0.86738,14,2.1,10,10000,0.2,1,0.2866,3.948,0.07952,0
sift-128-euclidean,pdx-adsampling,0.257571,0.413498,0.103016,0.844119,12,2.1,10,10000,0.2,1,0.2608,4.02,0.07517,0
sift-128-euclidean,pdx-adsampling,0.229649,0.362975,0.097007,0.813958,10,2.1,10,10000,0.2,1,0.2328,3.986,0.07513,0
sift-128-euclidean,pdx-adsampling,0.200036,0.311041,0.089909,0.774781,8,2.1,10,10000,0.2,1,0.2031,3.917,0.07004,0
sift-128-euclidean,pdx-adsampling,0.167901,0.25625,0.080742,0.717464,6,2.1,10,10000,0.2,1,0.1711,3.918,0.06599,0
sift-128-euclidean,pdx-adsampling,0.132002,0.196773,0.06728,0.629945,4,2.1,10,10000,0.2,1,0.1347,3.821,0.06089,0
sift-128-euclidean,pdx-adsampling,0.0898958,0.13018,0.053071,0.472259,2,2.1,10,10000,0.2,1,0.09216,3.77,0.05307,0
gist-960-euclidean,pdx-adsampling,7.52405,13.9254,1.52812,0.3877,512,2.1,10,1000,0.2,1,7.565,17.67,1.528,0
gist-960-euclidean,pdx-adsampling,4.97997,9.08434,0.99775,0.3876,256,2.1,10,1000,0.2,1,5.059,10.79,0.9978,0
gist-960-euclidean,pdx-adsampling,4.4619,7.91766,0.924402,0.3875,224,2.1,10,1000,0.2,1,4.558,10.11,0.9244,0
gist-960-euclidean,pdx-adsampling,4.1453,7.46588,0.830361,0.3872,192,2.1,10,1000,0.2,1,4.255,12.42,0.8304,0
gist-960-euclidean,pdx-adsampling,3.74172,6.82129,0.760643,0.3868,160,2.1,10,1000,0.2,1,3.865,8.955,0.7606,0
gist-960-euclidean,pdx-adsampling,3.50799,6.28548,0.783834,0.3865,144,2.1,10,1000,0.2,1,3.631,9.238,0.7267,0
gist-960-euclidean,pdx-adsampling,3.30015,5.92732,0.736462,0.3864,128,2.1,10,1000,0.2,1,3.435,9.294,0.7365,0
gist-960-euclidean,pdx-adsampling,3.05024,5.24117,0.742657,0.3856,112,2.1,10,1000,0.2,1,3.173,8.223,0.7068,0
gist-960-euclidean,pdx-adsampling,2.80127,4.933,0.679792,0.3852,96,2.1,10,1000,0.2,1,2.951,8.259,0.6798,0
gist-960-euclidean,pdx-adsampling,2.54151,4.49007,0.655096,0.384,80,2.1,10,1000,0.2,1,2.705,9.394,0.6508,0
gist-960-euclidean,pdx-adsampling,2.26288,3.94728,0.63474,0.3827,64,2.1,10,1000,0.2,1,2.39,7.394,0.6207,0
gist-960-euclidean,pdx-adsampling,2.1108,3.68714,0.606377,0.3815,56,2.1,10,1000,0.2,1,2.244,7.13,0.6064,0
gist-960-euclidean,pdx-adsampling,1.95211,3.36335,0.598369,0.38,48,2.1,10,1000,0.2,1,2.09,6.895,0.5984,0
gist-960-euclidean,pdx-adsampling,1.80977,3.11958,0.583115,0.3772,40,2.1,10,1000,0.2,1,1.945,6.39,0.5831,0
gist-960-euclidean,pdx-adsampling,1.6506,2.81849,0.568155,0.3741,32,2.1,10,1000,0.2,1,1.781,5.869,0.5682,0
gist-960-euclidean,pdx-adsampling,1.55919,2.61644,0.559022,0.3718,28,2.1,10,1000,0.2,1,1.692,5.535,0.559,0
gist-960-euclidean,pdx-adsampling,1.52612,2.60373,0.556107,0.3703,26,2.1,10,1000,0.2,1,1.654,5.536,0.5561,0
gist-960-euclidean,pdx-adsampling,1.47577,2.49281,0.554713,0.3695,24,2.1,10,1000,0.2,1,1.601,5.418,0.5547,0
gist-960-euclidean,pdx-adsampling,1.43046,2.4279,0.551201,0.3667,22,2.1,10,1000,0.2,1,1.549,5.347,0.5512,0
gist-960-euclidean,pdx-adsampling,1.38121,2.34399,0.546893,0.3648,20,2.1,10,1000,0.2,1,1.496,5.274,0.5469,0
gist-960-euclidean,pdx-adsampling,1.33782,2.23827,0.546286,0.3616,18,2.1,10,1000,0.2,1,1.45,5.025,0.5463,0
gist-960-euclidean,pdx-adsampling,1.29851,2.16826,0.507418,0.3575,16,2.1,10,1000,0.2,1,1.418,8.73,0.5074,0
gist-960-euclidean,pdx-adsampling,1.20198,1.9864,0.507207,0.3532,14,2.1,10,1000,0.2,1,1.299,4.34,0.5072,0
gist-960-euclidean,pdx-adsampling,1.15422,1.878,0.5027,0.3477,12,2.1,10,1000,0.2,1,1.249,4.191,0.5027,0
gist-960-euclidean,pdx-adsampling,1.10285,1.81615,0.503479,0.3412,10,2.1,10,1000,0.2,1,1.212,9.743,0.5035,0
gist-960-euclidean,pdx-adsampling,0.959429,1.5856,0.438601,0.3315,8,2.1,10,1000,0.2,1,1.05,5.174,0.4386,0
gist-960-euclidean,pdx-adsampling,1.00371,1.65153,0.514422,0.3148,6,2.1,10,1000,0.2,1,1.09,5.264,0.5144,0
gist-960-euclidean,pdx-adsampling,0.923489,1.46117,0.50902,0.2886,4,2.1,10,1000,0.2,1,0.9796,3.025,0.509,0
gist-960-euclidean,pdx-adsampling,0.838166,1.30698,0.501415,0.241,2,2.1,10,1000,0.2,1,0.8774,2.349,0.5014,0
deep-image-96-angular,pdx-adsampling,4.72678,8.82324,1.40784,0.99777,512,2.1,10,10000,0.2,1,4.791,17.48,1.408,0
deep-image-96-angular,pdx-adsampling,2.98042,5.67414,0.828322,0.99446,256,2.1,10,10000,0.2,1,3.02,10.13,0.8283,0
deep-image-96-angular,pdx-adsampling,2.76208,5.25587,0.753217,0.993179,224,2.1,10,10000,0.2,1,2.804,9.461,0.7532,0
deep-image-96-angular,pdx-adsampling,2.46418,4.6929,0.677339,0.991419,192,2.1,10,10000,0.2,1,2.494,7.374,0.6773,0
deep-image-96-angular,pdx-adsampling,2.45926,4.73089,0.63762,0.988989,160,2.1,10,10000,0.2,1,2.493,9.151,0.6376,0
deep-image-96-angular,pdx-adsampling,2.06793,3.92173,0.576299,0.987279,144,2.1,10,10000,0.2,1,2.103,6.946,0.5763,0
deep-image-96-angular,pdx-adsampling,2.00623,3.89331,0.524649,0.984809,128,2.1,10,10000,0.2,1,2.042,7.635,0.5246,0
deep-image-96-angular,pdx-adsampling,1.98534,3.76312,0.514952,0.981508,112,2.1,10,10000,0.2,1,2.021,6.649,0.515,0
deep-image-96-angular,pdx-adsampling,1.62181,3.04233,0.43965,0.977738,96,2.1,10,10000,0.2,1,1.657,7.929,0.4396,0
deep-image-96-angular,pdx-adsampling,1.43853,2.67285,0.406266,0.972107,80,2.1,10,10000,0.2,1,1.468,4.265,0.4063,0
deep-image-96-angular,pdx-adsampling,1.26508,2.31645,0.361337,0.963626,64,2.1,10,10000,0.2,1,1.293,6.893,0.3613,0
