dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
glove-200-angular,pdx-adsampling-decimpr,16.8592,30.8894,3.58225,0.785024,512,2.1,10,10000,0.2,1,17.82,65.86,3.065,0
glove-200-angular,pdx-adsampling-decimpr,12.3973,23.4492,1.94589,0.784304,256,2.1,10,10000,0.2,1,13.17,46.09,1.946,0
glove-200-angular,pdx-adsampling-decimpr,11.7394,22.3792,1.78763,0.783424,224,2.1,10,10000,0.2,1,12.46,42.86,1.788,0
glove-200-angular,pdx-adsampling-decimpr,10.5833,20.3536,1.53306,0.781593,192,2.1,10,10000,0.2,1,11.24,43.14,1.533,0
glove-200-angular,pdx-adsampling-decimpr,9.4975,18.3361,1.32553,0.777403,160,2.1,10,10000,0.2,1,10.08,33.94,1.326,0
glove-200-angular,pdx-adsampling-decimpr,8.68679,16.8893,1.25643,0.773392,144,2.1,10,10000,0.2,1,9.211,32.04,1.256,0
glove-200-angular,pdx-adsampling-decimpr,8.04417,15.7155,1.02412,0.766992,128,2.1,10,10000,0.2,1,8.525,28.12,1.024,0
glove-200-angular,pdx-adsampling-decimpr,7.26287,14.3519,1.02293,0.757673,112,2.1,10,10000,0.2,1,7.673,24.69,1.023,0
glove-200-angular,pdx-adsampling-decimpr,6.49847,12.9666,0.810895,0.744362,96,2.1,10,10000,0.2,1,6.849,21.44,0.8109,0
glove-200-angular,pdx-adsampling-decimpr,5.73225,11.5571,0.683212,0.726232,80,2.1,10,10000,0.2,1,6.012,17.83,0.6832,0
glove-200-angular,pdx-adsampling-decimpr,4.86173,9.91685,0.568034,0.698694,64,2.1,10,10000,0.2,1,5.081,15.85,0.568,0
glove-200-angular,pdx-adsampling-decimpr,4.3763,8.96995,0.496038,0.682165,56,2.1,10,10000,0.2,1,4.557,14.19,0.496,0
glove-200-angular,pdx-adsampling-decimpr,3.99375,8.26433,0.477463,0.662185,48,2.1,10,10000,0.2,1,4.142,12.28,0.4775,0
glove-200-angular,pdx-adsampling-decimpr,3.42088,7.11722,0.355904,0.635747,40,2.1,10,10000,0.2,1,3.531,11.55,0.3559,0
glove-200-angular,pdx-adsampling-decimpr,2.99043,6.26533,0.321571,0.606327,32,2.1,10,10000,0.2,1,3.066,11.46,0.3216,0
glove-200-angular,pdx-adsampling-decimpr,2.68398,5.65156,0.274873,0.588078,28,2.1,10,10000,0.2,1,2.742,11.52,0.2749,0
glove-200-angular,pdx-adsampling-decimpr,2.54008,5.36321,0.24327,0.578339,26,2.1,10,10000,0.2,1,2.591,8.573,0.2433,0
