dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
glove-200-angular,pdx-adsampling-dz,32.7946,71.1635,3.33207,0.99378,512,2.1,10,10000,0.2,1,32.79,71.16,3.332,0
glove-200-angular,pdx-adsampling-dz,24.4055,52.5662,2.29882,0.99274,256,2.1,10,10000,0.2,1,24.41,52.57,2.299,0
glove-200-angular,pdx-adsampling-dz,22.4477,47.076,2.02602,0.99127,224,2.1,10,10000,0.2,1,22.45,47.08,2.026,0
glove-200-angular,pdx-adsampling-dz,20.2076,42.5305,1.78359,0.98807,192,2.1,10,10000,0.2,1,20.21,42.53,1.784,0
glove-200-angular,pdx-adsampling-dz,17.8094,37.9547,1.57087,0.98108,160,2.1,10,10000,0.2,1,17.81,37.95,1.571,0
glove-200-angular,pdx-adsampling-dz,16.4982,34.322,1.3889,0.974309,144,2.1,10,10000,0.2,1,16.5,34.32,1.389,0
glove-200-angular,pdx-adsampling-dz,15.0969,32.326,1.23286,0.963598,128,2.1,10,10000,0.2,1,15.1,32.33,1.233,0
glove-200-angular,pdx-adsampling-dz,13.6353,28.6667,1.02911,0.947907,112,2.1,10,10000,0.2,1,13.64,28.67,1.029,0
glove-200-angular,pdx-adsampling-dz,12.0917,24.6507,0.866608,0.925216,96,2.1,10,10000,0.2,1,12.09,25.75,0.8666,0
glove-200-angular,pdx-adsampling-dz,10.459,21.8029,0.728792,0.893423,80,2.1,10,10000,0.2,1,10.47,24.1,0.7288,0
glove-200-angular,pdx-adsampling-dz,8.80582,18.0668,0.590135,0.846852,64,2.1,10,10000,0.2,1,8.821,20.6,0.5901,0
glove-200-angular,pdx-adsampling-dz,7.90133,15.6493,0.512952,0.81891,56,2.1,10,10000,0.2,1,7.909,19.38,0.513,0
glove-200-angular,pdx-adsampling-dz,6.86832,12.9218,0.446925,0.785439,48,2.1,10,10000,0.2,1,6.878,17.46,0.4469,0
glove-200-angular,pdx-adsampling-dz,5.87599,11.0483,0.39091,0.743462,40,2.1,10,10000,0.2,1,5.884,15.89,0.3624,0
glove-200-angular,pdx-adsampling-dz,4.86007,9.18469,0.479359,0.697184,32,2.1,10,10000,0.2,1,4.864,14.02,0.3091,0
glove-200-angular,pdx-adsampling-dz,4.34204,8.0182,0.461223,0.669325,28,2.1,10,10000,0.2,1,4.346,12.97,0.2876,0
glove-200-angular,pdx-adsampling-dz,4.07342,7.51264,0.496044,0.654146,26,2.1,10,10000,0.2,1,4.075,13.46,0.246,0
glove-200-angular,pdx-adsampling-dz,3.80192,7.16663,0.485222,0.638587,24,2.1,10,10000,0.2,1,3.803,12.49,0.23,0
glove-200-angular,pdx-adsampling-dz,3.52661,6.57673,0.406361,0.621268,22,2.1,10,10000,0.2,1,3.529,11.17,0.2187,0
glove-200-angular,pdx-adsampling-dz,3.25031,6.11166,0.366804,0.601408,20,2.1,10,10000,0.2,1,3.252,10.71,0.2049,0
glove-200-angular,pdx-adsampling-dz,2.96474,5.66244,0.344558,0.581149,18,2.1,10,10000,0.2,1,2.967,11.81,0.2008,0
glove-200-angular,pdx-adsampling-dz,2.67462,5.07481,0.292509,0.559781,16,2.1,10,10000,0.2,1,2.679,10.52,0.1984,0
glove-200-angular,pdx-adsampling-dz,2.3841,4.58489,0.260084,0.534661,14,2.1,10,10000,0.2,1,2.388,10.83,0.1974,0
glove-200-angular,pdx-adsampling-dz,2.08959,4.02607,0.173278,0.509602,12,2.1,10,10000,0.2,1,2.094,9.614,0.1733,0
glove-200-angular,pdx-adsampling-dz,1.79316,3.51294,0.16149,0.484742,10,2.1,10,10000,0.2,1,1.797,9.714,0.1615,0
glove-200-angular,pdx-adsampling-dz,1.51438,2.99435,0.156674,0.454812,8,2.1,10,10000,0.2,1,1.52,9.506,0.1567,0
glove-200-angular,pdx-adsampling-dz,1.1858,2.38569,0.136184,0.418513,6,2.1,10,10000,0.2,1,1.193,8.188,0.1362,0
