dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
glove-200-angular,pdx-bsa,69.188,74.4017,63.0814,0.99987,512,16,10,10000,0.2,1,67.84,78.09,17.87,0
glove-200-angular,pdx-bsa,46.6524,53.2838,39.5653,0.99841,256,16,10,10000,0.2,1,45.91,56.93,10.02,0
glove-200-angular,pdx-bsa,42.0331,48.6804,35.1097,0.99619,224,16,10,10000,0.2,1,41.38,51.52,8.692,0
glove-200-angular,pdx-bsa,37.8673,44.1986,31.1565,0.992371,192,16,10,10000,0.2,1,37.27,47.55,8.282,0
glove-200-angular,pdx-bsa,31.8583,37.5225,25.5831,0.98358,160,16,10,10000,0.2,1,31.37,42.07,7.303,0
glove-200-angular,pdx-bsa,29.062,34.5271,23.0229,0.975069,144,16,10,10000,0.2,1,28.62,40.07,6.506,0
glove-200-angular,pdx-bsa,26.2303,31.6456,20.5409,0.962407,128,16,10,10000,0.2,1,25.82,35.79,5.618,0
glove-200-angular,pdx-bsa,23.3713,28.5685,17.9767,0.945346,112,16,10,10000,0.2,1,23.0,32.87,4.846,0
glove-200-angular,pdx-bsa,20.1549,24.8146,15.2121,0.918545,96,16,10,10000,0.2,1,19.83,29.69,4.174,0
glove-200-angular,pdx-bsa,16.9538,21.3483,12.3886,0.883222,80,16,10,10000,0.2,1,16.68,26.3,3.681,0
glove-200-angular,pdx-bsa,13.7233,17.823,9.45504,0.83598,64,16,10,10000,0.2,1,13.5,23.1,2.64,0
glove-200-angular,pdx-bsa,12.0941,16.0903,8.0073,0.805939,56,16,10,10000,0.2,1,11.89,21.03,2.393,0
glove-200-angular,pdx-bsa,10.4916,14.326,6.47689,0.76994,48,16,10,10000,0.2,1,10.33,17.91,2.088,0
glove-200-angular,pdx-bsa,8.7844,12.3679,4.9587,0.729873,40,16,10,10000,0.2,1,8.664,17.29,1.65,0
glove-200-angular,pdx-bsa,6.97552,10.4798,3.43915,0.683546,32,16,10,10000,0.2,1,6.896,15.16,1.325,0
glove-200-angular,pdx-bsa,6.11691,9.34408,2.80801,0.655077,28,16,10,10000,0.2,1,6.05,13.86,1.077,0
glove-200-angular,pdx-bsa,5.68201,8.86504,2.44123,0.639737,26,16,10,10000,0.2,1,5.63,13.49,0.9886,0
glove-200-angular,pdx-bsa,5.2464,8.29513,2.1633,0.624049,24,16,10,10000,0.2,1,5.202,13.66,0.9145,0
glove-200-angular,pdx-bsa,4.80379,7.76363,1.8115,0.606439,22,16,10,10000,0.2,1,4.769,12.67,0.8694,0
glove-200-angular,pdx-bsa,4.36905,7.15543,1.53841,0.58779,20,16,10,10000,0.2,1,4.342,12.34,0.8485,0
glove-200-angular,pdx-bsa,3.93157,6.5998,1.27649,0.568211,18,16,10,10000,0.2,1,3.91,12.47,0.7542,0
glove-200-angular,pdx-bsa,3.55383,6.03097,1.04226,0.546161,16,16,10,10000,0.2,1,3.542,10.45,0.7413,0
glove-200-angular,pdx-bsa,3.12457,5.42909,0.835506,0.522672,14,16,10,10000,0.2,1,3.12,8.819,0.6167,0
glove-200-angular,pdx-bsa,2.68287,4.78094,0.595792,0.499352,12,16,10,10000,0.2,1,2.684,9.845,0.518,0
glove-200-angular,pdx-bsa,2.20594,4.04253,0.39086,0.473683,10,16,10,10000,0.2,1,2.209,8.33,0.3909,0
glove-200-angular,pdx-bsa,1.82646,3.45535,0.301313,0.445432,8,16,10,10000,0.2,1,1.839,9.724,0.3013,0
glove-200-angular,pdx-bsa,1.38345,2.71823,0.205127,0.409642,6,16,10,10000,0.2,1,1.402,9.149,0.2051,0
glove-200-angular,pdx-bsa,0.943918,1.9443,0.150047,0.364512,4,16,10,10000,0.2,1,0.9625,8.967,0.15,0
