dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
glove-200-angular,pdx-bsa-decimpr,69.4055,75.1857,63.1282,0.99987,512,16,10,10000,0.2,1,68.22,79.03,15.04,0
glove-200-angular,pdx-bsa-decimpr,46.0388,52.7393,39.126,0.99841,256,16,10,10000,0.2,1,45.37,57.44,6.489,0
glove-200-angular,pdx-bsa-decimpr,41.5078,48.0134,34.7816,0.99619,224,16,10,10000,0.2,1,40.91,51.93,5.565,0
glove-200-angular,pdx-bsa-decimpr,36.6706,42.8221,30.2298,0.992371,192,16,10,10000,0.2,1,36.14,46.54,4.937,0
glove-200-angular,pdx-bsa-decimpr,31.59,37.5352,25.3927,0.98358,160,16,10,10000,0.2,1,31.13,41.55,4.283,0
glove-200-angular,pdx-bsa-decimpr,28.6475,34.1052,22.7851,0.975069,144,16,10,10000,0.2,1,28.23,39.78,3.839,0
glove-200-angular,pdx-bsa-decimpr,25.8913,31.1893,20.3423,0.962407,128,16,10,10000,0.2,1,25.51,35.65,3.429,0
glove-200-angular,pdx-bsa-decimpr,23.0093,27.6899,17.8067,0.945346,112,16,10,10000,0.2,1,22.66,33.23,3.069,0
glove-200-angular,pdx-bsa-decimpr,19.8258,24.2955,15.049,0.918545,96,16,10,10000,0.2,1,19.51,29.01,2.419,0
glove-200-angular,pdx-bsa-decimpr,17.025,21.3978,12.4842,0.883222,80,16,10,10000,0.2,1,16.75,26.21,1.801,0
glove-200-angular,pdx-bsa-decimpr,13.5464,17.5163,9.36394,0.83598,64,16,10,10000,0.2,1,13.33,23.54,1.418,0
glove-200-angular,pdx-bsa-decimpr,11.9199,15.6669,7.94932,0.805939,56,16,10,10000,0.2,1,11.72,20.43,1.286,0
glove-200-angular,pdx-bsa-decimpr,10.2504,14.0492,6.35572,0.76994,48,16,10,10000,0.2,1,10.1,20.17,1.111,0
glove-200-angular,pdx-bsa-decimpr,8.58714,11.9654,4.87814,0.729873,40,16,10,10000,0.2,1,8.471,16.17,0.8378,0
glove-200-angular,pdx-bsa-decimpr,6.88283,10.3667,3.41001,0.683546,32,16,10,10000,0.2,1,6.807,15.57,0.6639,0
glove-200-angular,pdx-bsa-decimpr,6.03305,9.23619,2.77365,0.655077,28,16,10,10000,0.2,1,5.97,14.84,0.6174,0
glove-200-angular,pdx-bsa-decimpr,5.56062,8.68628,2.41274,0.639737,26,16,10,10000,0.2,1,5.509,13.64,0.5955,0
glove-200-angular,pdx-bsa-decimpr,5.13029,8.10716,2.12016,0.624049,24,16,10,10000,0.2,1,5.089,13.82,0.5559,0
glove-200-angular,pdx-bsa-decimpr,4.70468,7.5838,1.8002,0.606439,22,16,10,10000,0.2,1,4.671,12.14,0.5165,0
glove-200-angular,pdx-bsa-decimpr,4.2797,6.99229,1.50962,0.58779,20,16,10,10000,0.2,1,4.254,12.22,0.5097,0
glove-200-angular,pdx-bsa-decimpr,3.84764,6.45055,1.26663,0.568211,18,16,10,10000,0.2,1,3.828,10.75,0.4712,0
glove-200-angular,pdx-bsa-decimpr,3.49795,5.94688,1.05805,0.546161,16,16,10,10000,0.2,1,3.484,9.917,0.4608,0
glove-200-angular,pdx-bsa-decimpr,3.02637,5.23831,0.813436,0.522672,14,16,10,10000,0.2,1,3.023,9.995,0.4207,0
glove-200-angular,pdx-bsa-decimpr,2.60263,4.62805,0.58,0.499352,12,16,10,10000,0.2,1,2.603,9.724,0.3954,0
glove-200-angular,pdx-bsa-decimpr,2.18189,4.00961,0.376704,0.473683,10,16,10,10000,0.2,1,2.185,10.2,0.3358,0
glove-200-angular,pdx-bsa-decimpr,1.76241,3.31997,0.295691,0.445432,8,16,10,10000,0.2,1,1.769,8.598,0.2957,0
glove-200-angular,pdx-bsa-decimpr,1.33418,2.61372,0.204104,0.409642,6,16,10,10000,0.2,1,1.348,8.165,0.2041,0
glove-200-angular,pdx-bsa-decimpr,0.909538,1.86615,0.146702,0.364512,4,16,10,10000,0.2,1,0.9275,8.037,0.1467,0
glove-200-angular,pdx-bsa-decimpr,0.480782,1.04545,0.083569,0.286151,2,16,10,10000,0.2,1,0.4986,7.082,0.08357,0
sift-128-euclidean,pdx-bsa-decimpr,4.3774,13.1248,1.29997,0.578841,512,8,10,10000,0.2,1,4.377,13.12,1.3,0
sift-128-euclidean,pdx-bsa-decimpr,2.48586,7.8483,0.728046,0.578361,256,8,10,10000,0.2,1,2.494,9.172,0.728,0
sift-128-euclidean,pdx-bsa-decimpr,2.21602,6.95708,0.641963,0.578161,224,8,10,10000,0.2,1,2.228,8.749,0.642,0
sift-128-euclidean,pdx-bsa-decimpr,1.94568,6.0469,0.561697,0.577631,192,8,10,10000,0.2,1,1.959,8.258,0.5617,0
sift-128-euclidean,pdx-bsa-decimpr,1.65429,5.0085,0.462836,0.576881,160,8,10,10000,0.2,1,1.665,7.215,0.4628,0
sift-128-euclidean,pdx-bsa-decimpr,1.49152,4.5799,0.426651,0.57617,144,8,10,10000,0.2,1,1.504,7.255,0.4267,0
sift-128-euclidean,pdx-bsa-decimpr,1.34972,3.63388,0.390198,0.57506,128,8,10,10000,0.2,1,1.36,6.512,0.3902,0
sift-128-euclidean,pdx-bsa-decimpr,1.2069,3.22247,0.349225,0.57367,112,8,10,10000,0.2,1,1.217,6.651,0.3492,0
sift-128-euclidean,pdx-bsa-decimpr,1.05956,2.87965,0.311841,0.571699,96,8,10,10000,0.2,1,1.068,6.07,0.3118,0
sift-128-euclidean,pdx-bsa-decimpr,0.908215,2.52715,0.273674,0.568229,80,8,10,10000,0.2,1,0.9148,5.215,0.2737,0
sift-128-euclidean,pdx-bsa-decimpr,0.753259,2.12711,0.234454,0.563209,64,8,10,10000,0.2,1,0.7589,5.616,0.2345,0
sift-128-euclidean,pdx-bsa-decimpr,0.684971,1.96948,0.220693,0.559418,56,8,10,10000,0.2,1,0.6906,5.166,0.2207,0
sift-128-euclidean,pdx-bsa-decimpr,0.6068,1.72404,0.202202,0.553618,48,8,10,10000,0.2,1,0.612,5.422,0.2022,0
sift-128-euclidean,pdx-bsa-decimpr,0.52189,1.45848,0.177866,0.546278,40,8,10,10000,0.2,1,0.5273,4.924,0.1779,0
sift-128-euclidean,pdx-bsa-decimpr,0.436323,1.18639,0.158977,0.534429,32,8,10,10000,0.2,1,0.4421,4.883,0.159,0
sift-128-euclidean,pdx-bsa-decimpr,0.392669,1.04915,0.147475,0.527029,28,8,10,10000,0.2,1,0.3988,4.561,0.1475,0
sift-128-euclidean,pdx-bsa-decimpr,0.370053,0.979105,0.141388,0.522819,26,8,10,10000,0.2,1,0.3769,4.587,0.1414,0
sift-128-euclidean,pdx-bsa-decimpr,0.348146,0.90908,0.13242,0.517629,24,8,10,10000,0.2,1,0.3547,4.423,0.1324,0
sift-128-euclidean,pdx-bsa-decimpr,0.325497,0.840506,0.128909,0.51151,22,8,10,10000,0.2,1,0.3324,4.333,0.1289,0
sift-128-euclidean,pdx-bsa-decimpr,0.303193,0.772428,0.122916,0.505421,20,8,10,10000,0.2,1,0.3098,4.374,0.1229,0
sift-128-euclidean,pdx-bsa-decimpr,0.280534,0.69948,0.118132,0.498271,18,8,10,10000,0.2,1,0.287,4.447,0.1181,0
sift-128-euclidean,pdx-bsa-decimpr,0.257449,0.629313,0.109923,0.489251,16,8,10,10000,0.2,1,0.264,4.14,0.1099,0
sift-128-euclidean,pdx-bsa-decimpr,0.234156,0.558058,0.103355,0.478841,14,8,10,10000,0.2,1,0.2406,4.168,0.1034,0
sift-128-euclidean,pdx-bsa-decimpr,0.211325,0.487341,0.0962,0.465562,12,8,10,10000,0.2,1,0.2172,3.997,0.0962,0
sift-128-euclidean,pdx-bsa-decimpr,0.187485,0.415879,0.087074,0.449882,10,8,10,10000,0.2,1,0.193,4.131,0.08707,0
sift-128-euclidean,pdx-bsa-decimpr,0.16371,0.344206,0.080454,0.430071,8,8,10,10000,0.2,1,0.1686,3.93,0.08045,0
sift-128-euclidean,pdx-bsa-decimpr,0.139141,0.270623,0.075156,0.403382,6,8,10,10000,0.2,1,0.1435,3.89,0.07516,0
sift-128-euclidean,pdx-bsa-decimpr,0.113869,0.19703,0.064995,0.368161,4,8,10,10000,0.2,1,0.117,3.816,0.06499,0
sift-128-euclidean,pdx-bsa-decimpr,0.0848825,0.126893,0.048078,0.314441,2,8,10,10000,0.2,1,0.08774,3.81,0.04808,0
gist-960-euclidean,pdx-bsa-decimpr,17.7928,48.6481,2.45088,0.3766,512,8,10,1000,0.2,1,17.83,56.47,2.451,0
gist-960-euclidean,pdx-bsa-decimpr,11.5455,30.5523,1.39393,0.3756,256,8,10,1000,0.2,1,11.59,36.96,1.394,0
gist-960-euclidean,pdx-bsa-decimpr,10.6478,29.3635,1.36042,0.3749,224,8,10,1000,0.2,1,10.69,31.82,1.36,0
gist-960-euclidean,pdx-bsa-decimpr,9.52244,26.2999,1.24408,0.3742,192,8,10,1000,0.2,1,9.564,31.33,1.244,0
gist-960-euclidean,pdx-bsa-decimpr,8.38947,23.1403,1.09682,0.372,160,8,10,1000,0.2,1,8.407,26.04,1.097,0
gist-960-euclidean,pdx-bsa-decimpr,7.76609,22.1258,1.00233,0.3714,144,8,10,1000,0.2,1,7.816,24.99,1.002,0
gist-960-euclidean,pdx-bsa-decimpr,7.10404,20.4795,0.906998,0.3703,128,8,10,1000,0.2,1,7.12,22.76,0.907,0
gist-960-euclidean,pdx-bsa-decimpr,6.47931,18.3003,0.879182,0.369,112,8,10,1000,0.2,1,6.507,21.4,0.8792,0
gist-960-euclidean,pdx-bsa-decimpr,5.89031,16.6664,0.826759,0.3658,96,8,10,1000,0.2,1,5.915,19.45,0.8268,0
gist-960-euclidean,pdx-bsa-decimpr,5.18828,14.6637,0.721113,0.3614,80,8,10,1000,0.2,1,5.23,17.61,0.7211,0
gist-960-euclidean,pdx-bsa-decimpr,4.41415,12.1479,0.744331,0.3564,64,8,10,1000,0.2,1,4.501,14.9,0.7443,0
gist-960-euclidean,pdx-bsa-decimpr,3.98742,11.0193,0.636177,0.3531,56,8,10,1000,0.2,1,4.06,13.35,0.6362,0
gist-960-euclidean,pdx-bsa-decimpr,3.61018,9.86637,0.638354,0.3481,48,8,10,1000,0.2,1,3.682,13.55,0.6384,0
gist-960-euclidean,pdx-bsa-decimpr,3.17181,8.43644,0.616161,0.3407,40,8,10,1000,0.2,1,3.254,11.12,0.6162,0
gist-960-euclidean,pdx-bsa-decimpr,2.76315,7.23374,0.588385,0.3314,32,8,10,1000,0.2,1,2.839,9.547,0.5884,0
gist-960-euclidean,pdx-bsa-decimpr,2.51555,6.43867,0.570285,0.3267,28,8,10,1000,0.2,1,2.58,9.055,0.5703,0
gist-960-euclidean,pdx-bsa-decimpr,2.40225,6.08194,0.56789,0.3235,26,8,10,1000,0.2,1,2.468,8.279,0.5679,0
gist-960-euclidean,pdx-bsa-decimpr,2.29258,5.87778,0.55672,0.3193,24,8,10,1000,0.2,1,2.356,8.078,0.5567,0
gist-960-euclidean,pdx-bsa-decimpr,2.17021,5.47699,0.55682,0.315,22,8,10,1000,0.2,1,2.241,7.869,0.5568,0
gist-960-euclidean,pdx-bsa-decimpr,2.05135,5.06816,0.548203,0.31,20,8,10,1000,0.2,1,2.12,7.124,0.5482,0
gist-960-euclidean,pdx-bsa-decimpr,1.95053,4.81273,0.543331,0.3056,18,8,10,1000,0.2,1,2.021,6.559,0.5433,0
gist-960-euclidean,pdx-bsa-decimpr,2.02271,5.15205,0.498924,0.3012,16,8,10,1000,0.2,1,2.163,15.14,0.4989,0
gist-960-euclidean,pdx-bsa-decimpr,1.97611,4.6998,0.534317,0.2939,14,8,10,1000,0.2,1,2.043,8.63,0.5343,0
gist-960-euclidean,pdx-bsa-decimpr,1.60968,3.75093,0.485996,0.2868,12,8,10,1000,0.2,1,1.67,5.48,0.486,0
gist-960-euclidean,pdx-bsa-decimpr,1.45514,3.27763,0.489274,0.2794,10,8,10,1000,0.2,1,1.511,4.739,0.4893,0
gist-960-euclidean,pdx-bsa-decimpr,1.30949,2.82929,0.480509,0.2675,8,8,10,1000,0.2,1,1.36,4.291,0.4805,0
gist-960-euclidean,pdx-bsa-decimpr,1.22873,2.57914,0.466236,0.253,6,8,10,1000,0.2,1,1.294,5.775,0.4662,0
gist-960-euclidean,pdx-bsa-decimpr,1.05392,2.05848,0.460545,0.236,4,8,10,1000,0.2,1,1.113,4.384,0.4605,0
gist-960-euclidean,pdx-bsa-decimpr,0.906071,1.50259,0.487142,0.2081,2,8,10,1000,0.2,1,0.9392,4.501,0.4871,0
deep-image-96-angular,pdx-bsa-decimpr,10.65,18.8675,3.5044,0.843897,512,8,10,10000,0.2,1,10.69,24.29,3.504,0
deep-image-96-angular,pdx-bsa-decimpr,6.09669,11.3235,1.90918,0.838736,256,8,10,10000,0.2,1,6.16,16.82,1.909,0
deep-image-96-angular,pdx-bsa-decimpr,5.48412,10.1951,1.65845,0.836935,224,8,10,10000,0.2,1,5.554,13.53,1.658,0
