dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_100k,pdx-adsampling,3.70156,7.83736,1.09051,0.9998,512,2.1,10,1000,0.2,1,3.878,13.26,1.091,0,3.60432
instructorxl-arxiv-768_100k,pdx-adsampling,2.71855,5.83353,0.764868,0.9996,256,2.1,10,1000,0.2,1,2.834,9.162,0.7649,0,2.6074
instructorxl-arxiv-768_100k,pdx-adsampling,2.54393,5.48512,0.713874,0.9995,224,2.1,10,1000,0.2,1,2.652,8.491,0.7139,0,2.43649
instructorxl-arxiv-768_100k,pdx-adsampling,2.36815,5.12715,0.663942,0.9993,192,2.1,10,1000,0.2,1,2.455,7.693,0.6639,0,2.24996
instructorxl-arxiv-768_100k,pdx-adsampling,2.14317,4.58472,0.61,0.9991,160,2.1,10,1000,0.2,1,2.211,6.703,0.61,0,2.01965
instructorxl-arxiv-768_100k,pdx-adsampling,2.04942,4.36623,0.562943,0.9989,144,2.1,10,1000,0.2,1,2.103,6.109,0.5629,0,1.91478
instructorxl-arxiv-768_100k,pdx-adsampling,1.91612,4.05745,0.517221,0.9983,128,2.1,10,1000,0.2,1,1.966,5.609,0.5172,0,1.7859
instructorxl-arxiv-768_100k,pdx-adsampling,1.7883,3.7151,0.503693,0.9977,112,2.1,10,1000,0.2,1,1.832,4.992,0.5037,0,1.65574
instructorxl-arxiv-768_100k,pdx-adsampling,1.6493,3.44982,0.448196,0.9957,96,2.1,10,1000,0.2,1,1.688,4.407,0.4482,0,1.5171
instructorxl-arxiv-768_100k,pdx-adsampling,1.51442,3.19054,0.42138,0.9936,80,2.1,10,1000,0.2,1,1.532,3.797,0.4214,0,1.36733
instructorxl-arxiv-768_100k,pdx-adsampling,1.34637,2.72983,0.370395,0.990301,64,2.1,10,1000,0.2,1,1.358,3.13,0.3704,0,1.1981
instructorxl-arxiv-768_100k,pdx-adsampling,1.25254,2.52423,0.333013,0.987701,56,2.1,10,1000,0.2,1,1.263,3.142,0.333,0,1.10407
instructorxl-arxiv-768_100k,pdx-adsampling,1.15774,2.25807,0.311455,0.984201,48,2.1,10,1000,0.2,1,1.159,2.469,0.3115,0,1.00217
instructorxl-arxiv-768_100k,pdx-adsampling,1.04832,2.01519,0.2901,0.976901,40,2.1,10,1000,0.2,1,1.051,2.157,0.2901,0,0.897375
instructorxl-arxiv-768_100k,pdx-adsampling,0.927569,1.76143,0.263835,0.968101,32,2.1,10,1000,0.2,1,0.9289,2.222,0.2638,0,0.779316
instructorxl-arxiv-768_100k,pdx-adsampling,0.860699,1.61167,0.245781,0.960601,28,2.1,10,1000,0.2,1,0.8622,2.317,0.2458,0,0.713868
instructorxl-arxiv-768_100k,pdx-adsampling,0.827298,1.52171,0.235005,0.956601,26,2.1,10,1000,0.2,1,0.8282,1.729,0.235,0,0.679122
instructorxl-arxiv-768_100k,pdx-adsampling,0.791144,1.46556,0.232005,0.951401,24,2.1,10,1000,0.2,1,0.7935,2.117,0.232,0,0.646117
instructorxl-arxiv-768_100k,pdx-adsampling,0.753983,1.34801,0.221808,0.945801,22,2.1,10,1000,0.2,1,0.7571,2.16,0.2218,0,0.610501
instructorxl-arxiv-768_100k,pdx-adsampling,0.717261,1.27778,0.218377,0.939701,20,2.1,10,1000,0.2,1,0.7181,1.57,0.2184,0,0.572043
instructorxl-arxiv-768_100k,pdx-adsampling,0.677155,1.13857,0.214153,0.931301,18,2.1,10,1000,0.2,1,0.6788,1.751,0.2142,0,0.533274
instructorxl-arxiv-768_100k,pdx-adsampling,0.639982,1.05768,0.212117,0.920901,16,2.1,10,1000,0.2,1,0.6424,1.7,0.2121,0,0.497574
instructorxl-arxiv-768_100k,pdx-adsampling,0.593186,0.961973,0.205225,0.907101,14,2.1,10,1000,0.2,1,0.5944,1.427,0.2052,0,0.449249
instructorxl-arxiv-768_100k,pdx-adsampling,0.546604,0.864088,0.199408,0.889301,12,2.1,10,1000,0.2,1,0.548,1.56,0.1994,0,0.40447
instructorxl-arxiv-768_100k,pdx-adsampling,0.500427,0.786617,0.244774,0.867501,10,2.1,10,1000,0.2,1,0.5013,1.357,0.195,0,0.357241
instructorxl-arxiv-768_100k,pdx-adsampling,0.443043,0.64277,0.241779,0.837601,8,2.1,10,1000,0.2,1,0.4444,1.561,0.1861,0,0.30079
instructorxl-arxiv-768_100k,pdx-adsampling,0.384356,0.562166,0.221184,0.794001,6,2.1,10,1000,0.2,1,0.3847,0.6067,0.1798,0,0.242888
instructorxl-arxiv-768_100k,pdx-adsampling,0.319271,0.445356,0.199518,0.716301,4,2.1,10,1000,0.2,1,0.3212,1.317,0.1744,0,0.179166
instructorxl-arxiv-768_100k,pdx-adsampling,0.238228,0.316778,0.164977,0.5694,2,2.1,10,1000,0.2,1,0.2401,1.236,0.165,0,0.0986826
