dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_100k,pdx-bond,11.7465,17.449,6.47904,1,256,0,10,1000,0.2,1,11.75,17.69,6.479,0,11.5932
instructorxl-arxiv-768_100k,pdx-bond,10.8873,15.9242,5.91348,1,224,0,10,1000,0.2,1,10.91,20.5,5.913,0,10.7469
instructorxl-arxiv-768_100k,pdx-bond,9.82216,14.595,5.29559,1,192,0,10,1000,0.2,1,9.835,16.19,5.296,0,9.67645
instructorxl-arxiv-768_100k,pdx-bond,8.59325,12.1659,4.61258,1,160,0,10,1000,0.2,1,8.598,13.22,4.613,0,8.4442
instructorxl-arxiv-768_100k,pdx-bond,8.0931,11.6388,4.28091,0.9999,144,0,10,1000,0.2,1,8.111,13,4.281,0,7.95912
instructorxl-arxiv-768_100k,pdx-bond,7.34492,10.8528,3.89225,0.9999,128,0,10,1000,0.2,1,7.343,12.16,3.771,0,7.19506
instructorxl-arxiv-768_100k,pdx-bond,6.65135,9.74789,3.51962,0.9999,112,0,10,1000,0.2,1,6.677,14.24,3.307,0,6.53119
instructorxl-arxiv-768_100k,pdx-bond,6.01854,8.60207,3.19847,0.9995,96,0,10,1000,0.2,1,6.034,11.31,2.905,0,5.8896
instructorxl-arxiv-768_100k,pdx-bond,5.17725,7.36945,2.8936,0.9987,80,0,10,1000,0.2,1,5.183,8.572,2.395,0,5.04305
instructorxl-arxiv-768_100k,pdx-bond,4.30952,6.04939,2.44837,0.9969,64,0,10,1000,0.2,1,4.319,7.218,1.902,0,4.18858
instructorxl-arxiv-768_100k,pdx-bond,3.8919,5.4649,2.18662,0.9956,56,0,10,1000,0.2,1,3.903,7.011,1.675,0,3.77622
instructorxl-arxiv-768_100k,pdx-bond,3.42425,4.82002,1.91617,0.9944,48,0,10,1000,0.2,1,3.443,7.463,1.408,0,3.31783
instructorxl-arxiv-768_100k,pdx-bond,2.95668,4.27896,1.64276,0.9909,40,0,10,1000,0.2,1,2.976,6.221,1.19,0,2.85669
instructorxl-arxiv-768_100k,pdx-bond,2.48643,3.51759,1.41937,0.9864,32,0,10,1000,0.2,1,2.503,8.334,0.9706,0,2.38619
instructorxl-arxiv-768_100k,pdx-bond,2.1951,3.09078,1.2909,0.981801,28,0,10,1000,0.2,1,2.201,4.505,0.8955,0,2.08802
instructorxl-arxiv-768_100k,pdx-bond,2.07299,2.87782,1.21455,0.979401,26,0,10,1000,0.2,1,2.072,3.759,0.8389,0,1.9602
instructorxl-arxiv-768_100k,pdx-bond,1.93847,2.70453,1.10241,0.976501,24,0,10,1000,0.2,1,1.941,4.58,0.7579,0,1.82983
instructorxl-arxiv-768_100k,pdx-bond,1.80733,2.60466,1.0044,0.972401,22,0,10,1000,0.2,1,1.825,4.341,0.7324,0,1.71197
instructorxl-arxiv-768_100k,pdx-bond,1.68011,2.43725,0.964665,0.968001,20,0,10,1000,0.2,1,1.699,3.945,0.6739,0,1.58564
instructorxl-arxiv-768_100k,pdx-bond,1.55099,2.22454,0.8918,0.961501,18,0,10,1000,0.2,1,1.562,3.973,0.6179,0,1.44954
instructorxl-arxiv-768_100k,pdx-bond,1.38951,2.02399,0.786519,0.953001,16,0,10,1000,0.2,1,1.392,3.968,0.5459,0,1.28424
instructorxl-arxiv-768_100k,pdx-bond,1.25519,1.83546,0.705689,0.943001,14,0,10,1000,0.2,1,1.256,3.605,0.4953,0,1.14833
instructorxl-arxiv-768_100k,pdx-bond,1.10097,1.61168,0.624362,0.930301,12,0,10,1000,0.2,1,1.102,3.311,0.4111,0,0.994829
instructorxl-arxiv-768_100k,pdx-bond,0.952502,1.40877,0.555874,0.912001,10,0,10,1000,0.2,1,0.9541,3.181,0.3456,0,0.84803
instructorxl-arxiv-768_100k,pdx-bond,0.812866,1.20556,0.463836,0.883401,8,0,10,1000,0.2,1,0.815,3.005,0.2853,0,0.706978
instructorxl-arxiv-768_100k,pdx-bond,0.644199,0.980419,0.358655,0.843901,6,0,10,1000,0.2,1,0.6514,2.75,0.2212,0,0.5414
instructorxl-arxiv-768_100k,pdx-bond,0.471983,0.709244,0.254848,0.775301,4,0,10,1000,0.2,1,0.4722,0.7794,0.1847,0,0.368421
instructorxl-arxiv-768_100k,pdx-bond,0.295848,0.452334,0.146903,0.6273,2,0,10,1000,0.2,1,0.2989,2.543,0.1469,0,0.194176
