dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_100k,pdx-bond,11.354,16.6248,6.33625,1,256,0,10,1000,0.2,1,11.35,16.62,6.336,0,11.1983
instructorxl-arxiv-768_100k,pdx-bond,10.5188,15.2054,5.81224,1,224,0,10,1000,0.2,1,10.52,15.75,5.812,0,10.3695
instructorxl-arxiv-768_100k,pdx-bond,9.49399,13.6212,5.17794,1,192,0,10,1000,0.2,1,9.513,18.72,5.178,0,9.35999
instructorxl-arxiv-768_100k,pdx-bond,8.37207,11.8117,4.52436,1,160,0,10,1000,0.2,1,8.372,11.81,4.524,0,8.22107
instructorxl-arxiv-768_100k,pdx-bond,7.76374,11.0301,4.16114,0.9999,144,0,10,1000,0.2,1,7.764,11.03,4.161,0,7.61438
instructorxl-arxiv-768_100k,pdx-bond,7.2616,10.2107,3.86326,0.9999,128,0,10,1000,0.2,1,7.262,10.92,3.777,0,7.1135
instructorxl-arxiv-768_100k,pdx-bond,6.58491,9.13684,3.70446,0.9999,112,0,10,1000,0.2,1,6.582,9.782,3.345,0,6.43589
instructorxl-arxiv-768_100k,pdx-bond,5.87607,8.30513,3.26202,0.9995,96,0,10,1000,0.2,1,5.868,8.305,2.95,0,5.72471
instructorxl-arxiv-768_100k,pdx-bond,5.09422,7.23812,2.85559,0.9987,80,0,10,1000,0.2,1,5.092,7.998,2.357,0,4.95453
instructorxl-arxiv-768_100k,pdx-bond,4.27638,5.94613,2.45331,0.9969,64,0,10,1000,0.2,1,4.268,5.946,1.912,0,4.13662
instructorxl-arxiv-768_100k,pdx-bond,3.83598,5.35638,2.16126,0.9956,56,0,10,1000,0.2,1,3.832,5.664,1.664,0,3.70422
instructorxl-arxiv-768_100k,pdx-bond,3.38618,4.84263,1.9368,0.9944,48,0,10,1000,0.2,1,3.381,4.843,1.396,0,3.2573
instructorxl-arxiv-768_100k,pdx-bond,2.90832,4.13481,1.6213,0.9909,40,0,10,1000,0.2,1,2.905,4.135,1.188,0,2.78635
instructorxl-arxiv-768_100k,pdx-bond,2.42455,3.44992,1.3879,0.9864,32,0,10,1000,0.2,1,2.422,3.45,0.9629,0,2.30678
instructorxl-arxiv-768_100k,pdx-bond,2.16049,3.06141,1.27739,0.981801,28,0,10,1000,0.2,1,2.16,3.909,0.8926,0,2.04659
instructorxl-arxiv-768_100k,pdx-bond,2.03734,2.87322,1.18261,0.979401,26,0,10,1000,0.2,1,2.035,2.873,0.8381,0,1.9223
instructorxl-arxiv-768_100k,pdx-bond,1.91286,2.67622,1.09743,0.976501,24,0,10,1000,0.2,1,1.912,2.897,0.7471,0,1.79935
instructorxl-arxiv-768_100k,pdx-bond,1.77863,2.49069,1.00646,0.972401,22,0,10,1000,0.2,1,1.778,2.807,0.725,0,1.66712
instructorxl-arxiv-768_100k,pdx-bond,1.65344,2.3967,0.962293,0.968001,20,0,10,1000,0.2,1,1.653,3.051,0.7333,0,1.54217
instructorxl-arxiv-768_100k,pdx-bond,1.51552,2.17545,0.871792,0.961501,18,0,10,1000,0.2,1,1.515,3.02,0.6366,0,1.40554
instructorxl-arxiv-768_100k,pdx-bond,1.37854,2.00285,0.77508,0.953001,16,0,10,1000,0.2,1,1.378,2.216,0.5473,0,1.26867
instructorxl-arxiv-768_100k,pdx-bond,1.23684,1.79233,0.693395,0.943001,14,0,10,1000,0.2,1,1.236,1.838,0.4989,0,1.12788
instructorxl-arxiv-768_100k,pdx-bond,1.0929,1.59588,0.619208,0.930301,12,0,10,1000,0.2,1,1.094,2.386,0.4096,0,0.985666
instructorxl-arxiv-768_100k,pdx-bond,0.94249,1.39925,0.543546,0.912001,10,0,10,1000,0.2,1,0.9437,2.318,0.347,0,0.836992
instructorxl-arxiv-768_100k,pdx-bond,0.790577,1.16593,0.44922,0.883401,8,0,10,1000,0.2,1,0.7921,1.925,0.2818,0,0.685017
instructorxl-arxiv-768_100k,pdx-bond,0.630383,0.942229,0.360051,0.843901,6,0,10,1000,0.2,1,0.6306,0.9793,0.2215,0,0.52534
instructorxl-arxiv-768_100k,pdx-bond,0.46858,0.701085,0.258728,0.775301,4,0,10,1000,0.2,1,0.4691,0.7669,0.1914,0,0.364613
instructorxl-arxiv-768_100k,pdx-bond,0.295946,0.445635,0.147065,0.6273,2,0,10,1000,0.2,1,0.2968,0.4778,0.1471,0,0.193228
