dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-25-angular_100k,pdx-adsampling,0.426007,0.535423,0.248333,1,256,2.1,10,1000,0.2,1,0.425,0.5354,0.2141,0,0.399402
glove-25-angular_100k,pdx-adsampling,0.39911,0.498414,0.233006,1,224,2.1,10,1000,0.2,1,0.3982,0.4984,0.1988,0,0.373799
glove-25-angular_100k,pdx-adsampling,0.366388,0.452044,0.228393,1,192,2.1,10,1000,0.2,1,0.3645,0.452,0.1801,0,0.341587
glove-25-angular_100k,pdx-adsampling,0.325866,0.434418,0.207484,0.9999,160,2.1,10,1000,0.2,1,0.3242,0.4344,0.1557,0,0.30306
glove-25-angular_100k,pdx-adsampling,0.302772,0.368821,0.196117,0.9998,144,2.1,10,1000,0.2,1,0.3011,0.3688,0.1461,0,0.280994
glove-25-angular_100k,pdx-adsampling,0.278924,0.339075,0.1873,0.9998,128,2.1,10,1000,0.2,1,0.2767,0.3928,0.1334,0,0.257563
glove-25-angular_100k,pdx-adsampling,0.252447,0.311248,0.173235,0.9995,112,2.1,10,1000,0.2,1,0.2502,0.3112,0.1202,0,0.232233
glove-25-angular_100k,pdx-adsampling,0.223928,0.276505,0.154003,0.9989,96,2.1,10,1000,0.2,1,0.222,0.3259,0.1065,0,0.205483
glove-25-angular_100k,pdx-adsampling,0.193088,0.23946,0.131437,0.998,80,2.1,10,1000,0.2,1,0.1914,0.2395,0.09197,0,0.176684
glove-25-angular_100k,pdx-adsampling,0.160576,0.204217,0.108821,0.9964,64,2.1,10,1000,0.2,1,0.1592,0.2042,0.07642,0,0.146335
glove-25-angular_100k,pdx-adsampling,0.143307,0.186985,0.095411,0.9947,56,2.1,10,1000,0.2,1,0.1424,0.2112,0.06728,0,0.130561
glove-25-angular_100k,pdx-adsampling,0.125594,0.167969,0.082814,0.9926,48,2.1,10,1000,0.2,1,0.1248,0.168,0.06013,0,0.114213
glove-25-angular_100k,pdx-adsampling,0.106871,0.142197,0.068606,0.989201,40,2.1,10,1000,0.2,1,0.1064,0.1422,0.05141,0,0.0971666
glove-25-angular_100k,pdx-adsampling,0.087803,0.118318,0.055751,0.984101,32,2.1,10,1000,0.2,1,0.08754,0.1183,0.04624,0,0.0796301
glove-25-angular_100k,pdx-adsampling,0.0781017,0.107512,0.046371,0.980501,28,2.1,10,1000,0.2,1,0.07792,0.1075,0.03958,0,0.0706279
glove-25-angular_100k,pdx-adsampling,0.0731992,0.101924,0.043703,0.977101,26,2.1,10,1000,0.2,1,0.07307,0.1431,0.03815,0,0.0662524
glove-25-angular_100k,pdx-adsampling,0.0682778,0.095428,0.039179,0.973801,24,2.1,10,1000,0.2,1,0.06815,0.09543,0.03521,0,0.0616642
glove-25-angular_100k,pdx-adsampling,0.0631597,0.087987,0.035502,0.969101,22,2.1,10,1000,0.2,1,0.06301,0.08799,0.03241,0,0.0570211
glove-25-angular_100k,pdx-adsampling,0.0580299,0.080538,0.032203,0.963001,20,2.1,10,1000,0.2,1,0.05795,0.08054,0.02932,0,0.0523461
glove-25-angular_100k,pdx-adsampling,0.0529123,0.072841,0.029681,0.956801,18,2.1,10,1000,0.2,1,0.05284,0.08138,0.02606,0,0.0477026
glove-25-angular_100k,pdx-adsampling,0.047701,0.06649,0.026099,0.948701,16,2.1,10,1000,0.2,1,0.04762,0.08578,0.02255,0,0.0428918
glove-25-angular_100k,pdx-adsampling,0.0424554,0.059666,0.02249,0.937301,14,2.1,10,1000,0.2,1,0.04237,0.05967,0.0186,0,0.038015
glove-25-angular_100k,pdx-adsampling,0.0372392,0.05298,0.019028,0.926101,12,2.1,10,1000,0.2,1,0.0372,0.05298,0.01674,0,0.0332004
glove-25-angular_100k,pdx-adsampling,0.0319302,0.046471,0.016642,0.907501,10,2.1,10,1000,0.2,1,0.03187,0.05196,0.0139,0,0.0283354
glove-25-angular_100k,pdx-adsampling,0.0264562,0.038938,0.01271,0.8787,8,2.1,10,1000,0.2,1,0.02643,0.03894,0.01059,0,0.0233059
glove-25-angular_100k,pdx-adsampling,0.0208597,0.031776,0.009583,0.8363,6,2.1,10,1000,0.2,1,0.02086,0.03625,0.007863,0,0.0181176
glove-25-angular_100k,pdx-adsampling,0.0152436,0.023229,0.006674,0.7593,4,2.1,10,1000,0.2,1,0.01523,0.02323,0.006044,0,0.0129199
glove-25-angular_100k,pdx-adsampling,0.00946443,0.014861,0.00421,0.6023,2,2.1,10,1000,0.2,1,0.00948,0.01837,0.00421,0,0.00755684
glove-50-angular_100k,pdx-adsampling,0.807136,1.03957,0.357198,1,256,2.1,10,1000,0.2,1,0.8066,1.04,0.2643,0,0.778879
glove-50-angular_100k,pdx-adsampling,0.772759,0.984764,0.343581,1,224,2.1,10,1000,0.2,1,0.7722,0.9848,0.2547,0,0.745562
glove-50-angular_100k,pdx-adsampling,0.719748,0.909155,0.346728,1,192,2.1,10,1000,0.2,1,0.7181,0.9092,0.2374,0,0.692999
glove-50-angular_100k,pdx-adsampling,0.650202,0.811772,0.349857,0.9999,160,2.1,10,1000,0.2,1,0.6449,0.8118,0.2181,0,0.621418
glove-50-angular_100k,pdx-adsampling,0.611301,0.861238,0.347921,0.9998,144,2.1,10,1000,0.2,1,0.6027,0.8612,0.2037,0,0.580646
glove-50-angular_100k,pdx-adsampling,0.565709,0.73254,0.334473,0.9997,128,2.1,10,1000,0.2,1,0.5561,0.7325,0.1928,0,0.535518
glove-50-angular_100k,pdx-adsampling,0.515913,0.675925,0.319351,0.9993,112,2.1,10,1000,0.2,1,0.5058,0.6759,0.1736,0,0.486604
glove-50-angular_100k,pdx-adsampling,0.461925,0.568211,0.302429,0.9983,96,2.1,10,1000,0.2,1,0.4511,0.6264,0.1546,0,0.433378
glove-50-angular_100k,pdx-adsampling,0.402126,0.489204,0.269536,0.9973,80,2.1,10,1000,0.2,1,0.392,0.4892,0.1319,0,0.376175
glove-50-angular_100k,pdx-adsampling,0.335396,0.420459,0.219523,0.9933,64,2.1,10,1000,0.2,1,0.3284,0.4205,0.1131,0,0.314505
glove-50-angular_100k,pdx-adsampling,0.298015,0.375898,0.186029,0.9891,56,2.1,10,1000,0.2,1,0.2941,0.4207,0.1039,0,0.28112
glove-50-angular_100k,pdx-adsampling,0.260665,0.343147,0.155552,0.983801,48,2.1,10,1000,0.2,1,0.2584,0.3431,0.0923,0,0.246633
glove-50-angular_100k,pdx-adsampling,0.222361,0.293981,0.127375,0.975001,40,2.1,10,1000,0.2,1,0.221,0.3967,0.08122,0,0.210444
glove-50-angular_100k,pdx-adsampling,0.183005,0.246659,0.104481,0.961301,32,2.1,10,1000,0.2,1,0.1818,0.2467,0.06778,0,0.172538
glove-50-angular_100k,pdx-adsampling,0.162666,0.229073,0.086616,0.952801,28,2.1,10,1000,0.2,1,0.1619,0.2291,0.06233,0,0.153009
glove-50-angular_100k,pdx-adsampling,0.152149,0.21375,0.07928,0.947201,26,2.1,10,1000,0.2,1,0.1518,0.3359,0.05779,0,0.143408
glove-50-angular_100k,pdx-adsampling,0.141813,0.199137,0.075149,0.938901,24,2.1,10,1000,0.2,1,0.1413,0.1991,0.05149,0,0.133201
glove-50-angular_100k,pdx-adsampling,0.131152,0.183796,0.06587,0.930801,22,2.1,10,1000,0.2,1,0.1309,0.2012,0.0508,0,0.123271
glove-50-angular_100k,pdx-adsampling,0.120253,0.174299,0.058148,0.922501,20,2.1,10,1000,0.2,1,0.1199,0.1743,0.04516,0,0.112693
glove-50-angular_100k,pdx-adsampling,0.109402,0.162991,0.050762,0.911901,18,2.1,10,1000,0.2,1,0.1094,0.2944,0.04165,0,0.102605
glove-50-angular_100k,pdx-adsampling,0.0981657,0.147818,0.044358,0.899101,16,2.1,10,1000,0.2,1,0.09811,0.1556,0.03796,0,0.0917192
glove-50-angular_100k,pdx-adsampling,0.0869952,0.13359,0.037177,0.885701,14,2.1,10,1000,0.2,1,0.087,0.1336,0.03718,0,0.0810192
glove-50-angular_100k,pdx-adsampling,0.0759768,0.118915,0.033543,0.865301,12,2.1,10,1000,0.2,1,0.07598,0.1189,0.03354,0,0.0704429
glove-50-angular_100k,pdx-adsampling,0.0643664,0.103446,0.02909,0.842801,10,2.1,10,1000,0.2,1,0.06437,0.1034,0.02909,0,0.0594774
glove-50-angular_100k,pdx-adsampling,0.0528505,0.086473,0.022305,0.810501,8,2.1,10,1000,0.2,1,0.05292,0.09043,0.0223,0,0.048623
glove-50-angular_100k,pdx-adsampling,0.0410833,0.06789,0.016393,0.763701,6,2.1,10,1000,0.2,1,0.0412,0.0729,0.01639,0,0.0374445
glove-50-angular_100k,pdx-adsampling,0.0290837,0.049861,0.009303,0.6919,4,2.1,10,1000,0.2,1,0.0293,0.05609,0.009303,0,0.0259879
glove-50-angular_100k,pdx-adsampling,0.016957,0.029979,0.004937,0.5477,2,2.1,10,1000,0.2,1,0.01723,0.03637,0.004937,0,0.0143612
glove-100-angular_100k,pdx-adsampling,1.98352,2.67996,0.620407,1,256,2.1,10,1000,0.2,1,1.973,2.68,0.372,0,1.93818
glove-100-angular_100k,pdx-adsampling,1.97432,2.91998,0.623296,1,224,2.1,10,1000,0.2,1,1.964,2.92,0.3698,0,1.92994
glove-100-angular_100k,pdx-adsampling,1.95492,2.83055,0.611888,1,192,2.1,10,1000,0.2,1,1.944,2.831,0.3663,0,1.91224
glove-100-angular_100k,pdx-adsampling,1.89499,2.71815,0.59677,1,160,2.1,10,1000,0.2,1,1.885,2.718,0.3548,0,1.85494
glove-100-angular_100k,pdx-adsampling,1.82593,2.63588,0.624176,1,144,2.1,10,1000,0.2,1,1.811,2.636,0.3402,0,1.78275
glove-100-angular_100k,pdx-adsampling,1.72252,2.44,0.641614,1,128,2.1,10,1000,0.2,1,1.704,2.44,0.3394,0,1.67744
glove-100-angular_100k,pdx-adsampling,1.59016,2.32739,0.638176,0.9998,112,2.1,10,1000,0.2,1,1.57,2.327,0.3028,0,1.54491
glove-100-angular_100k,pdx-adsampling,1.42458,2.03277,0.623298,0.999,96,2.1,10,1000,0.2,1,1.403,2.033,0.277,0,1.37966
glove-100-angular_100k,pdx-adsampling,1.2419,1.59971,0.626005,0.9971,80,2.1,10,1000,0.2,1,1.213,1.6,0.2553,0,1.19202
glove-100-angular_100k,pdx-adsampling,1.03406,1.33556,0.567257,0.9903,64,2.1,10,1000,0.2,1,1.007,1.336,0.2189,0,0.98774
glove-100-angular_100k,pdx-adsampling,0.924349,1.17245,0.52034,0.985101,56,2.1,10,1000,0.2,1,0.9002,1.387,0.1976,0,0.882394
glove-100-angular_100k,pdx-adsampling,0.80969,1.09878,0.480842,0.976601,48,2.1,10,1000,0.2,1,0.7854,1.099,0.1785,0,0.768779
glove-100-angular_100k,pdx-adsampling,0.691313,0.938777,0.432655,0.962801,40,2.1,10,1000,0.2,1,0.67,0.9388,0.1605,0,0.65463
glove-100-angular_100k,pdx-adsampling,0.566029,0.768994,0.358475,0.943601,32,2.1,10,1000,0.2,1,0.55,0.9094,0.1384,0,0.536148
glove-100-angular_100k,pdx-adsampling,0.504379,0.672569,0.32524,0.931301,28,2.1,10,1000,0.2,1,0.4903,0.8278,0.1292,0,0.477126
glove-100-angular_100k,pdx-adsampling,0.470799,0.622558,0.306368,0.921801,26,2.1,10,1000,0.2,1,0.4575,0.8459,0.1231,0,0.44481
glove-100-angular_100k,pdx-adsampling,0.437472,0.582863,0.281839,0.915201,24,2.1,10,1000,0.2,1,0.4258,0.7506,0.1208,0,0.413405
glove-100-angular_100k,pdx-adsampling,0.403528,0.534205,0.259668,0.906301,22,2.1,10,1000,0.2,1,0.393,0.5693,0.1103,0,0.381113
glove-100-angular_100k,pdx-adsampling,0.369012,0.4927,0.231832,0.894101,20,2.1,10,1000,0.2,1,0.3601,0.5268,0.1036,0,0.348705
glove-100-angular_100k,pdx-adsampling,0.332281,0.451823,0.198789,0.879701,18,2.1,10,1000,0.2,1,0.3265,0.4704,0.09673,0,0.315643
glove-100-angular_100k,pdx-adsampling,0.298927,0.417132,0.177962,0.864501,16,2.1,10,1000,0.2,1,0.2939,0.4396,0.08837,0,0.283591
glove-100-angular_100k,pdx-adsampling,0.264115,0.372488,0.149851,0.846701,14,2.1,10,1000,0.2,1,0.2605,0.3969,0.07673,0,0.250579
glove-100-angular_100k,pdx-adsampling,0.229648,0.328962,0.124079,0.8254,12,2.1,10,1000,0.2,1,0.2272,0.3626,0.07207,0,0.217654
glove-100-angular_100k,pdx-adsampling,0.194494,0.289241,0.100332,0.799801,10,2.1,10,1000,0.2,1,0.1931,0.3075,0.0659,0,0.184049
glove-100-angular_100k,pdx-adsampling,0.159141,0.243633,0.074354,0.7669,8,2.1,10,1000,0.2,1,0.1582,0.2436,0.05456,0,0.149582
glove-100-angular_100k,pdx-adsampling,0.122185,0.193083,0.051375,0.716101,6,2.1,10,1000,0.2,1,0.1223,0.1997,0.04375,0,0.114261
glove-100-angular_100k,pdx-adsampling,0.0849648,0.140477,0.036849,0.6421,4,2.1,10,1000,0.2,1,0.08594,0.417,0.02424,0,0.0788525
glove-100-angular_100k,pdx-adsampling,0.0460934,0.081967,0.012022,0.5133,2,2.1,10,1000,0.2,1,0.04723,0.1093,0.009078,0,0.0416616
glove-200-angular_100k,pdx-adsampling,3.78895,6.16583,0.638334,0.9992,256,2.1,10,1000,0.2,1,3.789,6.166,0.6383,0,3.73924
glove-200-angular_100k,pdx-adsampling,3.78431,6.05811,0.804268,0.9992,224,2.1,10,1000,0.2,1,3.781,6.058,0.6391,0,3.73243
glove-200-angular_100k,pdx-adsampling,3.7722,5.75414,0.651939,0.9992,192,2.1,10,1000,0.2,1,3.772,5.754,0.6519,0,3.7246
glove-200-angular_100k,pdx-adsampling,3.76001,5.85808,0.634169,0.9992,160,2.1,10,1000,0.2,1,3.76,5.858,0.6342,0,3.71394
glove-200-angular_100k,pdx-adsampling,3.75266,5.68239,0.627964,0.9992,144,2.1,10,1000,0.2,1,3.753,5.682,0.628,0,3.70737
glove-200-angular_100k,pdx-adsampling,3.74162,5.66193,0.631137,0.9992,128,2.1,10,1000,0.2,1,3.742,5.662,0.6311,0,3.69764
glove-200-angular_100k,pdx-adsampling,3.72028,5.62079,0.624374,0.9992,112,2.1,10,1000,0.2,1,3.72,5.621,0.6244,0,3.67767
glove-200-angular_100k,pdx-adsampling,3.6794,5.52065,0.767098,0.9992,96,2.1,10,1000,0.2,1,3.676,5.521,0.6205,0,3.63522
glove-200-angular_100k,pdx-adsampling,3.58164,5.83905,0.757025,0.9992,80,2.1,10,1000,0.2,1,3.579,5.839,0.5962,0,3.53962
glove-200-angular_100k,pdx-adsampling,3.34037,5.43092,0.615964,0.996,64,2.1,10,1000,0.2,1,3.338,5.431,0.5678,0,3.30151
glove-200-angular_100k,pdx-adsampling,3.12051,5.00038,0.678632,0.990701,56,2.1,10,1000,0.2,1,3.115,5,0.5442,0,3.08099
glove-200-angular_100k,pdx-adsampling,2.81871,4.24595,0.596375,0.985701,48,2.1,10,1000,0.2,1,2.814,4.246,0.4758,0,2.78187
glove-200-angular_100k,pdx-adsampling,2.4567,3.79606,0.595802,0.974401,40,2.1,10,1000,0.2,1,2.447,3.796,0.3943,0,2.41753
glove-200-angular_100k,pdx-adsampling,2.04452,3.01099,0.52188,0.950701,32,2.1,10,1000,0.2,1,2.035,3.011,0.2999,0,2.00831
glove-200-angular_100k,pdx-adsampling,1.83123,2.70035,0.507034,0.923301,28,2.1,10,1000,0.2,1,1.819,2.7,0.2657,0,1.79338
glove-200-angular_100k,pdx-adsampling,1.71105,2.89763,0.490941,0.906501,26,2.1,10,1000,0.2,1,1.698,2.898,0.2463,0,1.67377
glove-200-angular_100k,pdx-adsampling,1.59386,2.57619,0.51315,0.886501,24,2.1,10,1000,0.2,1,1.582,2.807,0.2379,0,1.55825
glove-200-angular_100k,pdx-adsampling,1.47678,2.42265,0.479496,0.8593,22,2.1,10,1000,0.2,1,1.464,2.423,0.2307,0,1.44171
glove-200-angular_100k,pdx-adsampling,1.35503,1.96402,0.449917,0.832601,20,2.1,10,1000,0.2,1,1.344,1.964,0.2124,0,1.32176
glove-200-angular_100k,pdx-adsampling,1.23798,2.02464,0.422202,0.805001,18,2.1,10,1000,0.2,1,1.228,2.025,0.2037,0,1.20631
glove-200-angular_100k,pdx-adsampling,1.11869,1.67068,0.395708,0.765401,16,2.1,10,1000,0.2,1,1.109,1.671,0.1825,0,1.0886
glove-200-angular_100k,pdx-adsampling,0.993822,1.62755,0.383606,0.7218,14,2.1,10,1000,0.2,1,0.9857,1.628,0.1553,0,0.965322
glove-200-angular_100k,pdx-adsampling,0.864432,1.2651,0.332238,0.676,12,2.1,10,1000,0.2,1,0.8574,1.265,0.1215,0,0.837599
glove-200-angular_100k,pdx-adsampling,0.734623,1.1277,0.290642,0.6215,10,2.1,10,1000,0.2,1,0.7294,1.435,0.1203,0,0.710361
glove-200-angular_100k,pdx-adsampling,0.603287,0.938006,0.253342,0.5639,8,2.1,10,1000,0.2,1,0.5994,1.023,0.1121,0,0.580994
glove-200-angular_100k,pdx-adsampling,0.46544,0.744627,0.197518,0.4878,6,2.1,10,1000,0.2,1,0.4623,0.8602,0.0946,0,0.444499
glove-200-angular_100k,pdx-adsampling,0.328658,0.528342,0.127746,0.4086,4,2.1,10,1000,0.2,1,0.3279,0.9692,0.07018,0,0.310622
glove-200-angular_100k,pdx-adsampling,0.177328,0.303976,0.04959,0.2922,2,2.1,10,1000,0.2,1,0.1792,0.405,0.03563,0,0.162719
