dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-25-angular_100k,pdx-adsampling,0.425247,0.532841,0.249295,1,256,2.1,10,1000,0.2,1,0.4242,0.5328,0.2122,0,0.398882
glove-25-angular_100k,pdx-adsampling,0.398449,0.497688,0.234766,1,224,2.1,10,1000,0.2,1,0.3973,0.4977,0.1967,0,0.373263
glove-25-angular_100k,pdx-adsampling,0.365677,0.447673,0.229486,1,192,2.1,10,1000,0.2,1,0.3638,0.4477,0.1782,0,0.340994
glove-25-angular_100k,pdx-adsampling,0.325178,0.394745,0.210997,0.9999,160,2.1,10,1000,0.2,1,0.3235,0.4524,0.1554,0,0.302574
glove-25-angular_100k,pdx-adsampling,0.302692,0.372831,0.1972,0.9998,144,2.1,10,1000,0.2,1,0.3005,0.3728,0.1438,0,0.280525
glove-25-angular_100k,pdx-adsampling,0.278544,0.338859,0.1892,0.9998,128,2.1,10,1000,0.2,1,0.2761,0.3389,0.1331,0,0.257321
glove-25-angular_100k,pdx-adsampling,0.25214,0.316009,0.174035,0.9995,112,2.1,10,1000,0.2,1,0.2497,0.316,0.1195,0,0.231952
glove-25-angular_100k,pdx-adsampling,0.223594,0.277331,0.154278,0.9989,96,2.1,10,1000,0.2,1,0.2216,0.3009,0.106,0,0.20523
glove-25-angular_100k,pdx-adsampling,0.192776,0.237893,0.131587,0.998,80,2.1,10,1000,0.2,1,0.1911,0.2379,0.09115,0,0.176462
glove-25-angular_100k,pdx-adsampling,0.160356,0.204419,0.108212,0.9964,64,2.1,10,1000,0.2,1,0.1589,0.2044,0.07595,0,0.146201
glove-25-angular_100k,pdx-adsampling,0.143064,0.191726,0.094821,0.9947,56,2.1,10,1000,0.2,1,0.1422,0.2454,0.06692,0,0.13037
glove-25-angular_100k,pdx-adsampling,0.125326,0.165145,0.082792,0.9926,48,2.1,10,1000,0.2,1,0.1245,0.1651,0.05953,0,0.114048
glove-25-angular_100k,pdx-adsampling,0.106668,0.142512,0.068525,0.989201,40,2.1,10,1000,0.2,1,0.1062,0.1425,0.05211,0,0.097077
glove-25-angular_100k,pdx-adsampling,0.0875658,0.117304,0.052813,0.984101,32,2.1,10,1000,0.2,1,0.08729,0.1173,0.04372,0,0.079534
glove-25-angular_100k,pdx-adsampling,0.0777717,0.105013,0.046187,0.980501,28,2.1,10,1000,0.2,1,0.07763,0.1137,0.0393,0,0.0705283
glove-25-angular_100k,pdx-adsampling,0.0730652,0.100079,0.043822,0.977101,26,2.1,10,1000,0.2,1,0.07292,0.1318,0.03802,0,0.0661606
glove-25-angular_100k,pdx-adsampling,0.0681027,0.095272,0.038888,0.973801,24,2.1,10,1000,0.2,1,0.06801,0.09527,0.03505,0,0.0615686
glove-25-angular_100k,pdx-adsampling,0.0629605,0.088332,0.034418,0.969101,22,2.1,10,1000,0.2,1,0.06287,0.08833,0.03179,0,0.0569424
glove-25-angular_100k,pdx-adsampling,0.0579141,0.082499,0.03236,0.963001,20,2.1,10,1000,0.2,1,0.0578,0.0825,0.02902,0,0.0522681
glove-25-angular_100k,pdx-adsampling,0.0527707,0.072753,0.029024,0.956801,18,2.1,10,1000,0.2,1,0.05269,0.07275,0.02598,0,0.0475818
glove-25-angular_100k,pdx-adsampling,0.047613,0.066508,0.024945,0.948701,16,2.1,10,1000,0.2,1,0.04751,0.06651,0.02251,0,0.0427935
glove-25-angular_100k,pdx-adsampling,0.042465,0.059282,0.022615,0.937301,14,2.1,10,1000,0.2,1,0.04236,0.05928,0.01862,0,0.037951
glove-25-angular_100k,pdx-adsampling,0.0371702,0.055083,0.018807,0.926101,12,2.1,10,1000,0.2,1,0.03715,0.05862,0.01681,0,0.0331587
glove-25-angular_100k,pdx-adsampling,0.0318257,0.04651,0.015977,0.907501,10,2.1,10,1000,0.2,1,0.03178,0.05325,0.01385,0,0.0282636
glove-25-angular_100k,pdx-adsampling,0.0263859,0.040313,0.012457,0.8787,8,2.1,10,1000,0.2,1,0.02637,0.04401,0.01025,0,0.0232499
glove-25-angular_100k,pdx-adsampling,0.020796,0.031231,0.009193,0.8363,6,2.1,10,1000,0.2,1,0.0208,0.03294,0.007828,0,0.0180462
glove-25-angular_100k,pdx-adsampling,0.0151691,0.023237,0.007247,0.7593,4,2.1,10,1000,0.2,1,0.01517,0.02507,0.005921,0,0.0128585
glove-25-angular_100k,pdx-adsampling,0.0093958,0.014846,0.004186,0.6023,2,2.1,10,1000,0.2,1,0.009402,0.01596,0.004186,0,0.00749554
glove-50-angular_100k,pdx-adsampling,0.801352,1.0377,0.361197,1,256,2.1,10,1000,0.2,1,0.8008,1.038,0.2595,0,0.773769
glove-50-angular_100k,pdx-adsampling,0.767083,0.977154,0.341381,1,224,2.1,10,1000,0.2,1,0.7666,0.9772,0.2523,0,0.740626
glove-50-angular_100k,pdx-adsampling,0.714353,0.922232,0.348694,1,192,2.1,10,1000,0.2,1,0.7127,0.9222,0.2399,0,0.688209
