dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-25-angular_100k,pdx-bond,0.348548,0.423889,0.26696,1,256,0,10,1000,0.2,1,0.3437,0.4414,0.1947,0,0.317287
glove-25-angular_100k,pdx-bond,0.323624,0.393058,0.251236,1,224,0,10,1000,0.2,1,0.3188,0.4042,0.1763,0,0.293805
glove-25-angular_100k,pdx-bond,0.29529,0.357403,0.231198,1,192,0,10,1000,0.2,1,0.291,0.3718,0.1581,0,0.267346
glove-25-angular_100k,pdx-bond,0.261998,0.317045,0.206949,0.9999,160,0,10,1000,0.2,1,0.2582,0.3298,0.1376,0,0.236419
glove-25-angular_100k,pdx-bond,0.243152,0.297198,0.187536,0.9998,144,0,10,1000,0.2,1,0.2398,0.3034,0.1228,0,0.219006
glove-25-angular_100k,pdx-bond,0.223166,0.274429,0.170446,0.9998,128,0,10,1000,0.2,1,0.2204,0.2841,0.1124,0,0.200669
glove-25-angular_100k,pdx-bond,0.201959,0.248071,0.152474,0.9995,112,0,10,1000,0.2,1,0.1996,0.2545,0.09808,0,0.181032
glove-25-angular_100k,pdx-bond,0.179192,0.22611,0.130174,0.9989,96,0,10,1000,0.2,1,0.1775,0.2715,0.0838,0,0.160347
glove-25-angular_100k,pdx-bond,0.154868,0.194851,0.111682,0.998,80,0,10,1000,0.2,1,0.1536,0.2015,0.07346,0,0.138192
glove-25-angular_100k,pdx-bond,0.129433,0.167675,0.090063,0.9964,64,0,10,1000,0.2,1,0.1285,0.1694,0.06031,0,0.115083
glove-25-angular_100k,pdx-bond,0.116465,0.152946,0.078408,0.9947,56,0,10,1000,0.2,1,0.1156,0.1565,0.05317,0,0.103143
glove-25-angular_100k,pdx-bond,0.102513,0.135401,0.069239,0.9926,48,0,10,1000,0.2,1,0.1019,0.1895,0.04612,0,0.0908029
glove-25-angular_100k,pdx-bond,0.0877176,0.11706,0.054744,0.989101,40,0,10,1000,0.2,1,0.08752,0.1243,0.03762,0,0.0778411
glove-25-angular_100k,pdx-bond,0.0731006,0.099599,0.045233,0.984101,32,0,10,1000,0.2,1,0.07287,0.0996,0.03057,0,0.0645873
glove-25-angular_100k,pdx-bond,0.0654376,0.090684,0.039368,0.980501,28,0,10,1000,0.2,1,0.06534,0.09432,0.02691,0,0.0577601
glove-25-angular_100k,pdx-bond,0.344814,0.423837,0.263938,1,256,0,10,1000,0.2,1,0.3401,0.4321,0.1926,0,0.314073
glove-25-angular_100k,pdx-bond,0.322336,0.390658,0.249545,1,224,0,10,1000,0.2,1,0.3177,0.4026,0.1775,0,0.292877
glove-25-angular_100k,pdx-bond,0.294334,0.357371,0.229491,1,192,0,10,1000,0.2,1,0.2902,0.372,0.1582,0,0.266691
glove-25-angular_100k,pdx-bond,0.261503,0.315993,0.204487,0.9999,160,0,10,1000,0.2,1,0.2576,0.3286,0.1359,0,0.23594
glove-25-angular_100k,pdx-bond,0.242626,0.294993,0.18675,0.9998,144,0,10,1000,0.2,1,0.2393,0.3045,0.1232,0,0.218597
glove-25-angular_100k,pdx-bond,0.222668,0.273089,0.170338,0.9998,128,0,10,1000,0.2,1,0.2199,0.2823,0.1123,0,0.200292
glove-25-angular_100k,pdx-bond,0.201555,0.251839,0.151492,0.9995,112,0,10,1000,0.2,1,0.1992,0.2632,0.09758,0,0.180708
glove-25-angular_100k,pdx-bond,0.17892,0.225038,0.129751,0.9989,96,0,10,1000,0.2,1,0.1772,0.2493,0.0847,0,0.160082
glove-25-angular_100k,pdx-bond,0.154825,0.19621,0.110588,0.998,80,0,10,1000,0.2,1,0.1535,0.2,0.07375,0,0.138068
glove-25-angular_100k,pdx-bond,0.129317,0.168006,0.090088,0.9964,64,0,10,1000,0.2,1,0.1284,0.168,0.05988,0,0.114995
glove-25-angular_100k,pdx-bond,0.116167,0.153654,0.07857,0.9947,56,0,10,1000,0.2,1,0.1154,0.1603,0.05271,0,0.102946
glove-25-angular_100k,pdx-bond,0.102434,0.13515,0.068069,0.9926,48,0,10,1000,0.2,1,0.1019,0.17,0.0456,0,0.0907454
glove-25-angular_100k,pdx-bond,0.0875565,0.116223,0.05485,0.989101,40,0,10,1000,0.2,1,0.08732,0.122,0.03737,0,0.0776549
glove-25-angular_100k,pdx-bond,0.0729057,0.101541,0.044125,0.984101,32,0,10,1000,0.2,1,0.07277,0.1036,0.03109,0,0.0645221
glove-25-angular_100k,pdx-bond,0.0653249,0.091152,0.039252,0.980501,28,0,10,1000,0.2,1,0.06525,0.09362,0.0269,0,0.0576681
glove-25-angular_100k,pdx-bond,0.0616576,0.086807,0.036294,0.977101,26,0,10,1000,0.2,1,0.06157,0.0945,0.02605,0,0.0543195
glove-25-angular_100k,pdx-bond,0.057891,0.079152,0.034453,0.973801,24,0,10,1000,0.2,1,0.05778,0.07915,0.02454,0,0.0508562
glove-25-angular_100k,pdx-bond,0.0538805,0.074658,0.031455,0.969101,22,0,10,1000,0.2,1,0.05378,0.07466,0.02235,0,0.0473311
glove-25-angular_100k,pdx-bond,0.0499362,0.070271,0.028321,0.963001,20,0,10,1000,0.2,1,0.04987,0.07738,0.02065,0,0.0437925
glove-25-angular_100k,pdx-bond,0.04589,0.065543,0.02643,0.956801,18,0,10,1000,0.2,1,0.04582,0.06554,0.0188,0,0.0401622
glove-25-angular_100k,pdx-bond,0.0417963,0.059279,0.024526,0.948701,16,0,10,1000,0.2,1,0.04176,0.07031,0.01719,0,0.0364882
glove-25-angular_100k,pdx-bond,0.0376586,0.052852,0.021437,0.937301,14,0,10,1000,0.2,1,0.03764,0.05522,0.01549,0,0.0327269
glove-25-angular_100k,pdx-bond,0.0335119,0.047597,0.019096,0.926101,12,0,10,1000,0.2,1,0.03349,0.04961,0.01465,0,0.0289382
glove-25-angular_100k,pdx-bond,0.0291786,0.042022,0.015984,0.907501,10,0,10,1000,0.2,1,0.02916,0.04504,0.01327,0,0.0251075
glove-25-angular_100k,pdx-bond,0.0247125,0.036436,0.013148,0.8787,8,0,10,1000,0.2,1,0.02467,0.03693,0.011,0,0.0210287
glove-25-angular_100k,pdx-bond,0.0200228,0.029738,0.010046,0.8363,6,0,10,1000,0.2,1,0.02003,0.03545,0.008037,0,0.0167688
glove-25-angular_100k,pdx-bond,0.0151537,0.022723,0.007761,0.7593,4,0,10,1000,0.2,1,0.01515,0.02484,0.006357,0,0.0123392
glove-25-angular_100k,pdx-bond,0.00985751,0.015285,0.00447,0.6023,2,0,10,1000,0.2,1,0.009873,0.01881,0.00447,0,0.00748176
glove-50-angular_100k,pdx-bond,0.643311,0.905953,0.370522,1,256,0,10,1000,0.2,1,0.6423,0.906,0.2314,0,0.613141
glove-50-angular_100k,pdx-bond,0.615816,0.856451,0.369514,1,224,0,10,1000,0.2,1,0.6146,0.8565,0.2198,0,0.586524
glove-50-angular_100k,pdx-bond,0.570071,0.78539,0.341741,1,192,0,10,1000,0.2,1,0.5689,0.7854,0.2081,0,0.542182
glove-50-angular_100k,pdx-bond,0.512219,0.697411,0.303895,0.9999,160,0,10,1000,0.2,1,0.511,0.6974,0.1882,0,0.485933
glove-50-angular_100k,pdx-bond,0.47949,0.640378,0.287295,0.9998,144,0,10,1000,0.2,1,0.4779,0.6404,0.1762,0,0.454061
glove-50-angular_100k,pdx-bond,0.444488,0.586757,0.269966,0.9997,128,0,10,1000,0.2,1,0.442,0.5868,0.1643,0,0.419559
glove-50-angular_100k,pdx-bond,0.406075,0.538187,0.244721,0.9993,112,0,10,1000,0.2,1,0.4036,0.5382,0.1462,0,0.38259
glove-50-angular_100k,pdx-bond,0.3652,0.487165,0.221809,0.9983,96,0,10,1000,0.2,1,0.3617,0.5388,0.1283,0,0.342216
glove-50-angular_100k,pdx-bond,0.319495,0.429594,0.195559,0.9973,80,0,10,1000,0.2,1,0.3162,0.4296,0.1156,0,0.298599
