dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-25-angular_100k,pdx-bond,0.350252,0.427912,0.268861,1,256,0,10,1000,0.2,1,0.3451,0.4387,0.1944,0,0.319117
glove-25-angular_100k,pdx-bond,0.327057,0.397909,0.253504,1,224,0,10,1000,0.2,1,0.3224,0.4083,0.1791,0,0.297531
glove-25-angular_100k,pdx-bond,0.298846,0.360122,0.234877,1,192,0,10,1000,0.2,1,0.2944,0.3755,0.1601,0,0.270837
glove-25-angular_100k,pdx-bond,0.265028,0.321929,0.206989,0.9999,160,0,10,1000,0.2,1,0.2612,0.3348,0.137,0,0.239494
glove-25-angular_100k,pdx-bond,0.245991,0.30017,0.189853,0.9998,144,0,10,1000,0.2,1,0.2425,0.3101,0.123,0,0.22183
glove-25-angular_100k,pdx-bond,0.225645,0.278028,0.171825,0.9998,128,0,10,1000,0.2,1,0.2229,0.2904,0.1124,0,0.203257
glove-25-angular_100k,pdx-bond,0.204353,0.254053,0.15233,0.9995,112,0,10,1000,0.2,1,0.202,0.2588,0.0986,0,0.183339
glove-25-angular_100k,pdx-bond,0.181178,0.229258,0.131422,0.9989,96,0,10,1000,0.2,1,0.1796,0.2628,0.08569,0,0.162399
glove-25-angular_100k,pdx-bond,0.156629,0.199908,0.111726,0.998,80,0,10,1000,0.2,1,0.1554,0.2023,0.07311,0,0.140022
glove-25-angular_100k,pdx-bond,0.130809,0.17021,0.089846,0.9964,64,0,10,1000,0.2,1,0.1299,0.1747,0.06046,0,0.116524
glove-25-angular_100k,pdx-bond,0.117654,0.156273,0.078948,0.9947,56,0,10,1000,0.2,1,0.1168,0.1563,0.05307,0,0.104349
glove-25-angular_100k,pdx-bond,0.103606,0.138396,0.068973,0.9926,48,0,10,1000,0.2,1,0.103,0.1429,0.04597,0,0.0919137
glove-25-angular_100k,pdx-bond,0.0886147,0.118936,0.055403,0.989101,40,0,10,1000,0.2,1,0.08837,0.1232,0.03802,0,0.0787378
glove-25-angular_100k,pdx-bond,0.0737161,0.102888,0.045018,0.984101,32,0,10,1000,0.2,1,0.07355,0.1074,0.03041,0,0.0653177
glove-25-angular_100k,pdx-bond,0.0660974,0.091316,0.03969,0.980501,28,0,10,1000,0.2,1,0.06597,0.09132,0.0275,0,0.0584097
glove-25-angular_100k,pdx-bond,0.0623509,0.086002,0.036707,0.977101,26,0,10,1000,0.2,1,0.06223,0.086,0.02655,0,0.0550016
glove-25-angular_100k,pdx-bond,0.0584674,0.08188,0.033308,0.973801,24,0,10,1000,0.2,1,0.05841,0.08485,0.02473,0,0.0514987
glove-25-angular_100k,pdx-bond,0.0544704,0.075044,0.031542,0.969101,22,0,10,1000,0.2,1,0.05437,0.07504,0.02286,0,0.0479141
glove-25-angular_100k,pdx-bond,0.0509245,0.073453,0.028278,0.963001,20,0,10,1000,0.2,1,0.05128,0.09975,0.02114,0,0.0451695
glove-25-angular_100k,pdx-bond,0.0463706,0.064882,0.027025,0.956801,18,0,10,1000,0.2,1,0.0463,0.06488,0.01923,0,0.0406554
glove-25-angular_100k,pdx-bond,0.0422829,0.059996,0.024676,0.948701,16,0,10,1000,0.2,1,0.0422,0.06,0.01711,0,0.0368913
glove-25-angular_100k,pdx-bond,0.0380658,0.053831,0.021519,0.937301,14,0,10,1000,0.2,1,0.03802,0.05568,0.01591,0,0.0330945
glove-25-angular_100k,pdx-bond,0.0339172,0.049233,0.019259,0.926101,12,0,10,1000,0.2,1,0.03388,0.05016,0.01447,0,0.0293224
glove-25-angular_100k,pdx-bond,0.0294744,0.042783,0.016193,0.907501,10,0,10,1000,0.2,1,0.02946,0.04674,0.01352,0,0.0253946
glove-25-angular_100k,pdx-bond,0.0249514,0.036418,0.013474,0.8787,8,0,10,1000,0.2,1,0.02493,0.04632,0.01093,0,0.0212611
glove-25-angular_100k,pdx-bond,0.0202383,0.03048,0.010251,0.8363,6,0,10,1000,0.2,1,0.02022,0.03091,0.00833,0,0.0169491
glove-25-angular_100k,pdx-bond,0.0152722,0.022906,0.007665,0.7593,4,0,10,1000,0.2,1,0.01527,0.02552,0.006322,0,0.0124688
glove-25-angular_100k,pdx-bond,0.00991431,0.015373,0.004446,0.6023,2,0,10,1000,0.2,1,0.00993,0.01938,0.004446,0,0.00753681
glove-50-angular_100k,pdx-bond,0.648985,0.906706,0.392814,1,256,0,10,1000,0.2,1,0.6477,0.9067,0.2308,0,0.618602
glove-50-angular_100k,pdx-bond,0.621165,0.889003,0.372192,1,224,0,10,1000,0.2,1,0.6199,0.889,0.2224,0,0.591879
glove-50-angular_100k,pdx-bond,0.575868,0.791643,0.344326,1,192,0,10,1000,0.2,1,0.5747,0.7916,0.2133,0,0.548022
