dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-200-angular_1k,pdx-adsampling,0.0495948,0.059499,0.039977,0.9999,32,2.1,10,1000,0.2,1,0.04962,0.05998,0.0391,0,0.0432695
glove-200-angular_1k,pdx-adsampling,0.0488527,0.05759,0.039709,0.9999,28,2.1,10,1000,0.2,1,0.04886,0.06543,0.03873,0,0.0425874
glove-200-angular_1k,pdx-adsampling,0.0483109,0.05654,0.039649,0.9999,26,2.1,10,1000,0.2,1,0.04831,0.0608,0.03862,0,0.0420888
glove-200-angular_1k,pdx-adsampling,0.0477244,0.055711,0.04012,0.9999,24,2.1,10,1000,0.2,1,0.04771,0.05821,0.03789,0,0.0415553
glove-200-angular_1k,pdx-adsampling,0.0470671,0.054497,0.039449,0.9999,22,2.1,10,1000,0.2,1,0.04705,0.05834,0.0383,0,0.0409664
glove-200-angular_1k,pdx-adsampling,0.046345,0.053032,0.039535,0.9999,20,2.1,10,1000,0.2,1,0.04628,0.05639,0.03768,0,0.0403032
glove-200-angular_1k,pdx-adsampling,0.0454931,0.051518,0.039357,0.9999,18,2.1,10,1000,0.2,1,0.04543,0.05224,0.03697,0,0.0395456
glove-200-angular_1k,pdx-adsampling,0.0445242,0.049183,0.039054,0.9999,16,2.1,10,1000,0.2,1,0.04447,0.05341,0.03629,0,0.0387323
glove-200-angular_1k,pdx-adsampling,0.0433163,0.047459,0.039357,0.9999,14,2.1,10,1000,0.2,1,0.04323,0.0527,0.03606,0,0.037552
glove-200-angular_1k,pdx-adsampling,0.0416622,0.044272,0.038679,0.9999,12,2.1,10,1000,0.2,1,0.04156,0.04902,0.03503,0,0.0359539
glove-200-angular_1k,pdx-adsampling,0.0395316,0.041446,0.037605,0.9994,10,2.1,10,1000,0.2,1,0.03949,0.05401,0.03406,0,0.0340391
glove-200-angular_1k,pdx-adsampling,0.0371888,0.038637,0.035545,0.992,8,2.1,10,1000,0.2,1,0.03709,0.04517,0.03115,0,0.031878
glove-200-angular_1k,pdx-adsampling,0.0337183,0.037801,0.029657,0.946401,6,2.1,10,1000,0.2,1,0.03356,0.04275,0.02271,0,0.0285515
glove-200-angular_1k,pdx-adsampling,0.0267724,0.03197,0.021401,0.7811,4,2.1,10,1000,0.2,1,0.02653,0.03403,0.01446,0,0.021787
glove-200-angular_1k,pdx-adsampling,0.0166875,0.02098,0.009569,0.4665,2,2.1,10,1000,0.2,1,0.01666,0.0269,0.007472,0,0.0120565
glove-200-angular_10k,pdx-adsampling,0.322584,0.405377,0.192461,0.9992,96,2.1,10,1000,0.2,1,0.3151,0.4054,0.09904,0,0.298742
glove-200-angular_10k,pdx-adsampling,0.319555,0.394417,0.190136,0.9992,80,2.1,10,1000,0.2,1,0.3123,0.3944,0.09836,0,0.296126
glove-200-angular_10k,pdx-adsampling,0.315291,0.385988,0.189273,0.9992,64,2.1,10,1000,0.2,1,0.308,0.386,0.09551,0,0.29256
glove-200-angular_10k,pdx-adsampling,0.312773,0.382806,0.187295,0.9992,56,2.1,10,1000,0.2,1,0.3053,0.3828,0.09438,0,0.290112
glove-200-angular_10k,pdx-adsampling,0.309978,0.431482,0.187598,0.9992,48,2.1,10,1000,0.2,1,0.3024,0.4315,0.09259,0,0.287705
glove-200-angular_10k,pdx-adsampling,0.306174,0.371378,0.18786,0.9992,40,2.1,10,1000,0.2,1,0.2986,0.3714,0.09461,0,0.284369
glove-200-angular_10k,pdx-adsampling,0.301449,0.364709,0.185173,0.9992,32,2.1,10,1000,0.2,1,0.2938,0.3647,0.08951,0,0.280178
glove-200-angular_10k,pdx-adsampling,0.297201,0.349096,0.18368,0.9992,28,2.1,10,1000,0.2,1,0.2897,0.3491,0.08862,0,0.276257
glove-200-angular_10k,pdx-adsampling,0.294,0.349698,0.184736,0.999,26,2.1,10,1000,0.2,1,0.2863,0.3497,0.08845,0,0.273035
