dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-200-angular_1k,pdx-adsampling,0.0498014,0.059239,0.040241,0.9999,32,2.1,10,1000,0.2,1,0.04983,0.06209,0.03892,0,0.0433255
glove-200-angular_1k,pdx-adsampling,0.0491526,0.058508,0.039844,0.9999,28,2.1,10,1000,0.2,1,0.04915,0.0593,0.03885,0,0.0427113
glove-200-angular_1k,pdx-adsampling,0.0486282,0.057055,0.040298,0.9999,26,2.1,10,1000,0.2,1,0.04858,0.05767,0.03874,0,0.0422208
glove-200-angular_1k,pdx-adsampling,0.0480343,0.055032,0.039935,0.9999,24,2.1,10,1000,0.2,1,0.048,0.06017,0.0383,0,0.0417015
glove-200-angular_1k,pdx-adsampling,0.0473429,0.054559,0.039724,0.9999,22,2.1,10,1000,0.2,1,0.04732,0.06007,0.03791,0,0.0411073
glove-200-angular_1k,pdx-adsampling,0.0466522,0.053456,0.039544,0.9999,20,2.1,10,1000,0.2,1,0.04662,0.05962,0.03746,0,0.0404707
glove-200-angular_1k,pdx-adsampling,0.0458235,0.051689,0.039687,0.9999,18,2.1,10,1000,0.2,1,0.04576,0.05685,0.03721,0,0.0397087
glove-200-angular_1k,pdx-adsampling,0.04483,0.04995,0.039509,0.9999,16,2.1,10,1000,0.2,1,0.04478,0.05558,0.03669,0,0.0388591
glove-200-angular_1k,pdx-adsampling,0.0435356,0.047177,0.039532,0.9999,14,2.1,10,1000,0.2,1,0.04344,0.05479,0.03631,0,0.0375953
glove-200-angular_1k,pdx-adsampling,0.0419553,0.044844,0.039016,0.9999,12,2.1,10,1000,0.2,1,0.04185,0.05106,0.03526,0,0.0360413
glove-200-angular_1k,pdx-adsampling,0.0398496,0.041662,0.037988,0.9994,10,2.1,10,1000,0.2,1,0.03977,0.04937,0.03443,0,0.0341009
glove-200-angular_1k,pdx-adsampling,0.0375234,0.038916,0.035929,0.992,8,2.1,10,1000,0.2,1,0.03742,0.04733,0.03169,0,0.0319535
glove-200-angular_1k,pdx-adsampling,0.0341122,0.037528,0.029866,0.946401,6,2.1,10,1000,0.2,1,0.03397,0.04292,0.02267,0,0.0286907
glove-200-angular_1k,pdx-adsampling,0.0270409,0.031963,0.021586,0.7811,4,2.1,10,1000,0.2,1,0.0268,0.03624,0.01466,0,0.0218717
glove-200-angular_1k,pdx-adsampling,0.0167903,0.022747,0.00964,0.4665,2,2.1,10,1000,0.2,1,0.01674,0.02275,0.007527,0,0.0121219
glove-200-angular_10k,pdx-adsampling,0.341642,0.421357,0.210507,0.9992,96,2.1,10,1000,0.2,1,0.3334,0.4214,0.1048,0,0.316391
glove-200-angular_10k,pdx-adsampling,0.338528,0.413616,0.20861,0.9992,80,2.1,10,1000,0.2,1,0.3304,0.4136,0.1037,0,0.31359
glove-200-angular_10k,pdx-adsampling,0.334213,0.402836,0.205438,0.9992,64,2.1,10,1000,0.2,1,0.3261,0.4028,0.1013,0,0.310052
glove-200-angular_10k,pdx-adsampling,0.331695,0.399199,0.204078,0.9992,56,2.1,10,1000,0.2,1,0.3236,0.3992,0.1003,0,0.307691
glove-200-angular_10k,pdx-adsampling,0.328596,0.397218,0.204029,0.9992,48,2.1,10,1000,0.2,1,0.3205,0.3972,0.09911,0,0.305216
glove-200-angular_10k,pdx-adsampling,0.324941,0.383852,0.202457,0.9992,40,2.1,10,1000,0.2,1,0.3168,0.3839,0.09802,0,0.301921
glove-200-angular_10k,pdx-adsampling,0.320201,0.380045,0.203386,0.9992,32,2.1,10,1000,0.2,1,0.312,0.38,0.09727,0,0.297611
glove-200-angular_10k,pdx-adsampling,0.316292,0.392836,0.200662,0.9992,28,2.1,10,1000,0.2,1,0.308,0.3928,0.095,0,0.293869
glove-200-angular_10k,pdx-adsampling,0.31245,0.363569,0.202257,0.999,26,2.1,10,1000,0.2,1,0.3041,0.3636,0.0946,0,0.290162
glove-200-angular_10k,pdx-adsampling,0.306219,0.362625,0.200089,0.9988,24,2.1,10,1000,0.2,1,0.2978,0.3626,0.093,0,0.283939
glove-200-angular_10k,pdx-adsampling,0.297336,0.381008,0.205104,0.9984,22,2.1,10,1000,0.2,1,0.2889,0.381,0.09158,0,0.275315
glove-200-angular_10k,pdx-adsampling,0.285564,0.343413,0.199398,0.995,20,2.1,10,1000,0.2,1,0.2775,0.3434,0.08835,0,0.263906
glove-200-angular_10k,pdx-adsampling,0.269845,0.315147,0.190964,0.982401,18,2.1,10,1000,0.2,1,0.262,0.3151,0.08511,0,0.248879
glove-200-angular_10k,pdx-adsampling,0.251589,0.305337,0.18042,0.958201,16,2.1,10,1000,0.2,1,0.2444,0.3053,0.08232,0,0.231484
glove-200-angular_10k,pdx-adsampling,0.230533,0.285615,0.165353,0.910801,14,2.1,10,1000,0.2,1,0.2242,0.2856,0.07673,0,0.211667
glove-200-angular_10k,pdx-adsampling,0.207857,0.24973,0.149512,0.8425,12,2.1,10,1000,0.2,1,0.2022,0.2497,0.06831,0,0.189913
glove-200-angular_10k,pdx-adsampling,0.182458,0.229203,0.128858,0.7587,10,2.1,10,1000,0.2,1,0.1778,0.2292,0.06055,0,0.165789
