dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-200-angular_1k,pdx-bond,0.0602484,0.067979,0.053133,1,32,0,10,1000,0.2,1,0.06122,0.08403,0.04854,0,0.0450956
glove-200-angular_1k,pdx-bond,0.058803,0.064705,0.052894,1,28,0,10,1000,0.2,1,0.05881,0.07989,0.04712,0,0.0427598
glove-200-angular_1k,pdx-bond,0.0578851,0.063997,0.051483,1,26,0,10,1000,0.2,1,0.05853,0.08873,0.04701,0,0.0424502
glove-200-angular_1k,pdx-bond,0.0571727,0.063034,0.051574,1,24,0,10,1000,0.2,1,0.05795,0.09205,0.04761,0,0.0418825
glove-200-angular_1k,pdx-bond,0.0562109,0.061923,0.050511,1,22,0,10,1000,0.2,1,0.05778,0.09028,0.046,0,0.0416101
glove-200-angular_1k,pdx-bond,0.0554578,0.060269,0.050741,1,20,0,10,1000,0.2,1,0.0558,0.0862,0.04611,0,0.0399037
glove-200-angular_1k,pdx-bond,0.0540462,0.059098,0.049139,1,18,0,10,1000,0.2,1,0.05433,0.08917,0.04448,0,0.0386227
glove-200-angular_1k,pdx-bond,0.0529531,0.057257,0.048476,1,16,0,10,1000,0.2,1,0.05324,0.08131,0.0439,0,0.0376329
glove-200-angular_1k,pdx-bond,0.0516308,0.055831,0.047347,1,14,0,10,1000,0.2,1,0.05234,0.08478,0.04273,0,0.0367767
glove-200-angular_1k,pdx-bond,0.0497795,0.054012,0.0457,1,12,0,10,1000,0.2,1,0.04992,0.07162,0.04109,0,0.0345635
glove-200-angular_1k,pdx-bond,0.0479196,0.051186,0.044145,0.9995,10,0,10,1000,0.2,1,0.04838,0.07289,0.03972,0,0.0330984
glove-200-angular_1k,pdx-bond,0.0458508,0.049189,0.042392,0.9921,8,0,10,1000,0.2,1,0.04597,0.07027,0.0377,0,0.0309035
glove-200-angular_1k,pdx-bond,0.0429744,0.046969,0.038718,0.946501,6,0,10,1000,0.2,1,0.04306,0.06308,0.02911,0,0.0280319
glove-200-angular_1k,pdx-bond,0.03665,0.042163,0.030974,0.7811,4,0,10,1000,0.2,1,0.03675,0.05982,0.02487,0,0.0218316
glove-200-angular_1k,pdx-bond,0.0270805,0.033745,0.020294,0.4665,2,0,10,1000,0.2,1,0.02734,0.04532,0.01834,0,0.0124736
glove-200-angular_10k,pdx-bond,0.326833,0.38311,0.255841,1,96,0,10,1000,0.2,1,0.3219,0.3831,0.1725,0,0.298263
glove-200-angular_10k,pdx-bond,0.321969,0.37603,0.254015,1,80,0,10,1000,0.2,1,0.317,0.376,0.1703,0,0.293642
glove-200-angular_10k,pdx-bond,0.315794,0.369175,0.249584,1,64,0,10,1000,0.2,1,0.3109,0.3692,0.1662,0,0.288155
glove-200-angular_10k,pdx-bond,0.312331,0.368029,0.248445,1,56,0,10,1000,0.2,1,0.3074,0.368,0.1654,0,0.284998
glove-200-angular_10k,pdx-bond,0.308187,0.355427,0.242914,1,48,0,10,1000,0.2,1,0.3037,0.3873,0.1631,0,0.281732
glove-200-angular_10k,pdx-bond,0.303875,0.350179,0.240241,1,40,0,10,1000,0.2,1,0.2992,0.3502,0.1607,0,0.277685
glove-200-angular_10k,pdx-bond,0.29873,0.348059,0.236707,1,32,0,10,1000,0.2,1,0.2941,0.3481,0.157,0,0.273198
glove-200-angular_10k,pdx-bond,0.294833,0.33944,0.2353,1,28,0,10,1000,0.2,1,0.2899,0.3394,0.1491,0,0.269112
glove-200-angular_10k,pdx-bond,0.29055,0.333462,0.233313,0.9998,26,0,10,1000,0.2,1,0.2858,0.3335,0.1429,0,0.265367
glove-200-angular_10k,pdx-bond,0.28445,0.331422,0.228206,0.9996,24,0,10,1000,0.2,1,0.2796,0.3314,0.1363,0,0.259258
