dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
glove-200-angular_1k,pdx-bond,0.0581723,0.06555,0.051559,1,32,0,10,1000,0.2,1,0.05903,0.08575,0.04614,0,0.043754
glove-200-angular_1k,pdx-bond,0.057153,0.064229,0.050269,1,28,0,10,1000,0.2,1,0.0586,0.09973,0.04574,0,0.0432123
glove-200-angular_1k,pdx-bond,0.0564137,0.063257,0.050138,1,26,0,10,1000,0.2,1,0.05732,0.09452,0.04542,0,0.0420462
glove-200-angular_1k,pdx-bond,0.0551029,0.060561,0.049997,1,24,0,10,1000,0.2,1,0.05545,0.09185,0.04469,0,0.040446
glove-200-angular_1k,pdx-bond,0.0546097,0.060401,0.048834,1,22,0,10,1000,0.2,1,0.05504,0.09204,0.04437,0,0.0400074
glove-200-angular_1k,pdx-bond,0.054056,0.06061,0.047807,1,20,0,10,1000,0.2,1,0.05458,0.0956,0.04416,0,0.0394523
glove-200-angular_1k,pdx-bond,0.0529079,0.059088,0.046929,1,18,0,10,1000,0.2,1,0.05404,0.09171,0.04441,0,0.0389564
glove-200-angular_1k,pdx-bond,0.0517428,0.05765,0.045922,1,16,0,10,1000,0.2,1,0.05221,0.08697,0.04216,0,0.037396
glove-200-angular_1k,pdx-bond,0.0499842,0.054662,0.045345,1,14,0,10,1000,0.2,1,0.05032,0.07775,0.04108,0,0.0357399
glove-200-angular_1k,pdx-bond,0.0484994,0.053464,0.043827,1,12,0,10,1000,0.2,1,0.0496,0.08226,0.03982,0,0.0348763
glove-200-angular_1k,pdx-bond,0.0470409,0.052207,0.042496,0.9995,10,0,10,1000,0.2,1,0.04718,0.0782,0.0385,0,0.0326968
glove-200-angular_1k,pdx-bond,0.0451628,0.049672,0.0402,0.9921,8,0,10,1000,0.2,1,0.04579,0.07369,0.03562,0,0.0312444
glove-200-angular_1k,pdx-bond,0.0419064,0.047344,0.036653,0.946501,6,0,10,1000,0.2,1,0.04229,0.06626,0.02772,0,0.0279748
glove-200-angular_1k,pdx-bond,0.0357502,0.042389,0.029328,0.7811,4,0,10,1000,0.2,1,0.03613,0.05555,0.02479,0,0.0217758
glove-200-angular_1k,pdx-bond,0.0264633,0.033501,0.019906,0.4665,2,0,10,1000,0.2,1,0.02694,0.04135,0.01773,0,0.0124537
glove-200-angular_10k,pdx-bond,0.34487,0.410224,0.271785,1,96,0,10,1000,0.2,1,0.3396,0.4102,0.1833,0,0.315815
glove-200-angular_10k,pdx-bond,0.340168,0.398511,0.268184,1,80,0,10,1000,0.2,1,0.3349,0.3985,0.1803,0,0.311285
glove-200-angular_10k,pdx-bond,0.333811,0.387619,0.263424,1,64,0,10,1000,0.2,1,0.3288,0.4185,0.1776,0,0.30588
glove-200-angular_10k,pdx-bond,0.330291,0.384581,0.262252,1,56,0,10,1000,0.2,1,0.3253,0.3846,0.1748,0,0.302602
glove-200-angular_10k,pdx-bond,0.326228,0.377561,0.257765,1,48,0,10,1000,0.2,1,0.3214,0.4026,0.1733,0,0.299315
glove-200-angular_10k,pdx-bond,0.321839,0.371407,0.254677,1,40,0,10,1000,0.2,1,0.3169,0.3714,0.1703,0,0.295195
glove-200-angular_10k,pdx-bond,0.316656,0.366109,0.25166,1,32,0,10,1000,0.2,1,0.3117,0.3661,0.1678,0,0.290589
glove-200-angular_10k,pdx-bond,0.31247,0.360371,0.250654,1,28,0,10,1000,0.2,1,0.3074,0.3604,0.1584,0,0.286518
glove-200-angular_10k,pdx-bond,0.308467,0.352138,0.249196,0.9998,26,0,10,1000,0.2,1,0.3031,0.3521,0.1516,0,0.282477
glove-200-angular_10k,pdx-bond,0.301663,0.343845,0.242389,0.9996,24,0,10,1000,0.2,1,0.2965,0.3438,0.1454,0,0.275943
glove-200-angular_10k,pdx-bond,0.29191,0.338667,0.233361,0.9992,22,0,10,1000,0.2,1,0.2872,0.3387,0.1408,0,0.266976
glove-200-angular_10k,pdx-bond,0.279703,0.324663,0.222766,0.9958,20,0,10,1000,0.2,1,0.2755,0.3247,0.1299,0,0.255448
glove-200-angular_10k,pdx-bond,0.26421,0.306708,0.209004,0.9832,18,0,10,1000,0.2,1,0.2602,0.3067,0.1243,0,0.240419
glove-200-angular_10k,pdx-bond,0.24647,0.285152,0.196359,0.959001,16,0,10,1000,0.2,1,0.2425,0.2852,0.1122,0,0.223056
glove-200-angular_10k,pdx-bond,0.226351,0.26459,0.175908,0.911601,14,0,10,1000,0.2,1,0.2229,0.2646,0.09772,0,0.20372
glove-200-angular_10k,pdx-bond,0.204497,0.242915,0.158337,0.8432,12,0,10,1000,0.2,1,0.2015,0.2429,0.08916,0,0.18251
glove-200-angular_10k,pdx-bond,0.180575,0.220442,0.136411,0.7594,10,0,10,1000,0.2,1,0.178,0.2204,0.07361,0,0.159368
glove-200-angular_10k,pdx-bond,0.154131,0.191272,0.107956,0.6559,8,0,10,1000,0.2,1,0.1527,0.1913,0.06783,0,0.134255
glove-200-angular_10k,pdx-bond,0.12519,0.167811,0.077933,0.553,6,0,10,1000,0.2,1,0.1244,0.1998,0.05183,0,0.10627
glove-200-angular_10k,pdx-bond,0.0922412,0.131366,0.046613,0.4283,4,0,10,1000,0.2,1,0.09189,0.1314,0.03911,0,0.0743704
glove-200-angular_10k,pdx-bond,0.0546942,0.085993,0.022898,0.2874,2,0,10,1000,0.2,1,0.05469,0.08599,0.0229,0,0.0381352
glove-200-angular_100k,pdx-bond,3.79361,4.9847,2.56873,1,256,0,10,1000,0.2,1,3.707,5.069,1.474,0,3.65404
glove-200-angular_100k,pdx-bond,3.80228,4.97095,2.58333,1,224,0,10,1000,0.2,1,3.714,5.063,1.471,0,3.66109
glove-200-angular_100k,pdx-bond,3.78173,4.91537,2.5744,1,192,0,10,1000,0.2,1,3.692,5.027,1.453,0,3.64105
glove-200-angular_100k,pdx-bond,3.76314,4.92582,2.55376,1,160,0,10,1000,0.2,1,3.676,5,1.444,0,3.62632
glove-200-angular_100k,pdx-bond,3.75068,4.91521,2.53875,1,144,0,10,1000,0.2,1,3.666,5.01,1.443,0,3.61767
glove-200-angular_100k,pdx-bond,3.73887,4.89809,2.54258,1,128,0,10,1000,0.2,1,3.652,4.975,1.425,0,3.6047
glove-200-angular_100k,pdx-bond,3.70691,4.81114,2.51581,1,112,0,10,1000,0.2,1,3.621,4.896,1.443,0,3.57474
glove-200-angular_100k,pdx-bond,3.63782,4.72174,2.48174,1,96,0,10,1000,0.2,1,3.547,4.722,1.406,0,3.50261
