dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_1k,pdx-adsampling,0.169495,0.237913,0.106662,0.9999,32,2.1,10,1000,0.2,1,0.1709,0.3661,0.1067,0,0.0953429
instructorxl-arxiv-768_1k,pdx-adsampling,0.167909,0.233753,0.10577,0.9999,28,2.1,10,1000,0.2,1,0.1689,0.33,0.1058,0,0.093411
instructorxl-arxiv-768_1k,pdx-adsampling,0.164707,0.228948,0.104988,0.9998,26,2.1,10,1000,0.2,1,0.165,0.2979,0.105,0,0.0898781
instructorxl-arxiv-768_1k,pdx-adsampling,0.161471,0.219235,0.107996,0.9995,24,2.1,10,1000,0.2,1,0.1618,0.249,0.108,0,0.086799
instructorxl-arxiv-768_1k,pdx-adsampling,0.157913,0.216211,0.107671,0.9992,22,2.1,10,1000,0.2,1,0.1583,0.3405,0.1077,0,0.0834714
instructorxl-arxiv-768_1k,pdx-adsampling,0.153262,0.205984,0.105734,0.9989,20,2.1,10,1000,0.2,1,0.1541,0.2804,0.1057,0,0.0796107
instructorxl-arxiv-768_1k,pdx-adsampling,0.149155,0.197141,0.104288,0.9982,18,2.1,10,1000,0.2,1,0.1493,0.2181,0.1043,0,0.0749631
instructorxl-arxiv-768_1k,pdx-adsampling,0.1442,0.187425,0.101812,0.9963,16,2.1,10,1000,0.2,1,0.1448,0.3038,0.1004,0,0.0708219
instructorxl-arxiv-768_1k,pdx-adsampling,0.138174,0.176102,0.10105,0.9934,14,2.1,10,1000,0.2,1,0.1389,0.2589,0.09865,0,0.0654545
instructorxl-arxiv-768_1k,pdx-adsampling,0.132396,0.164974,0.098896,0.986901,12,2.1,10,1000,0.2,1,0.1327,0.2449,0.0967,0,0.0597918
instructorxl-arxiv-768_1k,pdx-adsampling,0.124356,0.149262,0.09804,0.976201,10,2.1,10,1000,0.2,1,0.1245,0.2147,0.0949,0,0.0525872
instructorxl-arxiv-768_1k,pdx-adsampling,0.116289,0.139777,0.092708,0.956701,8,2.1,10,1000,0.2,1,0.1172,0.1935,0.09249,0,0.045867
instructorxl-arxiv-768_1k,pdx-adsampling,0.107377,0.126559,0.088749,0.922602,6,2.1,10,1000,0.2,1,0.1075,0.1403,0.08875,0,0.0370331
instructorxl-arxiv-768_1k,pdx-adsampling,0.0963809,0.112168,0.083025,0.857401,4,2.1,10,1000,0.2,1,0.09682,0.2137,0.08303,0,0.0269565
instructorxl-arxiv-768_1k,pdx-adsampling,0.0842144,0.09631,0.074511,0.6992,2,2.1,10,1000,0.2,1,0.08438,0.1168,0.07451,0,0.015097
instructorxl-arxiv-768_10k,pdx-adsampling,0.650096,1.2518,0.237072,0.9999,96,2.1,10,1000,0.2,1,0.665,1.705,0.2371,0,0.567558
instructorxl-arxiv-768_10k,pdx-adsampling,0.619803,1.17446,0.226909,0.9999,80,2.1,10,1000,0.2,1,0.6309,1.419,0.2269,0,0.534754
instructorxl-arxiv-768_10k,pdx-adsampling,0.580299,1.11044,0.215786,0.9998,64,2.1,10,1000,0.2,1,0.5877,1.265,0.2158,0,0.492813
instructorxl-arxiv-768_10k,pdx-adsampling,0.553495,1.04297,0.204447,0.9997,56,2.1,10,1000,0.2,1,0.5594,1.162,0.2044,0,0.465532
instructorxl-arxiv-768_10k,pdx-adsampling,0.525406,0.961329,0.202016,0.9991,48,2.1,10,1000,0.2,1,0.5273,1.026,0.202,0,0.434313
instructorxl-arxiv-768_10k,pdx-adsampling,0.494791,0.886998,0.193634,0.9985,40,2.1,10,1000,0.2,1,0.4952,0.9363,0.1936,0,0.402782
instructorxl-arxiv-768_10k,pdx-adsampling,0.447034,0.761254,0.18391,0.9957,32,2.1,10,1000,0.2,1,0.4474,0.7881,0.1839,0,0.355949
instructorxl-arxiv-768_10k,pdx-adsampling,0.422791,0.706616,0.178865,0.9935,28,2.1,10,1000,0.2,1,0.4228,0.7066,0.1789,0,0.331657
instructorxl-arxiv-768_10k,pdx-adsampling,0.410909,0.668469,0.177774,0.992201,26,2.1,10,1000,0.2,1,0.4112,0.7053,0.1778,0,0.320196
instructorxl-arxiv-768_10k,pdx-adsampling,0.395867,0.623596,0.183087,0.990201,24,2.1,10,1000,0.2,1,0.3959,0.6236,0.1831,0,0.305244
