dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_1k,pdx-adsampling,0.189255,0.263528,0.124846,0.9999,32,2.1,10,1000,0.2,1,0.1906,0.3245,0.1248,0,0.101691
instructorxl-arxiv-768_1k,pdx-adsampling,0.186995,0.255663,0.123495,0.9999,28,2.1,10,1000,0.2,1,0.1872,0.2899,0.1235,0,0.0984649
instructorxl-arxiv-768_1k,pdx-adsampling,0.183673,0.250061,0.123447,0.9998,26,2.1,10,1000,0.2,1,0.1844,0.359,0.1234,0,0.0956182
instructorxl-arxiv-768_1k,pdx-adsampling,0.181034,0.240056,0.128293,0.9995,24,2.1,10,1000,0.2,1,0.1816,0.3541,0.1283,0,0.092787
instructorxl-arxiv-768_1k,pdx-adsampling,0.176462,0.232081,0.121031,0.9992,22,2.1,10,1000,0.2,1,0.1773,0.3397,0.121,0,0.0888493
instructorxl-arxiv-768_1k,pdx-adsampling,0.172023,0.220798,0.119775,0.9989,20,2.1,10,1000,0.2,1,0.1726,0.3053,0.1198,0,0.0844015
instructorxl-arxiv-768_1k,pdx-adsampling,0.167462,0.215311,0.118813,0.9982,18,2.1,10,1000,0.2,1,0.1678,0.2905,0.1188,0,0.0796554
instructorxl-arxiv-768_1k,pdx-adsampling,0.161655,0.203344,0.118665,0.9963,16,2.1,10,1000,0.2,1,0.162,0.2645,0.1187,0,0.0742416
instructorxl-arxiv-768_1k,pdx-adsampling,0.156255,0.190267,0.118006,0.9934,14,2.1,10,1000,0.2,1,0.1564,0.233,0.1172,0,0.0688344
instructorxl-arxiv-768_1k,pdx-adsampling,0.150054,0.183175,0.116452,0.986901,12,2.1,10,1000,0.2,1,0.1505,0.2499,0.1137,0,0.0630447
instructorxl-arxiv-768_1k,pdx-adsampling,0.141978,0.17001,0.113898,0.976201,10,2.1,10,1000,0.2,1,0.1425,0.2386,0.1116,0,0.055626
instructorxl-arxiv-768_1k,pdx-adsampling,0.133059,0.15574,0.111145,0.956701,8,2.1,10,1000,0.2,1,0.1333,0.243,0.1074,0,0.047273
instructorxl-arxiv-768_1k,pdx-adsampling,0.123095,0.144019,0.103797,0.922602,6,2.1,10,1000,0.2,1,0.1233,0.1593,0.1038,0,0.0383558
instructorxl-arxiv-768_1k,pdx-adsampling,0.110461,0.127626,0.095505,0.857401,4,2.1,10,1000,0.2,1,0.1106,0.164,0.09551,0,0.027837
instructorxl-arxiv-768_1k,pdx-adsampling,0.0949921,0.108172,0.08292,0.6992,2,2.1,10,1000,0.2,1,0.09513,0.1182,0.08292,0,0.0155167
instructorxl-arxiv-768_10k,pdx-adsampling,0.665466,1.26716,0.239604,0.9999,96,2.1,10,1000,0.2,1,0.6805,1.646,0.2396,0,0.583494
instructorxl-arxiv-768_10k,pdx-adsampling,0.633258,1.19248,0.2237,0.9999,80,2.1,10,1000,0.2,1,0.6451,1.437,0.2237,0,0.549986
instructorxl-arxiv-768_10k,pdx-adsampling,0.599404,1.15767,0.215244,0.9998,64,2.1,10,1000,0.2,1,0.6148,2.251,0.2152,0,0.51909
instructorxl-arxiv-768_10k,pdx-adsampling,0.571962,1.08345,0.217535,0.9997,56,2.1,10,1000,0.2,1,0.5793,1.193,0.2175,0,0.485444
instructorxl-arxiv-768_10k,pdx-adsampling,0.542409,1.00441,0.201637,0.9991,48,2.1,10,1000,0.2,1,0.5454,1.071,0.2016,0,0.452483
instructorxl-arxiv-768_10k,pdx-adsampling,0.506579,0.912878,0.212503,0.9985,40,2.1,10,1000,0.2,1,0.507,0.9393,0.2125,0,0.414905
instructorxl-arxiv-768_10k,pdx-adsampling,0.461562,0.795017,0.189184,0.9957,32,2.1,10,1000,0.2,1,0.4616,0.795,0.1892,0,0.370497
instructorxl-arxiv-768_10k,pdx-adsampling,0.435088,0.710387,0.187139,0.9935,28,2.1,10,1000,0.2,1,0.4351,0.7104,0.1871,0,0.344523
instructorxl-arxiv-768_10k,pdx-adsampling,0.421202,0.682144,0.182859,0.992201,26,2.1,10,1000,0.2,1,0.4212,0.6821,0.1829,0,0.33104
instructorxl-arxiv-768_10k,pdx-adsampling,0.408472,0.652725,0.181003,0.990201,24,2.1,10,1000,0.2,1,0.4085,0.6527,0.181,0,0.31854
instructorxl-arxiv-768_10k,pdx-adsampling,0.389839,0.612052,0.177126,0.987601,22,2.1,10,1000,0.2,1,0.3902,0.7871,0.1771,0,0.30045
instructorxl-arxiv-768_10k,pdx-adsampling,0.37423,0.573726,0.177292,0.984801,20,2.1,10,1000,0.2,1,0.3746,0.7429,0.1773,0,0.285107
instructorxl-arxiv-768_10k,pdx-adsampling,0.355326,0.536084,0.173884,0.981201,18,2.1,10,1000,0.2,1,0.3553,0.5361,0.1739,0,0.266706
instructorxl-arxiv-768_10k,pdx-adsampling,0.304348,0.446714,0.158086,0.976201,16,2.1,10,1000,0.2,1,0.3043,0.4467,0.1581,0,0.21429
instructorxl-arxiv-768_10k,pdx-adsampling,0.285214,0.409296,0.15615,0.967601,14,2.1,10,1000,0.2,1,0.2852,0.4093,0.1562,0,0.197303
