dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_1k,pdx-bond,0.216079,0.254506,0.175391,1,32,0,10,1000,0.2,1,0.2159,0.2545,0.1674,0,0.147297
instructorxl-arxiv-768_1k,pdx-bond,0.207851,0.241601,0.170391,1,28,0,10,1000,0.2,1,0.2076,0.2416,0.1634,0,0.139368
instructorxl-arxiv-768_1k,pdx-bond,0.201107,0.232456,0.165049,0.9999,26,0,10,1000,0.2,1,0.2009,0.2325,0.1598,0,0.132638
instructorxl-arxiv-768_1k,pdx-bond,0.193523,0.224703,0.160091,0.9996,24,0,10,1000,0.2,1,0.1933,0.2247,0.1552,0,0.125039
instructorxl-arxiv-768_1k,pdx-bond,0.185129,0.2111,0.155228,0.9992,22,0,10,1000,0.2,1,0.1851,0.2605,0.1507,0,0.11683
instructorxl-arxiv-768_1k,pdx-bond,0.176443,0.202849,0.147343,0.9989,20,0,10,1000,0.2,1,0.1763,0.2028,0.144,0,0.108175
instructorxl-arxiv-768_1k,pdx-bond,0.167344,0.194617,0.138876,0.9982,18,0,10,1000,0.2,1,0.1673,0.1977,0.1371,0,0.0994237
instructorxl-arxiv-768_1k,pdx-bond,0.15803,0.184705,0.131588,0.9963,16,0,10,1000,0.2,1,0.1582,0.2303,0.1316,0,0.0902969
instructorxl-arxiv-768_1k,pdx-bond,0.148743,0.171609,0.126564,0.9934,14,0,10,1000,0.2,1,0.1488,0.179,0.1231,0,0.0809991
instructorxl-arxiv-768_1k,pdx-bond,0.13916,0.162169,0.117059,0.986901,12,0,10,1000,0.2,1,0.1391,0.1622,0.1135,0,0.0714193
instructorxl-arxiv-768_1k,pdx-bond,0.128692,0.149359,0.106044,0.976201,10,0,10,1000,0.2,1,0.1287,0.1494,0.106,0,0.0612508
instructorxl-arxiv-768_1k,pdx-bond,0.118059,0.134487,0.099892,0.956701,8,0,10,1000,0.2,1,0.1182,0.1747,0.09989,0,0.0508298
instructorxl-arxiv-768_1k,pdx-bond,0.107087,0.121572,0.090636,0.922602,6,0,10,1000,0.2,1,0.1071,0.1381,0.09064,0,0.0400269
instructorxl-arxiv-768_1k,pdx-bond,0.0948348,0.109717,0.081182,0.857401,4,0,10,1000,0.2,1,0.09486,0.1179,0.08118,0,0.0279853
instructorxl-arxiv-768_1k,pdx-bond,0.0816448,0.093663,0.071943,0.699,2,0,10,1000,0.2,1,0.08164,0.09366,0.07194,0,0.0150411
instructorxl-arxiv-768_10k,pdx-bond,1.57869,2.07802,1.05336,1,96,0,10,1000,0.2,1,1.576,2.078,0.8904,0,1.48401
instructorxl-arxiv-768_10k,pdx-bond,1.41238,1.84145,0.973753,1,80,0,10,1000,0.2,1,1.41,1.841,0.7668,0,1.31913
instructorxl-arxiv-768_10k,pdx-bond,1.19386,1.55957,0.830693,0.9999,64,0,10,1000,0.2,1,1.192,1.605,0.6613,0,1.10278
instructorxl-arxiv-768_10k,pdx-bond,1.09345,1.41395,0.745817,0.9998,56,0,10,1000,0.2,1,1.094,1.602,0.6149,0,1.00503
instructorxl-arxiv-768_10k,pdx-bond,0.966324,1.21192,0.680524,0.9992,48,0,10,1000,0.2,1,0.9653,1.252,0.5418,0,0.877782
instructorxl-arxiv-768_10k,pdx-bond,0.832443,1.06275,0.596446,0.9986,40,0,10,1000,0.2,1,0.8316,1.145,0.4983,0,0.744786
instructorxl-arxiv-768_10k,pdx-bond,0.703566,0.89467,0.517345,0.9958,32,0,10,1000,0.2,1,0.7024,0.8947,0.4202,0,0.616552
instructorxl-arxiv-768_10k,pdx-bond,0.640036,0.810281,0.464293,0.9936,28,0,10,1000,0.2,1,0.6403,0.9122,0.3947,0,0.554671
instructorxl-arxiv-768_10k,pdx-bond,0.601135,0.764545,0.438894,0.992301,26,0,10,1000,0.2,1,0.6004,0.7766,0.3863,0,0.514955
instructorxl-arxiv-768_10k,pdx-bond,0.566078,0.714629,0.416898,0.990301,24,0,10,1000,0.2,1,0.5659,0.736,0.3704,0,0.480823
instructorxl-arxiv-768_10k,pdx-bond,0.536488,0.682364,0.389988,0.987701,22,0,10,1000,0.2,1,0.5363,0.8106,0.3699,0,0.451064
instructorxl-arxiv-768_10k,pdx-bond,0.499383,0.626153,0.374976,0.984901,20,0,10,1000,0.2,1,0.4994,0.7564,0.3526,0,0.414896
instructorxl-arxiv-768_10k,pdx-bond,0.464514,0.583339,0.348356,0.981301,18,0,10,1000,0.2,1,0.4645,0.607,0.3357,0,0.380293
instructorxl-arxiv-768_10k,pdx-bond,0.427269,0.540237,0.320741,0.976301,16,0,10,1000,0.2,1,0.4273,0.5457,0.3032,0,0.343292
instructorxl-arxiv-768_10k,pdx-bond,0.388873,0.488834,0.290505,0.967701,14,0,10,1000,0.2,1,0.389,0.5152,0.2731,0,0.305351
instructorxl-arxiv-768_10k,pdx-bond,0.349137,0.43553,0.263424,0.957801,12,0,10,1000,0.2,1,0.3499,0.6227,0.2441,0,0.266341
instructorxl-arxiv-768_10k,pdx-bond,0.309643,0.388259,0.233176,0.942601,10,0,10,1000,0.2,1,0.31,0.4046,0.2242,0,0.226996
instructorxl-arxiv-768_10k,pdx-bond,0.267939,0.334743,0.202348,0.918301,8,0,10,1000,0.2,1,0.2682,0.3526,0.1928,0,0.185913
instructorxl-arxiv-768_10k,pdx-bond,0.224517,0.284306,0.166997,0.880801,6,0,10,1000,0.2,1,0.2249,0.3054,0.167,0,0.143134
instructorxl-arxiv-768_10k,pdx-bond,0.179263,0.224807,0.137275,0.809,4,0,10,1000,0.2,1,0.1796,0.2546,0.1318,0,0.0985588
instructorxl-arxiv-768_10k,pdx-bond,0.133566,0.16739,0.100902,0.6488,2,0,10,1000,0.2,1,0.134,0.1897,0.09853,0,0.0533222
instructorxl-arxiv-768_1000k,pdx-bond,40.436,67.055,18.5964,1,512,0,10,1000,0.2,1,43.02,148.1,18.6,0,42.3973
instructorxl-arxiv-768_1000k,pdx-bond,22.2894,33.068,10.2671,0.999,256,0,10,1000,0.2,1,22.29,33.07,10.27,0,21.7507
instructorxl-arxiv-768_1000k,pdx-bond,20.0228,29.3592,9.19704,0.9985,224,0,10,1000,0.2,1,20.04,32.74,9.197,0,19.5067
instructorxl-arxiv-768_1000k,pdx-bond,17.6181,25.6342,7.98439,0.9976,192,0,10,1000,0.2,1,17.64,30.4,7.984,0,17.1231
instructorxl-arxiv-768_1000k,pdx-bond,15.2524,23.1557,6.94346,0.9963,160,0,10,1000,0.2,1,15.25,23.16,6.943,0,14.7479
instructorxl-arxiv-768_1000k,pdx-bond,13.9534,20.2174,6.29853,0.9956,144,0,10,1000,0.2,1,13.96,24.88,6.299,0,13.4654
instructorxl-arxiv-768_1000k,pdx-bond,12.6635,18.4174,5.70814,0.994,128,0,10,1000,0.2,1,12.67,22.65,5.708,0,12.1841
instructorxl-arxiv-768_1000k,pdx-bond,11.3382,16.5821,5.1015,0.992001,112,0,10,1000,0.2,1,11.35,21.19,5.102,0,10.8664
instructorxl-arxiv-768_1000k,pdx-bond,9.99338,14.8393,4.53206,0.989801,96,0,10,1000,0.2,1,9.993,14.84,4.532,0,9.5143
instructorxl-arxiv-768_1000k,pdx-bond,8.65012,13.0529,4.08332,0.986801,80,0,10,1000,0.2,1,8.65,13.05,4.083,0,8.18596
instructorxl-arxiv-768_1000k,pdx-bond,7.18826,10.7493,3.58794,0.980801,64,0,10,1000,0.2,1,7.195,14.19,3.588,0,6.74393
instructorxl-arxiv-768_1000k,pdx-bond,6.45566,9.52532,3.26772,0.978601,56,0,10,1000,0.2,1,6.464,14.6,3.268,0,6.02428
instructorxl-arxiv-768_1000k,pdx-bond,5.66493,8.4888,2.80295,0.973501,48,0,10,1000,0.2,1,5.671,12.18,2.803,0,5.25178
instructorxl-arxiv-768_1000k,pdx-bond,4.87858,7.34476,2.39293,0.965201,40,0,10,1000,0.2,1,4.885,11.43,2.393,0,4.48522
instructorxl-arxiv-768_1000k,pdx-bond,4.07396,6.23453,2.00516,0.955901,32,0,10,1000,0.2,1,4.08,10.4,2.005,0,3.69873
instructorxl-arxiv-768_1000k,pdx-bond,3.65308,5.55552,1.84588,0.947801,28,0,10,1000,0.2,1,3.655,5.679,1.846,0,3.28985
instructorxl-arxiv-768_1000k,pdx-bond,3.45117,5.13786,1.76559,0.943101,26,0,10,1000,0.2,1,3.457,5.521,1.766,0,3.10071
instructorxl-arxiv-768_1000k,pdx-bond,3.2248,4.84718,1.63987,0.939101,24,0,10,1000,0.2,1,3.236,10.77,1.64,0,2.89331
instructorxl-arxiv-768_1000k,pdx-bond,2.98854,4.56618,1.55643,0.933701,22,0,10,1000,0.2,1,2.993,5.516,1.556,0,2.66223
instructorxl-arxiv-768_1000k,pdx-bond,2.77145,4.15709,1.40404,0.927601,20,0,10,1000,0.2,1,2.776,4.372,1.404,0,2.45219
instructorxl-arxiv-768_1000k,pdx-bond,2.54391,3.78654,1.34159,0.920401,18,0,10,1000,0.2,1,2.549,4,1.342,0,2.23401
instructorxl-arxiv-768_1000k,pdx-bond,2.32287,3.5341,1.21054,0.910601,16,0,10,1000,0.2,1,2.326,3.723,1.211,0,2.01572
instructorxl-arxiv-768_1000k,pdx-bond,2.08973,3.11607,1.06725,0.898601,14,0,10,1000,0.2,1,2.096,3.346,1.067,0,1.7904
instructorxl-arxiv-768_1000k,pdx-bond,1.86116,2.74732,0.945211,0.884501,12,0,10,1000,0.2,1,1.873,9.716,0.9452,0,1.56605
instructorxl-arxiv-768_1000k,pdx-bond,1.62287,2.4144,0.876522,0.8636,10,0,10,1000,0.2,1,1.626,2.652,0.7385,0,1.33134
instructorxl-arxiv-768_1000k,pdx-bond,1.38234,2.05185,0.710492,0.8396,8,0,10,1000,0.2,1,1.385,2.289,0.644,0,1.09613
instructorxl-arxiv-768_1000k,pdx-bond,1.13472,1.69308,0.647167,0.8011,6,0,10,1000,0.2,1,1.137,1.855,0.5705,0,0.852877
instructorxl-arxiv-768_1000k,pdx-bond,0.875663,1.28901,0.474251,0.7369,4,0,10,1000,0.2,1,0.8858,7.915,0.4743,0,0.6046
instructorxl-arxiv-768_1000k,pdx-bond,0.593196,0.839053,0.364578,0.6015,2,0,10,1000,0.2,1,0.5968,0.9674,0.3187,0,0.317783
instructorxl-arxiv-768_100k,pdx-bond,11.7465,17.449,6.47904,1,256,0,10,1000,0.2,1,11.75,17.69,6.479,0,11.5932
instructorxl-arxiv-768_100k,pdx-bond,10.8873,15.9242,5.91348,1,224,0,10,1000,0.2,1,10.91,20.5,5.913,0,10.7469
instructorxl-arxiv-768_100k,pdx-bond,9.82216,14.595,5.29559,1,192,0,10,1000,0.2,1,9.835,16.19,5.296,0,9.67645
instructorxl-arxiv-768_100k,pdx-bond,8.59325,12.1659,4.61258,1,160,0,10,1000,0.2,1,8.598,13.22,4.613,0,8.4442
instructorxl-arxiv-768_100k,pdx-bond,8.0931,11.6388,4.28091,0.9999,144,0,10,1000,0.2,1,8.111,13,4.281,0,7.95912
instructorxl-arxiv-768_100k,pdx-bond,7.34492,10.8528,3.89225,0.9999,128,0,10,1000,0.2,1,7.343,12.16,3.771,0,7.19506
instructorxl-arxiv-768_100k,pdx-bond,6.65135,9.74789,3.51962,0.9999,112,0,10,1000,0.2,1,6.677,14.24,3.307,0,6.53119
instructorxl-arxiv-768_100k,pdx-bond,6.01854,8.60207,3.19847,0.9995,96,0,10,1000,0.2,1,6.034,11.31,2.905,0,5.8896
instructorxl-arxiv-768_100k,pdx-bond,5.17725,7.36945,2.8936,0.9987,80,0,10,1000,0.2,1,5.183,8.572,2.395,0,5.04305
instructorxl-arxiv-768_100k,pdx-bond,4.30952,6.04939,2.44837,0.9969,64,0,10,1000,0.2,1,4.319,7.218,1.902,0,4.18858
instructorxl-arxiv-768_100k,pdx-bond,3.8919,5.4649,2.18662,0.9956,56,0,10,1000,0.2,1,3.903,7.011,1.675,0,3.77622
instructorxl-arxiv-768_100k,pdx-bond,3.42425,4.82002,1.91617,0.9944,48,0,10,1000,0.2,1,3.443,7.463,1.408,0,3.31783
instructorxl-arxiv-768_100k,pdx-bond,2.95668,4.27896,1.64276,0.9909,40,0,10,1000,0.2,1,2.976,6.221,1.19,0,2.85669
instructorxl-arxiv-768_100k,pdx-bond,2.48643,3.51759,1.41937,0.9864,32,0,10,1000,0.2,1,2.503,8.334,0.9706,0,2.38619
instructorxl-arxiv-768_100k,pdx-bond,2.1951,3.09078,1.2909,0.981801,28,0,10,1000,0.2,1,2.201,4.505,0.8955,0,2.08802
instructorxl-arxiv-768_100k,pdx-bond,2.07299,2.87782,1.21455,0.979401,26,0,10,1000,0.2,1,2.072,3.759,0.8389,0,1.9602
instructorxl-arxiv-768_100k,pdx-bond,1.93847,2.70453,1.10241,0.976501,24,0,10,1000,0.2,1,1.941,4.58,0.7579,0,1.82983
instructorxl-arxiv-768_100k,pdx-bond,1.80733,2.60466,1.0044,0.972401,22,0,10,1000,0.2,1,1.825,4.341,0.7324,0,1.71197
instructorxl-arxiv-768_100k,pdx-bond,1.68011,2.43725,0.964665,0.968001,20,0,10,1000,0.2,1,1.699,3.945,0.6739,0,1.58564
instructorxl-arxiv-768_100k,pdx-bond,1.55099,2.22454,0.8918,0.961501,18,0,10,1000,0.2,1,1.562,3.973,0.6179,0,1.44954
instructorxl-arxiv-768_100k,pdx-bond,1.38951,2.02399,0.786519,0.953001,16,0,10,1000,0.2,1,1.392,3.968,0.5459,0,1.28424
instructorxl-arxiv-768_100k,pdx-bond,1.25519,1.83546,0.705689,0.943001,14,0,10,1000,0.2,1,1.256,3.605,0.4953,0,1.14833
instructorxl-arxiv-768_100k,pdx-bond,1.10097,1.61168,0.624362,0.930301,12,0,10,1000,0.2,1,1.102,3.311,0.4111,0,0.994829
instructorxl-arxiv-768_100k,pdx-bond,0.952502,1.40877,0.555874,0.912001,10,0,10,1000,0.2,1,0.9541,3.181,0.3456,0,0.84803
instructorxl-arxiv-768_100k,pdx-bond,0.812866,1.20556,0.463836,0.883401,8,0,10,1000,0.2,1,0.815,3.005,0.2853,0,0.706978
instructorxl-arxiv-768_100k,pdx-bond,0.644199,0.980419,0.358655,0.843901,6,0,10,1000,0.2,1,0.6514,2.75,0.2212,0,0.5414
instructorxl-arxiv-768_100k,pdx-bond,0.471983,0.709244,0.254848,0.775301,4,0,10,1000,0.2,1,0.4722,0.7794,0.1847,0,0.368421
instructorxl-arxiv-768_100k,pdx-bond,0.295848,0.452334,0.146903,0.6273,2,0,10,1000,0.2,1,0.2989,2.543,0.1469,0,0.194176
