dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_1k,pdx-bond,0.218564,0.257763,0.177965,1,32,0,10,1000,0.2,1,0.2183,0.2578,0.1688,0,0.149681
instructorxl-arxiv-768_1k,pdx-bond,0.210231,0.248462,0.171742,1,28,0,10,1000,0.2,1,0.2101,0.2485,0.1641,0,0.141515
instructorxl-arxiv-768_1k,pdx-bond,0.20328,0.234782,0.166918,0.9999,26,0,10,1000,0.2,1,0.2031,0.2348,0.1611,0,0.134483
instructorxl-arxiv-768_1k,pdx-bond,0.195146,0.225556,0.161398,0.9996,24,0,10,1000,0.2,1,0.1949,0.2256,0.1572,0,0.126464
instructorxl-arxiv-768_1k,pdx-bond,0.186677,0.217498,0.155695,0.9992,22,0,10,1000,0.2,1,0.1866,0.2637,0.1518,0,0.117928
instructorxl-arxiv-768_1k,pdx-bond,0.177671,0.206496,0.14822,0.9989,20,0,10,1000,0.2,1,0.1774,0.2065,0.1457,0,0.109005
instructorxl-arxiv-768_1k,pdx-bond,0.16833,0.197086,0.14028,0.9982,18,0,10,1000,0.2,1,0.1683,0.2014,0.1355,0,0.0999777
instructorxl-arxiv-768_1k,pdx-bond,0.158726,0.183708,0.132324,0.9963,16,0,10,1000,0.2,1,0.1588,0.2209,0.1316,0,0.0905975
instructorxl-arxiv-768_1k,pdx-bond,0.149157,0.174061,0.124674,0.9934,14,0,10,1000,0.2,1,0.1492,0.1795,0.1231,0,0.0811312
instructorxl-arxiv-768_1k,pdx-bond,0.139274,0.161551,0.11432,0.986901,12,0,10,1000,0.2,1,0.1392,0.1616,0.1134,0,0.0712468
instructorxl-arxiv-768_1k,pdx-bond,0.128743,0.147721,0.107253,0.976201,10,0,10,1000,0.2,1,0.1288,0.1538,0.1073,0,0.0610115
instructorxl-arxiv-768_1k,pdx-bond,0.118103,0.137836,0.099278,0.956701,8,0,10,1000,0.2,1,0.1182,0.1848,0.09928,0,0.0505938
instructorxl-arxiv-768_1k,pdx-bond,0.107203,0.125863,0.089297,0.922602,6,0,10,1000,0.2,1,0.1072,0.1259,0.0893,0,0.0397819
