dataset,method,efsearch,recall,per_query_us
contriever-768,hnsw,10,7661.12,0.61302
contriever-768,hnsw,20,6944.95,0.74693
contriever-768,hnsw,40,4843.35,0.8335
contriever-768,hnsw,50,4244.08,0.855
contriever-768,hnsw,60,3780.97,0.86958
contriever-768,hnsw,80,3058.96,0.88908
contriever-768,hnsw,100,2585.8,0.90021
contriever-768,hnsw,150,1839.95,0.91589
contriever-768,hnsw,170,1656.05,0.91983
contriever-768,hnsw,190,1505.82,0.92281
contriever-768,hnsw,200,1441.7,0.92443
contriever-768,hnsw,250,1181.66,0.92949
contriever-768,hnsw,300,985.107,0.93382
contriever-768,hnsw,400,737.021,0.93978
contriever-768,hnsw,500,586.661,0.94356
contriever-768,hnsw,600,483.228,0.94591
contriever-768,hnsw,700,415.412,0.94767
contriever-768,hnsw,800,361.336,0.94884
contriever-768,hnsw,1000,282.812,0.95027
contriever-768,hnsw,1500,180.908,0.95345
contriever-768,hnsw,2000,130.544,0.95468
deep-image-96-angular,hnsw,10,19890.6,0.59955
deep-image-96-angular,hnsw,20,14051.1,0.72522
deep-image-96-angular,hnsw,40,9269.52,0.8197
deep-image-96-angular,hnsw,50,7955.78,0.8422
deep-image-96-angular,hnsw,60,6977.63,0.85785
deep-image-96-angular,hnsw,80,5609.29,0.87823
deep-image-96-angular,hnsw,100,4333.51,0.8901
deep-image-96-angular,hnsw,150,2929.99,0.9062
deep-image-96-angular,hnsw,170,3077.75,0.90972
deep-image-96-angular,hnsw,190,2797.86,0.91228
deep-image-96-angular,hnsw,200,2682.11,0.91328
deep-image-96-angular,hnsw,250,2217.1,0.91706
deep-image-96-angular,hnsw,300,1882.37,0.91957
deep-image-96-angular,hnsw,400,1442.91,0.92251
deep-image-96-angular,hnsw,500,1156.83,0.9241
deep-image-96-angular,hnsw,600,958.48,0.92487
deep-image-96-angular,hnsw,700,821.088,0.9254
deep-image-96-angular,hnsw,800,713.889,0.92575
deep-image-96-angular,hnsw,1000,564.051,0.92629
deep-image-96-angular,hnsw,1500,362.003,0.92697
deep-image-96-angular,hnsw,2000,261.94,0.92714
gist-960-euclidean,hnsw,10,8849.27,0.4125
gist-960-euclidean,hnsw,20,6353.26,0.5465
gist-960-euclidean,hnsw,40,4248.88,0.6767
gist-960-euclidean,hnsw,50,3564.54,0.7178
gist-960-euclidean,hnsw,60,3166.06,0.7473
gist-960-euclidean,hnsw,80,2533.91,0.7886
gist-960-euclidean,hnsw,100,2120.2,0.8179
gist-960-euclidean,hnsw,150,1508.76,0.8684
gist-960-euclidean,hnsw,170,1355.33,0.8794
gist-960-euclidean,hnsw,190,1242.07,0.8882
gist-960-euclidean,hnsw,200,1185.47,0.8922
gist-960-euclidean,hnsw,250,964.818,0.9093
gist-960-euclidean,hnsw,300,822.875,0.919
gist-960-euclidean,hnsw,400,636.466,0.9328
gist-960-euclidean,hnsw,500,519.357,0.9399
gist-960-euclidean,hnsw,600,442.862,0.9432
gist-960-euclidean,hnsw,700,383.504,0.9464
gist-960-euclidean,hnsw,800,337.853,0.9493
gist-960-euclidean,hnsw,1000,277.541,0.9515
gist-960-euclidean,hnsw,1500,186.817,0.9548
gist-960-euclidean,hnsw,2000,145.26,0.9563
glove-200-angular,hnsw,10,28299.4,0.3788
glove-200-angular,hnsw,20,19505.4,0.48845
glove-200-angular,hnsw,40,12497.7,0.58567
glove-200-angular,hnsw,50,10601.3,0.61353
glove-200-angular,hnsw,60,9228.72,0.63442
glove-200-angular,hnsw,80,7171.05,0.66453
glove-200-angular,hnsw,100,5921.72,0.68615
glove-200-angular,hnsw,150,3978.56,0.72018
glove-200-angular,hnsw,170,3594.67,0.72958
glove-200-angular,hnsw,190,3202.82,0.73696
glove-200-angular,hnsw,200,3033.06,0.73987
glove-200-angular,hnsw,250,2365.93,0.75421
glove-200-angular,hnsw,300,1909.99,0.76499
glove-200-angular,hnsw,400,1342.86,0.77862
glove-200-angular,hnsw,500,1063.48,0.78798
glove-200-angular,hnsw,600,844.494,0.79495
glove-200-angular,hnsw,700,695.046,0.80078
glove-200-angular,hnsw,800,613.694,0.80544
glove-200-angular,hnsw,1000,469.244,0.81333
glove-200-angular,hnsw,1500,295.506,0.82574
glove-200-angular,hnsw,2000,207.23,0.8325
glove-200-angular,hnsw,2500,162.675,0.83741
glove-200-angular,hnsw,3000,142.939,0.84046
glove-200-angular,hnsw,3500,119.472,0.84297
glove-200-angular,hnsw,4000,101.844,0.84511
glove-200-angular,hnsw,4500,87.8248,0.84655
glove-200-angular,hnsw,5000,76.7895,0.84783
glove-200-angular,hnsw,5500,68.9035,0.84888
glove-200-angular,hnsw,6000,67.7284,0.84991
instructorxl-arxiv-768,hnsw,10,9296.53,0.7396
