dataset,method,efsearch,recall,per_query_us
contriever-768,ivf,5,2226.9,0.599895
contriever-768,ivf,10,1877.77,0.687303
contriever-768,ivf,20,1490.16,0.755359
contriever-768,ivf,30,1256.08,0.78763
contriever-768,ivf,40,1093.79,0.807563
contriever-768,ivf,50,970.609,0.82142
contriever-768,ivf,60,868.273,0.831854
contriever-768,ivf,70,788.995,0.840079
contriever-768,ivf,80,725.602,0.846767
contriever-768,ivf,90,672.275,0.852207
contriever-768,ivf,100,624.549,0.857005
contriever-768,ivf,110,584.934,0.861165
contriever-768,ivf,120,550.357,0.864861
contriever-768,ivf,130,528.06,0.868037
contriever-768,ivf,140,500.525,0.871154
contriever-768,ivf,150,475.235,0.873835
contriever-768,ivf,160,469.812,0.876376
contriever-768,ivf,170,431.932,0.878726
contriever-768,ivf,180,412.9,0.880901
contriever-768,ivf,190,395.775,0.882827
contriever-768,ivf,200,394.623,0.884633
contriever-768,ivf,240,339.555,0.891161
contriever-768,ivf,280,298.384,0.896478
contriever-768,ivf,320,264.322,0.900841
contriever-768,ivf,360,236.958,0.904376
contriever-768,ivf,400,215.42,0.907429
contriever-768,ivf,500,167.54,0.913398
contriever-768,ivf,600,152.226,0.917449
contriever-768,ivf,700,127.854,0.920487
contriever-768,ivf,800,118.917,0.92263
contriever-768,ivf,900,99.9155,0.924201
contriever-768,ivf,1000,97.5317,0.925335
contriever-768,ivf,1100,86.2213,0.926154
contriever-768,ivf,1200,84.6031,0.926708
contriever-768,ivf,1300,76.4819,0.927052
contriever-768,ivf,1400,75.1026,0.927257
contriever-768,ivf,1500,68.2735,0.927373
contriever-768,ivf,2000,64.8675,0.927419
contriever-768,ivf,2500,64.8631,0.927419
deep-image-96-angular,ivf,5,2883.61,0.566192
deep-image-96-angular,ivf,10,2540.59,0.688584
deep-image-96-angular,ivf,20,2143.33,0.779415
deep-image-96-angular,ivf,30,1885.24,0.816044
deep-image-96-angular,ivf,40,1694.02,0.835216
deep-image-96-angular,ivf,50,1545.6,0.846868
deep-image-96-angular,ivf,60,1435.11,0.854526
deep-image-96-angular,ivf,70,1343.78,0.860061
deep-image-96-angular,ivf,80,1266.66,0.864215
deep-image-96-angular,ivf,90,1199.49,0.867282
deep-image-96-angular,ivf,100,1137.53,0.869839
