dataset,method,efsearch,recall,per_query_us
contriever-768,symqg,10,69500.6,0.4417
contriever-768,symqg,20,43347.5,0.68443
contriever-768,symqg,40,26456.3,0.81945
contriever-768,symqg,50,22460.5,0.84863
contriever-768,symqg,60,19549.2,0.86697
contriever-768,symqg,80,15466.8,0.89226
contriever-768,symqg,100,12925.5,0.90744
contriever-768,symqg,150,9160.92,0.93052
contriever-768,symqg,170,8243.41,0.9366
contriever-768,symqg,190,7511.9,0.94086
contriever-768,symqg,200,7180.04,0.9426
contriever-768,symqg,250,5913.92,0.94787
contriever-768,symqg,300,4930.23,0.95345
contriever-768,symqg,400,3744.48,0.96116
contriever-768,symqg,500,2994.65,0.9657
contriever-768,symqg,600,2433.65,0.9689
contriever-768,symqg,700,2050.27,0.9704
contriever-768,symqg,800,1767.27,0.97224
contriever-768,symqg,1500,824.223,0.97873
deep-image-96-angular,symqg,10,78929.8,0.4698
deep-image-96-angular,symqg,20,52454.8,0.65793
deep-image-96-angular,symqg,40,33415.6,0.80683
deep-image-96-angular,symqg,50,28681.0,0.84385
deep-image-96-angular,symqg,60,25160.0,0.87022
deep-image-96-angular,symqg,80,19784.4,0.90446
deep-image-96-angular,symqg,100,16874.6,0.92548
deep-image-96-angular,symqg,150,12005.3,0.95474
deep-image-96-angular,symqg,170,10853.7,0.9614
deep-image-96-angular,symqg,190,9952.88,0.96663
deep-image-96-angular,symqg,200,9517.13,0.96873
deep-image-96-angular,symqg,250,7879.95,0.97662
deep-image-96-angular,symqg,300,6528.98,0.98143
deep-image-96-angular,symqg,400,4986.57,0.9876
deep-image-96-angular,symqg,500,4004.24,0.99067
deep-image-96-angular,symqg,600,3219.45,0.99295
deep-image-96-angular,symqg,700,2718.91,0.99455
deep-image-96-angular,symqg,800,2347.09,0.99549
deep-image-96-angular,symqg,1500,1086.74,0.99809
gist-960-euclidean,symqg,10,50916.0,0.4198
gist-960-euclidean,symqg,20,34048.1,0.5858
gist-960-euclidean,symqg,40,21315.1,0.7299
gist-960-euclidean,symqg,50,18101.5,0.7692
gist-960-euclidean,symqg,60,15697.6,0.7977
gist-960-euclidean,symqg,80,12446.3,0.8358
gist-960-euclidean,symqg,100,10440.5,0.8651
gist-960-euclidean,symqg,150,7334.12,0.9083
gist-960-euclidean,symqg,170,6584.7,0.9188
gist-960-euclidean,symqg,190,5981.25,0.9277
gist-960-euclidean,symqg,200,5717.64,0.9324
gist-960-euclidean,symqg,250,4697.29,0.9482
gist-960-euclidean,symqg,300,3944.41,0.9585
gist-960-euclidean,symqg,400,3005.82,0.9699
gist-960-euclidean,symqg,500,2438.29,0.9763
gist-960-euclidean,symqg,600,2013.91,0.9815
gist-960-euclidean,symqg,700,1715.41,0.9844
gist-960-euclidean,symqg,800,1497.09,0.9864
gist-960-euclidean,symqg,1500,748.069,0.9933
glove-200-angular,symqg,10,158847.0,0.28647
glove-200-angular,symqg,20,91627.2,0.41979
glove-200-angular,symqg,40,51475.4,0.54756
glove-200-angular,symqg,50,42309.7,0.58347
glove-200-angular,symqg,60,35922.2,0.61077
glove-200-angular,symqg,80,26989.5,0.6507
glove-200-angular,symqg,100,22125.2,0.67773
glove-200-angular,symqg,150,14885.0,0.71925
glove-200-angular,symqg,170,13244.0,0.73111
glove-200-angular,symqg,190,11913.3,0.74158
glove-200-angular,symqg,200,11299.7,0.74649
glove-200-angular,symqg,250,9151.42,0.76491
glove-200-angular,symqg,300,7472.25,0.7786
glove-200-angular,symqg,400,5598.17,0.79902
glove-200-angular,symqg,500,4437.95,0.81281
glove-200-angular,symqg,600,3545.06,0.82435
glove-200-angular,symqg,700,2961.53,0.83287
glove-200-angular,symqg,800,2535.39,0.84004
glove-200-angular,symqg,1500,1155.57,0.86605
glove-200-angular,symqg,2000,785.49,0.87512
glove-200-angular,symqg,2500,572.047,0.88188
glove-200-angular,symqg,3000,450.991,0.88649
glove-200-angular,symqg,3500,357.387,0.88975
glove-200-angular,symqg,4000,297.27,0.89272
glove-200-angular,symqg,4500,247.497,0.89519
glove-200-angular,symqg,5000,210.4,0.89737
glove-200-angular,symqg,5500,181.752,0.89937
glove-200-angular,symqg,6000,158.537,0.90104
instructorxl-arxiv-768,symqg,10,49891.8,0.6528
instructorxl-arxiv-768,symqg,20,35305.8,0.8379
instructorxl-arxiv-768,symqg,40,23195.6,0.927
instructorxl-arxiv-768,symqg,50,20127.4,0.9457
instructorxl-arxiv-768,symqg,60,17697.2,0.9551
instructorxl-arxiv-768,symqg,80,14096.2,0.9722
instructorxl-arxiv-768,symqg,100,11990.8,0.9788
instructorxl-arxiv-768,symqg,150,8640.1,0.9872
instructorxl-arxiv-768,symqg,170,7837.77,0.9894
instructorxl-arxiv-768,symqg,190,7174.91,0.9908
instructorxl-arxiv-768,symqg,200,6871.25,0.9911
instructorxl-arxiv-768,symqg,250,5708.61,0.993
instructorxl-arxiv-768,symqg,300,4805.56,0.9943
instructorxl-arxiv-768,symqg,400,3706.5,0.9955
instructorxl-arxiv-768,symqg,500,3010.6,0.9964
instructorxl-arxiv-768,symqg,600,2479.02,0.9972
instructorxl-arxiv-768,symqg,700,2116.82,0.9979
instructorxl-arxiv-768,symqg,800,1841.52,0.9982
instructorxl-arxiv-768,symqg,1500,908.935,0.999
msong-420,symqg,10,70294.4,0.6755
msong-420,symqg,20,48053.5,0.8581
msong-420,symqg,40,31335.0,0.9498
msong-420,symqg,50,27089.1,0.9631
msong-420,symqg,60,23869.7,0.9715
msong-420,symqg,80,19114.2,0.9824
msong-420,symqg,100,16333.1,0.988
msong-420,symqg,150,11731.2,0.9944
msong-420,symqg,170,10636.6,0.9953
msong-420,symqg,190,9732.12,0.9961
msong-420,symqg,200,9222.25,0.9963
msong-420,symqg,250,7742.2,0.9974
msong-420,symqg,300,6510.49,0.9979
msong-420,symqg,400,5037.83,0.9989
msong-420,symqg,500,4112.13,0.9993
msong-420,symqg,600,3379.41,0.9994
msong-420,symqg,700,2889.05,0.9994
msong-420,symqg,800,2495.13,0.9995
msong-420,symqg,1500,1239.41,0.9997
openai-1536-angular,symqg,10,33418.0,0.6853
openai-1536-angular,symqg,20,24495.2,0.8553
openai-1536-angular,symqg,40,16460.9,0.9303
openai-1536-angular,symqg,50,14266.3,0.9494
openai-1536-angular,symqg,60,12669.7,0.957
openai-1536-angular,symqg,80,10165.1,0.9679
openai-1536-angular,symqg,100,8667.88,0.9752
openai-1536-angular,symqg,150,6285.22,0.983
openai-1536-angular,symqg,170,5682.15,0.9871
openai-1536-angular,symqg,190,5208.54,0.9879
openai-1536-angular,symqg,200,5004.21,0.9881
openai-1536-angular,symqg,250,4173.99,0.9901
openai-1536-angular,symqg,300,3548.4,0.9918
openai-1536-angular,symqg,400,2757.09,0.9944
openai-1536-angular,symqg,500,2259.77,0.9955
openai-1536-angular,symqg,600,1885.09,0.9962
openai-1536-angular,symqg,700,1623.84,0.9966
openai-1536-angular,symqg,800,1423.57,0.9971
openai-1536-angular,symqg,1500,734.121,0.9991
sift-128-euclidean,symqg,10,117885.0,0.56323
sift-128-euclidean,symqg,20,72224.7,0.76095
sift-128-euclidean,symqg,40,43287.3,0.8944
