dataset,method,bit,efsearch,recall,per_query_us
contriever-768,hnsw,7,10,5739.38,0.58619
contriever-768,hnsw,7,20,4631.0,0.73709
contriever-768,hnsw,7,30,4098.13,0.80014
contriever-768,hnsw,7,40,3752.84,0.83654
contriever-768,hnsw,7,50,3483.4,0.86142
contriever-768,hnsw,7,60,3288.97,0.87742
contriever-768,hnsw,7,70,3056.19,0.88639
contriever-768,hnsw,7,80,2884.85,0.89551
contriever-768,hnsw,7,90,2721.58,0.90259
contriever-768,hnsw,7,100,2584.68,0.90885
contriever-768,hnsw,7,110,2471.0,0.91372
contriever-768,hnsw,7,120,2351.62,0.91682
contriever-768,hnsw,7,130,2249.77,0.92049
contriever-768,hnsw,7,140,2155.03,0.92316
contriever-768,hnsw,7,150,2072.15,0.92593
contriever-768,hnsw,7,160,1992.15,0.92859
contriever-768,hnsw,7,170,1919.66,0.93049
contriever-768,hnsw,7,180,1850.84,0.93217
contriever-768,hnsw,7,190,1790.57,0.93393
contriever-768,hnsw,7,200,1729.59,0.9353
contriever-768,hnsw,7,240,1526.9,0.94124
contriever-768,hnsw,7,280,1361.07,0.94524
contriever-768,hnsw,7,320,1227.11,0.94833
contriever-768,hnsw,7,360,1111.99,0.95053
contriever-768,hnsw,7,400,1013.61,0.95237
contriever-768,hnsw,7,500,810.457,0.95582
contriever-768,hnsw,7,600,670.627,0.95833
contriever-768,hnsw,7,700,574.379,0.96066
contriever-768,hnsw,7,800,496.347,0.96224
contriever-768,hnsw,7,900,438.247,0.96327
contriever-768,hnsw,7,1000,388.585,0.96419
contriever-768,hnsw,7,1100,345.681,0.96515
contriever-768,hnsw,7,1200,312.838,0.96571
contriever-768,hnsw,7,1300,289.793,0.96636
contriever-768,hnsw,7,1400,263.777,0.96666
contriever-768,hnsw,7,1500,242.222,0.96715
contriever-768,hnsw,7,2000,171.578,0.96879
contriever-768,hnsw,7,2500,137.535,0.96991
contriever-768,hnsw,7,3000,110.92,0.97047
contriever-768,hnsw,7,3500,92.6994,0.97124
contriever-768,hnsw,7,4000,79.3262,0.97148
deep-image-96-angular,hnsw,7,10,11394.2,0.60454
deep-image-96-angular,hnsw,7,20,8375.64,0.73944
deep-image-96-angular,hnsw,7,30,6757.58,0.80692
deep-image-96-angular,hnsw,7,40,5762.46,0.84643
deep-image-96-angular,hnsw,7,50,5006.05,0.87188
