dataset,method,bit,efsearch,recall,per_query_us
contriever-768,hnsw,7,10,8298.7,0.61827
contriever-768,hnsw,7,20,6133.69,0.75582
contriever-768,hnsw,7,40,4366.09,0.84485
contriever-768,hnsw,7,50,3854.01,0.86718
contriever-768,hnsw,7,60,3447.13,0.88197
contriever-768,hnsw,7,80,2827.48,0.90038
contriever-768,hnsw,7,100,2414.19,0.91165
contriever-768,hnsw,7,150,1749.74,0.92663
contriever-768,hnsw,7,170,1585.79,0.93073
contriever-768,hnsw,7,190,1441.84,0.93432
contriever-768,hnsw,7,200,1395.78,0.936
contriever-768,hnsw,7,250,1144.95,0.94199
contriever-768,hnsw,7,300,961.49,0.94658
contriever-768,hnsw,7,400,724.484,0.95259
contriever-768,hnsw,7,500,579.356,0.95633
contriever-768,hnsw,7,600,481.073,0.95898
contriever-768,hnsw,7,700,409.931,0.96032
contriever-768,hnsw,7,800,355.405,0.96155
contriever-768,hnsw,7,1000,278.769,0.96373
contriever-768,hnsw,7,1500,180.1,0.96673
contriever-768,hnsw,7,2000,130.12,0.96816
contriever-768,hnsw,7,2500,104.736,0.9693
contriever-768,hnsw,7,3000,85.8005,0.97008
deep-image-96-angular,hnsw,7,10,16785.5,0.60596
deep-image-96-angular,hnsw,7,20,11796.9,0.741
deep-image-96-angular,hnsw,7,40,7896.93,0.84563
deep-image-96-angular,hnsw,7,50,6798.99,0.87212
deep-image-96-angular,hnsw,7,60,6025.98,0.89089
deep-image-96-angular,hnsw,7,80,4904.74,0.91432
deep-image-96-angular,hnsw,7,100,4169.03,0.92923
deep-image-96-angular,hnsw,7,150,3032.01,0.94929
deep-image-96-angular,hnsw,7,170,2743.03,0.95381
deep-image-96-angular,hnsw,7,190,2518.68,0.95737
deep-image-96-angular,hnsw,7,200,2409.43,0.95855
deep-image-96-angular,hnsw,7,250,2016.76,0.96366
deep-image-96-angular,hnsw,7,300,1723.68,0.967
deep-image-96-angular,hnsw,7,400,1342.63,0.97071
deep-image-96-angular,hnsw,7,500,1096.22,0.97265
deep-image-96-angular,hnsw,7,600,927.949,0.97406
deep-image-96-angular,hnsw,7,700,813.179,0.97495
deep-image-96-angular,hnsw,7,800,709.475,0.97562
deep-image-96-angular,hnsw,7,1000,567.373,0.97651
deep-image-96-angular,hnsw,7,1500,369.851,0.97739
deep-image-96-angular,hnsw,7,2000,269.414,0.97778
deep-image-96-angular,hnsw,7,2500,211.862,0.97805
deep-image-96-angular,hnsw,7,3000,171.401,0.97826
