dataset,method,bit,efsearch,recall,per_query_us
contriever-768,ivf,5,5,2450.77,0.602581
contriever-768,ivf,5,10,2046.75,0.693315
contriever-768,ivf,5,20,1605.05,0.766658
contriever-768,ivf,5,30,1343.46,0.802767
contriever-768,ivf,5,40,1162.73,0.825571
contriever-768,ivf,5,50,1028.39,0.841646
contriever-768,ivf,5,60,917.926,0.853944
contriever-768,ivf,5,70,829.394,0.86365
contriever-768,ivf,5,80,759.891,0.871561
contriever-768,ivf,5,90,702.173,0.87817
contriever-768,ivf,5,100,652.641,0.883996
contriever-768,ivf,5,110,609.951,0.889096
contriever-768,ivf,5,120,572.325,0.893511
contriever-768,ivf,5,130,540.251,0.897472
contriever-768,ivf,5,140,509.346,0.901232
contriever-768,ivf,5,150,481.105,0.904585
contriever-768,ivf,5,160,476.265,0.907688
contriever-768,ivf,5,170,431.843,0.910563
contriever-768,ivf,5,180,411.914,0.913293
contriever-768,ivf,5,190,392.994,0.915671
contriever-768,ivf,5,200,395.642,0.91799
contriever-768,ivf,5,240,339.603,0.926206
contriever-768,ivf,5,280,297.714,0.933007
contriever-768,ivf,5,320,265.472,0.93874
contriever-768,ivf,5,360,239.443,0.943534
contriever-768,ivf,5,400,217.826,0.947818
contriever-768,ivf,5,500,171.873,0.95639
contriever-768,ivf,5,600,152.785,0.962496
contriever-768,ivf,5,700,124.989,0.967181
contriever-768,ivf,5,800,117.42,0.970555
contriever-768,ivf,5,900,100.183,0.972902
contriever-768,ivf,5,1000,97.9477,0.974618
contriever-768,ivf,5,1100,86.6254,0.97576
contriever-768,ivf,5,1200,83.8501,0.976532
contriever-768,ivf,5,1300,74.4638,0.97702
contriever-768,ivf,5,1400,75.2012,0.977297
contriever-768,ivf,5,1500,69.3074,0.977423
contriever-768,ivf,5,2000,65.9105,0.977504
contriever-768,ivf,5,2500,65.8874,0.977504
deep-image-96-angular,ivf,5,5,2708.11,0.57527
deep-image-96-angular,ivf,5,10,2391.9,0.70955
deep-image-96-angular,ivf,5,20,2026.21,0.81836
deep-image-96-angular,ivf,5,30,1788.5,0.866164
deep-image-96-angular,ivf,5,40,1614.43,0.892878
deep-image-96-angular,ivf,5,50,1490.9,0.90975
deep-image-96-angular,ivf,5,60,1392.54,0.921132
deep-image-96-angular,ivf,5,70,1310.77,0.929528
deep-image-96-angular,ivf,5,80,1237.58,0.935962
deep-image-96-angular,ivf,5,90,1174.74,0.940715
deep-image-96-angular,ivf,5,100,1116.12,0.944599
deep-image-96-angular,ivf,5,110,1061.83,0.947638
deep-image-96-angular,ivf,5,120,1016.17,0.950205
deep-image-96-angular,ivf,5,130,981.576,0.952266
deep-image-96-angular,ivf,5,140,944.26,0.954017
deep-image-96-angular,ivf,5,150,906.116,0.955511
deep-image-96-angular,ivf,5,160,880.681,0.956724
deep-image-96-angular,ivf,5,170,844.739,0.957726
deep-image-96-angular,ivf,5,180,817.282,0.958668
deep-image-96-angular,ivf,5,190,793.293,0.959424
deep-image-96-angular,ivf,5,200,773.065,0.960122
deep-image-96-angular,ivf,5,240,690.973,0.962158
deep-image-96-angular,ivf,5,280,620.248,0.963635
deep-image-96-angular,ivf,5,320,566.994,0.9646
deep-image-96-angular,ivf,5,360,523.326,0.965284
deep-image-96-angular,ivf,5,400,487.371,0.965812
deep-image-96-angular,ivf,5,500,413.639,0.966645
deep-image-96-angular,ivf,5,600,363.788,0.967117
deep-image-96-angular,ivf,5,700,322.767,0.967398
deep-image-96-angular,ivf,5,800,290.226,0.967548
deep-image-96-angular,ivf,5,900,264.156,0.967655
deep-image-96-angular,ivf,5,1000,242.92,0.967755
deep-image-96-angular,ivf,5,1100,225.175,0.96783
deep-image-96-angular,ivf,5,1200,209.568,0.96788
deep-image-96-angular,ivf,5,1300,196.199,0.967916
deep-image-96-angular,ivf,5,1400,183.866,0.96794
deep-image-96-angular,ivf,5,1500,173.49,0.967961
deep-image-96-angular,ivf,5,2000,135.239,0.968011
deep-image-96-angular,ivf,5,2500,111.341,0.968036
deep-image-96-angular,ivf,5,3000,94.3576,0.968044
gist-960-euclidean,ivf,5,5,2060.83,0.37947
gist-960-euclidean,ivf,5,10,1719.15,0.52293
gist-960-euclidean,ivf,5,20,1356.2,0.6784
gist-960-euclidean,ivf,5,30,1141.1,0.76211
gist-960-euclidean,ivf,5,40,992.511,0.81615
gist-960-euclidean,ivf,5,50,879.672,0.85208
gist-960-euclidean,ivf,5,60,792.552,0.87824
gist-960-euclidean,ivf,5,70,722.966,0.89802
gist-960-euclidean,ivf,5,80,666.158,0.9133
gist-960-euclidean,ivf,5,90,617.896,0.92472
gist-960-euclidean,ivf,5,100,576.377,0.93445
gist-960-euclidean,ivf,5,110,540.159,0.94191
gist-960-euclidean,ivf,5,120,508.369,0.94777
gist-960-euclidean,ivf,5,130,461.357,0.95315
gist-960-euclidean,ivf,5,140,437.376,0.95719
gist-960-euclidean,ivf,5,150,439.57,0.96047
gist-960-euclidean,ivf,5,160,401.402,0.96279
gist-960-euclidean,ivf,5,170,383.471,0.96512
gist-960-euclidean,ivf,5,180,366.25,0.96688
gist-960-euclidean,ivf,5,190,367.483,0.96865
gist-960-euclidean,ivf,5,200,334.391,0.97008
gist-960-euclidean,ivf,5,240,287.121,0.97365
gist-960-euclidean,ivf,5,280,254.369,0.97586
gist-960-euclidean,ivf,5,320,227.246,0.97699
gist-960-euclidean,ivf,5,360,203.961,0.97781
gist-960-euclidean,ivf,5,400,185.708,0.97809
gist-960-euclidean,ivf,5,500,157.703,0.97861
gist-960-euclidean,ivf,5,600,136.01,0.97871
gist-960-euclidean,ivf,5,700,121.372,0.97874
gist-960-euclidean,ivf,5,800,107.288,0.97874
glove-200-angular,ivf,5,5,3614.31,0.206299
glove-200-angular,ivf,5,10,2644.84,0.266824
glove-200-angular,ivf,5,20,1839.05,0.357544
glove-200-angular,ivf,5,30,1466.1,0.432814
glove-200-angular,ivf,5,40,1232.31,0.499561
glove-200-angular,ivf,5,50,1067.3,0.553906
glove-200-angular,ivf,5,60,945.247,0.600906
glove-200-angular,ivf,5,70,850.146,0.640316
glove-200-angular,ivf,5,80,774.809,0.675244
glove-200-angular,ivf,5,90,713.778,0.70278
glove-200-angular,ivf,5,100,661.61,0.729682
glove-200-angular,ivf,5,110,617.653,0.753634
glove-200-angular,ivf,5,120,579.359,0.775841
glove-200-angular,ivf,5,130,543.26,0.796337
glove-200-angular,ivf,5,140,523.378,0.813843
glove-200-angular,ivf,5,150,489.285,0.829822
glove-200-angular,ivf,5,160,466.047,0.845076
glove-200-angular,ivf,5,170,444.108,0.858253
glove-200-angular,ivf,5,180,430.248,0.869964
glove-200-angular,ivf,5,190,398.054,0.88233
glove-200-angular,ivf,5,200,380.411,0.892916
glove-200-angular,ivf,5,240,323.511,0.922988
glove-200-angular,ivf,5,280,285.412,0.939462
glove-200-angular,ivf,5,320,256.51,0.949447
glove-200-angular,ivf,5,360,233.705,0.954767
glove-200-angular,ivf,5,400,216.055,0.957431
glove-200-angular,ivf,5,500,196.431,0.960036
glove-200-angular,ivf,5,600,169.632,0.960422
glove-200-angular,ivf,5,700,155.769,0.960498
glove-200-angular,ivf,5,800,136.505,0.960513
glove-200-angular,ivf,5,900,135.83,0.960521
instructorxl-arxiv-768,ivf,5,5,1905.01,0.67634
instructorxl-arxiv-768,ivf,5,10,1648.04,0.78292
instructorxl-arxiv-768,ivf,5,20,1354.2,0.86599
instructorxl-arxiv-768,ivf,5,30,1152.08,0.90183
instructorxl-arxiv-768,ivf,5,40,1013.51,0.9221
instructorxl-arxiv-768,ivf,5,50,901.947,0.93639
instructorxl-arxiv-768,ivf,5,60,814.33,0.94585
instructorxl-arxiv-768,ivf,5,70,742.779,0.95217
instructorxl-arxiv-768,ivf,5,80,682.804,0.95759
instructorxl-arxiv-768,ivf,5,90,633.912,0.96166
instructorxl-arxiv-768,ivf,5,100,591.838,0.96447
instructorxl-arxiv-768,ivf,5,110,554.138,0.96711
instructorxl-arxiv-768,ivf,5,120,521.075,0.96921
instructorxl-arxiv-768,ivf,5,130,467.612,0.97102
instructorxl-arxiv-768,ivf,5,140,440.996,0.97258
instructorxl-arxiv-768,ivf,5,150,441.021,0.97371
instructorxl-arxiv-768,ivf,5,160,400.697,0.97473
instructorxl-arxiv-768,ivf,5,170,382.132,0.97571
instructorxl-arxiv-768,ivf,5,180,365.254,0.97641
instructorxl-arxiv-768,ivf,5,190,368.143,0.97697
instructorxl-arxiv-768,ivf,5,200,335.972,0.9777
instructorxl-arxiv-768,ivf,5,240,289.103,0.9793
instructorxl-arxiv-768,ivf,5,280,254.551,0.98034
instructorxl-arxiv-768,ivf,5,320,230.14,0.98094
instructorxl-arxiv-768,ivf,5,360,208.662,0.98139
instructorxl-arxiv-768,ivf,5,400,189.987,0.98168
instructorxl-arxiv-768,ivf,5,500,156.083,0.98217
instructorxl-arxiv-768,ivf,5,600,132.578,0.98234
instructorxl-arxiv-768,ivf,5,700,115.436,0.98242
instructorxl-arxiv-768,ivf,5,800,102.374,0.98248
instructorxl-arxiv-768,ivf,5,900,91.9076,0.98252
instructorxl-arxiv-768,ivf,5,1000,83.4114,0.98255
instructorxl-arxiv-768,ivf,5,1100,76.3548,0.98259
instructorxl-arxiv-768,ivf,5,1200,70.4123,0.98261
instructorxl-arxiv-768,ivf,5,1300,65.3458,0.98261
msong-420,ivf,5,5,3594.53,0.73545
msong-420,ivf,5,10,3001.17,0.87209
msong-420,ivf,5,20,2361.71,0.94658
msong-420,ivf,5,30,1985.25,0.96606
msong-420,ivf,5,40,1712.76,0.97416
msong-420,ivf,5,50,1516.93,0.97791
msong-420,ivf,5,60,1369.38,0.97986
msong-420,ivf,5,70,1248.18,0.98109
msong-420,ivf,5,80,1147.97,0.98192
msong-420,ivf,5,90,1058.28,0.98244
msong-420,ivf,5,100,982.748,0.98279
msong-420,ivf,5,110,918.386,0.98302
msong-420,ivf,5,120,861.155,0.98322
