dataset,method,bit,efsearch,recall,per_query_us
contriever-768,ivf,7,10,499.68,0.89742
contriever-768,ivf,7,20,282.367,0.93731
contriever-768,ivf,7,30,197.257,0.95261
contriever-768,ivf,7,40,151.705,0.96094
contriever-768,ivf,7,50,123.374,0.9662
contriever-768,ivf,7,60,104.001,0.97001
contriever-768,ivf,7,70,89.9518,0.973
contriever-768,ivf,7,80,79.2659,0.97532
contriever-768,ivf,7,90,70.8328,0.9771
contriever-768,ivf,7,100,63.999,0.97854
contriever-768,ivf,7,110,58.3835,0.97976
contriever-768,ivf,7,120,53.6577,0.98075
deep-image-96-angular,ivf,7,10,1478.08,0.79265
deep-image-96-angular,ivf,7,20,978.724,0.88049
deep-image-96-angular,ivf,7,30,734.916,0.91617
deep-image-96-angular,ivf,7,40,594.728,0.93511
deep-image-96-angular,ivf,7,50,500.386,0.94728
deep-image-96-angular,ivf,7,60,432.665,0.95514
deep-image-96-angular,ivf,7,70,381.551,0.96104
deep-image-96-angular,ivf,7,80,341.514,0.9655
deep-image-96-angular,ivf,7,90,309.224,0.96832
deep-image-96-angular,ivf,7,100,282.704,0.97102
deep-image-96-angular,ivf,7,110,260.628,0.97306
deep-image-96-angular,ivf,7,120,241.857,0.9748
deep-image-96-angular,ivf,7,130,225.428,0.97631
deep-image-96-angular,ivf,7,140,211.369,0.97737
deep-image-96-angular,ivf,7,150,198.952,0.97834
gist-960-euclidean,ivf,7,10,422.444,0.6155
gist-960-euclidean,ivf,7,20,235.191,0.7633
gist-960-euclidean,ivf,7,30,163.497,0.8343
gist-960-euclidean,ivf,7,40,125.52,0.8743
gist-960-euclidean,ivf,7,50,101.948,0.9013
gist-960-euclidean,ivf,7,60,85.9027,0.9197
gist-960-euclidean,ivf,7,70,74.2796,0.934
gist-960-euclidean,ivf,7,80,65.4873,0.9442
gist-960-euclidean,ivf,7,90,58.5908,0.9518
gist-960-euclidean,ivf,7,100,53.0191,0.9582
gist-960-euclidean,ivf,7,110,48.445,0.9635
gist-960-euclidean,ivf,7,120,44.5901,0.9669
gist-960-euclidean,ivf,7,130,41.313,0.9701
gist-960-euclidean,ivf,7,140,38.4885,0.9729
gist-960-euclidean,ivf,7,150,36.0245,0.9751
gist-960-euclidean,ivf,7,160,33.8927,0.9778
gist-960-euclidean,ivf,7,170,31.9976,0.9796
gist-960-euclidean,ivf,7,180,30.3134,0.9808
gist-960-euclidean,ivf,7,190,28.7899,0.9818
gist-960-euclidean,ivf,7,200,27.4211,0.9829
gist-960-euclidean,ivf,7,240,23.0929,0.9852
gist-960-euclidean,ivf,7,280,19.9718,0.9863
gist-960-euclidean,ivf,7,320,17.6159,0.9868
glove-200-angular,ivf,7,10,672.226,0.43683
glove-200-angular,ivf,7,20,367.411,0.53254
glove-200-angular,ivf,7,30,253.725,0.60115
glove-200-angular,ivf,7,40,193.512,0.65628
glove-200-angular,ivf,7,50,156.36,0.70043
glove-200-angular,ivf,7,60,131.171,0.73717
glove-200-angular,ivf,7,70,113.033,0.76672
glove-200-angular,ivf,7,80,99.3768,0.79323
glove-200-angular,ivf,7,90,88.7182,0.81443
glove-200-angular,ivf,7,100,80.2059,0.83435
glove-200-angular,ivf,7,110,73.2098,0.8502
glove-200-angular,ivf,7,120,67.3927,0.86603
glove-200-angular,ivf,7,130,62.4804,0.88041
glove-200-angular,ivf,7,140,58.2958,0.89206
glove-200-angular,ivf,7,150,54.595,0.903
glove-200-angular,ivf,7,160,51.3935,0.91315
glove-200-angular,ivf,7,170,48.4895,0.92157
glove-200-angular,ivf,7,180,46.04,0.92909
glove-200-angular,ivf,7,190,43.7925,0.9365
glove-200-angular,ivf,7,200,41.7617,0.94267
glove-200-angular,ivf,7,240,35.3029,0.9605
glove-200-angular,ivf,7,280,30.7093,0.96933
glove-200-angular,ivf,7,320,27.3691,0.9745
glove-200-angular,ivf,7,360,24.682,0.97717
glove-200-angular,ivf,7,400,22.6461,0.97873
glove-200-angular,ivf,7,500,18.9424,0.98016
