dataset,method,bit,efsearch,recall,per_query_us
glove-100-angular_100k,hnsw,7,10,41770.9,0.4917
glove-100-angular_100k,hnsw,7,20,28229.5,0.6263
glove-100-angular_100k,hnsw,7,30,21850.2,0.6945
glove-100-angular_100k,hnsw,7,40,17992.6,0.7395
glove-100-angular_100k,hnsw,7,50,15297.3,0.769
glove-100-angular_100k,hnsw,7,60,13212.8,0.7936
glove-100-angular_100k,hnsw,7,70,11498.8,0.8108
glove-100-angular_100k,hnsw,7,80,10308.2,0.8259
glove-100-angular_100k,hnsw,7,90,9195.66,0.8372
glove-100-angular_100k,hnsw,7,100,8334.54,0.847
glove-100-angular_100k,hnsw,7,110,6899.64,0.8552
glove-100-angular_100k,hnsw,7,120,6332.6,0.8646
glove-100-angular_100k,hnsw,7,130,5770.53,0.8696
glove-100-angular_100k,hnsw,7,140,5277.22,0.8739
glove-100-angular_100k,hnsw,7,150,4994.26,0.8792
glove-100-angular_100k,hnsw,7,160,4692.86,0.8832
glove-100-angular_100k,hnsw,7,170,4346.02,0.8883
glove-100-angular_100k,hnsw,7,180,4094.69,0.8922
glove-100-angular_100k,hnsw,7,190,3854.06,0.8952
glove-100-angular_100k,hnsw,7,200,3634.04,0.8982
glove-100-angular_100k,hnsw,7,240,2927.58,0.9086
glove-100-angular_100k,hnsw,7,280,2568.3,0.9155
glove-100-angular_100k,hnsw,7,320,2224.24,0.9211
glove-100-angular_100k,hnsw,7,360,1951.85,0.9258
glove-100-angular_100k,hnsw,7,400,1726.74,0.9286
glove-100-angular_100k,hnsw,7,500,1426.99,0.9354
glove-100-angular_100k,hnsw,7,600,1157.28,0.9405
glove-100-angular_100k,hnsw,7,700,972.402,0.9443
glove-100-angular_100k,hnsw,7,800,835.864,0.9462
glove-100-angular_100k,hnsw,7,900,772.517,0.9491
glove-100-angular_100k,hnsw,7,1000,698.765,0.9506
glove-100-angular_100k,hnsw,7,1100,624.941,0.9522
glove-100-angular_100k,hnsw,7,1200,569.612,0.9545
glove-100-angular_100k,hnsw,7,1300,521.487,0.9552
glove-100-angular_100k,hnsw,7,1400,482.09,0.9561
glove-100-angular_100k,hnsw,7,1500,445.684,0.9573
glove-100-angular_100k,hnsw,7,2000,322.668,0.9608
glove-100-angular_100k,hnsw,7,2500,276.973,0.9622
glove-100-angular_100k,hnsw,7,3000,229.439,0.964
glove-100-angular_100k,hnsw,7,3500,193.588,0.965
glove-100-angular_100k,hnsw,7,4000,167.157,0.966
glove-100-angular_100k,hnsw,7,6000,105.251,0.9679
glove-100-angular_100k,hnsw,7,10000,63.5383,0.9698
glove-100-angular_100k,hnsw,7,15000,38.0532,0.9706
glove-200-angula_1000k,hnsw,7,10,24857.6,0.37429
glove-200-angula_1000k,hnsw,7,20,17438.9,0.48981
glove-200-angula_1000k,hnsw,7,40,11507.8,0.59324
glove-200-angula_1000k,hnsw,7,50,9866.32,0.62192
glove-200-angula_1000k,hnsw,7,60,8581.56,0.64505
glove-200-angula_1000k,hnsw,7,80,6794.39,0.67797
glove-200-angula_1000k,hnsw,7,100,5674.25,0.70123
glove-200-angula_1000k,hnsw,7,150,3840.0,0.73855
glove-200-angula_1000k,hnsw,7,170,3394.51,0.74977
glove-200-angula_1000k,hnsw,7,190,3029.82,0.75886
glove-200-angula_1000k,hnsw,7,200,2877.43,0.76247
glove-200-angula_1000k,hnsw,7,250,2270.53,0.77816
glove-200-angula_1000k,hnsw,7,300,1888.03,0.78893
glove-200-angula_1000k,hnsw,7,400,1348.35,0.80451
glove-200-angula_1000k,hnsw,7,500,1063.29,0.81466
glove-200-angula_1000k,hnsw,7,600,847.267,0.82218
glove-200-angula_1000k,hnsw,7,700,709.54,0.82889
glove-200-angula_1000k,hnsw,7,800,616.918,0.83454
glove-200-angula_1000k,hnsw,7,1000,469.185,0.8427
glove-200-angula_1000k,hnsw,7,1500,303.345,0.85658
glove-200-angula_1000k,hnsw,7,2000,212.145,0.86441
glove-200-angula_1000k,hnsw,7,2500,162.51,0.86987
glove-200-angula_1000k,hnsw,7,3000,142.939,0.87385
glove-200-angular_100k,hnsw,7,10,34453.3,0.6588
glove-200-angular_100k,hnsw,7,20,24464.3,0.7714
glove-200-angular_100k,hnsw,7,30,19022.5,0.8199
glove-200-angular_100k,hnsw,7,40,15153.6,0.8467
glove-200-angular_100k,hnsw,7,50,12875.7,0.865
glove-200-angular_100k,hnsw,7,60,11218.9,0.8772
glove-200-angular_100k,hnsw,7,70,9607.97,0.8856
glove-200-angular_100k,hnsw,7,80,8407.65,0.8917
glove-200-angular_100k,hnsw,7,90,7653.47,0.8976
glove-200-angular_100k,hnsw,7,100,6889.41,0.9014
