dataset,method,bit,efsearch,recall,per_query_us
instructorxl-arxiv-768_1000k,hnsw,7,10,9301.03,0.7421
instructorxl-arxiv-768_1000k,hnsw,7,20,7249.54,0.8458
instructorxl-arxiv-768_1000k,hnsw,7,30,5948.82,0.8924
instructorxl-arxiv-768_1000k,hnsw,7,40,4993.2,0.9177
instructorxl-arxiv-768_1000k,hnsw,7,50,4348.68,0.9319
instructorxl-arxiv-768_1000k,hnsw,7,60,3861.38,0.943
instructorxl-arxiv-768_1000k,hnsw,7,70,3469.01,0.9499
instructorxl-arxiv-768_1000k,hnsw,7,80,3141.19,0.9566
instructorxl-arxiv-768_1000k,hnsw,7,90,2881.25,0.9611
instructorxl-arxiv-768_1000k,hnsw,7,100,2681.64,0.9652
instructorxl-arxiv-768_1000k,hnsw,7,110,2453.85,0.9678
instructorxl-arxiv-768_1000k,hnsw,7,120,2304.78,0.9697
instructorxl-arxiv-768_1000k,hnsw,7,130,2155.24,0.9703
instructorxl-arxiv-768_1000k,hnsw,7,140,2037.52,0.9717
instructorxl-arxiv-768_1000k,hnsw,7,150,1916.07,0.974
instructorxl-arxiv-768_1000k,hnsw,7,160,1814.43,0.9751
instructorxl-arxiv-768_1000k,hnsw,7,170,1733.03,0.9759
instructorxl-arxiv-768_1000k,hnsw,7,180,1649.24,0.9762
instructorxl-arxiv-768_1000k,hnsw,7,190,1579.68,0.9768
instructorxl-arxiv-768_1000k,hnsw,7,200,1514.75,0.9777
instructorxl-arxiv-768_1000k,hnsw,7,240,1300.33,0.9796
instructorxl-arxiv-768_1000k,hnsw,7,280,1130.49,0.981
instructorxl-arxiv-768_1000k,hnsw,7,320,855.875,0.9819
instructorxl-arxiv-768_1000k,hnsw,7,360,871.275,0.9826
instructorxl-arxiv-768_1000k,hnsw,7,400,830.692,0.9833
instructorxl-arxiv-768_1000k,hnsw,7,500,679.644,0.9843
instructorxl-arxiv-768_1000k,hnsw,7,600,574.491,0.9849
instructorxl-arxiv-768_1000k,hnsw,7,700,500.156,0.985
instructorxl-arxiv-768_1000k,hnsw,7,800,444.592,0.9852
instructorxl-arxiv-768_1000k,hnsw,7,900,393.82,0.9854
