dataset,method,bit,efsearch,recall,per_query_us
instructorxl-arxiv-768_1000k,ivf,7,10,2999.12,0.8964
instructorxl-arxiv-768_1000k,ivf,7,20,2044.05,0.9498
instructorxl-arxiv-768_1000k,ivf,7,30,1552.69,0.9658
instructorxl-arxiv-768_1000k,ivf,7,40,1274.1,0.9754
instructorxl-arxiv-768_1000k,ivf,7,50,1072.45,0.98
instructorxl-arxiv-768_1000k,ivf,7,60,915.765,0.983
instructorxl-arxiv-768_1000k,ivf,7,70,805.66,0.9846
instructorxl-arxiv-768_1000k,ivf,7,80,721.044,0.9864
instructorxl-arxiv-768_1000k,ivf,7,90,653.524,0.9877
instructorxl-arxiv-768_1000k,ivf,7,100,597.715,0.9884
instructorxl-arxiv-768_1000k,ivf,7,110,550.505,0.9898
instructorxl-arxiv-768_1000k,ivf,7,120,510.22,0.9905
instructorxl-arxiv-768_1000k,ivf,7,130,497.459,0.991
instructorxl-arxiv-768_1000k,ivf,7,140,436.888,0.9917
instructorxl-arxiv-768_1000k,ivf,7,150,409.813,0.9919
instructorxl-arxiv-768_1000k,ivf,7,160,386.853,0.9922
instructorxl-arxiv-768_1000k,ivf,7,170,390.58,0.9924
instructorxl-arxiv-768_1000k,ivf,7,180,346.744,0.9925
instructorxl-arxiv-768_1000k,ivf,7,190,330.238,0.9926
instructorxl-arxiv-768_1000k,ivf,7,200,314.585,0.9925
instructorxl-arxiv-768_100k,ivf,7,10,8722.35,0.9015
instructorxl-arxiv-768_100k,ivf,7,20,6417.95,0.9581
instructorxl-arxiv-768_100k,ivf,7,30,5154.32,0.9753
instructorxl-arxiv-768_100k,ivf,7,40,4334.12,0.9823
instructorxl-arxiv-768_100k,ivf,7,50,3750.8,0.9874
instructorxl-arxiv-768_100k,ivf,7,60,3304.25,0.9886
instructorxl-arxiv-768_100k,ivf,7,70,2957.12,0.99
instructorxl-arxiv-768_100k,ivf,7,80,2681.22,0.991
instructorxl-arxiv-768_100k,ivf,7,90,2450.87,0.9915
instructorxl-arxiv-768_100k,ivf,7,100,2255.65,0.9915
instructorxl-arxiv-768_10k,ivf,7,10,20504.4,0.9344
instructorxl-arxiv-768_10k,ivf,7,20,15586.8,0.9758
instructorxl-arxiv-768_10k,ivf,7,30,12700.0,0.9878
instructorxl-arxiv-768_10k,ivf,7,40,10752.1,0.9912
instructorxl-arxiv-768_10k,ivf,7,50,9331.2,0.9922
instructorxl-arxiv-768_10k,ivf,7,60,8242.11,0.9925
instructorxl-arxiv-768_10k,ivf,7,70,7382.9,0.9927
instructorxl-arxiv-768_10k,ivf,7,80,6698.7,0.9927
instructorxl-arxiv-768_1k,ivf,7,10,41129.9,0.9725
instructorxl-arxiv-768_1k,ivf,7,20,33240.5,0.9935
instructorxl-arxiv-768_1k,ivf,7,30,28499.0,0.9941
instructorxl-arxiv-768_1k,ivf,7,40,28279.1,0.9941
