dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,10,61.58,555.979,0.222553
contriever-768,20,75.04,633.058,0.276506
contriever-768,30,81.01,659.383,0.338424
contriever-768,40,84.13,695.238,0.383401
contriever-768,50,86.4,752.971,0.416424
contriever-768,60,88.34,758.14,0.438979
contriever-768,70,89.89,821.54,0.495298
contriever-768,80,90.93,825.404,0.533836
contriever-768,90,91.68,864.085,0.563883
contriever-768,100,92.18,911.769,0.587205
contriever-768,110,92.45,928.22,0.621385
contriever-768,120,92.8,988.213,0.650296
contriever-768,130,93.11,1004.27,0.679043
contriever-768,140,93.24,1020.06,0.705596
contriever-768,150,93.48,1046.56,0.739059
contriever-768,160,93.77,1109.55,0.775809
contriever-768,170,93.97,1092.53,0.76879
contriever-768,180,94.11,1126.0,0.811429
contriever-768,190,94.23,1207.48,0.843898
contriever-768,200,94.28,1204.8,0.859312
contriever-768,240,94.6,1294.8,0.955701
contriever-768,280,94.83,1423.39,1.0789
contriever-768,320,94.96,1481.33,1.18542
contriever-768,360,95.06,1559.8,1.27408
contriever-768,400,95.13,1640.04,1.33993
contriever-768,500,95.4,1875.83,1.61617
contriever-768,600,95.45,2048.1,1.85858
contriever-768,700,95.56,2290.92,2.04041
contriever-768,800,95.63,2473.47,2.26011
contriever-768,900,95.69,2701.8,2.51718
contriever-768,1000,95.7,2900.65,2.64823
contriever-768,1100,95.77,3157.5,2.86968
contriever-768,1200,95.79,3315.8,3.14683
contriever-768,1300,95.79,3487.51,3.29035
deep-image-96-angular,10,60.25,275.16,0.148236
deep-image-96-angular,20,73.54,245.487,0.205696
deep-image-96-angular,30,80.61,318.357,0.269515
deep-image-96-angular,40,85.34,381.307,0.331967
deep-image-96-angular,50,87.87,432.528,0.379297
deep-image-96-angular,60,89.96,466.867,0.431667
deep-image-96-angular,70,91.38,522.786,0.486104
deep-image-96-angular,80,92.45,578.67,0.538203
deep-image-96-angular,90,93.42,638.143,0.589464
deep-image-96-angular,100,94.24,680.251,0.639319
deep-image-96-angular,110,94.82,742.927,0.689848
deep-image-96-angular,120,95.32,801.38,0.851041
deep-image-96-angular,130,95.76,811.37,0.763215
deep-image-96-angular,140,96.15,862.571,0.840739
deep-image-96-angular,150,96.49,867.135,0.826301
deep-image-96-angular,160,96.74,895.018,0.86716
deep-image-96-angular,170,97.05,964.609,0.914415
deep-image-96-angular,180,97.24,997.355,0.949297
deep-image-96-angular,190,97.43,1031.25,0.998822
deep-image-96-angular,200,97.59,1079.69,1.03549
deep-image-96-angular,240,98.16,1230.03,1.2325
deep-image-96-angular,280,98.54,1387.55,1.38197
deep-image-96-angular,320,98.83,1557.29,1.52393
deep-image-96-angular,360,99.08,1665.35,1.66365
deep-image-96-angular,400,99.15,1831.61,1.80978
deep-image-96-angular,500,99.43,2165.11,2.15678
deep-image-96-angular,600,99.55,2443.26,2.48081
gist-960-euclidean,10,41.9,737.165,0.312308
gist-960-euclidean,20,56.04,847.469,0.398133
gist-960-euclidean,30,64.88,925.309,0.499881
gist-960-euclidean,40,70.6,1001.43,0.579718
gist-960-euclidean,50,74.6,1083.99,0.629169
gist-960-euclidean,60,77.45,1102.83,0.720431
gist-960-euclidean,70,79.92,1208.41,0.797502
gist-960-euclidean,80,81.84,1254.91,0.863066
gist-960-euclidean,90,83.75,1291.4,0.930208
gist-960-euclidean,100,85.33,1350.15,0.993379
gist-960-euclidean,110,86.52,1478.14,1.04274
gist-960-euclidean,120,87.54,1479.58,1.10226
gist-960-euclidean,130,88.4,1547.96,1.16587
gist-960-euclidean,140,89.2,1601.08,1.21073
gist-960-euclidean,150,89.82,1656.63,1.2609
gist-960-euclidean,160,90.55,1736.9,1.32125
gist-960-euclidean,170,91.05,1799.27,1.34675
gist-960-euclidean,180,91.64,1834.37,1.39699
gist-960-euclidean,190,92.11,1829.66,1.46259
gist-960-euclidean,200,92.58,1931.05,1.52237
gist-960-euclidean,240,93.97,2128.33,1.68916
gist-960-euclidean,280,94.97,2310.77,1.88887
gist-960-euclidean,320,95.8,2462.0,2.09436
gist-960-euclidean,360,96.37,2682.6,2.2431
gist-960-euclidean,400,96.88,2798.5,2.3794
gist-960-euclidean,500,97.46,3177.75,2.82302
gist-960-euclidean,600,97.93,3496.44,3.185
gist-960-euclidean,700,98.26,3882.22,3.46374
gist-960-euclidean,800,98.62,4185.76,3.85834
gist-960-euclidean,900,98.85,4485.01,4.13598
gist-960-euclidean,1000,98.98,4768.32,4.37789
gist-960-euclidean,1100,99.06,5026.02,4.76412
gist-960-euclidean,1200,99.12,5321.8,4.99676
gist-960-euclidean,1300,99.2,5573.4,5.21839
gist-960-euclidean,1400,99.33,5794.55,5.582
gist-960-euclidean,1500,99.4,6103.5,5.7918
gist-960-euclidean,2000,99.5,7295.37,7.00826
glove-200-angular,10,37.43,159.153,0.085937
glove-200-angular,20,49.07,212.969,0.166267
glove-200-angular,30,56.11,264.331,0.193872
glove-200-angular,40,60.28,314.448,0.233549
glove-200-angular,50,63.37,331.379,0.253221
glove-200-angular,60,65.65,345.979,0.286936
glove-200-angular,70,67.64,380.466,0.313913
glove-200-angular,80,69.27,402.993,0.351462
glove-200-angular,90,70.42,432.545,0.377239
glove-200-angular,100,71.64,472.0,0.415315
