dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,10,61.58,812.385,0.438502
contriever-768,20,75.04,1004.42,0.625845
contriever-768,30,81.01,1098.49,0.711261
contriever-768,40,84.13,1197.44,0.818973
contriever-768,50,86.4,1281.92,0.923824
contriever-768,60,88.34,1336.12,0.970178
contriever-768,70,89.89,1412.19,1.05988
contriever-768,80,90.93,1479.49,1.15814
contriever-768,90,91.68,1551.83,1.20354
contriever-768,100,92.18,1634.04,1.24936
contriever-768,110,92.45,1680.3,1.31588
contriever-768,120,92.8,1750.17,1.38313
contriever-768,130,93.11,1785.67,1.41669
contriever-768,140,93.24,1833.26,1.48481
contriever-768,150,93.48,1893.33,1.54432
contriever-768,160,93.77,1933.96,1.59517
contriever-768,170,93.97,1990.9,1.64079
contriever-768,180,94.11,2085.65,1.7005
contriever-768,190,94.23,2088.62,1.75186
contriever-768,200,94.28,2145.08,1.79847
contriever-768,240,94.6,2347.63,2.01379
contriever-768,280,94.83,2544.57,2.21109
contriever-768,320,94.96,2720.88,2.42683
contriever-768,360,95.06,2940.89,2.5733
contriever-768,400,95.13,3096.73,2.77955
contriever-768,500,95.4,3546.02,3.26068
contriever-768,600,95.45,3982.71,3.68294
contriever-768,700,95.56,4413.63,4.11167
contriever-768,800,95.63,4816.67,4.55859
contriever-768,900,95.69,5247.36,4.94296
contriever-768,1000,95.7,5583.81,5.35766
contriever-768,1100,95.77,6018.18,5.77393
contriever-768,1200,95.79,6361.89,6.13421
contriever-768,1300,95.79,6748.07,6.55266
deep-image-96-angular,10,60.25,256.705,0.265481
deep-image-96-angular,20,73.54,308.169,0.25724
deep-image-96-angular,30,80.61,390.132,0.338922
deep-image-96-angular,40,85.34,465.257,0.417391
deep-image-96-angular,50,87.87,545.739,0.496628
deep-image-96-angular,60,89.96,614.999,0.573087
deep-image-96-angular,70,91.38,681.751,0.657609
deep-image-96-angular,80,92.45,756.747,0.731086
deep-image-96-angular,90,93.42,818.193,0.789925
deep-image-96-angular,100,94.24,892.113,0.85605
deep-image-96-angular,110,94.82,930.591,0.922096
deep-image-96-angular,120,95.32,1001.99,0.98927
deep-image-96-angular,130,95.76,1060.83,1.05592
deep-image-96-angular,140,96.15,1111.76,1.11751
deep-image-96-angular,150,96.49,1177.64,1.17637
deep-image-96-angular,160,96.74,1261.09,1.23595
deep-image-96-angular,170,97.05,1273.59,1.30379
deep-image-96-angular,180,97.24,1384.15,1.35864
deep-image-96-angular,190,97.43,1385.45,1.41165
deep-image-96-angular,200,97.59,1472.25,1.47818
deep-image-96-angular,240,98.16,1689.72,1.72335
deep-image-96-angular,280,98.54,1856.45,1.88649
deep-image-96-angular,320,98.83,2067.54,2.03529
deep-image-96-angular,360,99.08,2274.45,2.28322
deep-image-96-angular,400,99.15,2358.99,2.35172
deep-image-96-angular,500,99.43,2780.54,2.84946
deep-image-96-angular,600,99.55,3213.42,3.26689
gist-960-euclidean,10,41.9,1077.32,0.587985
gist-960-euclidean,20,56.04,1338.79,0.88718
gist-960-euclidean,30,64.88,1578.66,1.09355
gist-960-euclidean,40,70.6,1715.75,1.32102
gist-960-euclidean,50,74.6,1931.31,1.50616
gist-960-euclidean,60,77.45,2069.48,1.66239
gist-960-euclidean,70,79.92,2247.44,1.91946
gist-960-euclidean,80,81.84,2413.63,2.00577
gist-960-euclidean,90,83.75,2577.06,2.1505
gist-960-euclidean,100,85.33,2722.12,2.32242
gist-960-euclidean,110,86.52,2852.22,2.42361
gist-960-euclidean,120,87.54,3018.92,2.58549
gist-960-euclidean,130,88.4,3116.77,2.71937
gist-960-euclidean,140,89.2,3252.78,2.83731
gist-960-euclidean,150,89.82,3375.96,2.98266
gist-960-euclidean,160,90.53,3512.29,3.09603
gist-960-euclidean,170,91.05,3601.88,3.20827
gist-960-euclidean,180,91.64,3726.78,3.34594
gist-960-euclidean,190,92.11,3843.86,3.45207
gist-960-euclidean,200,92.58,3967.43,3.55676
gist-960-euclidean,240,93.97,4462.34,4.04145
gist-960-euclidean,280,94.97,4887.13,4.47979
gist-960-euclidean,320,95.8,5238.05,4.86314
gist-960-euclidean,360,96.37,5672.05,5.27457
gist-960-euclidean,400,96.88,5991.96,5.63233
gist-960-euclidean,500,97.46,6898.18,6.52159
gist-960-euclidean,600,97.93,7661.11,7.3555
gist-960-euclidean,700,98.26,8443.35,8.08194
gist-960-euclidean,800,98.62,9179.19,8.8169
gist-960-euclidean,900,98.85,9827.78,9.51163
gist-960-euclidean,1000,98.98,10429.8,10.1336
gist-960-euclidean,1100,99.06,11131.1,10.801
gist-960-euclidean,1200,99.12,11673.5,11.3636
gist-960-euclidean,1300,99.2,12253.3,11.9791
gist-960-euclidean,1400,99.33,12855.8,12.5518
gist-960-euclidean,1500,99.4,13420.4,13.0683
gist-960-euclidean,2000,99.5,16002.7,15.7934
glove-200-angular,10,37.43,235.168,0.153888
glove-200-angular,20,49.07,321.699,0.232318
glove-200-angular,30,56.11,384.545,0.335953
glove-200-angular,40,60.28,463.025,0.387124
glove-200-angular,50,63.37,524.873,0.448507
glove-200-angular,60,65.65,566.258,0.509216
glove-200-angular,70,67.64,639.186,0.570748
glove-200-angular,80,69.27,701.499,0.635483
glove-200-angular,90,70.42,726.191,0.685215
glove-200-angular,100,71.64,795.882,0.749586
glove-200-angular,110,72.37,862.706,0.788922
glove-200-angular,120,73.19,906.584,0.861361
glove-200-angular,130,73.85,970.737,0.897475
glove-200-angular,140,74.5,1004.29,0.955518
glove-200-angular,150,75.18,1084.35,1.01079
glove-200-angular,160,75.72,1113.52,1.05575
glove-200-angular,170,76.21,1168.39,1.11426
glove-200-angular,180,76.72,1223.76,1.15057
glove-200-angular,190,77.23,1246.46,1.20571
glove-200-angular,200,77.86,1316.51,1.25903
glove-200-angular,240,79.36,1522.78,1.44571
glove-200-angular,280,80.4,1686.24,1.63714
