dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,10,61.58,614.306,0.307317
contriever-768,20,75.04,721.364,0.396293
contriever-768,30,81.01,817.461,0.498493
contriever-768,40,84.13,886.756,0.574802
contriever-768,50,86.4,940.458,0.626184
contriever-768,60,88.34,1035.61,0.727269
contriever-768,70,89.89,1100.18,0.796846
contriever-768,80,90.93,1163.1,0.84064
contriever-768,90,91.68,1231.84,0.913794
contriever-768,100,92.18,1267.92,0.972715
contriever-768,110,92.45,1340.52,1.0176
contriever-768,120,92.8,1365.69,1.08097
contriever-768,130,93.11,1460.61,1.13236
contriever-768,140,93.24,1509.04,1.18625
contriever-768,150,93.48,1532.59,1.23481
contriever-768,160,93.77,1615.58,1.28574
contriever-768,170,93.97,1663.48,1.34024
contriever-768,180,94.11,1696.52,1.39279
contriever-768,190,94.23,1754.19,1.4371
contriever-768,200,94.28,1794.98,1.48484
contriever-768,240,94.6,1992.87,1.70064
contriever-768,280,94.83,2176.8,1.89146
contriever-768,320,94.96,2360.2,2.07288
contriever-768,360,95.06,2550.51,2.26743
contriever-768,400,95.13,2707.87,2.44742
contriever-768,500,95.4,3121.5,2.90098
contriever-768,600,95.45,3567.23,3.35356
contriever-768,700,95.56,3952.75,3.75923
contriever-768,800,95.63,4398.14,4.20287
contriever-768,900,95.69,4805.98,4.59831
contriever-768,1000,95.7,5183.28,5.00152
contriever-768,1100,95.77,5587.57,5.41408
contriever-768,1200,95.79,6013.99,5.77758
contriever-768,1300,95.79,6365.73,6.20026
deep-image-96-angular,10,60.25,213.201,0.206163
deep-image-96-angular,20,73.54,285.117,0.251895
deep-image-96-angular,30,80.61,339.553,0.318732
deep-image-96-angular,40,85.34,432.569,0.406488
deep-image-96-angular,50,87.87,487.958,0.450644
deep-image-96-angular,60,89.96,553.279,0.538141
deep-image-96-angular,70,91.38,634.908,0.592109
deep-image-96-angular,80,92.45,709.756,0.679708
deep-image-96-angular,90,93.42,747.47,0.727804
deep-image-96-angular,100,94.24,794.716,0.765004
deep-image-96-angular,110,94.82,863.282,0.818271
deep-image-96-angular,120,95.32,908.642,0.875783
deep-image-96-angular,130,95.76,976.964,0.937088
deep-image-96-angular,140,96.15,1039.77,1.11506
deep-image-96-angular,150,96.49,1014.4,0.998411
deep-image-96-angular,160,96.74,1048.37,0.995382
deep-image-96-angular,170,97.05,1083.27,1.04498
deep-image-96-angular,180,97.24,1138.23,1.1037
deep-image-96-angular,190,97.43,1184.38,1.17306
deep-image-96-angular,200,97.59,1222.66,1.22484
deep-image-96-angular,240,98.16,1449.51,1.42968
deep-image-96-angular,280,98.54,1597.91,1.60983
deep-image-96-angular,320,98.83,1810.13,1.79752
deep-image-96-angular,360,99.08,1937.42,1.94886
deep-image-96-angular,400,99.15,2101.5,2.13252
deep-image-96-angular,500,99.43,2465.67,2.53647
deep-image-96-angular,600,99.55,2860.67,2.91113
gist-960-euclidean,10,41.9,842.196,0.402612
gist-960-euclidean,20,56.04,1033.76,0.575601
gist-960-euclidean,30,64.88,1144.86,0.750116
gist-960-euclidean,40,70.6,1284.3,0.867545
gist-960-euclidean,50,74.6,1383.65,1.0146
gist-960-euclidean,60,77.45,1567.46,1.1621
gist-960-euclidean,70,79.92,1682.07,1.25302
gist-960-euclidean,80,81.84,1767.96,1.39318
gist-960-euclidean,90,83.75,1910.81,1.51584
gist-960-euclidean,100,85.33,1972.19,1.61654
gist-960-euclidean,110,86.52,2078.02,1.74724
gist-960-euclidean,120,87.54,2235.1,1.82163
gist-960-euclidean,130,88.4,2342.69,1.9457
gist-960-euclidean,140,89.2,2425.61,2.04675
gist-960-euclidean,150,89.82,2491.29,2.13768
gist-960-euclidean,160,90.55,2631.0,2.24301
gist-960-euclidean,170,91.05,2706.16,2.32666
gist-960-euclidean,180,91.64,2847.78,2.42987
gist-960-euclidean,190,92.11,2869.85,2.52579
gist-960-euclidean,200,92.58,3002.09,2.60531
gist-960-euclidean,240,93.97,3407.54,3.00072
gist-960-euclidean,280,94.97,3737.42,3.38937
gist-960-euclidean,320,95.8,4098.33,3.67549
gist-960-euclidean,360,96.37,4426.73,4.04295
gist-960-euclidean,400,96.88,4742.1,4.36071
gist-960-euclidean,500,97.46,5490.5,5.12937
gist-960-euclidean,600,97.93,6160.75,5.87791
gist-960-euclidean,700,98.26,6877.55,6.54756
gist-960-euclidean,800,98.62,7435.39,7.22736
gist-960-euclidean,900,98.85,8117.12,7.83716
